id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review
29160165,"Depto 50Mts2, Barrio Congreso- Ubic. inmejorable",131852211,Elcira,,Balvanera,-34.606739,-58.392738,Entire home/apt,4900,30,3,2018-11-25
29178658,HERMOSO STUDIO EN RECOLETA,209772561,Gabriel,,Retiro,-34.593842,-58.3843,Entire home/apt,999,1,58,2020-03-04
29180942,Bulnes and Santa Fe,219884669,Mariel,,Palermo,-34.58844,-58.411758,Entire home/apt,4000,5,12,2019-09-16
29181107,Location and Affordable 2 BR apart. PALERMO,5632049,John,,Palermo,-34.58754,-58.41367,Entire home/apt,4137,3,3,2019-12-16
29181139,Moderno ambiente en Recoleta,7786587,Maximiliano,,Recoleta,-34.587379,-58.385281,Entire home/apt,2000,28,0,
29181341,Cálido y Comodo depto para 4 personas en San Telmo,156656277,Juliana,,San Telmo,-34.619041,-58.371559,Entire home/apt,2000,1,109,2021-04-09
29181612,Moderno Studio en Recoleta,7786587,Maximiliano,,Recoleta,-34.594349,-58.38744,Entire home/apt,1500,28,0,
29181785,Moderno 2 amb en Palermo,7786587,Maximiliano,,Recoleta,-34.590858,-58.4044,Entire home/apt,1800,7,0,
29181872,Coqueto depto en el exclusivo barrio Cañitas,50239256,Leila,,Palermo,-34.573002,-58.433849,Entire home/apt,2000,3,16,2019-04-13
29183603,excelente 2 amb en Recoleta,7786587,Maximiliano,,Recoleta,-34.591221,-58.39967,Entire home/apt,7697,6,0,
29183978,EXCELENTE DEPARTAMENTO EN EL CORAZON DE SAN TELMO,219913355,Gregorio Alejandro,,San Telmo,-34.62085,-58.374081,Entire home/apt,2309,4,3,2019-11-04
29184090,Rincón de luz,219889054,Ana Laura,,Palermo,-34.597481,-58.42202,Private room,1347,1,1,2018-11-05
29184215,Cerca de Todo (Arg),141002082,Miguel Angel,,Recoleta,-34.597279,-58.388699,Entire home/apt,3780,1,4,2019-05-23
29187430,Departamento amplio de dos ambientes en recoleta,99062864,Milagros,,Recoleta,-34.591759,-58.404591,Entire home/apt,4329,2,2,2018-11-23
29187434,"LOFT PREMIUM, OFERTA PANDEMIA PRECIO INTELIGENTE",15709876,Sergio Aldo,,Recoleta,-34.597752,-58.407829,Entire home/apt,2886,6,2,2019-03-21
29188507,Modern Corrientes 818 + Obelisco 2 to 4 pax,219415700,Mónica Sofía,,San Nicolas,-34.604252,-58.377499,Entire home/apt,3848,1,6,2019-02-27
29198112,Gran habitación en la zona de Belgrano,2566933,Aida,,Belgrano,-34.558899,-58.455479,Private room,3848,3,1,2018-10-16
29202295,Departamento Gascón y corrientes,220035479,Silvia,,Almagro,-34.601212,-58.42326,Private room,192401,3,0,
29203124,Departamento Gascón y corrientes,220035479,Silvia,,Almagro,-34.603432,-58.424931,Private room,4000,30,0,
29206128,Hermoso departamento en Palermo Hollywood,186281163,Marta,,Palermo,-34.579601,-58.436161,Entire home/apt,3367,2,21,2019-04-23
29206144,HEART OF THE CITY  BRIGHT APARTMENT,14313118,Magdalena,,Retiro,-34.597439,-58.385529,Entire home/apt,1828,2,27,2019-08-18
29209235,Made with love,220059388,Guillermo José,,Recoleta,-34.595539,-58.41256,Entire home/apt,2501,3,9,2019-03-25
29210521,Made with love,220059388,Guillermo José,,Recoleta,-34.597141,-58.410351,Entire home/apt,2405,3,6,2020-03-15
29212340,Departamento en Palermo Soho - Borges II,46882297,Verónica,,Palermo,-34.585548,-58.42556,Entire home/apt,6872,3,32,2020-02-07
29212362,Congreso appartement,108471324,Jean,,Balvanera,-34.609879,-58.393311,Entire home/apt,2800,2,0,
29212416,Gorgeous 1 bedroom apartment in Palermo Soho.,63965589,Barbara,,Palermo,-34.59042,-58.422878,Entire home/apt,4329,5,20,2020-02-26
29212886,"habitación a la calle,",83455931,Alberto,,Balvanera,-34.609638,-58.395649,Private room,962,1,9,2019-05-03
29215366,Departamento Ivy,4752296,Ivonne,,Almagro,-34.602261,-58.416679,Entire home/apt,3367,5,0,
29219240,beautiful room in Tita house,31375534,Sabrina,,Villa Crespo,-34.597198,-58.436401,Private room,1154,30,1,2019-02-11
29219760,Depto Abasto 1 ambiente,220151014,Azul Themis Malik,,Balvanera,-34.600281,-58.40976,Entire home/apt,2213,30,0,
29232021,🛎️ Elegance and Style- WIFI/ Recoleta | Welcome2BA Team,216430388,Welcome2BA,,Recoleta,-34.591148,-58.394779,Entire home/apt,3903,4,4,2018-12-24
29233686,BA. Hermoso Studio Zona Centro,4648805,Noyu,,San Nicolas,-34.604198,-58.384541,Entire home/apt,4040,5,2,2019-07-21
29234003,DEPARTAMENTO CON PISCINA Y COCHERA  EN SAN TELMO,96213103,Kevin,,Constitucion,-34.623508,-58.379051,Entire home/apt,4137,5,1,2018-11-04
29235094,2 Bedrooms Apartment in Belgrano at good price,15466789,Juan,,Belgrano,-34.55872,-58.464272,Entire home/apt,5291,7,0,
29236497,Comfortable 1 BR Apartment in Recoleta,15466789,Juan,,Recoleta,-34.585499,-58.388592,Entire home/apt,6254,7,0,
29236636,Cozy Apartment in the best Area of Buenos Aires,15466789,Juan,,Recoleta,-34.588169,-58.391819,Entire home/apt,5772,5,0,
29237687,3/4BRS GREAT TERRACE Y FARE 10DOWNTOWN-RECOLETA,220257369,Graciela,,Retiro,-34.590469,-58.386459,Entire home/apt,22607,3,0,
29237713,4/5 BEDROOMS RECOLETA DOWNTOWN,220265231,Gra,,Retiro,-34.589809,-58.384472,Entire home/apt,22607,3,0,
29238445,"Luminoso, moderno y cómodo departamento",46236175,Lucia,,Retiro,-34.59729,-58.378799,Entire home/apt,1300,1,23,2019-12-29
29238527,Impactante dúplex con extraordinaria vista,11509091,Nanu,,Chacarita,-34.587429,-58.450821,Entire home/apt,6459,2,1,2019-09-23
29240535,Luminoso Depto en Recoleta,220293657,Roberto,,Recoleta,-34.594421,-58.40897,Entire home/apt,1860,30,11,2020-03-04
29240619,La Boca - departamento zona ideal para turismo.,220208856,Marcelo,,Boca,-34.63279,-58.362091,Entire home/apt,960,2,9,2019-04-29
29241237,Departamento Quintana,208124840,Agustina,,Recoleta,-34.58675,-58.391739,Entire home/apt,1732,1,87,2019-12-04
29249808,SPECTACULAR TERRACE 3 BEDROOM APARTMENT  RECOLETA,220257369,Graciela,,Recoleta,-34.5891,-58.38723,Entire home/apt,22610,3,0,
29255076,Juncalito,93545573,Sol,,Retiro,-34.592159,-58.386139,Entire home/apt,5772,1,3,2018-11-13
29256070,Cozy place with amazing location *Recoleta*,85752731,Fernando,,Recoleta,-34.596531,-58.403221,Entire home/apt,2213,2,11,2021-01-24
29256303,Sunny studio in Recoleta.,44036501,Patricia,,Recoleta,-34.59005,-58.395401,Entire home/apt,2598,3,63,2020-03-05
29257993,"TORRE LAS PLAZAS ,  PALERMO",42479652,Lea,,Palermo,-34.579868,-58.408611,Entire home/apt,9621,10,0,
29258516,hermosa habitacion,220430776,Adriány María,,Villa Crespo,-34.596741,-58.427448,Private room,960,1,1,2018-11-17
29259928,MONOAMBIENTE CON BALCÓN - MUY LUMINOSO - RECOLETA,154074867,Julia,,Recoleta,-34.592468,-58.393581,Entire home/apt,1058,2,46,2019-12-10
29260449,LUMINOSO DEPARTAMENTO EN RECOLETA,3184562,Florencia,,Retiro,-34.593929,-58.385632,Entire home/apt,4810,3,1,2018-11-18
29260535,Beautifull cousy loft perfect location San Martín,174266791,Martin,,Retiro,-34.595871,-58.37495,Entire home/apt,2886,1,100,2020-01-05
29270508,Hermoso departamento en el corazón de Buenos Aires,24513062,Gonzalo,,Recoleta,-34.591862,-58.404091,Entire home/apt,10000,2,25,2019-03-14
29274367,Habitación en casa.,220547728,Pablo,,Villa Urquiza,-34.559689,-58.483978,Private room,960,1,0,
29280762,Cómodo Monoambiente en la mejor ubicación de Bs As,83778062,Evangelina,,Retiro,-34.59861,-58.38406,Entire home/apt,3000,1,47,2019-04-19
29282135,Incredible studio in Palermo Hollywood,220609238,Inés,,Palermo,-34.583641,-58.443722,Entire home/apt,2007,2,76,2021-04-19
29283973,"Departamento en Palermo Soho, vidrio hierro madera",92783470,Diana,,Palermo,-34.586369,-58.43082,Entire home/apt,9620,5,0,
29300459,Espacio Azcuénaga,220719058,Guillermo,,Balvanera,-34.601761,-58.39991,Entire home/apt,14430,6,34,2020-01-17
29302366,Luminoso 2 ambientes en Almagro en Av. Corrientes,58854042,Gabriela,,Almagro,-34.60392,-58.428452,Entire home/apt,2116,5,19,2019-01-26
29302698,Gurruchaga Apartment,184230843,Federico,,Palermo,-34.584061,-58.42178,Entire home/apt,2000,3,27,2020-04-01
29306500,LOFT en el corazón de  San Telmo,84730718,Eugenia,,San Telmo,-34.616402,-58.37426,Entire home/apt,4000,1,32,2019-09-27
29307628,Pieza con baño de uso exclusivo en Belgrano R,97433384,Marucha,,Belgrano,-34.568371,-58.462742,Private room,1051,1,2,2019-03-04
29308664,Acogedor 2 ambientes ll a cuadras de plaza serrano,15900304,Gabriel,,Villa Crespo,-34.59227,-58.43446,Entire home/apt,3765,1,16,2020-03-31
29308792,Full house 6 Luxury rooms & private bathroom,202978181,Ruben Alberto,,Barracas,-34.627861,-58.372051,Entire home/apt,11544,3,6,2018-12-17
29310910,"Cozy, light and airy apart downtown Buenos Aires",26648822,Miguel,,San Nicolas,-34.601929,-58.38607,Entire home/apt,2116,2,31,2018-11-18
