"lsoa11cd","date","lsoa11nm","Method of Travel to Work: All categories: Method of travel to work; measures: Value","Method of Travel to Work: Work mainly at or from home; measures: Value","Method of Travel to Work: Underground, metro, light rail, tram; measures: Value","Method of Travel to Work: Train; measures: Value","Method of Travel to Work: Bus, minibus or coach; measures: Value","Method of Travel to Work: Taxi; measures: Value","Method of Travel to Work: Motorcycle, scooter or moped; measures: Value","Method of Travel to Work: Driving a car or van; measures: Value","Method of Travel to Work: Passenger in a car or van; measures: Value","Method of Travel to Work: Bicycle; measures: Value","Method of Travel to Work: On foot; measures: Value","Method of Travel to Work: Other method of travel to work; measures: Value","Method of Travel to Work: Not in employment; measures: Value"
"E01006661",2011,"Liverpool 004A",1176,19,1,8,132,5,0,259,47,3,64,7,631
"E01006662",2011,"Liverpool 004B",1165,22,1,14,134,7,1,313,41,6,51,6,569
"E01006663",2011,"Liverpool 004C",820,34,1,15,87,2,2,291,39,5,35,3,306
"E01006664",2011,"Liverpool 004D",1264,32,1,11,151,12,8,329,51,12,52,4,601
"E01006665",2011,"Liverpool 007A",1172,56,0,12,109,10,3,587,58,6,13,1,317
"E01006666",2011,"Liverpool 007B",1107,54,0,10,114,8,2,557,48,8,14,4,288
"E01006667",2011,"Liverpool 007C",1079,41,0,4,122,12,3,397,43,6,30,3,418
"E01006668",2011,"Liverpool 007D",1118,66,0,13,103,8,2,581,46,6,17,5,271
"E01006669",2011,"Liverpool 004E",1109,43,1,7,98,13,5,498,60,14,19,6,345
"E01006670",2011,"Liverpool 007E",1150,62,0,6,120,6,3,487,70,9,21,5,361
"E01006671",2011,"Liverpool 013D",1046,47,1,10,85,10,1,405,46,2,23,6,410
"E01006672",2011,"Liverpool 010E",1353,41,0,9,175,13,3,340,51,16,52,2,651
"E01006673",2011,"Liverpool 037D",1425,26,11,45,148,10,7,178,20,13,162,9,796
"E01006674",2011,"Liverpool 039C",1277,32,0,9,132,9,6,152,13,7,76,5,836
"E01006675",2011,"Liverpool 043C",1604,88,5,48,212,17,1,332,32,68,128,5,668
"E01006676",2011,"Liverpool 044D",1208,35,1,15,161,15,2,159,30,5,91,4,690
"E01006677",2011,"Liverpool 043D",704,21,2,10,87,6,4,79,10,4,51,0,430
"E01006678",2011,"Liverpool 044E",1657,45,8,37,192,14,5,254,33,26,104,13,926
"E01006679",2011,"Liverpool 039D",1460,40,1,20,101,6,0,168,22,9,98,8,987
"E01006680",2011,"Liverpool 053B",1182,50,10,55,80,4,2,478,41,22,46,5,389
"E01006681",2011,"Liverpool 054D",1176,51,2,56,90,8,4,399,39,14,40,3,470
"E01006682",2011,"Liverpool 053C",963,61,5,56,33,6,2,408,47,15,29,4,297
"E01006683",2011,"Liverpool 053D",1118,49,4,50,39,3,7,504,35,19,35,4,369
"E01006684",2011,"Liverpool 056B",1629,89,24,155,77,8,6,722,47,25,37,3,436
"E01006685",2011,"Liverpool 056C",1121,69,14,57,55,6,2,406,39,12,32,4,425
"E01006686",2011,"Liverpool 053E",1060,51,9,56,69,3,6,399,28,14,36,3,386
"E01006687",2011,"Liverpool 056D",1483,96,19,91,69,1,4,609,39,22,25,4,504
"E01006688",2011,"Liverpool 056E",1174,80,14,89,80,8,2,398,28,21,43,3,408
"E01006689",2011,"Liverpool 049D",1215,62,9,88,70,4,3,502,38,27,60,4,348
"E01006690",2011,"Liverpool 028A",1227,45,1,19,195,8,1,200,31,18,100,2,607
"E01006691",2011,"Liverpool 030A",1110,35,2,21,159,9,1,153,36,11,94,2,587
"E01006692",2011,"Liverpool 028B",1644,42,6,18,240,10,4,319,47,27,111,4,816
"E01006693",2011,"Liverpool 024D",1190,26,0,7,142,8,1,184,32,9,77,4,700
"E01006694",2011,"Liverpool 030B",1392,33,4,22,284,8,6,198,41,12,106,1,677
"E01006695",2011,"Liverpool 028C",1496,38,5,32,214,15,0,262,29,29,110,4,758
"E01006696",2011,"Liverpool 030C",1286,27,3,25,188,14,3,212,33,7,110,8,656
"E01006697",2011,"Liverpool 030D",1365,39,1,16,224,11,6,197,43,19,105,7,697
"E01006698",2011,"Liverpool 012D",1244,29,4,53,170,12,2,321,59,6,92,2,494
"E01006699",2011,"Liverpool 014A",1186,18,4,89,103,5,2,175,36,6,69,2,677
"E01006700",2011,"Liverpool 012E",1085,25,1,32,149,15,2,184,47,11,68,5,546
"E01006701",2011,"Liverpool 014B",1111,29,2,46,127,11,1,264,42,7,61,9,512
"E01006702",2011,"Liverpool 014C",1179,21,5,51,163,7,1,190,33,8,62,1,637
"E01006703",2011,"Liverpool 014D",1210,23,1,27,165,6,1,176,45,11,58,9,688
"E01006705",2011,"Liverpool 009E",1106,37,1,20,186,16,0,260,46,7,59,3,471
"E01006706",2011,"Liverpool 045A",1010,20,0,6,138,3,2,180,42,5,46,3,565
"E01006707",2011,"Liverpool 045B",935,11,0,4,155,5,0,176,35,4,27,1,517
"E01006708",2011,"Liverpool 045C",1257,26,1,14,160,7,3,401,46,7,63,10,519
"E01006709",2011,"Liverpool 040A",1064,30,0,13,160,9,3,286,29,17,49,3,465
"E01006710",2011,"Liverpool 045D",1139,18,1,12,176,6,5,348,48,9,40,5,471
"E01006711",2011,"Liverpool 027A",1138,36,2,16,156,7,2,247,50,6,85,3,528
"E01006712",2011,"Liverpool 029D",949,23,5,10,148,6,1,253,43,14,75,3,368
"E01006713",2011,"Liverpool 029E",994,34,2,8,176,9,3,286,37,8,84,3,344
"E01006716",2011,"Liverpool 032E",1117,34,3,30,126,11,4,291,38,11,90,5,474
"E01006717",2011,"Liverpool 027D",1057,40,2,10,118,4,1,387,46,16,82,2,349
"E01006718",2011,"Liverpool 027E",1207,45,0,12,169,8,8,329,53,9,77,7,490
"E01006719",2011,"Liverpool 027F",1109,37,0,7,154,8,2,330,51,12,97,3,408
"E01006720",2011,"Liverpool 035A",1604,44,4,30,258,10,1,263,27,23,108,3,833
"E01006721",2011,"Liverpool 038C",1265,39,0,38,190,7,0,240,25,13,90,1,622
"E01006722",2011,"Liverpool 038D",1541,49,2,34,233,3,5,229,36,40,94,4,812
"E01006723",2011,"Liverpool 038E",1639,32,2,34,266,8,0,213,30,25,104,3,922
"E01006724",2011,"Liverpool 038F",1610,33,4,24,222,17,2,252,22,26,71,2,935
"E01006725",2011,"Liverpool 035B",1199,41,4,41,168,12,4,289,37,13,79,3,508
"E01006726",2011,"Liverpool 035C",1262,25,1,34,213,16,2,228,26,23,117,1,576
"E01006727",2011,"Liverpool 035D",1157,52,3,59,166,12,1,307,40,17,86,2,412
"E01006728",2011,"Liverpool 035E",1229,30,2,28,197,2,1,224,27,11,97,8,602
"E01006729",2011,"Liverpool 008C",923,15,0,9,141,9,3,190,39,11,53,3,450
"E01006730",2011,"Liverpool 011C",943,16,1,4,146,5,2,211,32,3,40,1,482
"E01006731",2011,"Liverpool 011D",859,16,1,2,108,13,1,190,30,11,50,4,433
"E01006732",2011,"Liverpool 011E",1083,18,0,6,180,8,1,164,35,4,57,5,605
"E01006734",2011,"Liverpool 005C",968,15,0,5,133,7,3,181,39,11,59,1,514
"E01006735",2011,"Liverpool 005D",948,19,1,5,127,11,0,194,27,7,60,4,493
"E01006736",2011,"Liverpool 005E",1073,22,0,7,131,6,1,284,42,16,58,2,504
"E01006737",2011,"Liverpool 005F",1048,19,0,6,140,10,1,231,53,9,53,0,526
"E01006738",2011,"Liverpool 058A",1078,16,2,25,100,9,3,222,69,25,97,3,507
"E01006739",2011,"Liverpool 058B",1233,19,1,22,116,19,1,277,50,28,79,3,618
"E01006740",2011,"Liverpool 057A",943,16,3,22,91,7,4,144,60,10,70,1,515
"E01006741",2011,"Liverpool 058C",1335,23,1,18,131,13,6,304,45,20,106,6,662
"E01006742",2011,"Liverpool 057B",1056,32,6,61,92,13,7,328,35,18,69,4,391
"E01006743",2011,"Liverpool 058D",1619,49,5,86,175,18,3,491,69,23,124,3,573
"E01006744",2011,"Liverpool 057C",1125,39,4,62,121,6,3,377,34,20,65,6,388
"E01006745",2011,"Liverpool 057D",1422,58,6,91,188,11,3,358,34,21,100,4,548
"E01006746",2011,"Liverpool 030E",1209,27,1,15,112,11,2,125,16,17,133,2,748
"E01006747",2011,"Liverpool 031B",3367,43,6,51,153,37,0,238,70,15,404,7,2343
"E01006748",2011,"Liverpool 031C",1701,19,4,34,136,14,1,161,38,17,217,3,1057
"E01006751",2011,"Liverpool 031F",2116,25,4,37,144,10,2,178,26,13,198,3,1476
"E01006752",2011,"Liverpool 035F",801,9,0,17,100,5,4,181,12,5,51,3,414
"E01006753",2011,"Liverpool 059A",1090,17,2,9,127,10,3,211,36,13,101,1,560
"E01006754",2011,"Liverpool 059B",1199,25,1,19,144,11,3,287,52,23,61,1,572
"E01006755",2011,"Liverpool 059C",1082,23,0,10,126,7,1,198,35,12,75,4,591
"E01006756",2011,"Liverpool 059D",1236,22,1,18,150,16,2,247,42,10,96,2,630
"E01006757",2011,"Liverpool 059E",1027,29,1,14,119,6,2,205,21,14,73,1,542
"E01006758",2011,"Liverpool 059F",1062,20,0,17,123,9,0,228,33,14,97,4,517
"E01006759",2011,"Liverpool 028D",848,31,2,13,134,6,4,212,27,15,53,4,347
"E01006760",2011,"Liverpool 028E",1365,67,2,22,192,7,2,250,48,17,75,3,680
"E01006761",2011,"Liverpool 020B",1219,28,1,12,172,15,2,294,50,8,67,5,565
"E01006762",2011,"Liverpool 015E",1231,27,3,6,174,8,1,311,52,9,54,7,579
"E01006763",2011,"Liverpool 020C",1061,33,0,10,159,12,1,313,42,10,51,3,427
"E01006764",2011,"Liverpool 020D",1153,32,2,8,183,5,4,270,55,15,59,1,519
"E01006765",2011,"Liverpool 020E",1076,23,2,3,174,5,3,290,48,12,61,3,452
"E01006766",2011,"Liverpool 019E",916,25,0,8,160,8,3,177,35,5,52,3,440
"E01006767",2011,"Liverpool 019F",1316,33,0,7,216,19,5,331,51,20,62,4,568
"E01006768",2011,"Liverpool 020F",1104,51,6,6,138,9,4,312,39,12,47,4,476
"E01006769",2011,"Liverpool 040B",894,16,2,9,105,3,4,202,27,7,38,4,477
"E01006770",2011,"Liverpool 040C",712,18,1,11,94,7,2,156,20,5,49,3,346
"E01006771",2011,"Liverpool 040D",1049,20,1,10,123,6,5,229,28,6,61,0,560
"E01006772",2011,"Liverpool 040E",820,30,1,8,85,8,2,238,28,10,46,1,363
"E01006773",2011,"Liverpool 036D",1049,45,1,43,90,6,2,433,39,8,27,4,351
"E01006774",2011,"Liverpool 036E",1082,47,1,25,95,10,3,479,37,15,23,2,345
"E01006775",2011,"Liverpool 040F",986,12,0,8,138,6,2,183,26,9,52,0,550
"E01006776",2011,"Liverpool 022B",1271,35,5,30,97,10,0,268,50,8,155,5,608
"E01006778",2011,"Liverpool 014E",1758,45,10,131,163,14,6,260,59,17,106,4,943
"E01006779",2011,"Liverpool 022D",1417,17,4,32,146,11,1,183,40,15,114,8,846
"E01006780",2011,"Liverpool 002D",1085,40,9,77,79,14,2,362,49,12,74,6,361
"E01006781",2011,"Liverpool 003A",1160,48,10,99,74,13,1,449,52,13,63,3,335
"E01006782",2011,"Liverpool 003B",1189,29,13,116,86,11,1,352,34,15,103,4,425
"E01006783",2011,"Liverpool 002E",1138,36,4,60,118,11,2,332,47,14,101,1,412
"E01006784",2011,"Liverpool 003C",1028,29,9,121,77,14,2,338,43,17,68,5,305
"E01006785",2011,"Liverpool 003D",1310,43,6,110,97,8,3,414,53,16,67,6,487
"E01006786",2011,"Liverpool 003E",1337,48,5,129,71,9,6,487,75,15,73,4,415
"E01006787",2011,"Liverpool 006A",1987,253,9,80,108,3,0,333,50,12,91,3,1045
"E01006788",2011,"Liverpool 006B",1299,42,3,87,119,14,3,396,69,17,90,4,455
"E01006790",2011,"Liverpool 006C",1183,28,0,34,151,7,0,232,49,11,74,3,594
"E01006791",2011,"Liverpool 006D",1280,22,5,31,188,7,12,256,27,12,58,2,660
"E01006792",2011,"Liverpool 046A",964,69,0,25,44,7,2,402,34,5,21,6,349
"E01006793",2011,"Liverpool 051A",1070,57,3,39,93,3,1,376,32,7,33,1,425
"E01006794",2011,"Liverpool 046B",1196,85,3,38,69,7,8,473,41,9,21,4,438
"E01006795",2011,"Liverpool 051B",1052,60,5,47,64,6,5,453,33,17,34,2,326
"E01006796",2011,"Liverpool 047E",1166,105,5,19,45,2,2,502,39,8,21,4,414
"E01006797",2011,"Liverpool 051C",1099,43,3,32,108,3,9,345,38,10,43,5,460
"E01006798",2011,"Liverpool 051D",1071,44,7,21,70,4,1,487,42,6,30,7,352
"E01006799",2011,"Liverpool 051E",1294,70,0,31,101,7,3,398,32,10,48,2,592
"E01006800",2011,"Liverpool 046C",1002,48,0,18,64,4,3,383,27,2,23,4,426
"E01006801",2011,"Liverpool 046D",1000,58,0,21,65,9,2,437,31,6,27,0,344
"E01032505",2011,"Liverpool 050F",999,50,6,43,87,6,8,266,30,11,65,3,424
"E01032506",2011,"Liverpool 050G",1106,42,19,58,149,6,3,253,39,27,69,3,438
"E01032507",2011,"Liverpool 050H",1285,51,35,134,148,11,4,361,37,42,62,4,396
"E01032508",2011,"Liverpool 027G",1296,37,0,20,205,9,4,249,29,7,88,7,641
"E01032509",2011,"Liverpool 027H",1053,24,0,12,200,8,3,231,38,7,87,2,441
"E01032510",2011,"Liverpool 008F",1358,46,1,17,189,17,7,452,63,13,77,5,471
"E01032511",2011,"Liverpool 008G",1079,34,1,11,99,9,4,361,53,15,28,4,460
"E01033747",2011,"Liverpool 018F",729,38,1,6,73,6,2,75,23,2,38,0,465
"E01033748",2011,"Liverpool 050I",1174,58,21,161,67,4,3,484,53,26,44,5,248
"E01033749",2011,"Liverpool 042F",1114,9,1,8,48,4,4,74,14,7,34,2,909
"E01033750",2011,"Liverpool 061A",1360,64,2,52,65,14,4,522,41,18,246,9,323
"E01033751",2011,"Liverpool 062A",1753,59,11,50,60,11,1,296,53,2,243,8,959
"E01033752",2011,"Liverpool 062B",1158,76,23,82,65,12,2,210,17,10,412,4,245
