"lsoa11cd","date","lsoa11nm","Rural Urban","Occupation: All categories: Occupation; measures: Value","Occupation: 1. Managers, directors and senior officials; measures: Value","Occupation: 11. Corporate managers and directors; measures: Value","Occupation: 111. Chief Executives and Senior Officials; measures: Value","Occupation: 112. Production Managers and Directors; measures: Value","Occupation: 113. Functional Managers and Directors; measures: Value","Occupation: 115. Financial Institution Managers and Directors; measures: Value","Occupation: 116. Managers and Directors in Transport and Logistics; measures: Value","Occupation: 117. Senior Officers in Protective Services; measures: Value","Occupation: 118. Health and Social Services Managers and Directors; measures: Value","Occupation: 119. Managers and Directors in Retail and Wholesale; measures: Value","Occupation: 12. Other managers and proprietors; measures: Value","Occupation: 121. Managers and Proprietors in Agriculture Related Services; measures: Value","Occupation: 122. Managers and Proprietors in Hospitality and Leisure Services; measures: Value","Occupation: 124. Managers and Proprietors in Health and Care Services; measures: Value","Occupation: 125. Managers and Proprietors in Other Services; measures: Value","Occupation: 2. Professional occupations; measures: Value","Occupation: 21. Science research, engineering and technology professionals; measures: Value","Occupation: 211. Natural and Social Science Professionals; measures: Value","Occupation: 212. Engineering Professionals; measures: Value","Occupation: 213. Information Technology and Telecommunications Professionals; measures: Value","Occupation: 214. Conservation and Environment Professionals; measures: Value","Occupation: 215. Research and Development Managers; measures: Value","Occupation: 22. Health professionals; measures: Value","Occupation: 221. Health Professionals; measures: Value","Occupation: 222. Therapy Professionals; measures: Value","Occupation: 223. Nursing and Midwifery Professionals; measures: Value","Occupation: 23. Teaching and educational professionals; measures: Value","Occupation: 231. Teaching and Educational Professionals; measures: Value","Occupation: 24. Business, media and public service professionals; measures: Value","Occupation: 241. Legal Professionals; measures: Value","Occupation: 242. Research and Administrative Professionals; measures: Value","Occupation: 243. Architects, Town Planners and Surveyors; measures: Value","Occupation: 244. Welfare Professionals; measures: Value","Occupation: 245. Librarians and Related Professionals; measures: Value","Occupation: 246. Quality and Regulatory Professionals; measures: Value","Occupation: 247. Media Professionals; measures: Value","Occupation: 3. Associate professional and technical occupations; measures: Value","Occupation: 31. Science, engineering and technology associate professionals; measures: Value","Occupation: 311. Science, Engineering and Production Technicians; measures: Value","Occupation: 312. Draughtspersons and Related Architectural Technicians; measures: Value","Occupation: 313. Information Technology Technicians; measures: Value","Occupation: 32. Health and social care associate professionals; measures: Value","Occupation: 321. Health Associate Professionals; measures: Value","Occupation: 323. Welfare and Housing Associate Professionals; measures: Value","Occupation: 33. Protective Service Occupations; measures: Value","Occupation: 331. Protective Service Occupations; measures: Value","Occupation: 34. Culture, media and sports occupations; measures: Value","Occupation: 341. Artistic, Literary and Media Occupations; measures: Value","Occupation: 342. Design Occupations; measures: Value","Occupation: 344. Sports and Fitness Occupations; measures: Value","Occupation: 35. Business and public service associate professionals; measures: Value","Occupation: 351. Transport Associate Professionals; measures: Value","Occupation: 352. Legal Associate Professionals; measures: Value","Occupation: 353. Business, Finance and Related Associate Professionals; measures: Value","Occupation: 354. Sales, Marketing and Related Associate Professionals; measures: Value","Occupation: 355. Conservation and Environmental associate professionals; measures: Value","Occupation: 356. Public Services and Other Associate Professionals; measures: Value","Occupation: 4. Administrative and secretarial occupations; measures: Value","Occupation: 41. Administrative occupations; measures: Value","Occupation: 411. Government and Related Organisations; measures: Value","Occupation: 412. Finance; measures: Value","Occupation: 413. Records; measures: Value","Occupation: 415. Other Administrative Occupations; measures: Value","Occupation: 416. Office Managers and Supervisors; measures: Value","Occupation: 42. Secretarial and related occupations; measures: Value","Occupation: 421. Secretarial and Related Occupations; measures: Value","Occupation: 5. Skilled trades occupations; measures: Value","Occupation: 51. Skilled agricultural and related trades; measures: Value","Occupation: 511. Agricultural and Related Trades; measures: Value","Occupation: 52. Skilled metal, electrical and electronic trades; measures: Value","Occupation: 521. Metal Forming, Welding and Related Trades; measures: Value","Occupation: 522. Metal Machining, Fitting and Instrument Making Trades; measures: Value","Occupation: 523. Vehicle Trades; measures: Value","Occupation: 524. Electrical and Electronic Trades; measures: Value","Occupation: 525. Skilled Metal, Electrical and Electronic Trades Supervisors; measures: Value","Occupation: 53. Skilled construction and building trades; measures: Value","Occupation: 531. Construction and Building Trades; measures: Value","Occupation: 532. Building Finishing Trades; measures: Value","Occupation: 533. Construction and Building Trades Supervisors; measures: Value","Occupation: 54. Textiles, printing and other skilled trades; measures: Value","Occupation: 541. Textiles and Garments Trades; measures: Value","Occupation: 542. Printing Trades; measures: Value","Occupation: 543. Food Preparation and Hospitality Trades; measures: Value","Occupation: 544. Other Skilled Trades; measures: Value","Occupation: 6. Caring, leisure and other service occupations; measures: Value","Occupation: 61. Caring personal service occupations; measures: Value","Occupation: 612. Childcare and Related Personal Services; measures: Value","Occupation: 613. Animal Care and Control Services; measures: Value","Occupation: 614. Caring Personal Services; measures: Value","Occupation: 62. Leisure, travel and related personal service occupations; measures: Value","Occupation: 621. Leisure and Travel Services; measures: Value","Occupation: 622. Hairdressers and Related Services; measures: Value","Occupation: 623. Housekeeping and Related Services; measures: Value","Occupation: 624. Cleaning and Housekeeping Managers and Supervisors; measures: Value","Occupation: 7. Sales and customer service occupations; measures: Value","Occupation: 71. Sales occupations; measures: Value","Occupation: 711. Sales Assistants and Retail Cashiers; measures: Value","Occupation: 712. Sales Related Occupations; measures: Value","Occupation: 713. Sales Supervisors; measures: Value","Occupation: 72. Customer service occupations; measures: Value","Occupation: 721. Customer Service Occupations; measures: Value","Occupation: 722. Customer Service Managers and Supervisors; measures: Value","Occupation: 8. Process, plant and machine operatives; measures: Value","Occupation: 81. Process, plant and machine operatives; measures: Value","Occupation: 811. Process Operatives; measures: Value","Occupation: 812. Plant and Machine Operatives; measures: Value","Occupation: 813. Assemblers and Routine Operatives; measures: Value","Occupation: 814. Construction Operatives; measures: Value","Occupation: 82. Transport and mobile machine drivers and operatives; measures: Value","Occupation: 821. Road Transport Drivers; measures: Value","Occupation: 822. Mobile Machine Drivers and Operatives; measures: Value","Occupation: 823. Other Drivers and Transport Operatives; measures: Value","Occupation: 9. Elementary occupations; measures: Value","Occupation: 91. Elementary trades and related occupations; measures: Value","Occupation: 911. Elementary Agricultural Occupations; measures: Value","Occupation: 912. Elementary Construction Occupations; measures: Value","Occupation: 913. Elementary Process Plant Occupations; measures: Value","Occupation: 92. Elementary administration and service occupations; measures: Value","Occupation: 921. Elementary Administration Occupations; measures: Value","Occupation: 923. Elementary Cleaning Occupations; measures: Value","Occupation: 924. Elementary Security Occupations; measures: Value","Occupation: 925. Elementary Sales Occupations; measures: Value","Occupation: 926. Elementary Storage Occupations; measures: Value","Occupation: 927. Other Elementary Services Occupations; measures: Value"
"E01006526",2011,"Liverpool 048C","Total",698,63,38,1,10,5,2,2,0,4,14,25,1,8,1,15,215,31,11,6,12,1,1,54,22,6,26,71,71,59,12,16,11,8,2,1,9,94,16,7,2,7,17,2,15,6,6,16,10,1,5,39,0,2,9,12,0,16,86,74,20,18,11,19,6,12,12,41,2,2,7,0,2,2,1,2,21,18,3,0,11,1,2,8,0,63,49,23,2,24,14,5,5,2,2,43,37,33,0,4,6,5,1,45,18,5,6,2,5,27,21,0,6,48,4,1,1,2,44,7,11,5,0,5,16
"E01006527",2011,"Liverpool 053A","Total",658,57,37,2,8,10,1,2,0,7,7,20,0,8,1,11,166,22,3,6,12,0,1,37,19,4,14,57,57,50,11,16,10,11,0,2,0,91,8,6,2,0,13,2,11,5,5,23,9,4,10,42,0,1,13,15,0,13,83,64,23,14,7,17,3,19,19,43,1,1,15,3,4,3,5,0,7,7,0,0,20,2,1,14,3,57,36,17,0,19,21,12,8,1,0,59,48,45,2,1,11,9,2,36,11,4,3,3,1,25,17,4,4,66,1,0,0,1,65,6,11,14,1,6,27
"E01006528",2011,"Liverpool 052C","Total",760,65,38,2,10,9,0,5,0,4,8,27,0,18,0,9,219,45,11,14,17,3,0,59,39,5,15,64,64,51,8,17,11,7,2,3,3,119,8,2,2,4,18,9,9,6,6,34,24,6,4,53,2,5,19,20,0,7,91,79,25,20,12,19,3,12,12,34,4,4,11,1,2,3,4,1,9,5,4,0,10,0,0,9,1,53,38,20,0,18,15,9,5,1,0,59,43,30,10,3,16,12,4,45,19,4,7,4,4,26,20,3,3,75,2,0,2,0,73,7,11,10,3,9,33
"E01006529",2011,"Liverpool 048D","Total",709,53,37,2,7,13,1,5,1,1,7,16,0,2,1,13,249,31,9,11,10,0,1,61,31,4,26,96,96,61,15,15,7,16,2,3,3,83,10,3,0,7,12,0,12,6,6,22,9,9,4,33,0,3,6,13,0,11,96,81,32,17,11,16,5,15,15,33,1,1,6,0,0,1,4,1,15,12,3,0,11,1,2,6,2,54,37,16,2,19,17,8,3,5,1,51,35,28,3,4,16,13,3,30,13,4,7,2,0,17,13,1,3,60,2,0,1,1,58,4,8,8,0,7,31
"E01006530",2011,"Liverpool 055A","Total",648,60,45,3,10,14,2,1,0,2,13,15,0,4,2,9,129,14,1,6,7,0,0,34,8,5,21,46,46,35,2,9,6,11,3,2,2,95,17,11,1,5,7,4,3,23,23,3,1,0,2,45,0,2,11,18,0,14,93,77,29,15,12,17,4,16,16,60,4,4,23,0,6,5,10,2,19,15,2,2,14,0,1,12,1,64,47,21,0,26,17,4,9,4,0,56,45,38,6,1,11,9,2,35,15,4,5,6,0,20,18,0,2,56,3,1,1,1,53,10,4,15,2,4,18
"E01006531",2011,"Liverpool 055B","Total",570,64,42,0,10,13,6,1,1,1,10,22,0,2,7,13,109,25,5,6,13,1,0,22,6,1,15,34,34,28,2,11,7,5,1,1,1,90,12,9,2,1,8,1,7,12,12,10,9,1,0,48,0,3,13,22,1,9,95,69,29,13,8,17,2,26,26,54,1,1,27,0,5,4,17,1,22,17,5,0,4,0,0,4,0,31,23,13,0,10,8,4,2,2,0,55,43,38,2,3,12,9,3,37,16,3,4,5,4,21,14,4,3,35,2,0,1,1,33,5,6,3,2,3,14
"E01006532",2011,"Liverpool 047A","Total",729,145,83,7,22,16,6,1,2,6,23,62,1,8,5,48,265,36,2,13,20,0,1,74,49,6,19,76,76,79,21,24,15,7,2,4,6,91,5,0,1,4,13,5,8,6,6,15,6,3,6,52,2,3,10,22,0,15,66,44,9,14,7,12,2,22,22,36,2,2,11,0,5,2,4,0,15,12,2,1,8,0,2,4,2,34,26,16,1,9,8,3,4,0,1,34,28,24,3,1,6,3,3,27,12,4,3,4,1,15,11,1,3,31,3,0,2,1,28,2,5,5,2,2,12
"E01006533",2011,"Liverpool 055C","Total",581,46,28,1,6,6,3,0,1,3,8,18,0,3,2,13,141,15,4,3,7,0,1,38,23,2,13,50,50,38,7,7,9,7,2,4,2,59,7,3,1,3,6,1,5,5,5,7,2,1,4,34,1,1,12,11,0,9,84,66,19,23,6,12,6,18,18,69,1,1,29,2,6,6,14,1,19,13,4,2,20,0,2,14,4,45,39,15,0,24,6,2,2,1,1,50,45,35,5,5,5,5,0,43,21,3,5,10,3,22,20,1,1,44,3,0,2,1,41,5,9,7,1,2,17
"E01006534",2011,"Liverpool 054A","Total",709,73,49,0,12,10,1,4,0,7,15,24,1,12,1,10,123,17,0,5,12,0,0,48,30,1,17,33,33,25,6,9,1,2,0,6,1,69,11,4,1,6,13,4,9,5,5,17,11,2,4,23,1,2,8,4,0,8,96,69,18,20,10,14,7,27,27,56,3,3,20,3,5,4,7,1,14,12,2,0,19,0,0,17,2,75,59,31,2,26,16,5,8,1,2,72,59,53,4,2,13,11,2,60,23,6,8,4,5,37,30,0,7,85,11,0,6,5,74,7,18,12,5,4,28
"E01006535",2011,"Liverpool 054B","Total",739,62,42,3,7,10,1,9,0,4,8,20,0,6,1,13,127,24,4,3,15,1,1,47,16,4,27,30,30,26,3,11,4,5,3,0,0,109,14,4,0,10,20,14,6,16,16,22,15,0,7,37,2,3,6,16,0,10,98,76,23,21,7,22,3,22,22,63,1,1,29,1,7,4,14,3,17,13,4,0,16,1,1,12,2,74,59,28,1,30,15,6,7,2,0,84,63,53,4,6,21,20,1,52,27,5,7,6,9,25,18,3,4,70,8,1,4,3,62,4,12,11,7,5,23
"E01006536",2011,"Liverpool 054C","Total",775,50,31,1,5,6,2,4,0,0,13,19,0,3,1,15,95,15,4,3,8,0,0,28,12,3,13,26,26,26,0,11,1,7,1,4,2,78,15,8,1,6,9,3,6,11,11,11,4,3,4,32,0,5,8,7,0,12,96,76,21,24,9,19,3,20,20,63,0,0,24,9,0,4,11,0,20,10,10,0,19,1,2,15,1,117,93,36,1,56,24,9,10,3,2,92,81,71,3,7,11,9,2,68,19,5,6,7,1,49,36,8,5,116,9,0,6,3,107,8,38,16,4,13,28
"E01006537",2011,"Liverpool 055D","Total",1167,103,64,0,19,7,1,9,0,4,24,39,0,12,3,24,172,39,6,12,17,3,1,39,22,1,16,48,48,46,8,17,7,9,0,2,3,154,27,14,1,12,13,3,10,20,20,29,11,6,12,65,1,5,18,19,0,22,136,111,31,26,18,22,14,25,25,113,4,4,49,9,10,7,21,2,33,26,6,1,27,3,1,21,2,106,86,35,3,48,20,9,9,1,1,128,116,100,7,9,12,11,1,115,64,15,20,24,5,51,39,7,5,140,34,1,4,29,106,5,20,19,2,22,38
