"lsoa11cd","date","lsoa11nm","Rural Urban","Year of Arrival: All categories: Year of arrival in the UK; measures: Value","Year of Arrival: Born in the UK; measures: Value","Year of Arrival: Arrived before 1941; measures: Value","Year of Arrival: Arrived 1941-1950; measures: Value","Year of Arrival: Arrived 1951-1960; measures: Value","Year of Arrival: Arrived 1961-1970; measures: Value","Year of Arrival: Arrived 1971-1980; measures: Value","Year of Arrival: Arrived 1981-1990; measures: Value","Year of Arrival: Arrived 1991-2000; measures: Value","Year of Arrival: Arrived 2001-2003; measures: Value","Year of Arrival: Arrived 2004-2006; measures: Value","Year of Arrival: Arrived 2007-2009; measures: Value","Year of Arrival: Arrived 2010-2011; measures: Value"
"E01006700",2011,"Liverpool 012E","Total",1438,1366,0,0,6,2,7,5,13,9,15,12,3
"E01006701",2011,"Liverpool 014B","Total",1380,1319,0,2,3,3,5,3,6,11,13,15,0
"E01006702",2011,"Liverpool 014C","Total",1618,1521,0,3,1,1,3,1,15,18,18,30,7
"E01006703",2011,"Liverpool 014D","Total",1561,1458,0,2,3,5,5,0,13,27,27,13,8
"E01006705",2011,"Liverpool 009E","Total",1409,1325,0,2,3,4,3,5,9,8,19,19,12
"E01006706",2011,"Liverpool 045A","Total",1346,1312,0,1,4,3,3,6,4,6,3,2,2
"E01006707",2011,"Liverpool 045B","Total",1323,1278,1,4,5,7,7,3,4,4,6,4,0
"E01006708",2011,"Liverpool 045C","Total",1805,1750,1,2,5,3,3,2,7,7,13,6,6
"E01006709",2011,"Liverpool 040A","Total",1438,1400,0,3,6,1,2,8,6,5,4,3,0
"E01006710",2011,"Liverpool 045D","Total",1496,1459,0,1,8,8,5,1,2,4,6,0,2
"E01006711",2011,"Liverpool 027A","Total",1538,1418,1,0,3,8,8,9,19,21,23,20,8
"E01006712",2011,"Liverpool 029D","Total",1339,1265,1,2,2,7,4,4,7,23,15,5,4
"E01006713",2011,"Liverpool 029E","Total",1377,1307,2,0,3,4,3,3,6,15,26,6,2
"E01006716",2011,"Liverpool 032E","Total",1589,1452,0,3,3,4,15,13,25,26,18,17,13
"E01006717",2011,"Liverpool 027D","Total",1436,1347,0,2,3,5,3,6,25,7,16,17,5
"E01006718",2011,"Liverpool 027E","Total",1587,1487,1,4,6,7,4,6,15,9,31,14,3
"E01006719",2011,"Liverpool 027F","Total",1535,1494,0,2,4,6,1,0,10,5,2,11,0
"E01006720",2011,"Liverpool 035A","Total",2108,1386,2,2,4,8,9,27,110,94,160,217,89
"E01006721",2011,"Liverpool 038C","Total",1655,1402,0,1,11,9,7,14,37,22,43,86,23
"E01006722",2011,"Liverpool 038D","Total",1793,1425,3,0,7,14,15,26,53,52,50,104,44
"E01006723",2011,"Liverpool 038E","Total",1875,1543,1,2,7,12,11,34,28,30,58,110,39
"E01006724",2011,"Liverpool 038F","Total",1790,1569,0,5,5,9,19,20,55,20,14,60,14
"E01006725",2011,"Liverpool 035B","Total",1537,1395,2,0,3,8,10,6,27,30,20,28,8
"E01006726",2011,"Liverpool 035C","Total",1565,1262,2,2,4,12,12,13,47,27,68,84,32
"E01006727",2011,"Liverpool 035D","Total",1441,1286,1,2,1,8,9,9,23,25,37,33,7
"E01006728",2011,"Liverpool 035E","Total",1623,1430,1,1,4,7,1,7,29,33,50,50,10
"E01006729",2011,"Liverpool 008C","Total",1400,1349,1,6,1,1,4,4,9,8,7,9,1
"E01006730",2011,"Liverpool 011C","Total",1326,1285,0,1,0,3,2,4,6,3,17,3,2
"E01006731",2011,"Liverpool 011D","Total",1196,1138,0,0,3,2,4,1,1,12,7,24,4
"E01006732",2011,"Liverpool 011E","Total",1643,1578,1,0,1,1,1,6,6,9,17,18,5
"E01006734",2011,"Liverpool 005C","Total",1412,1311,0,4,0,2,2,3,8,11,34,26,11
"E01006735",2011,"Liverpool 005D","Total",1309,1254,0,1,1,0,3,5,6,6,23,8,2
"E01006736",2011,"Liverpool 005E","Total",1460,1382,0,0,0,2,4,0,9,14,26,21,2
"E01006737",2011,"Liverpool 005F","Total",1435,1389,0,2,0,1,4,1,9,20,3,4,2
"E01006738",2011,"Liverpool 058A","Total",1501,1474,1,2,1,2,3,0,2,0,7,8,1
"E01006739",2011,"Liverpool 058B","Total",1769,1696,1,1,2,5,2,6,11,2,17,16,10
"E01006740",2011,"Liverpool 057A","Total",1280,1147,0,0,5,6,8,1,21,12,17,22,41
"E01006741",2011,"Liverpool 058C","Total",1815,1769,2,3,4,2,4,0,6,5,5,13,2
"E01006742",2011,"Liverpool 057B","Total",1394,1348,0,2,5,2,0,2,8,4,13,5,5
"E01006743",2011,"Liverpool 058D","Total",2175,1996,2,4,2,2,7,6,28,9,49,44,26
"E01006744",2011,"Liverpool 057C","Total",1482,1413,0,5,0,3,4,1,14,9,22,11,0
"E01006745",2011,"Liverpool 057D","Total",1879,1741,2,1,5,4,5,4,18,9,19,58,13
"E01006746",2011,"Liverpool 030E","Total",1513,1266,0,0,6,8,3,5,19,58,37,63,48
"E01006747",2011,"Liverpool 031B","Total",3552,2361,0,2,0,2,5,25,88,89,126,253,601
"E01006748",2011,"Liverpool 031C","Total",1936,1450,0,3,2,6,5,6,37,31,67,217,112
"E01006751",2011,"Liverpool 031F","Total",2572,1737,0,6,11,12,15,23,64,39,75,242,348
"E01006752",2011,"Liverpool 035F","Total",1012,725,0,2,9,8,26,20,45,34,42,68,33
"E01006753",2011,"Liverpool 059A","Total",1557,1511,0,1,5,1,0,1,7,6,14,10,1
"E01006754",2011,"Liverpool 059B","Total",1627,1472,0,6,8,3,4,4,3,8,33,47,39
"E01006755",2011,"Liverpool 059C","Total",1587,1505,3,3,2,1,3,3,0,3,30,25,9
"E01006756",2011,"Liverpool 059D","Total",1820,1667,0,4,2,5,3,7,8,11,59,31,23
"E01006757",2011,"Liverpool 059E","Total",1491,1423,1,3,4,3,2,6,7,1,12,28,1
"E01006758",2011,"Liverpool 059F","Total",1527,1456,0,3,5,3,1,3,2,7,17,29,1
"E01006759",2011,"Liverpool 028D","Total",1095,982,1,1,11,2,3,8,30,9,18,13,17
"E01006760",2011,"Liverpool 028E","Total",1611,1315,2,3,6,6,7,9,50,29,41,84,59
"E01006761",2011,"Liverpool 020B","Total",1644,1493,0,4,14,6,3,14,25,34,20,22,9
"E01006762",2011,"Liverpool 015E","Total",1692,1627,0,1,3,0,5,1,7,10,12,22,4
"E01006763",2011,"Liverpool 020C","Total",1471,1432,0,0,1,2,2,3,9,2,5,14,1
"E01006764",2011,"Liverpool 020D","Total",1522,1372,0,0,2,3,9,5,20,28,31,35,17
"E01006765",2011,"Liverpool 020E","Total",1468,1406,0,3,5,3,1,5,6,8,18,9,4
"E01006766",2011,"Liverpool 019E","Total",1266,1115,0,1,4,2,5,4,15,34,52,23,11
"E01006767",2011,"Liverpool 019F","Total",1787,1616,0,1,5,1,1,4,29,18,34,55,23
"E01006768",2011,"Liverpool 020F","Total",1359,1221,0,3,7,4,10,10,21,16,29,24,14
"E01006769",2011,"Liverpool 040B","Total",1270,1212,0,4,2,6,2,1,9,12,16,6,0
"E01006770",2011,"Liverpool 040C","Total",1002,969,1,4,3,4,2,3,5,1,5,2,3
"E01006771",2011,"Liverpool 040D","Total",1425,1385,0,1,3,4,7,5,6,1,11,1,1
"E01006772",2011,"Liverpool 040E","Total",1091,1044,0,4,4,9,8,3,10,2,3,4,0
"E01006773",2011,"Liverpool 036D","Total",1379,1328,2,4,4,6,5,8,4,6,7,3,2
"E01006774",2011,"Liverpool 036E","Total",1445,1325,0,1,9,20,9,13,31,15,9,11,2
"E01006775",2011,"Liverpool 040F","Total",1319,1275,1,2,7,7,3,1,7,6,2,6,2
"E01006776",2011,"Liverpool 022B","Total",1677,1579,0,3,4,4,4,3,24,21,13,18,4
"E01006778",2011,"Liverpool 014E","Total",2205,2019,0,1,3,3,6,5,22,24,56,48,18
"E01006779",2011,"Liverpool 022D","Total",1968,1891,0,3,1,2,1,3,17,4,7,34,5
"E01006780",2011,"Liverpool 002D","Total",1465,1419,0,3,9,9,2,1,2,1,14,1,4
"E01006781",2011,"Liverpool 003A","Total",1470,1436,0,0,2,7,6,4,7,3,2,0,3
"E01006782",2011,"Liverpool 003B","Total",1560,1502,1,1,7,6,5,1,8,6,12,9,2
"E01006783",2011,"Liverpool 002E","Total",1548,1498,0,1,5,2,3,5,3,11,12,3,5
"E01006784",2011,"Liverpool 003C","Total",1347,1303,0,3,6,2,2,6,13,5,5,2,0
"E01006785",2011,"Liverpool 003D","Total",1769,1669,0,1,11,10,3,7,23,17,9,12,7
"E01006786",2011,"Liverpool 003E","Total",1820,1764,0,2,7,4,3,4,10,5,5,15,1
"E01006787",2011,"Liverpool 006A","Total",2330,2099,0,0,3,12,10,13,35,32,36,49,41
"E01006788",2011,"Liverpool 006B","Total",1825,1759,0,4,0,4,5,2,9,14,8,16,4
"E01006790",2011,"Liverpool 006C","Total",1587,1528,0,1,1,2,2,8,7,6,15,14,3
"E01006791",2011,"Liverpool 006D","Total",1674,1568,0,1,3,4,7,1,8,9,35,29,9
