"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Accommodation type; measures: Value","Dwelling Type: Unshared dwelling: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Total; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: In commercial building; measures: Value","Dwelling Type: Unshared dwelling: Caravan or other mobile or temporary structure; measures: Value","Dwelling Type: Shared dwelling; measures: Value"
"E01006562",2011,"Liverpool 018E","Total",714,714,655,23,62,570,56,26,18,12,3,0
"E01006563",2011,"Liverpool 024B","Total",908,908,552,28,150,374,356,325,19,12,0,0
"E01006564",2011,"Liverpool 023B","Total",800,800,653,16,509,128,147,139,6,2,0,0
"E01006565",2011,"Liverpool 029A","Total",638,638,631,10,270,351,7,3,0,4,0,0
"E01006566",2011,"Liverpool 032A","Total",577,577,488,45,192,251,89,81,5,3,0,0
"E01006567",2011,"Liverpool 026A","Total",892,888,440,33,239,168,448,437,6,5,0,4
"E01006568",2011,"Liverpool 026B","Total",629,629,577,101,246,230,52,50,2,0,0,0
"E01006569",2011,"Liverpool 029B","Total",613,613,549,16,250,283,64,56,3,5,0,0
"E01006570",2011,"Liverpool 026C","Total",595,595,521,91,380,50,74,40,14,20,0,0
"E01006571",2011,"Liverpool 026D","Total",612,612,565,19,133,413,47,41,1,5,0,0
"E01006572",2011,"Liverpool 025A","Total",501,501,494,17,104,373,7,7,0,0,0,0
"E01006573",2011,"Liverpool 029C","Total",778,778,616,6,43,567,162,137,12,13,0,0
"E01006574",2011,"Liverpool 025B","Total",612,612,512,22,220,270,100,94,4,2,0,0
"E01006575",2011,"Liverpool 034A","Total",578,578,510,20,340,150,68,50,14,4,0,0
"E01006576",2011,"Liverpool 034B","Total",713,713,675,69,597,9,38,25,10,3,0,0
"E01006577",2011,"Liverpool 034C","Total",597,597,576,13,344,219,21,15,6,0,0,0
"E01006578",2011,"Liverpool 036A","Total",554,554,542,8,526,8,12,7,1,4,0,0
"E01006579",2011,"Liverpool 034D","Total",618,618,614,18,588,8,4,2,2,0,0,0
"E01006580",2011,"Liverpool 036B","Total",515,515,513,106,398,9,2,1,0,1,0,0
"E01006581",2011,"Liverpool 036C","Total",607,607,582,30,543,9,25,3,1,21,0,0
"E01006582",2011,"Liverpool 041A","Total",585,585,551,52,482,17,34,23,4,7,0,0
"E01006583",2011,"Liverpool 047C","Total",467,467,465,151,304,10,2,2,0,0,0,0
"E01006584",2011,"Liverpool 034E","Total",611,611,509,24,369,116,102,42,54,6,0,0
"E01006585",2011,"Liverpool 032B","Total",641,641,462,40,300,122,179,178,1,0,0,0
"E01006586",2011,"Liverpool 032C","Total",921,897,576,91,245,240,321,265,54,2,0,24
"E01006587",2011,"Liverpool 032D","Total",717,717,519,127,258,134,198,149,49,0,0,0
"E01006588",2011,"Liverpool 042C","Total",702,702,506,22,155,329,196,138,54,4,0,0
"E01006589",2011,"Liverpool 041B","Total",599,599,584,38,526,20,15,11,3,1,0,0
"E01006590",2011,"Liverpool 042D","Total",701,701,600,3,36,561,101,61,39,1,0,0
"E01006591",2011,"Liverpool 041C","Total",671,671,586,13,238,335,85,8,62,15,0,0
"E01006592",2011,"Liverpool 041D","Total",624,624,486,115,253,118,138,114,19,5,0,0
"E01006593",2011,"Liverpool 042E","Total",662,649,598,7,26,565,51,15,21,15,0,13
"E01006594",2011,"Liverpool 047D","Total",579,579,440,257,165,18,139,136,3,0,0,0
"E01006595",2011,"Liverpool 049B","Total",812,812,742,18,276,448,70,50,6,14,0,0
"E01006596",2011,"Liverpool 049C","Total",597,596,560,9,458,93,36,17,12,7,0,1
"E01006597",2011,"Liverpool 041E","Total",683,683,550,75,380,95,133,101,30,2,0,0
"E01006598",2011,"Liverpool 010A","Total",604,604,529,29,168,332,75,68,7,0,0,0
"E01006599",2011,"Liverpool 010B","Total",482,482,481,19,117,345,1,1,0,0,0,0
"E01006600",2011,"Liverpool 011A","Total",592,592,588,11,312,265,4,2,2,0,0,0
"E01006603",2011,"Liverpool 011B","Total",594,594,588,20,274,294,6,2,0,4,0,0
"E01006604",2011,"Liverpool 016A","Total",571,571,568,11,256,301,3,3,0,0,0,0
"E01006605",2011,"Liverpool 016B","Total",696,696,541,15,353,173,154,137,2,15,1,0
"E01006606",2011,"Liverpool 020A","Total",723,723,646,41,257,348,77,29,36,12,0,0
"E01006607",2011,"Liverpool 008A","Total",641,641,620,15,355,250,21,17,0,4,0,0
"E01006608",2011,"Liverpool 009A","Total",563,563,493,9,83,401,70,67,3,0,0,0
"E01006609",2011,"Liverpool 009B","Total",576,576,541,8,62,471,35,15,9,11,0,0
"E01006610",2011,"Liverpool 009C","Total",669,669,534,7,23,504,135,102,23,10,0,0
"E01006611",2011,"Liverpool 012A","Total",742,739,718,17,21,680,21,7,3,11,0,3
"E01006612",2011,"Liverpool 008B","Total",740,740,566,20,326,220,174,173,1,0,0,0
"E01006613",2011,"Liverpool 009D","Total",611,611,492,10,199,283,119,116,0,3,0,0
"E01006614",2011,"Liverpool 012B","Total",667,667,643,12,10,621,24,15,6,3,0,0
"E01006615",2011,"Liverpool 012C","Total",663,663,635,15,49,571,28,18,0,10,0,0
"E01006616",2011,"Liverpool 015D","Total",613,613,548,24,273,251,65,59,1,5,0,0
"E01006617",2011,"Liverpool 021A","Total",650,650,548,113,257,178,102,79,13,10,0,0
"E01006618",2011,"Liverpool 016C","Total",692,692,665,14,456,195,27,26,1,0,0,0
"E01006619",2011,"Liverpool 021B","Total",734,734,604,13,312,279,130,79,42,9,0,0
"E01006620",2011,"Liverpool 021C","Total",625,625,461,41,382,38,164,148,2,14,0,0
"E01006621",2011,"Liverpool 021D","Total",584,584,480,180,220,80,104,89,13,2,0,0
"E01006622",2011,"Liverpool 021E","Total",586,586,559,31,506,22,27,24,1,2,0,0
"E01006623",2011,"Liverpool 013A","Total",527,527,524,406,107,11,3,3,0,0,0,0
"E01006624",2011,"Liverpool 013B","Total",702,702,574,158,171,245,128,122,6,0,0,0
"E01006625",2011,"Liverpool 016D","Total",609,609,554,6,395,153,55,43,3,9,0,0
"E01006626",2011,"Liverpool 016E","Total",593,593,544,38,410,96,49,45,0,4,0,0
"E01006627",2011,"Liverpool 013C","Total",600,600,550,106,288,156,50,43,5,2,0,0
"E01006628",2011,"Liverpool 052D","Total",651,651,560,170,41,349,91,56,28,7,0,0
"E01006629",2011,"Liverpool 052E","Total",573,573,460,23,353,84,113,95,11,7,0,0
"E01006630",2011,"Liverpool 044B","Total",555,555,468,25,216,227,87,70,4,13,0,0
"E01006632",2011,"Liverpool 044C","Total",884,878,626,25,57,544,252,215,14,23,0,6
"E01006633",2011,"Liverpool 050B","Total",699,699,567,16,155,396,132,121,9,2,0,0
"E01006637",2011,"Liverpool 017A","Total",670,670,660,58,197,405,10,3,5,2,0,0
"E01006638",2011,"Liverpool 017B","Total",518,518,509,32,110,367,9,8,1,0,0,0
"E01006639",2011,"Liverpool 017C","Total",640,640,603,76,312,215,37,37,0,0,0,0
"E01006640",2011,"Liverpool 021F","Total",760,760,687,198,388,101,73,62,8,3,0,0
"E01006641",2011,"Liverpool 025C","Total",633,633,628,22,439,167,5,4,0,1,0,0
"E01006642",2011,"Liverpool 025D","Total",590,590,568,29,106,433,22,19,3,0,0,0
"E01006643",2011,"Liverpool 025E","Total",740,740,711,54,207,450,29,22,2,5,0,0
"E01006644",2011,"Liverpool 017D","Total",963,963,631,70,147,414,332,322,10,0,0,0
"E01006645",2011,"Liverpool 017E","Total",690,690,562,24,165,373,128,126,1,1,0,0
"E01006646",2011,"Liverpool 023C","Total",1006,1006,539,38,309,192,467,425,42,0,0,0
"E01006647",2011,"Liverpool 024C","Total",636,636,588,50,345,193,48,44,3,1,0,0
"E01006648",2011,"Liverpool 023D","Total",1075,1072,616,54,321,241,456,441,4,11,0,3
"E01006651",2011,"Liverpool 001A","Total",592,592,583,288,249,46,9,6,3,0,0,0
"E01006652",2011,"Liverpool 002A","Total",633,633,612,8,113,491,21,4,7,10,0,0
"E01006653",2011,"Liverpool 001B","Total",656,656,619,43,165,411,37,37,0,0,0,0
"E01006654",2011,"Liverpool 005A","Total",627,627,522,189,57,276,105,89,3,13,0,0
"E01006655",2011,"Liverpool 001C","Total",706,706,656,66,314,276,49,40,1,8,1,0
"E01006656",2011,"Liverpool 002B","Total",669,669,635,13,134,488,34,11,12,11,0,0
"E01006657",2011,"Liverpool 002C","Total",582,574,529,17,109,403,45,23,13,9,0,8
"E01006658",2011,"Liverpool 001D","Total",634,634,540,19,106,415,94,93,0,1,0,0
"E01006659",2011,"Liverpool 005B","Total",548,548,391,35,147,209,157,156,1,0,0,0
"E01006660",2011,"Liverpool 001E","Total",616,616,534,85,176,273,82,78,4,0,0,0
"E01006661",2011,"Liverpool 004A","Total",749,749,696,42,210,444,53,50,3,0,0,0
"E01006662",2011,"Liverpool 004B","Total",785,785,662,33,347,282,123,123,0,0,0,0
"E01006663",2011,"Liverpool 004C","Total",510,510,475,32,213,230,35,35,0,0,0,0
"E01006664",2011,"Liverpool 004D","Total",822,822,642,57,269,316,180,168,9,3,0,0
"E01006665",2011,"Liverpool 007A","Total",630,630,628,216,307,105,2,0,0,2,0,0
"E01006666",2011,"Liverpool 007B","Total",514,514,512,330,172,10,2,1,0,1,0,0
"E01006667",2011,"Liverpool 007C","Total",618,618,617,198,199,220,1,1,0,0,0,0
"E01006668",2011,"Liverpool 007D","Total",590,590,585,171,398,16,5,3,0,2,0,0
"E01006669",2011,"Liverpool 004E","Total",551,551,548,298,167,83,3,3,0,0,0,0
"E01006670",2011,"Liverpool 007E","Total",607,607,601,326,208,67,6,4,2,0,0,0
"E01006671",2011,"Liverpool 013D","Total",499,499,497,280,46,171,2,1,1,0,0,0
"E01006672",2011,"Liverpool 010E","Total",798,798,780,59,271,450,18,11,2,5,0,0
"E01006673",2011,"Liverpool 037D","Total",954,913,445,35,211,199,468,323,139,6,0,41
"E01006674",2011,"Liverpool 039C","Total",826,820,654,86,241,327,166,100,66,0,0,6
"E01006675",2011,"Liverpool 043C","Total",1132,1054,99,17,38,44,955,526,422,7,0,78
"E01006676",2011,"Liverpool 044D","Total",761,759,639,47,142,450,119,104,10,5,1,2
"E01006677",2011,"Liverpool 043D","Total",477,475,423,28,144,251,52,34,6,12,0,2
"E01006678",2011,"Liverpool 044E","Total",1059,1054,629,40,160,429,425,253,160,12,0,5
"E01006679",2011,"Liverpool 039D","Total",920,882,611,88,236,287,271,220,33,18,0,38
"E01006680",2011,"Liverpool 053B","Total",605,605,590,17,562,11,15,7,3,5,0,0
"E01006681",2011,"Liverpool 054D","Total",719,719,480,41,369,70,239,230,2,7,0,0
"E01006682",2011,"Liverpool 053C","Total",498,498,494,27,460,7,4,1,0,3,0,0
"E01006683",2011,"Liverpool 053D","Total",594,594,583,14,549,20,11,3,1,7,0,0
"E01006684",2011,"Liverpool 056B","Total",999,999,645,173,334,138,354,325,21,8,0,0
"E01006685",2011,"Liverpool 056C","Total",604,604,541,120,335,86,63,38,25,0,0,0
"E01006686",2011,"Liverpool 053E","Total",531,531,515,33,453,29,16,6,3,7,0,0
"E01006687",2011,"Liverpool 056D","Total",933,929,589,294,163,132,340,272,64,4,0,4
"E01006688",2011,"Liverpool 056E","Total",712,712,502,47,370,85,210,118,63,29,0,0
"E01006689",2011,"Liverpool 049D","Total",717,717,630,9,371,250,87,70,3,14,0,0
"E01006690",2011,"Liverpool 028A","Total",801,776,360,21,100,239,416,240,162,14,0,25
"E01006691",2011,"Liverpool 030A","Total",647,647,544,21,47,476,103,78,16,9,0,0
"E01006692",2011,"Liverpool 028B","Total",989,982,705,45,308,352,277,173,82,22,0,7
"E01006693",2011,"Liverpool 024D","Total",838,832,549,25,310,214,283,258,14,11,0,6
"E01006694",2011,"Liverpool 030B","Total",891,886,814,43,51,720,72,48,19,5,0,5
"E01006695",2011,"Liverpool 028C","Total",1029,976,320,15,74,231,656,303,350,3,0,53
"E01006696",2011,"Liverpool 030C","Total",768,764,640,40,206,394,124,103,15,6,0,4
"E01006697",2011,"Liverpool 030D","Total",828,828,729,30,34,665,99,48,33,18,0,0
"E01006698",2011,"Liverpool 012D","Total",725,725,672,15,32,625,53,11,22,20,0,0
"E01006699",2011,"Liverpool 014A","Total",777,777,604,23,60,521,173,158,10,5,0,0
"E01006700",2011,"Liverpool 012E","Total",653,653,560,9,28,523,92,50,16,26,1,0
"E01006701",2011,"Liverpool 014B","Total",671,665,576,25,332,219,89,65,17,7,0,6
"E01006702",2011,"Liverpool 014C","Total",740,740,706,36,163,507,34,20,7,7,0,0
"E01006703",2011,"Liverpool 014D","Total",818,818,513,26,120,367,305,277,16,12,0,0
"E01006705",2011,"Liverpool 009E","Total",689,689,604,6,19,579,85,42,19,24,0,0
"E01006706",2011,"Liverpool 045A","Total",582,582,546,23,144,379,34,34,0,0,2,0
"E01006707",2011,"Liverpool 045B","Total",553,553,544,29,198,317,9,8,0,1,0,0
"E01006708",2011,"Liverpool 045C","Total",754,754,723,49,430,244,31,30,1,0,0,0
"E01006709",2011,"Liverpool 040A","Total",685,683,542,11,175,356,141,136,3,2,0,2
"E01006710",2011,"Liverpool 045D","Total",592,592,589,21,53,515,3,3,0,0,0,0
"E01006711",2011,"Liverpool 027A","Total",685,677,576,19,81,476,101,65,16,20,0,8
"E01006712",2011,"Liverpool 029D","Total",569,569,559,8,25,526,10,1,1,8,0,0
"E01006713",2011,"Liverpool 029E","Total",604,604,601,6,26,569,3,0,1,2,0,0
"E01006716",2011,"Liverpool 032E","Total",701,701,571,23,127,421,130,109,8,13,0,0
"E01006717",2011,"Liverpool 027D","Total",576,574,530,17,344,169,43,23,17,3,1,2
"E01006718",2011,"Liverpool 027E","Total",678,678,557,16,87,454,121,66,51,4,0,0
"E01006719",2011,"Liverpool 027F","Total",638,638,604,11,64,529,34,17,2,15,0,0
"E01006720",2011,"Liverpool 035A","Total",905,898,766,42,122,602,132,84,36,12,0,7
"E01006721",2011,"Liverpool 038C","Total",912,910,724,12,60,652,186,163,10,13,0,2
"E01006722",2011,"Liverpool 038D","Total",608,606,532,25,105,402,74,22,34,18,0,2
"E01006723",2011,"Liverpool 038E","Total",749,746,593,6,29,558,153,81,64,8,0,3
"E01006724",2011,"Liverpool 038F","Total",554,554,516,7,37,472,38,10,25,3,0,0
"E01006725",2011,"Liverpool 035B","Total",739,739,630,14,150,466,109,66,18,25,0,0
"E01006726",2011,"Liverpool 035C","Total",659,659,595,14,61,520,64,25,37,2,0,0
"E01006727",2011,"Liverpool 035D","Total",665,661,612,6,36,570,49,19,21,9,0,4
"E01006728",2011,"Liverpool 035E","Total",855,855,777,21,47,709,78,61,15,2,0,0
"E01006729",2011,"Liverpool 008C","Total",539,539,537,17,235,285,2,2,0,0,0,0
"E01006730",2011,"Liverpool 011C","Total",542,542,537,26,163,348,5,3,2,0,0,0
"E01006731",2011,"Liverpool 011D","Total",486,486,471,18,122,331,15,4,0,11,0,0
"E01006732",2011,"Liverpool 011E","Total",644,644,638,24,323,291,6,5,1,0,0,0
"E01006734",2011,"Liverpool 005C","Total",625,625,607,15,170,422,18,12,6,0,0,0
"E01006735",2011,"Liverpool 005D","Total",571,571,540,20,125,395,30,29,0,1,1,0
"E01006736",2011,"Liverpool 005E","Total",582,582,575,19,173,383,7,4,3,0,0,0
"E01006737",2011,"Liverpool 005F","Total",562,562,546,17,167,362,16,14,2,0,0,0
"E01006738",2011,"Liverpool 058A","Total",662,662,650,14,91,545,12,12,0,0,0,0
"E01006739",2011,"Liverpool 058B","Total",707,707,641,39,156,446,66,61,4,1,0,0
"E01006740",2011,"Liverpool 057A","Total",604,604,472,12,118,342,132,129,2,1,0,0
"E01006741",2011,"Liverpool 058C","Total",778,778,744,37,118,589,34,34,0,0,0,0
"E01006742",2011,"Liverpool 057B","Total",591,578,553,3,249,301,25,12,7,6,0,13
"E01006743",2011,"Liverpool 058D","Total",1008,1008,682,77,265,340,326,314,4,8,0,0
"E01006744",2011,"Liverpool 057C","Total",739,739,661,8,30,623,78,48,25,5,0,0
"E01006745",2011,"Liverpool 057D","Total",907,893,536,28,75,433,357,200,115,42,0,14
"E01006746",2011,"Liverpool 030E","Total",655,650,557,24,114,419,93,80,5,8,0,5
"E01006747",2011,"Liverpool 031B","Total",857,827,353,21,53,279,473,419,32,22,1,30
"E01006748",2011,"Liverpool 031C","Total",756,756,684,22,58,604,72,32,37,3,0,0
"E01006751",2011,"Liverpool 031F","Total",831,831,603,44,340,219,228,214,13,1,0,0
"E01006752",2011,"Liverpool 035F","Total",489,489,410,17,283,110,79,70,8,1,0,0
"E01006753",2011,"Liverpool 059A","Total",666,666,633,34,100,499,33,33,0,0,0,0
"E01006754",2011,"Liverpool 059B","Total",781,781,600,24,146,430,181,174,7,0,0,0
"E01006755",2011,"Liverpool 059C","Total",690,690,553,28,141,384,136,135,0,1,1,0
"E01006756",2011,"Liverpool 059D","Total",757,757,713,39,157,517,44,40,1,3,0,0
"E01006757",2011,"Liverpool 059E","Total",621,621,589,33,116,440,32,32,0,0,0,0
"E01006758",2011,"Liverpool 059F","Total",639,639,599,19,100,480,40,39,1,0,0,0
"E01006759",2011,"Liverpool 028D","Total",460,454,361,22,105,234,93,54,34,5,0,6
"E01006760",2011,"Liverpool 028E","Total",826,768,294,24,130,140,474,172,277,25,0,58
"E01006761",2011,"Liverpool 020B","Total",793,793,544,19,203,322,249,222,20,7,0,0
"E01006762",2011,"Liverpool 015E","Total",725,725,695,78,298,319,30,28,2,0,0,0
"E01006763",2011,"Liverpool 020C","Total",652,652,635,11,72,552,17,7,9,1,0,0
"E01006764",2011,"Liverpool 020D","Total",667,662,475,7,106,362,187,53,120,14,0,5
"E01006765",2011,"Liverpool 020E","Total",659,659,554,5,129,420,105,89,11,5,0,0
"E01006766",2011,"Liverpool 019E","Total",574,574,502,17,34,451,72,21,30,21,0,0
"E01006767",2011,"Liverpool 019F","Total",779,775,695,57,148,490,80,52,28,0,0,4
"E01006768",2011,"Liverpool 020F","Total",587,573,399,37,238,124,174,61,106,7,0,14
"E01006769",2011,"Liverpool 040B","Total",712,712,511,16,221,274,200,194,6,0,1,0
"E01006770",2011,"Liverpool 040C","Total",445,445,401,18,104,279,44,44,0,0,0,0
"E01006771",2011,"Liverpool 040D","Total",694,694,568,35,235,298,126,120,2,4,0,0
"E01006772",2011,"Liverpool 040E","Total",480,480,459,96,185,178,21,21,0,0,0,0
"E01006773",2011,"Liverpool 036D","Total",554,554,545,43,354,148,9,3,0,6,0,0
"E01006774",2011,"Liverpool 036E","Total",552,552,548,170,314,64,4,1,2,1,0,0
"E01006775",2011,"Liverpool 040F","Total",556,556,551,25,163,363,5,4,0,1,0,0
"E01006776",2011,"Liverpool 022B","Total",844,844,693,36,381,276,151,140,5,6,0,0
"E01006778",2011,"Liverpool 014E","Total",1124,1124,773,38,300,435,351,315,21,15,0,0
"E01006779",2011,"Liverpool 022D","Total",902,902,795,39,508,248,107,104,3,0,0,0
"E01006780",2011,"Liverpool 002D","Total",619,617,547,4,300,243,70,24,42,4,0,2
"E01006781",2011,"Liverpool 003A","Total",600,600,559,176,250,133,41,28,10,3,0,0
"E01006782",2011,"Liverpool 003B","Total",691,673,595,12,76,507,78,35,28,15,0,18
"E01006783",2011,"Liverpool 002E","Total",645,645,621,4,164,453,24,4,4,16,0,0
"E01006784",2011,"Liverpool 003C","Total",586,577,506,8,40,458,71,25,28,18,0,9
"E01006785",2011,"Liverpool 003D","Total",781,781,597,12,259,326,184,138,22,24,0,0
"E01006786",2011,"Liverpool 003E","Total",764,764,652,75,319,258,112,84,27,1,0,0
"E01006787",2011,"Liverpool 006A","Total",691,681,415,23,152,240,266,133,125,8,0,10
"E01006788",2011,"Liverpool 006B","Total",681,681,673,18,287,368,8,1,4,3,0,0
"E01006790",2011,"Liverpool 006C","Total",801,801,650,17,88,545,151,126,18,7,0,0
"E01006791",2011,"Liverpool 006D","Total",873,868,583,15,262,306,285,224,46,15,0,5
"E01006792",2011,"Liverpool 046A","Total",557,557,498,212,272,14,59,54,4,1,0,0
"E01006793",2011,"Liverpool 051A","Total",759,759,400,164,153,83,359,352,7,0,0,0
"E01006794",2011,"Liverpool 046B","Total",711,711,591,213,223,155,120,93,20,7,0,0
"E01006795",2011,"Liverpool 051B","Total",628,628,535,90,347,98,93,59,17,17,0,0
"E01006796",2011,"Liverpool 047E","Total",581,581,565,413,139,13,16,15,1,0,0,0
"E01006797",2011,"Liverpool 051C","Total",707,707,572,14,262,296,135,104,22,9,0,0
"E01006798",2011,"Liverpool 051D","Total",609,609,537,151,332,54,72,72,0,0,0,0
"E01006799",2011,"Liverpool 051E","Total",1145,1145,503,56,159,288,642,613,18,11,0,0
"E01006800",2011,"Liverpool 046C","Total",679,679,602,161,428,13,77,75,1,1,0,0
"E01006801",2011,"Liverpool 046D","Total",609,609,600,59,521,20,9,9,0,0,0,0
"E01032505",2011,"Liverpool 050F","Total",563,563,551,194,87,270,12,7,2,3,0,0
"E01032506",2011,"Liverpool 050G","Total",656,646,576,10,16,550,69,40,15,14,1,10
"E01032507",2011,"Liverpool 050H","Total",666,666,596,4,23,569,70,18,21,31,0,0
"E01032508",2011,"Liverpool 027G","Total",847,847,631,27,226,378,216,118,67,31,0,0
"E01032509",2011,"Liverpool 027H","Total",665,665,652,11,107,534,13,10,2,1,0,0
"E01032510",2011,"Liverpool 008F","Total",776,776,673,54,215,404,103,101,2,0,0,0
"E01032511",2011,"Liverpool 008G","Total",616,616,581,53,453,75,35,31,4,0,0,0
"E01033747",2011,"Liverpool 018F","Total",496,496,332,17,106,209,164,115,32,17,0,0
"E01033748",2011,"Liverpool 050I","Total",772,772,105,5,10,90,667,662,5,0,0,0
"E01033749",2011,"Liverpool 042F","Total",1039,529,69,7,5,57,460,457,2,1,0,510
"E01033750",2011,"Liverpool 061A","Total",905,905,40,2,7,31,865,859,2,4,0,0
"E01033751",2011,"Liverpool 062A","Total",603,603,125,14,48,63,470,426,34,10,8,0
"E01033752",2011,"Liverpool 062B","Total",790,780,8,4,2,2,770,644,34,92,2,10
