"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All categories: Tenure; measures: Value","Tenure: Owned: Total; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented: Total; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other social rented; measures: Value","Tenure: Private rented: Total; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Employer of a household member; measures: Value","Tenure: Private rented: Relative or friend of household member; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value"
"E01006627",2011,"Liverpool 013C","Total",1378,1068,403,665,5,162,24,138,123,107,3,13,0,20
"E01006628",2011,"Liverpool 052D","Total",1518,1085,393,692,6,104,2,102,312,290,0,21,1,11
"E01006629",2011,"Liverpool 052E","Total",1242,832,368,464,4,200,10,190,192,183,0,7,2,14
"E01006630",2011,"Liverpool 044B","Total",1338,176,52,124,0,998,237,761,146,111,0,17,18,18
"E01006632",2011,"Liverpool 044C","Total",1842,526,202,324,40,970,104,866,294,274,0,17,3,12
"E01006633",2011,"Liverpool 050B","Total",1432,329,97,232,11,883,213,670,198,187,0,4,7,11
"E01006637",2011,"Liverpool 017A","Total",1596,495,117,378,12,868,249,619,204,178,0,25,1,17
"E01006638",2011,"Liverpool 017B","Total",1219,387,128,259,0,649,186,463,161,155,4,2,0,22
"E01006639",2011,"Liverpool 017C","Total",1509,1008,278,730,9,271,41,230,221,213,0,7,1,0
"E01006640",2011,"Liverpool 021F","Total",1880,1477,530,947,1,194,16,178,191,163,0,28,0,17
"E01006641",2011,"Liverpool 025C","Total",1640,1291,136,1155,2,110,34,76,232,206,0,26,0,5
"E01006642",2011,"Liverpool 025D","Total",1290,467,171,296,2,681,195,486,128,111,0,8,9,12
"E01006643",2011,"Liverpool 025E","Total",1822,735,222,513,0,840,245,595,228,222,3,2,1,19
"E01006644",2011,"Liverpool 017D","Total",2040,1041,308,733,0,591,143,448,389,360,0,25,4,19
"E01006645",2011,"Liverpool 017E","Total",1424,486,198,288,4,774,178,596,137,135,0,0,2,23
"E01006646",2011,"Liverpool 023C","Total",1881,374,116,258,19,998,166,832,457,439,0,18,0,33
"E01006647",2011,"Liverpool 024C","Total",1422,202,96,106,27,1102,187,915,64,56,0,3,5,27
"E01006648",2011,"Liverpool 023D","Total",2175,447,136,311,20,1022,164,858,668,636,0,12,20,18
"E01006651",2011,"Liverpool 001A","Total",1642,1479,269,1210,0,48,6,42,110,97,8,5,0,5
"E01006652",2011,"Liverpool 002A","Total",1505,1130,417,713,1,37,0,37,310,301,0,9,0,27
"E01006653",2011,"Liverpool 001B","Total",1520,913,273,640,20,396,114,282,182,169,0,12,1,9
"E01006654",2011,"Liverpool 005A","Total",1455,1050,258,792,0,152,7,145,250,237,0,13,0,3
"E01006655",2011,"Liverpool 001C","Total",1733,1054,368,686,1,407,91,316,259,196,50,4,9,12
"E01006656",2011,"Liverpool 002B","Total",1493,1088,375,713,4,56,7,49,341,315,4,19,3,4
"E01006657",2011,"Liverpool 002C","Total",1211,749,257,492,0,142,15,127,312,293,0,19,0,8
"E01006658",2011,"Liverpool 001D","Total",1300,538,210,328,0,573,200,373,173,162,0,1,10,16
"E01006659",2011,"Liverpool 005B","Total",1070,498,149,349,0,367,79,288,196,185,0,2,9,9
"E01006660",2011,"Liverpool 001E","Total",1433,851,272,579,0,411,93,318,153,140,0,8,5,18
"E01006661",2011,"Liverpool 004A","Total",1663,666,229,437,0,781,248,533,176,158,0,11,7,40
