"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Dwelling type; measures: Value","Dwelling Type: Unshared dwelling; measures: Value","Dwelling Type: Shared dwelling: Two household spaces; measures: Value","Dwelling Type: Shared dwelling: Three or more household spaces; measures: Value","Dwelling Type: All categories: Household spaces; measures: Value","Dwelling Type: Household spaces with at least one usual resident; measures: Value","Dwelling Type: Household spaces with no usual residents; measures: Value","Dwelling Type: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Flat, maisonette or apartment: In a commercial building; measures: Value","Dwelling Type: Caravan or other mobile or temporary structure; measures: Value"
"E01006587",2011,"Liverpool 032D","Total",749,749,0,0,749,717,32,129,260,138,169,52,1,0
"E01006588",2011,"Liverpool 042C","Total",748,748,0,0,748,702,46,23,158,351,144,65,7,0
"E01006589",2011,"Liverpool 041B","Total",611,611,0,0,611,599,12,38,538,20,11,3,1,0
"E01006590",2011,"Liverpool 042D","Total",739,739,0,0,739,701,38,4,38,587,66,42,2,0
"E01006591",2011,"Liverpool 041C","Total",695,695,0,0,695,671,24,13,247,346,8,64,17,0
"E01006592",2011,"Liverpool 041D","Total",656,656,0,0,656,624,32,119,257,120,128,27,5,0
"E01006593",2011,"Liverpool 042E","Total",708,705,1,2,721,662,59,7,26,604,15,42,27,0
"E01006594",2011,"Liverpool 047D","Total",591,591,0,0,591,579,12,261,166,18,143,3,0,0
"E01006595",2011,"Liverpool 049B","Total",849,849,0,0,849,812,37,19,280,466,53,7,24,0
"E01006596",2011,"Liverpool 049C","Total",618,617,0,1,624,597,27,11,466,97,20,20,10,0
"E01006597",2011,"Liverpool 041E","Total",722,722,0,0,722,683,39,81,392,100,114,32,3,0
"E01006598",2011,"Liverpool 010A","Total",615,615,0,0,615,604,11,29,170,341,68,7,0,0
"E01006599",2011,"Liverpool 010B","Total",492,492,0,0,492,482,10,19,120,352,1,0,0,0
"E01006600",2011,"Liverpool 011A","Total",596,596,0,0,596,592,4,11,316,265,2,2,0,0
"E01006603",2011,"Liverpool 011B","Total",605,605,0,0,605,594,11,20,278,299,2,0,6,0
"E01006604",2011,"Liverpool 016A","Total",583,583,0,0,583,571,12,11,260,309,3,0,0,0
"E01006605",2011,"Liverpool 016B","Total",717,717,0,0,717,696,21,15,358,177,138,2,26,1
"E01006606",2011,"Liverpool 020A","Total",735,735,0,0,735,723,12,41,260,356,30,36,12,0
"E01006607",2011,"Liverpool 008A","Total",660,660,0,0,660,641,19,15,369,255,17,0,4,0
"E01006608",2011,"Liverpool 009A","Total",575,575,0,0,575,563,12,9,84,411,67,4,0,0
"E01006609",2011,"Liverpool 009B","Total",618,618,0,0,618,576,42,8,62,494,15,20,19,0
"E01006610",2011,"Liverpool 009C","Total",718,718,0,0,718,669,49,7,24,541,103,29,14,0
"E01006611",2011,"Liverpool 012A","Total",793,792,0,1,795,742,53,17,21,728,7,5,17,0
"E01006612",2011,"Liverpool 008B","Total",746,746,0,0,746,740,6,20,328,222,174,1,1,0
"E01006613",2011,"Liverpool 009D","Total",625,625,0,0,625,611,14,10,202,292,117,0,4,0
"E01006614",2011,"Liverpool 012B","Total",713,713,0,0,713,667,46,12,10,665,15,7,4,0
"E01006615",2011,"Liverpool 012C","Total",703,703,0,0,703,663,40,15,51,601,19,0,17,0
"E01006616",2011,"Liverpool 015D","Total",620,620,0,0,620,613,7,24,275,256,59,1,5,0
