"lsoa11cd","date","lsoa11nm","Rural Urban","Sex: All persons; measures: Value","Sex: Males; measures: Value","Sex: Females; measures: Value"
"E01006671",2011,"Liverpool 013D","Total",17,11,6
"E01006672",2011,"Liverpool 010E","Total",16,11,5
"E01006673",2011,"Liverpool 037D","Total",8,3,5
"E01006674",2011,"Liverpool 039C","Total",11,7,4
"E01006675",2011,"Liverpool 043C","Total",8,4,4
"E01006676",2011,"Liverpool 044D","Total",6,2,4
"E01006677",2011,"Liverpool 043D","Total",3,2,1
"E01006678",2011,"Liverpool 044E","Total",8,5,3
"E01006679",2011,"Liverpool 039D","Total",13,5,8
"E01006680",2011,"Liverpool 053B","Total",14,11,3
"E01006681",2011,"Liverpool 054D","Total",18,7,11
"E01006682",2011,"Liverpool 053C","Total",25,14,11
"E01006683",2011,"Liverpool 053D","Total",23,11,12
"E01006684",2011,"Liverpool 056B","Total",28,14,14
"E01006685",2011,"Liverpool 056C","Total",18,9,9
"E01006686",2011,"Liverpool 053E","Total",18,8,10
"E01006687",2011,"Liverpool 056D","Total",41,20,21
"E01006688",2011,"Liverpool 056E","Total",14,6,8
"E01006689",2011,"Liverpool 049D","Total",22,11,11
"E01006690",2011,"Liverpool 028A","Total",14,7,7
"E01006691",2011,"Liverpool 030A","Total",12,4,8
"E01006692",2011,"Liverpool 028B","Total",15,5,10
"E01006693",2011,"Liverpool 024D","Total",4,0,4
"E01006694",2011,"Liverpool 030B","Total",6,4,2
"E01006695",2011,"Liverpool 028C","Total",11,7,4
"E01006696",2011,"Liverpool 030C","Total",9,4,5
"E01006697",2011,"Liverpool 030D","Total",3,2,1
"E01006698",2011,"Liverpool 012D","Total",7,3,4
"E01006699",2011,"Liverpool 014A","Total",1,1,0
"E01006700",2011,"Liverpool 012E","Total",8,6,2
"E01006701",2011,"Liverpool 014B","Total",6,3,3
"E01006702",2011,"Liverpool 014C","Total",15,8,7
"E01006703",2011,"Liverpool 014D","Total",5,2,3
"E01006705",2011,"Liverpool 009E","Total",5,3,2
"E01006706",2011,"Liverpool 045A","Total",2,1,1
"E01006707",2011,"Liverpool 045B","Total",2,0,2
"E01006708",2011,"Liverpool 045C","Total",10,5,5
"E01006709",2011,"Liverpool 040A","Total",5,3,2
"E01006710",2011,"Liverpool 045D","Total",8,3,5
"E01006711",2011,"Liverpool 027A","Total",11,7,4
"E01006712",2011,"Liverpool 029D","Total",5,1,4
"E01006713",2011,"Liverpool 029E","Total",4,3,1
"E01006716",2011,"Liverpool 032E","Total",2,1,1
"E01006717",2011,"Liverpool 027D","Total",10,9,1
"E01006718",2011,"Liverpool 027E","Total",13,8,5
"E01006719",2011,"Liverpool 027F","Total",8,4,4
"E01006720",2011,"Liverpool 035A","Total",12,7,5
"E01006721",2011,"Liverpool 038C","Total",11,5,6
"E01006722",2011,"Liverpool 038D","Total",28,11,17
"E01006723",2011,"Liverpool 038E","Total",10,5,5
"E01006724",2011,"Liverpool 038F","Total",23,12,11
"E01006725",2011,"Liverpool 035B","Total",9,4,5
"E01006726",2011,"Liverpool 035C","Total",6,5,1
"E01006727",2011,"Liverpool 035D","Total",11,7,4
"E01006728",2011,"Liverpool 035E","Total",3,1,2
"E01006729",2011,"Liverpool 008C","Total",2,1,1
"E01006730",2011,"Liverpool 011C","Total",6,3,3
"E01006731",2011,"Liverpool 011D","Total",0,0,0
"E01006732",2011,"Liverpool 011E","Total",3,2,1
"E01006734",2011,"Liverpool 005C","Total",4,3,1
"E01006735",2011,"Liverpool 005D","Total",4,1,3
"E01006736",2011,"Liverpool 005E","Total",7,5,2
"E01006737",2011,"Liverpool 005F","Total",7,5,2
"E01006738",2011,"Liverpool 058A","Total",3,2,1
"E01006739",2011,"Liverpool 058B","Total",4,2,2
"E01006740",2011,"Liverpool 057A","Total",7,4,3
"E01006741",2011,"Liverpool 058C","Total",3,3,0
"E01006742",2011,"Liverpool 057B","Total",8,4,4
"E01006743",2011,"Liverpool 058D","Total",4,1,3
"E01006744",2011,"Liverpool 057C","Total",11,4,7
"E01006745",2011,"Liverpool 057D","Total",6,0,6
"E01006746",2011,"Liverpool 030E","Total",7,1,6
"E01006747",2011,"Liverpool 031B","Total",72,30,42
"E01006748",2011,"Liverpool 031C","Total",11,7,4
"E01006751",2011,"Liverpool 031F","Total",28,15,13
"E01006752",2011,"Liverpool 035F","Total",1,1,0
"E01006753",2011,"Liverpool 059A","Total",2,0,2
"E01006754",2011,"Liverpool 059B","Total",6,3,3
"E01006755",2011,"Liverpool 059C","Total",10,3,7
"E01006756",2011,"Liverpool 059D","Total",4,4,0
"E01006757",2011,"Liverpool 059E","Total",3,3,0
"E01006758",2011,"Liverpool 059F","Total",6,2,4
"E01006759",2011,"Liverpool 028D","Total",11,4,7
"E01006760",2011,"Liverpool 028E","Total",3,2,1
"E01006761",2011,"Liverpool 020B","Total",5,4,1
"E01006762",2011,"Liverpool 015E","Total",9,5,4
"E01006763",2011,"Liverpool 020C","Total",2,1,1
"E01006764",2011,"Liverpool 020D","Total",3,1,2
"E01006765",2011,"Liverpool 020E","Total",3,2,1
"E01006766",2011,"Liverpool 019E","Total",9,5,4
"E01006767",2011,"Liverpool 019F","Total",4,2,2
"E01006768",2011,"Liverpool 020F","Total",14,9,5
"E01006769",2011,"Liverpool 040B","Total",5,2,3
"E01006770",2011,"Liverpool 040C","Total",2,1,1
"E01006771",2011,"Liverpool 040D","Total",3,2,1
"E01006772",2011,"Liverpool 040E","Total",9,4,5
"E01006773",2011,"Liverpool 036D","Total",9,3,6
"E01006774",2011,"Liverpool 036E","Total",10,4,6
"E01006775",2011,"Liverpool 040F","Total",4,4,0
"E01006776",2011,"Liverpool 022B","Total",2,1,1
"E01006778",2011,"Liverpool 014E","Total",12,5,7
"E01006779",2011,"Liverpool 022D","Total",5,2,3
"E01006780",2011,"Liverpool 002D","Total",8,2,6
"E01006781",2011,"Liverpool 003A","Total",13,6,7
"E01006782",2011,"Liverpool 003B","Total",5,3,2
"E01006783",2011,"Liverpool 002E","Total",6,2,4
"E01006784",2011,"Liverpool 003C","Total",7,2,5
"E01006785",2011,"Liverpool 003D","Total",8,4,4
"E01006786",2011,"Liverpool 003E","Total",9,3,6
"E01006787",2011,"Liverpool 006A","Total",1,0,1
"E01006788",2011,"Liverpool 006B","Total",7,1,6
"E01006790",2011,"Liverpool 006C","Total",1,1,0
"E01006791",2011,"Liverpool 006D","Total",1,1,0
"E01006792",2011,"Liverpool 046A","Total",29,12,17
"E01006793",2011,"Liverpool 051A","Total",14,7,7
"E01006794",2011,"Liverpool 046B","Total",16,10,6
"E01006795",2011,"Liverpool 051B","Total",22,9,13
"E01006796",2011,"Liverpool 047E","Total",46,19,27
"E01006797",2011,"Liverpool 051C","Total",8,3,5
"E01006798",2011,"Liverpool 051D","Total",18,10,8
"E01006799",2011,"Liverpool 051E","Total",9,4,5
"E01006800",2011,"Liverpool 046C","Total",10,4,6
"E01006801",2011,"Liverpool 046D","Total",12,5,7
"E01032505",2011,"Liverpool 050F","Total",9,7,2
"E01032506",2011,"Liverpool 050G","Total",2,1,1
"E01032507",2011,"Liverpool 050H","Total",5,3,2
"E01032508",2011,"Liverpool 027G","Total",12,5,7
"E01032509",2011,"Liverpool 027H","Total",6,2,4
"E01032510",2011,"Liverpool 008F","Total",5,3,2
"E01032511",2011,"Liverpool 008G","Total",4,2,2
"E01033747",2011,"Liverpool 018F","Total",0,0,0
"E01033748",2011,"Liverpool 050I","Total",4,3,1
"E01033749",2011,"Liverpool 042F","Total",11,5,6
"E01033750",2011,"Liverpool 061A","Total",3,2,1
"E01033751",2011,"Liverpool 062A","Total",43,24,19
"E01033752",2011,"Liverpool 062B","Total",3,2,1
"E01033753",2011,"Liverpool 062C","Total",2,0,2
"E01033754",2011,"Liverpool 061B","Total",8,5,3
"E01033755",2011,"Liverpool 062D","Total",5,4,1
"E01033756",2011,"Liverpool 061C","Total",13,7,6
"E01033757",2011,"Liverpool 037E","Total",15,4,11
"E01033758",2011,"Liverpool 060B","Total",47,22,25
"E01033759",2011,"Liverpool 010F","Total",5,1,4
"E01033760",2011,"Liverpool 060C","Total",40,18,22
"E01033761",2011,"Liverpool 060D","Total",5,3,2
"E01033762",2011,"Liverpool 060E","Total",47,25,22
"E01033763",2011,"Liverpool 031G","Total",9,5,4
"E01033764",2011,"Liverpool 022E","Total",5,0,5
"E01033765",2011,"Liverpool 061D","Total",9,4,5
"E01033766",2011,"Liverpool 042G","Total",6,0,6
"E01033767",2011,"Liverpool 050J","Total",4,4,0
"E01033768",2011,"Liverpool 037F","Total",1,0,1
