"lsoa11cd","date","lsoa11nm","Rural Urban","Multiple Ethnic Group: All categories: Multiple ethnic groups; measures: Value","Multiple Ethnic Group: One person household; measures: Value","Multiple Ethnic Group: All household members have the same ethnic group; measures: Value","Multiple Ethnic Group: Different ethnic groups between the generations only; measures: Value","Multiple Ethnic Group: Different ethnic groups within partnerships (whether or not different ethnic groups between generations); measures: Value","Multiple Ethnic Group: Any other combination of multiple ethnic groups; measures: Value"
"E01006653",2011,"Liverpool 001B","Total",656,203,437,6,9,1
"E01006654",2011,"Liverpool 005A","Total",627,217,395,7,7,1
"E01006655",2011,"Liverpool 001C","Total",706,194,476,16,13,7
"E01006656",2011,"Liverpool 002B","Total",669,222,431,2,11,3
"E01006657",2011,"Liverpool 002C","Total",582,236,328,5,10,3
"E01006658",2011,"Liverpool 001D","Total",634,254,360,9,10,1
"E01006659",2011,"Liverpool 005B","Total",548,264,273,6,3,2
"E01006660",2011,"Liverpool 001E","Total",616,226,371,5,11,3
"E01006661",2011,"Liverpool 004A","Total",749,269,456,11,10,3
"E01006662",2011,"Liverpool 004B","Total",785,333,435,7,9,1
"E01006663",2011,"Liverpool 004C","Total",510,175,327,4,4,0
"E01006664",2011,"Liverpool 004D","Total",822,327,464,14,14,3
"E01006665",2011,"Liverpool 007A","Total",630,180,427,10,10,3
"E01006666",2011,"Liverpool 007B","Total",514,84,396,12,20,2
"E01006667",2011,"Liverpool 007C","Total",618,188,398,6,18,8
"E01006668",2011,"Liverpool 007D","Total",590,119,441,7,18,5
"E01006669",2011,"Liverpool 004E","Total",551,123,400,7,16,5
"E01006670",2011,"Liverpool 007E","Total",607,133,449,4,18,3
"E01006671",2011,"Liverpool 013D","Total",499,115,355,11,13,5
"E01006672",2011,"Liverpool 010E","Total",798,238,532,12,15,1
"E01006673",2011,"Liverpool 037D","Total",954,482,307,89,38,38
"E01006674",2011,"Liverpool 039C","Total",826,400,304,67,36,19
"E01006675",2011,"Liverpool 043C","Total",1132,766,264,23,53,26
"E01006676",2011,"Liverpool 044D","Total",761,290,334,74,36,27
"E01006677",2011,"Liverpool 043D","Total",477,210,203,40,15,9
"E01006678",2011,"Liverpool 044E","Total",1059,513,450,51,34,11
"E01006679",2011,"Liverpool 039D","Total",920,392,360,85,54,29
"E01006680",2011,"Liverpool 053B","Total",605,140,432,5,27,1
"E01006681",2011,"Liverpool 054D","Total",719,276,406,11,25,1
"E01006682",2011,"Liverpool 053C","Total",498,96,363,6,32,1
"E01006683",2011,"Liverpool 053D","Total",594,136,419,5,28,6
"E01006684",2011,"Liverpool 056B","Total",999,361,573,14,43,8
"E01006685",2011,"Liverpool 056C","Total",604,181,378,9,26,10
"E01006686",2011,"Liverpool 053E","Total",531,122,370,11,23,5
"E01006687",2011,"Liverpool 056D","Total",933,391,470,12,48,12
"E01006688",2011,"Liverpool 056E","Total",712,282,383,6,34,7
"E01006689",2011,"Liverpool 049D","Total",717,228,441,8,33,7
"E01006690",2011,"Liverpool 028A","Total",801,436,314,20,16,15
"E01006691",2011,"Liverpool 030A","Total",647,247,313,36,20,31
"E01006692",2011,"Liverpool 028B","Total",989,400,509,25,28,27
"E01006693",2011,"Liverpool 024D","Total",838,463,346,12,14,3
"E01006694",2011,"Liverpool 030B","Total",891,375,436,32,31,17
"E01006695",2011,"Liverpool 028C","Total",1029,637,309,30,36,17
"E01006696",2011,"Liverpool 030C","Total",768,290,422,24,18,14
"E01006697",2011,"Liverpool 030D","Total",828,319,421,32,31,25
"E01006698",2011,"Liverpool 012D","Total",725,244,464,5,10,2
"E01006699",2011,"Liverpool 014A","Total",777,322,435,6,8,6
"E01006700",2011,"Liverpool 012E","Total",653,265,369,9,8,2
"E01006701",2011,"Liverpool 014B","Total",671,290,363,8,9,1
"E01006702",2011,"Liverpool 014C","Total",740,263,458,11,5,3
"E01006703",2011,"Liverpool 014D","Total",818,447,348,12,9,2
"E01006705",2011,"Liverpool 009E","Total",689,299,370,8,8,4
"E01006706",2011,"Liverpool 045A","Total",582,186,364,13,15,4
"E01006707",2011,"Liverpool 045B","Total",553,163,364,12,9,5
"E01006708",2011,"Liverpool 045C","Total",754,249,471,12,20,2
"E01006709",2011,"Liverpool 040A","Total",685,293,364,8,19,1
"E01006710",2011,"Liverpool 045D","Total",592,136,429,8,13,6
"E01006711",2011,"Liverpool 027A","Total",685,277,373,15,16,4
"E01006712",2011,"Liverpool 029D","Total",569,194,344,9,18,4
"E01006713",2011,"Liverpool 029E","Total",604,196,384,7,16,1
"E01006716",2011,"Liverpool 032E","Total",701,285,370,19,20,7
"E01006717",2011,"Liverpool 027D","Total",576,168,375,12,18,3
"E01006718",2011,"Liverpool 027E","Total",678,245,391,17,17,8
"E01006719",2011,"Liverpool 027F","Total",638,193,423,5,13,4
"E01006720",2011,"Liverpool 035A","Total",905,361,389,50,46,59
"E01006721",2011,"Liverpool 038C","Total",912,453,368,46,18,27
"E01006722",2011,"Liverpool 038D","Total",608,155,319,28,20,86
"E01006723",2011,"Liverpool 038E","Total",749,264,341,24,27,93
"E01006724",2011,"Liverpool 038F","Total",554,113,301,17,17,106
"E01006725",2011,"Liverpool 035B","Total",739,308,355,29,28,19
"E01006726",2011,"Liverpool 035C","Total",659,226,334,18,23,58
"E01006727",2011,"Liverpool 035D","Total",665,238,352,15,37,23
"E01006728",2011,"Liverpool 035E","Total",855,399,377,36,27,16
"E01006729",2011,"Liverpool 008C","Total",539,121,399,10,7,2
"E01006730",2011,"Liverpool 011C","Total",542,165,352,14,8,3
"E01006731",2011,"Liverpool 011D","Total",486,142,330,9,4,1
"E01006732",2011,"Liverpool 011E","Total",644,170,448,13,10,3
"E01006734",2011,"Liverpool 005C","Total",625,187,409,16,11,2
"E01006735",2011,"Liverpool 005D","Total",571,207,355,5,2,2
"E01006736",2011,"Liverpool 005E","Total",582,158,401,7,14,2
"E01006737",2011,"Liverpool 005F","Total",562,142,402,6,8,4
"E01006738",2011,"Liverpool 058A","Total",662,220,428,5,6,3
"E01006739",2011,"Liverpool 058B","Total",707,225,435,17,25,5
"E01006740",2011,"Liverpool 057A","Total",604,273,314,8,6,3
"E01006741",2011,"Liverpool 058C","Total",778,251,493,18,11,5
"E01006742",2011,"Liverpool 057B","Total",591,195,362,13,15,6
"E01006743",2011,"Liverpool 058D","Total",1008,385,566,20,25,12
"E01006744",2011,"Liverpool 057C","Total",739,321,383,8,21,6
"E01006745",2011,"Liverpool 057D","Total",907,407,442,28,21,9
"E01006746",2011,"Liverpool 030E","Total",655,216,368,18,17,36
"E01006747",2011,"Liverpool 031B","Total",857,460,302,6,15,74
"E01006748",2011,"Liverpool 031C","Total",756,239,386,14,12,105
"E01006751",2011,"Liverpool 031F","Total",831,301,436,42,23,29
"E01006752",2011,"Liverpool 035F","Total",489,232,204,16,24,13
"E01006753",2011,"Liverpool 059A","Total",666,211,434,16,4,1
"E01006754",2011,"Liverpool 059B","Total",781,322,412,23,13,11
"E01006755",2011,"Liverpool 059C","Total",690,257,400,18,11,4
"E01006756",2011,"Liverpool 059D","Total",757,220,492,27,16,2
"E01006757",2011,"Liverpool 059E","Total",621,203,390,11,13,4
"E01006758",2011,"Liverpool 059F","Total",639,199,408,14,16,2
"E01006759",2011,"Liverpool 028D","Total",460,180,245,9,19,7
"E01006760",2011,"Liverpool 028E","Total",826,498,279,10,14,25
"E01006761",2011,"Liverpool 020B","Total",793,383,368,16,21,5
"E01006762",2011,"Liverpool 015E","Total",725,226,475,8,14,2
"E01006763",2011,"Liverpool 020C","Total",652,217,412,5,15,3
"E01006764",2011,"Liverpool 020D","Total",667,259,363,15,18,12
"E01006765",2011,"Liverpool 020E","Total",659,243,385,9,17,5
"E01006766",2011,"Liverpool 019E","Total",574,232,300,18,17,7
"E01006767",2011,"Liverpool 019F","Total",779,294,440,18,17,10
"E01006768",2011,"Liverpool 020F","Total",587,234,312,12,19,10
"E01006769",2011,"Liverpool 040B","Total",712,401,285,13,12,1
"E01006770",2011,"Liverpool 040C","Total",445,160,258,15,10,2
"E01006771",2011,"Liverpool 040D","Total",694,296,378,10,8,2
