"lsoa11cd","date","lsoa11nm","Rural Urban","Variable: All usual residents; measures: Value","Variable: Males; measures: Value","Variable: Females; measures: Value","Variable: Lives in a household; measures: Value","Variable: Lives in a communal establishment; measures: Value","Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value","Variable: Area (Hectares); measures: Value","Variable: Density (number of persons per hectare); measures: Value"
"E01006683",2011,"Liverpool 053D","Total",1510,718,792,1507,3,23,25.91,58.3
"E01006684",2011,"Liverpool 056B","Total",2138,1048,1090,2113,25,28,62.84,34
"E01006685",2011,"Liverpool 056C","Total",1484,689,795,1426,58,18,29.11,51
"E01006686",2011,"Liverpool 053E","Total",1433,696,737,1429,4,18,19.14,74.9
"E01006687",2011,"Liverpool 056D","Total",1952,1031,921,1896,56,41,85.59,22.8
"E01006688",2011,"Liverpool 056E","Total",1524,744,780,1520,4,14,25.09,60.7
"E01006689",2011,"Liverpool 049D","Total",1651,793,858,1651,0,22,42.74,38.6
"E01006690",2011,"Liverpool 028A","Total",1492,782,710,1457,35,14,79.9,18.7
"E01006691",2011,"Liverpool 030A","Total",1503,787,716,1488,15,12,18.92,79.4
"E01006692",2011,"Liverpool 028B","Total",2180,1102,1078,2180,0,15,53.5,40.7
"E01006693",2011,"Liverpool 024D","Total",1511,783,728,1508,3,4,30.89,48.9
"E01006694",2011,"Liverpool 030B","Total",1864,949,915,1864,0,6,13.15,141.7
"E01006695",2011,"Liverpool 028C","Total",1821,1045,776,1814,7,11,16.14,112.8
"E01006696",2011,"Liverpool 030C","Total",1744,856,888,1744,0,9,20.77,84
"E01006697",2011,"Liverpool 030D","Total",1845,958,887,1843,2,3,12.79,144.3
"E01006698",2011,"Liverpool 012D","Total",1716,826,890,1716,0,7,13.51,127
"E01006699",2011,"Liverpool 014A","Total",1594,817,777,1581,13,1,19.64,81.2
"E01006700",2011,"Liverpool 012E","Total",1438,705,733,1410,28,8,14.63,98.3
"E01006701",2011,"Liverpool 014B","Total",1380,693,687,1380,0,6,25.01,55.2
"E01006702",2011,"Liverpool 014C","Total",1618,783,835,1596,22,15,19.55,82.8
"E01006703",2011,"Liverpool 014D","Total",1561,835,726,1527,34,5,25.73,60.7
"E01006705",2011,"Liverpool 009E","Total",1409,724,685,1409,0,5,13.4,105.1
"E01006706",2011,"Liverpool 045A","Total",1346,623,723,1346,0,2,59,22.8
"E01006707",2011,"Liverpool 045B","Total",1323,598,725,1294,29,2,62.87,21
"E01006708",2011,"Liverpool 045C","Total",1805,837,968,1757,48,10,118.61,15.2
"E01006709",2011,"Liverpool 040A","Total",1438,739,699,1438,0,5,24.13,59.6
"E01006710",2011,"Liverpool 045D","Total",1496,683,813,1490,6,8,22.82,65.6
"E01006711",2011,"Liverpool 027A","Total",1538,761,777,1500,38,11,62.76,24.5
"E01006712",2011,"Liverpool 029D","Total",1339,615,724,1303,36,5,11.84,113.1
"E01006713",2011,"Liverpool 029E","Total",1377,645,732,1375,2,4,9.95,138.4
"E01006716",2011,"Liverpool 032E","Total",1589,773,816,1454,135,2,27.78,57.2
"E01006717",2011,"Liverpool 027D","Total",1436,719,717,1436,0,10,15.64,91.8
"E01006718",2011,"Liverpool 027E","Total",1587,796,791,1584,3,13,15.27,103.9
"E01006719",2011,"Liverpool 027F","Total",1535,744,791,1535,0,8,17.71,86.7
"E01006720",2011,"Liverpool 035A","Total",2108,1074,1034,2108,0,12,53.47,39.4
"E01006721",2011,"Liverpool 038C","Total",1655,805,850,1655,0,11,19.41,85.3
"E01006722",2011,"Liverpool 038D","Total",1793,937,856,1793,0,28,10.3,174.1
"E01006723",2011,"Liverpool 038E","Total",1875,966,909,1862,13,10,12.4,151.2
"E01006724",2011,"Liverpool 038F","Total",1790,910,880,1783,7,23,28.09,63.7
"E01006725",2011,"Liverpool 035B","Total",1537,786,751,1537,0,9,26.66,57.7
"E01006726",2011,"Liverpool 035C","Total",1565,758,807,1565,0,6,9.07,172.5
"E01006727",2011,"Liverpool 035D","Total",1441,749,692,1438,3,11,9.65,149.3
"E01006728",2011,"Liverpool 035E","Total",1623,785,838,1620,3,3,10.91,148.8
"E01006729",2011,"Liverpool 008C","Total",1400,641,759,1400,0,2,17.01,82.3
"E01006730",2011,"Liverpool 011C","Total",1326,618,708,1323,3,6,22.95,57.8
"E01006731",2011,"Liverpool 011D","Total",1196,554,642,1196,0,0,17.26,69.3
"E01006732",2011,"Liverpool 011E","Total",1643,676,967,1643,0,3,18.39,89.3
"E01006734",2011,"Liverpool 005C","Total",1412,667,745,1412,0,4,17,83.1
"E01006735",2011,"Liverpool 005D","Total",1309,612,697,1309,0,4,18.01,72.7
"E01006736",2011,"Liverpool 005E","Total",1460,683,777,1460,0,7,26.52,55.1
"E01006737",2011,"Liverpool 005F","Total",1435,664,771,1435,0,7,18.07,79.4
"E01006738",2011,"Liverpool 058A","Total",1501,669,832,1501,0,3,15.87,94.6
"E01006739",2011,"Liverpool 058B","Total",1769,840,929,1738,31,4,543.01,3.3
"E01006740",2011,"Liverpool 057A","Total",1280,679,601,1280,0,7,91.93,13.9
"E01006741",2011,"Liverpool 058C","Total",1815,877,938,1815,0,3,157.09,11.6
"E01006742",2011,"Liverpool 057B","Total",1394,693,701,1394,0,8,31.83,43.8
"E01006743",2011,"Liverpool 058D","Total",2175,1066,1109,2175,0,4,173.65,12.5
"E01006744",2011,"Liverpool 057C","Total",1482,720,762,1482,0,11,14.4,102.9
"E01006745",2011,"Liverpool 057D","Total",1879,958,921,1854,25,6,38.7,48.6
"E01006746",2011,"Liverpool 030E","Total",1513,735,778,1506,7,7,21.79,69.4
"E01006747",2011,"Liverpool 031B","Total",3552,1636,1916,1655,1897,72,50.21,70.7
"E01006748",2011,"Liverpool 031C","Total",1936,1034,902,1936,0,11,16.17,119.7
"E01006751",2011,"Liverpool 031F","Total",2572,1229,1343,2043,529,28,47.69,53.9
"E01006752",2011,"Liverpool 035F","Total",1012,545,467,1012,0,1,19.91,50.8
"E01006753",2011,"Liverpool 059A","Total",1557,716,841,1557,0,2,29.38,53
"E01006754",2011,"Liverpool 059B","Total",1627,778,849,1627,0,6,47.04,34.6
"E01006755",2011,"Liverpool 059C","Total",1587,721,866,1552,35,10,51.05,31.1
"E01006756",2011,"Liverpool 059D","Total",1820,835,985,1820,0,4,33.09,55
"E01006757",2011,"Liverpool 059E","Total",1491,695,796,1491,0,3,28.55,52.2
"E01006758",2011,"Liverpool 059F","Total",1527,701,826,1527,0,6,24.29,62.9
"E01006759",2011,"Liverpool 028D","Total",1095,571,524,1052,43,11,59.94,18.3
"E01006760",2011,"Liverpool 028E","Total",1611,999,612,1548,63,3,22.97,70.1
"E01006761",2011,"Liverpool 020B","Total",1644,864,780,1583,61,5,36.69,44.8
"E01006762",2011,"Liverpool 015E","Total",1692,789,903,1692,0,9,26.63,63.5
"E01006763",2011,"Liverpool 020C","Total",1471,737,734,1471,0,2,12,122.6
"E01006764",2011,"Liverpool 020D","Total",1522,771,751,1522,0,3,14.85,102.5
"E01006765",2011,"Liverpool 020E","Total",1468,693,775,1468,0,3,15.76,93.1
"E01006766",2011,"Liverpool 019E","Total",1266,614,652,1265,1,9,12.81,98.8
"E01006767",2011,"Liverpool 019F","Total",1787,898,889,1784,3,4,25.85,69.1
"E01006768",2011,"Liverpool 020F","Total",1359,741,618,1347,12,14,27.82,48.8
"E01006769",2011,"Liverpool 040B","Total",1270,630,640,1270,0,5,30.85,41.2
"E01006770",2011,"Liverpool 040C","Total",1002,459,543,1002,0,2,22.88,43.8
"E01006771",2011,"Liverpool 040D","Total",1425,630,795,1425,0,3,49.88,28.6
"E01006772",2011,"Liverpool 040E","Total",1091,520,571,1081,10,9,30.4,35.9
"E01006773",2011,"Liverpool 036D","Total",1379,694,685,1378,1,9,23.47,58.8
"E01006774",2011,"Liverpool 036E","Total",1445,699,746,1445,0,10,24.54,58.9
"E01006775",2011,"Liverpool 040F","Total",1319,593,726,1302,17,4,25.86,51
"E01006776",2011,"Liverpool 022B","Total",1677,813,864,1646,31,2,218.27,7.7
"E01006778",2011,"Liverpool 014E","Total",2205,1094,1111,2205,0,12,150.32,14.7
"E01006779",2011,"Liverpool 022D","Total",1968,893,1075,1934,34,5,41.44,47.5
"E01006780",2011,"Liverpool 002D","Total",1465,705,760,1465,0,8,18.03,81.3
"E01006781",2011,"Liverpool 003A","Total",1470,708,762,1469,1,13,17,86.5
"E01006782",2011,"Liverpool 003B","Total",1560,777,783,1541,19,5,14.56,107.1
"E01006783",2011,"Liverpool 002E","Total",1548,759,789,1548,0,6,25.11,61.6
"E01006784",2011,"Liverpool 003C","Total",1347,685,662,1344,3,7,11.38,118.4
"E01006785",2011,"Liverpool 003D","Total",1769,875,894,1769,0,8,50.25,35.2
"E01006786",2011,"Liverpool 003E","Total",1820,937,883,1820,0,9,30.81,59.1
"E01006787",2011,"Liverpool 006A","Total",2330,1673,657,1534,796,1,35.25,66.1
"E01006788",2011,"Liverpool 006B","Total",1825,902,923,1825,0,7,16.87,108.2
"E01006790",2011,"Liverpool 006C","Total",1587,747,840,1587,0,1,24.12,65.8
"E01006791",2011,"Liverpool 006D","Total",1674,884,790,1674,0,1,29.91,56
"E01006792",2011,"Liverpool 046A","Total",1368,668,700,1364,4,29,56.81,24.1
"E01006793",2011,"Liverpool 051A","Total",1494,726,768,1494,0,14,28.37,52.7
"E01006794",2011,"Liverpool 046B","Total",1593,764,829,1590,3,16,45.54,35
"E01006795",2011,"Liverpool 051B","Total",1407,687,720,1407,0,22,33.51,42
"E01006796",2011,"Liverpool 047E","Total",1591,789,802,1586,5,46,62.27,25.6
"E01006797",2011,"Liverpool 051C","Total",1499,730,769,1499,0,8,22.13,67.7
"E01006798",2011,"Liverpool 051D","Total",1410,685,725,1410,0,18,28.03,50.3
"E01006799",2011,"Liverpool 051E","Total",1821,880,941,1796,25,9,25.88,70.4
"E01006800",2011,"Liverpool 046C","Total",1401,707,694,1401,0,10,39.4,35.6
"E01006801",2011,"Liverpool 046D","Total",1355,639,716,1344,11,12,32.45,41.8
"E01032505",2011,"Liverpool 050F","Total",1317,623,694,1315,2,9,48.05,27.4
"E01032506",2011,"Liverpool 050G","Total",1403,736,667,1344,59,2,14.74,95.2
"E01032507",2011,"Liverpool 050H","Total",1539,735,804,1539,0,5,9.24,166.6
"E01032508",2011,"Liverpool 027G","Total",1723,837,886,1723,0,12,31.68,54.4
"E01032509",2011,"Liverpool 027H","Total",1434,671,763,1432,2,6,20.38,70.4
"E01032510",2011,"Liverpool 008F","Total",1809,879,930,1809,0,5,36.04,50.2
"E01032511",2011,"Liverpool 008G","Total",1378,676,702,1378,0,4,64.85,21.2
"E01033747",2011,"Liverpool 018F","Total",1043,484,559,1035,8,0,25.23,41.3
"E01033748",2011,"Liverpool 050I","Total",1277,705,572,1276,1,4,48.36,26.4
"E01033749",2011,"Liverpool 042F","Total",1153,609,544,1151,2,11,20.27,56.9
"E01033750",2011,"Liverpool 061A","Total",1448,895,553,1448,0,3,49.36,29.3
"E01033751",2011,"Liverpool 062A","Total",1873,1044,829,1039,834,43,59.75,31.3
"E01033752",2011,"Liverpool 062B","Total",1196,740,456,1195,1,3,38.54,31
"E01033753",2011,"Liverpool 062C","Total",1051,690,361,1051,0,2,23.09,45.5
"E01033754",2011,"Liverpool 061B","Total",1452,784,668,1448,4,8,32.33,44.9
"E01033755",2011,"Liverpool 062D","Total",1082,643,439,1082,0,5,9.01,120.1
"E01033756",2011,"Liverpool 061C","Total",1185,737,448,1136,49,13,46.64,25.4
"E01033757",2011,"Liverpool 037E","Total",1025,593,432,1015,10,15,7.48,137
"E01033758",2011,"Liverpool 060B","Total",1730,883,847,703,1027,47,25.42,68.1
"E01033759",2011,"Liverpool 010F","Total",1147,532,615,1147,0,5,49.09,23.4
"E01033760",2011,"Liverpool 060C","Total",2115,1042,1073,856,1259,40,37.18,56.9
"E01033761",2011,"Liverpool 060D","Total",1372,843,529,1340,32,5,12.49,109.8
"E01033762",2011,"Liverpool 060E","Total",1791,943,848,722,1069,47,16.72,107.1
"E01033763",2011,"Liverpool 031G","Total",1527,823,704,1471,56,9,31.98,47.7
"E01033764",2011,"Liverpool 022E","Total",2202,1130,1072,2191,11,5,82.69,26.6
"E01033765",2011,"Liverpool 061D","Total",1351,656,695,1351,0,9,34.34,39.3
"E01033766",2011,"Liverpool 042G","Total",1075,558,517,1072,3,6,6.29,170.9
"E01033767",2011,"Liverpool 050J","Total",1067,511,556,1067,0,4,7.58,140.8
"E01033768",2011,"Liverpool 037F","Total",1223,744,479,1219,4,1,10.57,115.7
