"lsoa11cd","date","lsoa11nm","Rural Urban","Economic Activity: All categories: Economic activity; measures: Value","Economic Activity: Economically active: Total; measures: Value","Economic Activity: Economically active: Employee: Part-time; measures: Value","Economic Activity: Economically active: Employee: Full-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Full-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Full-time; measures: Value","Economic Activity: Economically active: Unemployed; measures: Value","Economic Activity: Economically active: Full-time student; measures: Value","Economic Activity: Economically inactive: Total; measures: Value","Economic Activity: Economically inactive: Retired; measures: Value","Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Economic Activity: Economically inactive: Looking after home or family; measures: Value","Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Economic Activity: Economically inactive: Other; measures: Value"
"E01006612",2011,"Liverpool 008B","Total",740,386,91,196,1,4,8,15,66,5,354,197,4,37,94,22
"E01006613",2011,"Liverpool 009D","Total",611,295,62,158,2,4,8,26,32,3,316,194,4,19,86,13
"E01006614",2011,"Liverpool 012B","Total",667,409,87,215,0,4,6,22,67,8,258,139,10,27,58,24
"E01006615",2011,"Liverpool 012C","Total",663,419,94,227,0,9,4,21,54,10,244,126,4,29,62,23
"E01006616",2011,"Liverpool 015D","Total",613,339,52,223,2,8,3,31,19,1,274,186,1,18,57,12
"E01006617",2011,"Liverpool 021A","Total",650,461,64,299,3,19,8,45,18,5,189,143,3,5,29,9
"E01006618",2011,"Liverpool 016C","Total",692,357,79,224,2,5,8,22,15,2,335,261,6,11,45,12
"E01006619",2011,"Liverpool 021B","Total",734,473,74,288,3,15,15,41,23,14,261,197,2,11,34,17
"E01006620",2011,"Liverpool 021C","Total",625,327,47,194,3,14,6,40,21,2,298,248,2,7,33,8
"E01006621",2011,"Liverpool 021D","Total",584,361,48,198,1,41,10,49,6,8,223,199,2,3,17,2
"E01006622",2011,"Liverpool 021E","Total",586,387,41,274,4,18,12,30,6,2,199,184,0,4,9,2
"E01006623",2011,"Liverpool 013A","Total",527,377,49,238,4,29,14,35,6,2,150,129,1,3,14,3
"E01006624",2011,"Liverpool 013B","Total",702,432,77,245,1,15,8,37,41,8,270,173,2,10,64,21
"E01006625",2011,"Liverpool 016D","Total",609,374,56,245,1,11,11,36,11,3,235,205,0,10,14,6
"E01006626",2011,"Liverpool 016E","Total",593,358,46,248,1,9,4,36,11,3,235,198,1,7,24,5
"E01006627",2011,"Liverpool 013C","Total",600,376,62,245,3,5,8,28,22,3,224,170,1,10,28,15
"E01006628",2011,"Liverpool 052D","Total",651,460,59,302,4,24,13,30,20,8,191,143,4,12,23,9
"E01006629",2011,"Liverpool 052E","Total",573,355,42,244,2,7,11,25,20,4,218,165,4,5,35,9
"E01006630",2011,"Liverpool 044B","Total",555,291,79,131,3,3,0,15,56,4,264,100,4,27,109,24
"E01006632",2011,"Liverpool 044C","Total",884,515,89,281,2,5,10,32,86,10,369,178,18,42,96,35
"E01006633",2011,"Liverpool 050B","Total",699,300,70,168,1,4,5,7,41,4,399,205,6,36,115,37
"E01006637",2011,"Liverpool 017A","Total",670,401,90,201,2,6,5,22,62,13,269,114,9,51,67,28
"E01006638",2011,"Liverpool 017B","Total",518,259,74,122,0,0,5,9,39,10,259,139,4,35,63,18
"E01006639",2011,"Liverpool 017C","Total",640,437,67,271,2,14,13,38,29,3,203,134,2,21,34,12
"E01006640",2011,"Liverpool 021F","Total",760,503,86,312,2,14,7,48,30,4,257,189,2,7,42,17
"E01006641",2011,"Liverpool 025C","Total",633,551,79,389,4,14,12,35,14,4,82,40,4,11,21,6
"E01006642",2011,"Liverpool 025D","Total",590,326,83,160,2,9,9,11,49,3,264,136,6,31,65,26
"E01006643",2011,"Liverpool 025E","Total",740,447,96,258,0,6,13,28,38,8,293,137,14,36,78,28
"E01006644",2011,"Liverpool 017D","Total",963,583,98,366,1,4,4,41,63,6,380,210,6,36,103,25
"E01006645",2011,"Liverpool 017E","Total",690,306,75,149,4,2,5,11,57,3,384,222,11,33,89,29
"E01006646",2011,"Liverpool 023C","Total",1006,571,71,357,2,17,9,17,63,35,435,167,58,22,134,54
"E01006647",2011,"Liverpool 024C","Total",636,262,70,121,0,1,5,8,50,7,374,166,6,45,123,34
"E01006648",2011,"Liverpool 023D","Total",1075,620,98,383,3,7,3,34,45,47,455,227,39,27,137,25
"E01006651",2011,"Liverpool 001A","Total",592,503,51,359,2,19,11,44,12,5,89,66,1,9,12,1
"E01006652",2011,"Liverpool 002A","Total",633,442,64,295,1,4,17,30,25,6,191,139,4,13,27,8
"E01006653",2011,"Liverpool 001B","Total",656,365,50,243,2,10,8,25,24,3,291,170,5,24,76,16
"E01006654",2011,"Liverpool 005A","Total",627,409,54,281,0,12,7,27,21,7,218,154,3,15,42,4
"E01006655",2011,"Liverpool 001C","Total",706,423,66,280,0,9,7,31,28,2,283,191,3,19,50,20
"E01006656",2011,"Liverpool 002B","Total",669,456,60,317,2,6,11,25,28,7,213,138,5,19,38,13
"E01006657",2011,"Liverpool 002C","Total",582,360,52,241,4,6,5,18,32,2,222,139,2,18,49,14
"E01006658",2011,"Liverpool 001D","Total",634,330,95,169,0,5,4,19,31,7,304,175,3,14,90,22
"E01006659",2011,"Liverpool 005B","Total",548,299,47,186,1,2,2,20,33,8,249,131,5,20,72,21
"E01006660",2011,"Liverpool 001E","Total",616,339,77,199,2,6,5,28,20,2,277,178,2,12,75,10
"E01006661",2011,"Liverpool 004A","Total",749,344,73,197,0,4,2,22,43,3,405,229,4,43,94,35
"E01006662",2011,"Liverpool 004B","Total",785,390,77,223,3,2,6,32,38,9,395,254,3,32,84,22
"E01006663",2011,"Liverpool 004C","Total",510,309,59,206,1,6,5,13,18,1,201,112,1,17,54,17
"E01006664",2011,"Liverpool 004D","Total",822,450,80,247,2,8,10,32,69,2,372,217,1,30,95,29
"E01006665",2011,"Liverpool 007A","Total",630,507,71,351,0,19,6,42,14,4,123,85,1,4,22,11
"E01006666",2011,"Liverpool 007B","Total",514,424,41,310,1,18,10,33,11,0,90,63,3,8,14,2
"E01006667",2011,"Liverpool 007C","Total",618,390,61,250,0,11,12,32,21,3,228,143,3,21,47,14
"E01006668",2011,"Liverpool 007D","Total",590,486,67,322,3,25,9,43,12,5,104,79,3,6,10,6
"E01006669",2011,"Liverpool 004E","Total",551,439,40,289,2,21,8,47,24,8,112,69,5,5,27,6
"E01006670",2011,"Liverpool 007E","Total",607,455,57,307,1,19,16,30,21,4,152,115,0,12,23,2
"E01006671",2011,"Liverpool 013D","Total",499,332,47,207,2,27,5,24,17,3,167,116,3,11,25,12
"E01006672",2011,"Liverpool 010E","Total",798,468,95,255,0,11,5,26,67,9,330,171,4,52,82,21
"E01006673",2011,"Liverpool 037D","Total",954,568,104,255,3,13,12,28,98,55,386,165,42,31,99,49
"E01006674",2011,"Liverpool 039C","Total",826,413,96,171,1,15,8,22,86,14,413,166,24,52,135,36
"E01006675",2011,"Liverpool 043C","Total",1132,818,119,431,6,12,23,65,114,48,314,94,34,9,128,49
"E01006676",2011,"Liverpool 044D","Total",761,406,86,175,5,13,10,27,69,21,355,145,22,40,105,43
"E01006677",2011,"Liverpool 043D","Total",477,239,70,84,3,7,7,13,42,13,238,81,10,33,82,32
"E01006678",2011,"Liverpool 044E","Total",1059,531,97,273,5,7,3,41,84,21,528,239,39,34,184,32
"E01006679",2011,"Liverpool 039D","Total",920,495,99,146,2,10,19,32,139,48,425,164,52,44,116,49
"E01006680",2011,"Liverpool 053B","Total",605,385,53,268,1,18,8,30,6,1,220,199,2,6,9,4
"E01006681",2011,"Liverpool 054D","Total",719,414,60,260,2,11,12,33,29,7,305,211,3,17,66,8
"E01006682",2011,"Liverpool 053C","Total",498,327,34,240,0,13,9,27,3,1,171,158,0,4,5,4
"E01006683",2011,"Liverpool 053D","Total",594,385,50,276,2,11,9,31,3,3,209,190,1,4,9,5
"E01006684",2011,"Liverpool 056B","Total",999,752,76,546,5,35,17,44,23,6,247,211,7,3,12,14
"E01006685",2011,"Liverpool 056C","Total",604,385,35,258,2,19,8,40,11,12,219,187,5,6,14,7
"E01006686",2011,"Liverpool 053E","Total",531,335,41,250,1,8,2,25,4,4,196,180,1,5,4,6
"E01006687",2011,"Liverpool 056D","Total",933,622,53,387,4,50,23,59,40,6,311,239,3,6,37,26
"E01006688",2011,"Liverpool 056E","Total",712,465,70,292,1,15,14,37,30,6,247,194,6,8,30,9
"E01006689",2011,"Liverpool 049D","Total",717,481,53,342,1,15,9,43,13,5,236,201,2,0,23,10
"E01006690",2011,"Liverpool 028A","Total",801,522,88,250,1,4,15,30,100,34,279,104,28,31,85,31
"E01006691",2011,"Liverpool 030A","Total",647,398,79,181,1,10,11,18,64,34,249,110,12,38,56,33
"E01006692",2011,"Liverpool 028B","Total",989,595,103,321,1,15,10,47,89,9,394,191,22,36,118,27
"E01006693",2011,"Liverpool 024D","Total",838,380,87,189,2,9,3,24,60,6,458,278,6,19,132,23
"E01006694",2011,"Liverpool 030B","Total",891,585,120,281,2,11,12,9,109,41,306,118,15,37,81,55
"E01006695",2011,"Liverpool 028C","Total",1029,637,111,288,4,8,4,35,155,32,392,95,55,17,182,43
"E01006696",2011,"Liverpool 030C","Total",768,427,78,241,3,5,6,20,45,29,341,151,22,34,104,30
"E01006697",2011,"Liverpool 030D","Total",828,499,101,234,3,13,12,27,84,25,329,131,17,44,71,66
"E01006698",2011,"Liverpool 012D","Total",725,468,84,293,0,8,9,25,40,9,257,141,3,42,60,11
"E01006699",2011,"Liverpool 014A","Total",777,404,104,188,3,7,5,14,78,5,373,167,9,39,118,40
"E01006700",2011,"Liverpool 012E","Total",653,380,72,206,1,9,8,30,47,7,273,133,1,27,85,27
"E01006701",2011,"Liverpool 014B","Total",671,384,86,215,0,10,3,21,42,7,287,158,5,17,86,21
"E01006702",2011,"Liverpool 014C","Total",740,402,101,199,3,5,7,19,56,12,338,162,3,46,97,30
"E01006703",2011,"Liverpool 014D","Total",818,408,74,236,3,3,5,9,69,9,410,210,6,27,130,37
"E01006705",2011,"Liverpool 009E","Total",689,468,79,267,1,4,4,36,69,8,221,108,11,23,59,20
"E01006706",2011,"Liverpool 045A","Total",582,270,83,124,0,8,10,7,33,5,312,177,4,23,87,21
"E01006707",2011,"Liverpool 045B","Total",553,239,57,132,1,4,3,8,32,2,314,202,5,20,64,23
"E01006708",2011,"Liverpool 045C","Total",754,439,74,290,1,5,10,38,17,4,315,189,9,22,71,24
"E01006709",2011,"Liverpool 040A","Total",685,368,66,228,1,5,5,24,35,4,317,197,7,15,86,12
"E01006710",2011,"Liverpool 045D","Total",592,386,88,237,1,5,1,20,32,2,206,137,6,25,32,6
"E01006711",2011,"Liverpool 027A","Total",685,423,81,241,3,11,4,29,47,7,262,141,6,25,60,30
"E01006712",2011,"Liverpool 029D","Total",569,386,61,246,0,6,8,21,41,3,183,122,5,14,36,6
"E01006713",2011,"Liverpool 029E","Total",604,388,80,257,0,8,3,18,22,0,216,164,2,10,28,12
"E01006716",2011,"Liverpool 032E","Total",701,461,83,283,1,11,7,33,35,8,240,109,3,31,72,25
"E01006717",2011,"Liverpool 027D","Total",576,392,67,241,2,10,7,28,33,4,184,140,3,9,27,5
"E01006718",2011,"Liverpool 027E","Total",678,423,72,279,3,2,5,24,35,3,255,169,7,15,55,9
"E01006719",2011,"Liverpool 027F","Total",638,415,90,256,0,8,15,25,19,2,223,156,11,17,30,9
"E01006720",2011,"Liverpool 035A","Total",905,594,101,268,6,12,16,30,95,66,311,112,54,42,79,24
"E01006721",2011,"Liverpool 038C","Total",912,538,106,263,1,5,8,25,84,46,374,169,37,36,97,35
"E01006722",2011,"Liverpool 038D","Total",608,444,54,183,3,8,7,30,22,137,164,75,42,6,29,12
"E01006723",2011,"Liverpool 038E","Total",749,467,67,212,0,7,8,20,56,97,282,122,69,8,68,15
"E01006724",2011,"Liverpool 038F","Total",554,406,54,176,1,7,5,24,18,121,148,78,44,5,13,8
"E01006725",2011,"Liverpool 035B","Total",739,462,73,268,3,5,15,23,46,29,277,162,10,17,67,21
"E01006726",2011,"Liverpool 035C","Total",659,437,77,224,2,4,6,26,36,62,222,93,26,31,56,16
"E01006727",2011,"Liverpool 035D","Total",665,472,70,289,1,5,14,39,37,17,193,109,8,19,41,16
"E01006728",2011,"Liverpool 035E","Total",855,504,95,281,3,2,4,26,63,30,351,159,22,36,95,39
"E01006729",2011,"Liverpool 008C","Total",539,312,102,144,1,2,5,15,38,5,227,130,6,29,45,17
"E01006730",2011,"Liverpool 011C","Total",542,275,56,162,1,2,5,14,29,6,267,158,4,38,53,14
"E01006731",2011,"Liverpool 011D","Total",486,265,53,148,0,3,5,13,41,2,221,130,4,23,46,18
"E01006732",2011,"Liverpool 011E","Total",644,320,106,144,1,3,3,10,48,5,324,152,10,59,76,27
"E01006734",2011,"Liverpool 005C","Total",625,340,96,146,2,7,5,9,66,9,285,158,6,44,63,14
"E01006735",2011,"Liverpool 005D","Total",571,293,74,153,1,5,4,13,37,6,278,153,4,31,75,15
"E01006736",2011,"Liverpool 005E","Total",582,333,63,199,2,2,2,15,47,3,249,135,4,33,56,21
"E01006737",2011,"Liverpool 005F","Total",562,320,65,191,1,1,5,17,37,3,242,144,7,26,53,12
"E01006738",2011,"Liverpool 058A","Total",662,361,91,200,1,3,8,19,35,4,301,158,3,44,75,21
"E01006739",2011,"Liverpool 058B","Total",707,397,86,233,1,2,3,15,51,6,310,156,4,38,99,13
"E01006740",2011,"Liverpool 057A","Total",604,299,63,153,2,2,1,13,63,2,305,151,3,28,113,10
"E01006741",2011,"Liverpool 058C","Total",778,418,86,264,0,2,3,14,47,2,360,211,3,30,94,22
"E01006742",2011,"Liverpool 057B","Total",591,382,74,255,1,6,2,24,16,4,209,138,8,11,43,9
"E01006743",2011,"Liverpool 058D","Total",1008,691,107,458,3,16,11,39,49,8,317,182,12,36,68,19
"E01006744",2011,"Liverpool 057C","Total",739,503,87,329,0,6,9,31,40,1,236,152,7,19,43,15
"E01006745",2011,"Liverpool 057D","Total",907,630,121,358,0,14,15,35,79,8,277,132,10,33,85,17
"E01006746",2011,"Liverpool 030E","Total",655,313,65,115,1,8,6,16,39,63,342,188,25,16,78,35
"E01006747",2011,"Liverpool 031B","Total",857,472,71,215,3,5,7,25,36,110,385,113,171,8,71,22
"E01006748",2011,"Liverpool 031C","Total",756,445,80,157,1,2,2,19,48,136,311,130,115,10,44,12
"E01006751",2011,"Liverpool 031F","Total",831,361,87,152,3,8,6,12,37,56,470,227,80,26,102,35
"E01006752",2011,"Liverpool 035F","Total",489,288,58,138,0,6,6,22,48,10,201,100,27,12,44,18
"E01006753",2011,"Liverpool 059A","Total",666,364,76,200,1,3,5,18,54,7,302,152,6,57,57,30
"E01006754",2011,"Liverpool 059B","Total",781,416,89,223,3,6,5,21,64,5,365,202,7,26,112,18
"E01006755",2011,"Liverpool 059C","Total",690,363,80,174,2,6,9,14,76,2,327,123,5,57,118,24
"E01006756",2011,"Liverpool 059D","Total",757,436,102,214,4,13,8,17,75,3,321,147,5,56,84,29
"E01006757",2011,"Liverpool 059E","Total",621,354,75,187,3,6,9,15,57,2,267,124,5,49,64,25
"E01006758",2011,"Liverpool 059F","Total",639,366,70,230,0,4,3,15,43,1,273,143,6,40,65,19
"E01006759",2011,"Liverpool 028D","Total",460,315,46,181,2,6,15,26,34,5,145,82,6,11,29,17
"E01006760",2011,"Liverpool 028E","Total",826,510,71,291,1,3,14,24,89,17,316,110,29,9,136,32
"E01006761",2011,"Liverpool 020B","Total",793,469,85,252,0,10,11,28,70,13,324,172,7,27,101,17
"E01006762",2011,"Liverpool 015E","Total",725,412,92,222,0,7,12,26,50,3,313,188,7,23,77,18
"E01006763",2011,"Liverpool 020C","Total",652,408,83,237,1,7,7,32,39,2,244,143,9,23,45,24
"E01006764",2011,"Liverpool 020D","Total",667,436,86,243,0,6,8,31,56,6,231,110,7,25,69,20
"E01006765",2011,"Liverpool 020E","Total",659,397,59,259,1,3,6,21,44,4,262,170,8,20,49,15
"E01006766",2011,"Liverpool 019E","Total",574,368,83,189,1,3,8,12,58,14,206,90,6,37,51,22
"E01006767",2011,"Liverpool 019F","Total",779,517,86,302,1,8,9,29,65,17,262,125,20,33,62,22
"E01006768",2011,"Liverpool 020F","Total",587,425,39,241,0,17,12,36,75,5,162,92,10,5,45,10
"E01006769",2011,"Liverpool 040B","Total",712,310,48,207,0,3,5,14,31,2,402,276,7,16,79,24
"E01006770",2011,"Liverpool 040C","Total",445,240,66,125,1,1,3,17,23,4,205,143,0,17,34,11
"E01006771",2011,"Liverpool 040D","Total",694,331,76,178,0,6,10,10,41,10,363,233,3,28,89,10
"E01006772",2011,"Liverpool 040E","Total",480,274,53,158,4,5,11,30,9,4,206,156,0,8,37,5
