"lsoa11cd","date","lsoa11nm","Social Grade: All categories: Approximated social grade; measures: Value","Social Grade: AB Higher and intermediate managerial/administrative/professional occupations; measures: Value","Social Grade: C1 Supervisory, clerical and junior managerial/administrative/professional occupations; measures: Value","Social Grade: C2 Skilled manual occupations; measures: Value","Social Grade: DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations; measures: Value"
"E01006665",2011,"Liverpool 007A",1095,162,418,265,250
"E01006666",2011,"Liverpool 007B",1057,218,433,197,209
"E01006667",2011,"Liverpool 007C",951,117,270,234,330
"E01006668",2011,"Liverpool 007D",1051,203,381,221,246
"E01006669",2011,"Liverpool 004E",1040,192,337,248,263
"E01006670",2011,"Liverpool 007E",1032,232,357,228,215
"E01006671",2011,"Liverpool 013D",911,179,272,216,244
"E01006672",2011,"Liverpool 010E",1219,91,299,270,559
"E01006673",2011,"Liverpool 037D",1315,181,422,128,584
"E01006674",2011,"Liverpool 039C",1139,122,267,124,626
"E01006675",2011,"Liverpool 043C",1454,392,495,144,423
"E01006676",2011,"Liverpool 044D",1101,101,281,166,553
"E01006677",2011,"Liverpool 043D",621,35,155,82,349
"E01006678",2011,"Liverpool 044E",1474,138,421,241,674
"E01006679",2011,"Liverpool 039D",1295,115,369,150,661
"E01006680",2011,"Liverpool 053B",1023,319,350,184,170
"E01006681",2011,"Liverpool 054D",1046,226,374,167,279
"E01006682",2011,"Liverpool 053C",825,344,283,114,84
"E01006683",2011,"Liverpool 053D",973,306,345,177,145
"E01006684",2011,"Liverpool 056B",1454,592,505,179,178
"E01006685",2011,"Liverpool 056C",940,316,349,159,116
"E01006686",2011,"Liverpool 053E",920,238,340,207,135
"E01006687",2011,"Liverpool 056D",1278,622,325,150,181
"E01006688",2011,"Liverpool 056E",1023,289,326,167,241
"E01006689",2011,"Liverpool 049D",1077,332,385,192,168
"E01006690",2011,"Liverpool 028A",1117,103,332,173,509
"E01006691",2011,"Liverpool 030A",1003,62,288,175,478
"E01006692",2011,"Liverpool 028B",1498,119,410,312,657
"E01006693",2011,"Liverpool 024D",956,45,172,202,537
"E01006694",2011,"Liverpool 030B",1300,68,329,256,647
"E01006695",2011,"Liverpool 028C",1424,177,371,232,644
"E01006696",2011,"Liverpool 030C",1192,43,417,217,515
