"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Accommodation type; measures: Value","Dwelling Type: Unshared dwelling: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Total; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: In commercial building; measures: Value","Dwelling Type: Unshared dwelling: Caravan or other mobile or temporary structure; measures: Value","Dwelling Type: Shared dwelling; measures: Value"
"E01006638",2011,"Liverpool 017B","Total",1219,1219,1203,79,269,855,16,15,1,0,0,0
"E01006639",2011,"Liverpool 017C","Total",1509,1509,1469,204,771,494,40,40,0,0,0,0
"E01006640",2011,"Liverpool 021F","Total",1880,1880,1782,575,980,227,98,83,12,3,0,0
"E01006641",2011,"Liverpool 025C","Total",1640,1640,1625,61,1141,423,15,11,0,4,0,0
"E01006642",2011,"Liverpool 025D","Total",1290,1290,1258,59,264,935,32,28,4,0,0,0
"E01006643",2011,"Liverpool 025E","Total",1822,1822,1772,136,464,1172,50,36,6,8,0,0
"E01006644",2011,"Liverpool 017D","Total",2040,2040,1619,220,373,1026,421,409,12,0,0,0
"E01006645",2011,"Liverpool 017E","Total",1424,1424,1277,51,356,870,147,144,1,2,0,0
"E01006646",2011,"Liverpool 023C","Total",1881,1881,1208,78,665,465,673,616,57,0,0,0
"E01006647",2011,"Liverpool 024C","Total",1422,1422,1355,102,820,433,67,59,7,1,0,0
"E01006648",2011,"Liverpool 023D","Total",2175,2171,1423,107,728,588,748,723,8,17,0,4
"E01006651",2011,"Liverpool 001A","Total",1642,1642,1626,846,675,105,16,11,5,0,0,0
"E01006652",2011,"Liverpool 002A","Total",1505,1505,1467,26,317,1124,38,7,16,15,0,0
"E01006653",2011,"Liverpool 001B","Total",1520,1520,1478,96,414,968,42,42,0,0,0,0
"E01006654",2011,"Liverpool 005A","Total",1455,1455,1331,600,139,592,124,99,6,19,0,0
"E01006655",2011,"Liverpool 001C","Total",1733,1733,1654,193,798,663,78,69,1,8,1,0
"E01006656",2011,"Liverpool 002B","Total",1493,1493,1436,35,333,1068,57,21,17,19,0,0
"E01006657",2011,"Liverpool 002C","Total",1211,1203,1143,34,237,872,60,31,17,12,0,8
"E01006658",2011,"Liverpool 001D","Total",1300,1300,1184,52,241,891,116,114,0,2,0,0
"E01006659",2011,"Liverpool 005B","Total",1070,1070,900,104,335,461,170,169,1,0,0,0
"E01006660",2011,"Liverpool 001E","Total",1433,1433,1338,270,405,663,95,91,4,0,0,0
"E01006661",2011,"Liverpool 004A","Total",1663,1663,1601,89,460,1052,62,59,3,0,0,0
"E01006662",2011,"Liverpool 004B","Total",1633,1633,1488,80,769,639,145,145,0,0,0,0
"E01006663",2011,"Liverpool 004C","Total",1153,1153,1111,86,504,521,42,42,0,0,0,0
"E01006664",2011,"Liverpool 004D","Total",1795,1795,1549,141,680,728,246,233,10,3,0,0
"E01006665",2011,"Liverpool 007A","Total",1555,1555,1548,588,736,224,7,0,0,7,0,0
"E01006666",2011,"Liverpool 007B","Total",1504,1504,1500,1046,419,35,4,2,0,2,0,0
"E01006667",2011,"Liverpool 007C","Total",1413,1413,1412,509,405,498,1,1,0,0,0,0
"E01006668",2011,"Liverpool 007D","Total",1534,1534,1521,484,998,39,13,9,0,4,0,0
"E01006669",2011,"Liverpool 004E","Total",1470,1470,1464,863,424,177,6,6,0,0,0,0
"E01006670",2011,"Liverpool 007E","Total",1520,1520,1510,849,512,149,10,6,4,0,0,0
"E01006671",2011,"Liverpool 013D","Total",1349,1349,1343,815,118,410,6,2,4,0,0,0
"E01006672",2011,"Liverpool 010E","Total",1955,1955,1910,181,697,1032,45,27,6,12,0,0
"E01006673",2011,"Liverpool 037D","Total",1925,1879,1200,99,583,518,679,480,193,6,0,46
"E01006674",2011,"Liverpool 039C","Total",1885,1875,1622,276,700,646,253,155,98,0,0,10
"E01006675",2011,"Liverpool 043C","Total",1682,1582,259,48,101,110,1323,702,611,10,0,100
"E01006676",2011,"Liverpool 044D","Total",1753,1747,1557,122,374,1061,189,166,14,9,1,6
"E01006677",2011,"Liverpool 043D","Total",993,990,909,59,331,519,81,58,11,12,0,3
"E01006678",2011,"Liverpool 044E","Total",2126,2116,1532,96,391,1045,584,333,217,34,0,10
"E01006679",2011,"Liverpool 039D","Total",2184,2125,1698,249,672,777,427,353,47,27,0,59
"E01006680",2011,"Liverpool 053B","Total",1569,1569,1534,44,1458,32,35,14,5,16,0,0
"E01006681",2011,"Liverpool 054D","Total",1585,1585,1238,104,959,175,347,330,3,14,0,0
"E01006682",2011,"Liverpool 053C","Total",1310,1310,1304,80,1204,20,6,1,0,5,0,0
"E01006683",2011,"Liverpool 053D","Total",1507,1507,1484,43,1388,53,23,8,1,14,0,0
"E01006684",2011,"Liverpool 056B","Total",2113,2113,1596,484,815,297,517,473,31,13,0,0
"E01006685",2011,"Liverpool 056C","Total",1426,1426,1307,269,866,172,119,66,53,0,0,0
"E01006686",2011,"Liverpool 053E","Total",1429,1429,1397,102,1215,80,32,11,4,17,0,0
"E01006687",2011,"Liverpool 056D","Total",1896,1892,1454,742,414,298,438,344,85,9,0,4
"E01006688",2011,"Liverpool 056E","Total",1520,1520,1221,136,908,177,299,164,86,49,0,0
"E01006689",2011,"Liverpool 049D","Total",1651,1651,1543,25,963,555,108,81,6,21,0,0
"E01006690",2011,"Liverpool 028A","Total",1457,1431,839,59,256,524,592,338,238,16,0,26
"E01006691",2011,"Liverpool 030A","Total",1488,1488,1311,63,129,1119,177,135,27,15,0,0
"E01006692",2011,"Liverpool 028B","Total",2180,2169,1733,127,785,821,436,271,130,35,0,11
"E01006693",2011,"Liverpool 024D","Total",1508,1502,1141,58,632,451,361,323,16,22,0,6
"E01006694",2011,"Liverpool 030B","Total",1864,1859,1725,90,127,1508,134,99,28,7,0,5
"E01006695",2011,"Liverpool 028C","Total",1814,1749,834,46,208,580,915,446,454,15,0,65
"E01006696",2011,"Liverpool 030C","Total",1744,1737,1531,92,527,912,206,171,29,6,0,7
"E01006697",2011,"Liverpool 030D","Total",1843,1843,1660,84,93,1483,183,98,54,31,0,0
"E01006698",2011,"Liverpool 012D","Total",1716,1716,1644,31,89,1524,72,15,29,28,0,0
"E01006699",2011,"Liverpool 014A","Total",1581,1581,1355,48,128,1179,226,205,13,8,0,0
"E01006700",2011,"Liverpool 012E","Total",1410,1410,1300,20,71,1209,105,59,17,29,5,0
"E01006701",2011,"Liverpool 014B","Total",1380,1374,1252,53,773,426,122,97,17,8,0,6
"E01006702",2011,"Liverpool 014C","Total",1596,1596,1535,82,350,1103,61,31,9,21,0,0
"E01006703",2011,"Liverpool 014D","Total",1527,1527,1158,64,259,835,369,327,26,16,0,0
"E01006705",2011,"Liverpool 009E","Total",1409,1409,1296,17,51,1228,113,56,24,33,0,0
"E01006706",2011,"Liverpool 045A","Total",1346,1346,1301,55,359,887,43,43,0,0,2,0
"E01006707",2011,"Liverpool 045B","Total",1294,1294,1282,71,484,727,12,9,0,3,0,0
"E01006708",2011,"Liverpool 045C","Total",1757,1757,1717,129,1028,560,40,39,1,0,0,0
"E01006709",2011,"Liverpool 040A","Total",1438,1436,1257,25,380,852,179,173,4,2,0,2
"E01006710",2011,"Liverpool 045D","Total",1490,1490,1485,48,124,1313,5,5,0,0,0,0
"E01006711",2011,"Liverpool 027A","Total",1500,1488,1351,40,217,1094,137,84,21,32,0,12
"E01006712",2011,"Liverpool 029D","Total",1303,1303,1292,21,63,1208,11,2,1,8,0,0
"E01006713",2011,"Liverpool 029E","Total",1375,1375,1368,22,71,1275,7,0,1,6,0,0
"E01006716",2011,"Liverpool 032E","Total",1454,1454,1252,55,320,877,202,171,13,18,0,0
"E01006717",2011,"Liverpool 027D","Total",1436,1434,1357,48,906,403,70,36,26,8,7,2
"E01006718",2011,"Liverpool 027E","Total",1584,1584,1407,39,227,1141,177,92,80,5,0,0
"E01006719",2011,"Liverpool 027F","Total",1535,1535,1485,29,166,1290,50,25,2,23,0,0
"E01006720",2011,"Liverpool 035A","Total",2108,2099,1861,116,316,1429,238,161,56,21,0,9
"E01006721",2011,"Liverpool 038C","Total",1655,1653,1383,33,135,1215,270,237,13,20,0,2
"E01006722",2011,"Liverpool 038D","Total",1793,1791,1631,86,396,1149,160,47,65,48,0,2
"E01006723",2011,"Liverpool 038E","Total",1862,1859,1598,21,87,1490,261,141,107,13,0,3
"E01006724",2011,"Liverpool 038F","Total",1783,1783,1709,35,119,1555,74,13,52,9,0,0
"E01006725",2011,"Liverpool 035B","Total",1537,1537,1353,32,354,967,184,102,30,52,0,0
"E01006726",2011,"Liverpool 035C","Total",1565,1565,1450,49,176,1225,115,43,70,2,0,0
"E01006727",2011,"Liverpool 035D","Total",1438,1432,1348,15,106,1227,84,24,45,15,0,6
"E01006728",2011,"Liverpool 035E","Total",1620,1620,1490,60,113,1317,130,80,47,3,0,0
"E01006729",2011,"Liverpool 008C","Total",1400,1400,1393,40,629,724,7,7,0,0,0,0
"E01006730",2011,"Liverpool 011C","Total",1323,1323,1311,62,409,840,12,8,4,0,0,0
"E01006731",2011,"Liverpool 011D","Total",1196,1196,1176,45,296,835,20,7,0,13,0,0
"E01006732",2011,"Liverpool 011E","Total",1643,1643,1619,48,828,743,24,18,6,0,0,0
"E01006734",2011,"Liverpool 005C","Total",1412,1412,1387,38,388,961,25,17,8,0,0,0
"E01006735",2011,"Liverpool 005D","Total",1309,1309,1270,53,286,931,35,33,0,2,4,0
"E01006736",2011,"Liverpool 005E","Total",1460,1460,1450,54,443,953,10,7,3,0,0,0
"E01006737",2011,"Liverpool 005F","Total",1435,1435,1413,40,478,895,22,20,2,0,0,0
"E01006738",2011,"Liverpool 058A","Total",1501,1501,1486,24,189,1273,15,15,0,0,0,0
"E01006739",2011,"Liverpool 058B","Total",1738,1738,1642,85,423,1134,96,80,13,3,0,0
"E01006740",2011,"Liverpool 057A","Total",1280,1280,1126,33,298,795,154,150,2,2,0,0
"E01006741",2011,"Liverpool 058C","Total",1815,1815,1771,95,301,1375,44,44,0,0,0,0
"E01006742",2011,"Liverpool 057B","Total",1394,1379,1340,5,604,731,39,19,11,9,0,15
"E01006743",2011,"Liverpool 058D","Total",2175,2175,1661,238,659,764,514,494,9,11,0,0
"E01006744",2011,"Liverpool 057C","Total",1482,1482,1381,17,87,1277,101,63,29,9,0,0
"E01006745",2011,"Liverpool 057D","Total",1854,1839,1304,78,191,1035,535,305,160,70,0,15
"E01006746",2011,"Liverpool 030E","Total",1506,1500,1349,63,249,1037,151,130,7,14,0,6
"E01006747",2011,"Liverpool 031B","Total",1655,1596,808,40,112,656,785,704,49,32,3,59
"E01006748",2011,"Liverpool 031C","Total",1936,1936,1804,63,195,1546,132,54,73,5,0,0
"E01006751",2011,"Liverpool 031F","Total",2043,2043,1552,126,784,642,491,451,36,4,0,0
"E01006752",2011,"Liverpool 035F","Total",1012,1012,898,29,637,232,114,91,19,4,0,0
"E01006753",2011,"Liverpool 059A","Total",1557,1557,1517,88,235,1194,40,40,0,0,0,0
"E01006754",2011,"Liverpool 059B","Total",1627,1627,1364,50,304,1010,263,252,11,0,0,0
"E01006755",2011,"Liverpool 059C","Total",1552,1552,1387,64,341,982,161,160,0,1,4,0
"E01006756",2011,"Liverpool 059D","Total",1820,1820,1739,98,372,1269,81,66,4,11,0,0
"E01006757",2011,"Liverpool 059E","Total",1491,1491,1450,83,306,1061,41,41,0,0,0,0
"E01006758",2011,"Liverpool 059F","Total",1527,1527,1469,43,257,1169,58,57,1,0,0,0
"E01006759",2011,"Liverpool 028D","Total",1052,1046,921,65,301,555,125,74,45,6,0,6
"E01006760",2011,"Liverpool 028E","Total",1548,1476,798,62,361,375,678,241,395,42,0,72
"E01006761",2011,"Liverpool 020B","Total",1583,1583,1283,51,496,736,300,258,28,14,0,0
"E01006762",2011,"Liverpool 015E","Total",1692,1692,1657,211,743,703,35,33,2,0,0,0
"E01006763",2011,"Liverpool 020C","Total",1471,1471,1444,30,179,1235,27,13,12,2,0,0
"E01006764",2011,"Liverpool 020D","Total",1522,1515,1248,22,271,955,267,78,161,28,0,7
"E01006765",2011,"Liverpool 020E","Total",1468,1468,1312,16,312,984,156,140,11,5,0,0
"E01006766",2011,"Liverpool 019E","Total",1265,1265,1149,45,86,1018,116,33,51,32,0,0
"E01006767",2011,"Liverpool 019F","Total",1784,1780,1668,156,353,1159,112,75,37,0,0,4
"E01006768",2011,"Liverpool 020F","Total",1347,1332,1095,103,625,367,237,80,143,14,0,15
"E01006769",2011,"Liverpool 040B","Total",1270,1270,1021,28,417,576,248,241,7,0,1,0
"E01006770",2011,"Liverpool 040C","Total",1002,1002,951,29,255,667,51,51,0,0,0,0
"E01006771",2011,"Liverpool 040D","Total",1425,1425,1268,81,502,685,157,148,5,4,0,0
"E01006772",2011,"Liverpool 040E","Total",1081,1081,1058,198,424,436,23,23,0,0,0,0
"E01006773",2011,"Liverpool 036D","Total",1378,1378,1363,111,870,382,15,4,0,11,0,0
"E01006774",2011,"Liverpool 036E","Total",1445,1445,1436,460,809,167,9,3,3,3,0,0
"E01006775",2011,"Liverpool 040F","Total",1302,1302,1297,62,380,855,5,4,0,1,0,0
"E01006776",2011,"Liverpool 022B","Total",1646,1646,1443,63,840,540,203,188,8,7,0,0
"E01006778",2011,"Liverpool 014E","Total",2205,2205,1702,87,708,907,503,450,27,26,0,0
"E01006779",2011,"Liverpool 022D","Total",1934,1934,1785,74,1183,528,149,141,8,0,0,0
"E01006780",2011,"Liverpool 002D","Total",1465,1463,1367,20,791,556,96,30,59,7,0,2
"E01006781",2011,"Liverpool 003A","Total",1469,1469,1418,475,616,327,51,35,12,4,0,0
"E01006782",2011,"Liverpool 003B","Total",1541,1523,1415,23,218,1174,108,50,41,17,0,18
"E01006783",2011,"Liverpool 002E","Total",1548,1548,1512,7,400,1105,36,6,6,24,0,0
"E01006784",2011,"Liverpool 003C","Total",1344,1335,1254,23,116,1115,81,29,30,22,0,9
"E01006785",2011,"Liverpool 003D","Total",1769,1769,1503,35,653,815,266,209,30,27,0,0
"E01006786",2011,"Liverpool 003E","Total",1820,1820,1687,230,839,618,133,95,37,1,0,0
"E01006787",2011,"Liverpool 006A","Total",1534,1521,1164,44,446,674,357,189,153,15,0,13
"E01006788",2011,"Liverpool 006B","Total",1825,1825,1806,58,817,931,19,3,9,7,0,0
"E01006790",2011,"Liverpool 006C","Total",1587,1587,1387,28,192,1167,200,165,26,9,0,0
"E01006791",2011,"Liverpool 006D","Total",1674,1667,1300,26,615,659,367,286,56,25,0,7
"E01006792",2011,"Liverpool 046A","Total",1364,1364,1278,532,714,32,86,78,6,2,0,0
"E01006793",2011,"Liverpool 051A","Total",1494,1494,968,371,393,204,526,518,8,0,0,0
"E01006794",2011,"Liverpool 046B","Total",1590,1590,1376,535,540,301,214,165,35,14,0,0
"E01006795",2011,"Liverpool 051B","Total",1407,1407,1273,242,855,176,134,86,22,26,0,0
"E01006796",2011,"Liverpool 047E","Total",1586,1586,1554,1089,423,42,32,30,2,0,0,0
