"lsoa11cd","date","lsoa11nm","Rural Urban","Central Heating: All categories: Type of central heating in household; measures: Value","Central Heating: No central heating; measures: Value","Central Heating: Gas central heating; measures: Value","Central Heating: Electric (including storage heaters) central heating; measures: Value","Central Heating: Oil central heating; measures: Value","Central Heating: Solid fuel (for example wood, coal) central heating; measures: Value","Central Heating: Other central heating; measures: Value","Central Heating: Two or more types of central heating; measures: Value"
"E01006797",2011,"Liverpool 051C","Total",707,22,652,14,0,0,2,17
"E01006798",2011,"Liverpool 051D","Total",609,23,549,16,1,0,3,17
"E01006799",2011,"Liverpool 051E","Total",1145,34,874,177,0,2,30,28
"E01006800",2011,"Liverpool 046C","Total",679,8,632,26,3,0,3,7
"E01006801",2011,"Liverpool 046D","Total",609,13,569,10,0,0,6,11
"E01032505",2011,"Liverpool 050F","Total",563,22,496,11,0,0,9,25
"E01032506",2011,"Liverpool 050G","Total",656,40,557,17,0,0,15,27
"E01032507",2011,"Liverpool 050H","Total",666,35,589,20,0,0,5,17
"E01032508",2011,"Liverpool 027G","Total",847,57,710,36,0,1,18,25
"E01032509",2011,"Liverpool 027H","Total",665,70,539,14,0,1,14,27
"E01032510",2011,"Liverpool 008F","Total",776,50,627,67,0,1,10,21
"E01032511",2011,"Liverpool 008G","Total",616,54,523,20,0,0,8,11
"E01033747",2011,"Liverpool 018F","Total",496,22,407,16,0,0,24,27
"E01033748",2011,"Liverpool 050I","Total",772,15,425,313,0,0,2,17
"E01033749",2011,"Liverpool 042F","Total",1039,10,601,208,61,0,138,21
"E01033750",2011,"Liverpool 061A","Total",905,21,612,255,1,0,1,15
"E01033751",2011,"Liverpool 062A","Total",603,24,139,413,2,0,16,9
"E01033752",2011,"Liverpool 062B","Total",790,37,86,644,6,0,12,5
"E01033753",2011,"Liverpool 062C","Total",714,35,25,630,1,0,18,5
"E01033754",2011,"Liverpool 061B","Total",838,33,244,529,3,0,12,17
"E01033755",2011,"Liverpool 062D","Total",675,45,40,579,0,0,8,3
"E01033756",2011,"Liverpool 061C","Total",733,21,179,470,7,0,31,25
"E01033757",2011,"Liverpool 037E","Total",715,32,312,322,3,1,19,26
"E01033758",2011,"Liverpool 060B","Total",475,37,161,240,1,0,12,24
"E01033759",2011,"Liverpool 010F","Total",480,22,383,42,0,1,16,16
"E01033760",2011,"Liverpool 060C","Total",529,39,90,376,0,1,13,10
"E01033761",2011,"Liverpool 060D","Total",832,54,112,648,6,0,6,6
"E01033762",2011,"Liverpool 060E","Total",456,13,208,217,0,0,4,14
"E01033763",2011,"Liverpool 031G","Total",820,26,623,55,2,1,62,51
"E01033764",2011,"Liverpool 022E","Total",1172,14,906,150,5,0,58,39
"E01033765",2011,"Liverpool 061D","Total",659,13,473,127,0,0,10,36
"E01033766",2011,"Liverpool 042G","Total",424,25,370,10,0,0,6,13
"E01033767",2011,"Liverpool 050J","Total",562,38,472,16,0,0,10,26
"E01033768",2011,"Liverpool 037F","Total",835,35,636,96,1,0,17,50
