"lsoa11cd","date","lsoa11nm","Rural Urban","Passports Held: All usual residents; measures: Value","Passports Held: No passport; measures: Value","Passports Held: United Kingdom; measures: Value","Passports Held: Republic of Ireland; measures: Value","Passports Held: Other Europe: EU countries; measures: Value","Passports Held: Other Europe: Non EU countries; measures: Value","Passports Held: Africa; measures: Value","Passports Held: Middle East and Asia; measures: Value","Passports Held: North America and the Caribbean; measures: Value","Passports Held: Central America; measures: Value","Passports Held: South America; measures: Value","Passports Held: Antarctica and Oceania; measures: Value","Passports Held: British Overseas Territories; measures: Value"
"E01006607",2011,"Liverpool 008A","Total",1531,314,1203,4,9,1,0,0,0,0,0,0,0
"E01006608",2011,"Liverpool 009A","Total",1215,206,993,4,9,2,0,2,0,0,0,0,0
"E01006609",2011,"Liverpool 009B","Total",1283,264,988,9,15,2,1,6,1,0,0,1,0
"E01006610",2011,"Liverpool 009C","Total",1397,361,1018,7,6,0,3,2,3,0,0,0,0
"E01006611",2011,"Liverpool 012A","Total",1291,409,841,2,34,1,4,0,1,0,0,0,0
"E01006612",2011,"Liverpool 008B","Total",1495,380,1100,6,6,2,1,1,2,0,0,0,0
"E01006613",2011,"Liverpool 009D","Total",1360,313,1034,4,4,0,0,6,2,0,0,0,0
"E01006614",2011,"Liverpool 012B","Total",1322,353,945,3,14,0,1,6,0,0,0,0,0
"E01006615",2011,"Liverpool 012C","Total",1302,324,965,4,4,0,2,2,2,0,0,1,0
"E01006616",2011,"Liverpool 015D","Total",1428,269,1133,8,14,0,5,0,1,0,0,0,0
"E01006617",2011,"Liverpool 021A","Total",1421,149,1251,5,12,0,4,5,1,0,0,0,0
"E01006618",2011,"Liverpool 016C","Total",1639,322,1311,1,2,1,0,0,2,0,0,0,0
"E01006619",2011,"Liverpool 021B","Total",1599,220,1346,12,16,1,4,1,1,0,1,1,0
"E01006620",2011,"Liverpool 021C","Total",1417,184,1226,1,3,0,2,2,0,0,0,0,0
"E01006621",2011,"Liverpool 021D","Total",1468,118,1318,6,13,1,5,16,0,0,0,0,0
"E01006622",2011,"Liverpool 021E","Total",1519,103,1403,6,5,1,1,4,2,0,0,0,0
"E01006623",2011,"Liverpool 013A","Total",1462,78,1356,3,7,0,1,19,0,0,0,1,0
"E01006624",2011,"Liverpool 013B","Total",1556,271,1245,14,14,2,8,8,0,0,0,0,0
"E01006625",2011,"Liverpool 016D","Total",1416,174,1227,2,3,0,1,4,3,0,0,4,0
"E01006626",2011,"Liverpool 016E","Total",1448,147,1275,3,8,0,1,14,1,0,0,1,0
"E01006627",2011,"Liverpool 013C","Total",1378,161,1198,3,8,3,6,3,4,0,0,0,0
"E01006628",2011,"Liverpool 052D","Total",1874,191,1513,70,42,3,33,26,16,0,2,2,1
"E01006629",2011,"Liverpool 052E","Total",1255,156,1068,12,4,3,4,13,3,0,1,1,0
"E01006630",2011,"Liverpool 044B","Total",1338,327,960,15,7,4,16,27,2,0,0,0,0
"E01006632",2011,"Liverpool 044C","Total",1842,407,1355,5,34,3,8,35,2,0,0,2,0
"E01006633",2011,"Liverpool 050B","Total",1432,368,1016,5,37,0,0,5,0,0,2,1,1
"E01006637",2011,"Liverpool 017A","Total",1596,374,1116,4,59,0,21,28,1,0,0,0,0
"E01006638",2011,"Liverpool 017B","Total",1219,326,844,0,21,2,11,17,0,0,0,0,0
"E01006639",2011,"Liverpool 017C","Total",1509,299,1188,4,5,0,2,8,1,0,0,3,0
"E01006640",2011,"Liverpool 021F","Total",1880,220,1604,11,12,0,9,29,2,0,0,1,0
"E01006641",2011,"Liverpool 025C","Total",1740,251,1381,6,33,5,9,59,0,0,0,1,0
"E01006642",2011,"Liverpool 025D","Total",1290,422,841,9,4,3,8,11,0,0,0,0,0
"E01006643",2011,"Liverpool 025E","Total",1822,450,1321,9,18,2,7,17,2,0,0,0,0
"E01006644",2011,"Liverpool 017D","Total",2040,383,1603,6,24,1,17,12,3,0,0,2,0
"E01006645",2011,"Liverpool 017E","Total",1424,384,1003,3,18,0,17,3,0,0,0,0,0
"E01006646",2011,"Liverpool 023C","Total",1899,356,1302,31,116,2,18,69,10,0,0,3,0
"E01006647",2011,"Liverpool 024C","Total",1422,427,946,3,34,3,12,1,1,0,0,0,0
"E01006648",2011,"Liverpool 023D","Total",2175,351,1558,56,98,6,23,75,11,0,7,6,0
"E01006651",2011,"Liverpool 001A","Total",1642,138,1468,10,9,2,6,12,1,0,1,1,0
"E01006652",2011,"Liverpool 002A","Total",1505,226,1243,11,12,3,0,15,0,0,0,1,0
"E01006653",2011,"Liverpool 001B","Total",1520,305,1188,9,4,0,0,18,0,0,0,0,0
"E01006654",2011,"Liverpool 005A","Total",1513,263,1207,9,10,0,0,28,0,0,0,1,0
"E01006655",2011,"Liverpool 001C","Total",1758,271,1396,15,9,3,14,59,5,0,0,0,0
"E01006656",2011,"Liverpool 002B","Total",1493,235,1236,10,7,1,1,3,0,0,0,0,0
"E01006657",2011,"Liverpool 002C","Total",1211,220,977,0,3,0,2,8,2,0,0,0,0
"E01006658",2011,"Liverpool 001D","Total",1300,290,983,1,16,1,1,8,1,0,0,0,0
"E01006659",2011,"Liverpool 005B","Total",1765,533,1162,6,30,0,14,25,1,0,0,0,0
"E01006660",2011,"Liverpool 001E","Total",1433,286,1092,6,5,2,0,52,1,0,1,0,0
"E01006661",2011,"Liverpool 004A","Total",1663,421,1186,1,20,1,23,12,0,0,0,1,0
"E01006662",2011,"Liverpool 004B","Total",1775,498,1193,6,32,0,17,33,2,0,0,0,0
"E01006663",2011,"Liverpool 004C","Total",1153,238,877,3,8,0,7,22,0,0,0,1,0
