"lsoa11cd","date","lsoa11nm","Rural Urban","NS-SeC: All categories: NS-SeC of household reference person; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: L1 Employers in large establishments; measures: Value","NS-SeC: L2 Higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: L3.1 Traditional employees; measures: Value","NS-SeC: L3.2 New employees; measures: Value","NS-SeC: L3.3 Traditional self-employed; measures: Value","NS-SeC: L3.4 New self-employed; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: L4 Lower professional and higher technical occupations; measures: Value","NS-SeC: L4.1 Traditional employees; measures: Value","NS-SeC: L4.2 New employees; measures: Value","NS-SeC: L4.3 Traditional self-employed; measures: Value","NS-SeC: L4.4 New self-employed; measures: Value","NS-SeC: L5 Lower managerial and administrative occupations; measures: Value","NS-SeC: L6 Higher supervisory occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: L7.1 Intermediate clerical and administrative occupations; measures: Value","NS-SeC: L7.2 Intermediate sales and service occupations; measures: Value","NS-SeC: L7.3 Intermediate technical and auxiliary occupations; measures: Value","NS-SeC: L7.4 Intermediate engineering occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: L8 Employers in small establishments; measures: Value","NS-SeC: L8.1 Employers in small establishments in industry, commerce, services etc.; measures: Value","NS-SeC: L8.2 Employers in small establishments in agriculture; measures: Value","NS-SeC: L9 Own account workers; measures: Value","NS-SeC: L9.1 Own account workers (non-professional); measures: Value","NS-SeC: L9.2 Own account workers (agriculture); measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: L10 Lower supervisory occupations; measures: Value","NS-SeC: L11 Lower technical occupations; measures: Value","NS-SeC: L11.1 Lower technical craft occupations; measures: Value","NS-SeC: L11.2 Lower technical process operative occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: L12.1 Semi-routine sales occupations; measures: Value","NS-SeC: L12.2 Semi-routine service occupations; measures: Value","NS-SeC: L12.3 Semi-routine technical occupations; measures: Value","NS-SeC: L12.4 Semi-routine operative occupations; measures: Value","NS-SeC: L12.5 Semi-routine agricultural occupations; measures: Value","NS-SeC: L12.6 Semi-routine clerical occupations; measures: Value","NS-SeC: L12.7 Semi-routine childcare occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: L13.1 Routine sales and service occupations; measures: Value","NS-SeC: L13.2 Routine production occupations; measures: Value","NS-SeC: L13.3 Routine technical occupations; measures: Value","NS-SeC: L13.4 Routine operative occupations; measures: Value","NS-SeC: L13.5 Routine agricultural occupations; measures: Value","NS-SeC: 8. Never worked and long-term unemployed; measures: Value","NS-SeC: L14.1 Never worked; measures: Value","NS-SeC: L14.2 Long-term unemployed; measures: Value","NS-SeC: Not classified; measures: Value","NS-SeC: L15 Full-time students; measures: Value","NS-SeC: L17 Not classifiable for other reasons; measures: Value"
"E01006525",2011,"Liverpool 049A","Total",940,208,66,0,66,142,76,53,13,0,307,203,163,19,15,6,69,35,143,98,36,4,5,92,42,42,0,50,50,0,43,33,10,10,0,54,9,19,8,12,0,2,4,51,11,2,21,17,0,16,0,16,26,26,0
"E01006526",2011,"Liverpool 048C","Total",1062,176,24,0,24,152,111,24,15,2,396,279,214,24,25,16,81,36,105,69,24,12,0,91,29,29,0,62,61,1,68,20,48,30,18,92,9,49,10,11,0,4,9,67,4,8,32,22,1,38,25,13,29,29,0
"E01006527",2011,"Liverpool 053A","Total",1048,194,43,0,43,151,114,20,17,0,300,226,164,23,29,10,53,21,109,65,35,9,0,107,40,40,0,67,67,0,91,61,30,29,1,116,14,66,6,6,0,8,16,62,18,6,22,16,0,30,17,13,39,39,0
"E01006528",2011,"Liverpool 052C","Total",1286,239,28,0,28,211,106,60,44,1,356,225,166,28,24,7,69,62,162,91,55,11,5,112,42,42,0,70,70,0,60,46,14,10,4,111,14,49,18,8,2,6,14,92,7,10,22,53,0,30,10,20,124,123,1
"E01006529",2011,"Liverpool 048D","Total",1099,224,29,0,29,195,141,22,26,6,393,302,238,41,23,0,47,44,126,86,32,8,0,84,8,8,0,76,70,6,64,42,22,10,12,92,18,34,6,24,0,0,10,65,9,1,25,30,0,14,9,5,37,37,0
"E01006530",2011,"Liverpool 055A","Total",1016,104,30,0,30,74,49,23,2,0,341,255,198,42,15,0,46,40,170,79,72,11,8,104,30,30,0,74,74,0,100,52,48,36,12,122,30,49,9,25,0,2,7,54,7,2,23,22,0,16,2,14,5,5,0
"E01006531",2011,"Liverpool 055B","Total",895,141,50,0,50,91,55,34,2,0,309,184,141,11,30,2,77,48,126,62,52,3,9,97,41,41,0,56,56,0,78,31,47,31,16,71,8,22,4,15,0,9,13,47,2,1,30,14,0,13,3,10,13,13,0
"E01006532",2011,"Liverpool 047A","Total",1172,356,54,3,51,302,158,45,93,6,383,252,184,23,35,10,103,28,64,44,15,0,5,190,107,104,3,83,83,0,65,30,35,26,9,66,9,26,4,8,0,19,0,22,0,0,19,3,0,18,10,8,8,8,0
"E01006533",2011,"Liverpool 055C","Total",1022,197,36,0,36,161,105,19,33,4,259,198,150,28,20,0,49,12,111,75,16,8,12,132,55,52,3,77,74,3,114,68,46,45,1,114,24,47,5,19,0,15,4,42,5,6,18,10,3,46,19,27,7,7,0
"E01006534",2011,"Liverpool 054A","Total",1289,172,38,0,38,134,90,28,13,3,322,213,167,28,14,4,69,40,122,73,36,7,6,150,61,61,0,89,89,0,90,27,63,54,9,199,43,81,13,25,0,20,17,154,5,15,51,81,2,59,37,22,21,21,0
"E01006535",2011,"Liverpool 054B","Total",1265,139,32,0,32,107,52,32,21,2,295,185,148,23,12,2,72,38,221,114,72,18,17,82,33,33,0,49,49,0,125,68,57,53,4,206,67,83,8,24,0,2,22,128,29,0,51,48,0,55,40,15,14,14,0
"E01006536",2011,"Liverpool 054C","Total",1466,108,20,0,20,88,43,30,13,2,262,150,126,12,12,0,79,33,221,110,73,25,13,140,34,34,0,106,106,0,95,59,36,26,10,298,98,132,30,25,0,7,6,255,27,12,97,119,0,73,29,44,14,14,0
"E01006537",2011,"Liverpool 055D","Total",1954,225,39,0,39,186,106,48,25,7,424,245,212,16,5,12,124,55,265,133,84,26,22,216,67,67,0,149,147,2,171,79,92,67,25,338,118,104,22,57,0,25,12,218,20,36,71,89,2,73,44,29,24,24,0
"E01006538",2011,"Liverpool 055E","Total",1040,118,31,0,31,87,62,21,4,0,268,154,133,12,5,4,79,35,105,47,48,7,3,86,10,10,0,76,76,0,152,63,89,54,35,142,27,62,21,20,0,12,0,130,14,9,71,35,1,34,26,8,5,5,0
"E01006539",2011,"Liverpool 047B","Total",1101,340,58,0,58,282,148,46,77,11,319,226,169,14,35,8,60,33,91,64,13,11,3,202,102,99,3,100,100,0,23,6,17,13,4,74,16,38,0,4,0,5,11,27,5,2,14,6,0,12,3,9,13,13,0
"E01006540",2011,"Liverpool 024A","Total",1304,46,11,0,11,35,28,6,1,0,180,113,99,9,5,0,42,25,104,44,34,17,9,68,22,22,0,46,46,0,84,35,49,47,2,231,63,126,12,12,0,10,8,240,41,23,16,160,0,297,201,96,54,54,0
"E01006541",2011,"Liverpool 015A","Total",1261,77,29,0,29,48,20,21,7,0,213,121,106,11,4,0,61,31,201,136,33,19,13,116,10,10,0,106,106,0,97,47,50,36,14,238,54,98,12,57,1,7,9,194,26,15,80,73,0,111,76,35,14,14,0
"E01006542",2011,"Liverpool 018A","Total",1123,64,27,0,27,37,18,11,5,3,180,113,98,11,4,0,34,33,169,92,46,26,5,89,29,29,0,60,60,0,73,44,29,17,12,221,43,123,16,32,0,4,3,201,33,10,54,104,0,112,84,28,14,14,0
"E01006543",2011,"Liverpool 015B","Total",998,71,21,0,21,50,26,21,3,0,180,103,85,4,12,2,41,36,124,75,28,12,9,121,27,27,0,94,94,0,121,70,51,44,7,157,25,74,8,33,0,15,2,184,21,14,84,62,3,29,18,11,11,11,0
"E01006544",2011,"Liverpool 015C","Total",1381,34,6,0,6,28,16,12,0,0,173,97,85,7,5,0,63,13,167,82,61,21,3,96,14,14,0,82,82,0,111,65,46,42,4,313,141,114,10,22,2,20,4,269,55,16,67,131,0,199,150,49,19,19,0
"E01006545",2011,"Liverpool 019A","Total",1278,55,14,0,14,41,13,28,0,0,195,87,75,5,7,0,65,43,227,146,48,20,13,86,8,8,0,78,78,0,130,80,50,39,11,238,52,101,21,41,1,20,2,215,51,16,77,70,1,108,56,52,24,24,0
"E01006546",2011,"Liverpool 019B","Total",1151,54,19,0,19,35,17,13,5,0,190,124,105,10,9,0,41,25,169,78,61,21,9,94,22,22,0,72,72,0,76,42,34,28,6,249,83,115,7,12,0,16,16,182,30,23,63,65,1,128,65,63,9,9,0
"E01006547",2011,"Liverpool 019C","Total",1258,36,4,0,4,32,10,10,12,0,207,108,78,18,12,0,60,39,127,69,42,13,3,107,20,20,0,87,87,0,85,50,35,33,2,218,45,125,5,29,0,4,10,217,40,11,80,83,3,223,149,74,38,38,0
"E01006548",2011,"Liverpool 019D","Total",1364,34,18,0,18,16,9,4,3,0,189,114,91,13,10,0,26,49,180,86,56,29,9,76,21,21,0,55,55,0,112,63,49,45,4,223,41,122,14,15,0,26,5,247,51,9,81,101,5,207,138,69,96,96,0
"E01006549",2011,"Liverpool 043B","Total",1464,175,18,0,18,157,114,22,19,2,373,303,220,25,43,15,52,18,103,50,44,3,6,109,37,37,0,72,71,1,71,45,26,21,5,179,32,110,3,9,0,14,11,88,17,7,44,20,0,159,114,45,207,207,0
"E01006550",2011,"Liverpool 038A","Total",1507,85,12,0,12,73,51,11,11,0,200,123,88,16,13,6,51,26,80,39,25,13,3,57,10,10,0,47,47,0,54,37,17,16,1,50,15,28,0,5,0,0,2,30,10,2,11,7,0,52,35,17,899,899,0
"E01006551",2011,"Liverpool 048E","Total",774,149,31,2,29,118,64,28,25,1,193,161,106,8,44,3,31,1,81,41,32,8,0,43,11,11,0,32,32,0,27,21,6,6,0,85,13,60,0,4,0,3,5,68,10,3,19,36,0,90,66,24,38,38,0
"E01006552",2011,"Liverpool 039A","Total",1866,125,8,0,8,117,75,41,1,0,217,162,116,6,37,3,33,22,152,75,39,33,5,276,80,80,0,196,196,0,94,45,49,41,8,252,57,139,0,37,0,12,7,192,32,24,31,99,6,398,280,118,160,160,0
"E01006553",2011,"Liverpool 042A","Total",1768,235,16,0,16,219,159,52,8,0,277,189,163,12,12,2,77,11,140,88,43,9,0,90,32,32,0,58,58,0,63,51,12,10,2,135,41,60,3,14,0,0,17,60,22,14,12,12,0,74,63,11,694,694,0
"E01006554",2011,"Liverpool 048F","Total",1556,275,42,0,42,233,168,37,28,0,295,211,151,19,33,8,77,7,70,33,27,6,4,139,49,49,0,90,89,1,33,24,9,9,0,75,17,53,0,3,0,2,0,55,18,1,7,27,2,66,22,44,548,548,0
"E01006556",2011,"Liverpool 039B","Total",1808,72,9,0,9,63,41,7,15,0,194,120,107,7,6,0,51,23,144,81,37,18,8,189,73,73,0,116,116,0,105,68,37,35,2,231,72,127,14,8,0,6,4,222,55,27,46,94,0,495,366,129,156,156,0
"E01006557",2011,"Liverpool 038B","Total",1951,117,16,0,16,101,63,26,12,0,237,185,147,21,15,2,32,20,130,80,39,11,0,75,24,24,0,51,49,2,59,38,21,14,7,129,50,54,4,14,0,7,0,86,39,0,12,35,0,72,47,25,1046,1046,0
"E01006558",2011,"Liverpool 018B","Total",1155,16,0,0,0,16,7,9,0,0,174,99,91,7,1,0,34,41,100,39,45,10,6,63,23,23,0,40,37,3,79,45,34,34,0,236,64,116,15,11,1,16,13,265,48,19,54,144,0,207,136,71,15,15,0
"E01006560",2011,"Liverpool 023A","Total",1438,16,2,0,2,14,14,0,0,0,93,64,52,12,0,0,16,13,139,85,35,18,1,88,21,21,0,67,67,0,112,74,38,36,2,353,91,144,27,45,0,35,11,343,33,56,58,194,2,263,167,96,31,31,0
"E01006562",2011,"Liverpool 018E","Total",1318,17,7,0,7,10,2,8,0,0,173,89,65,14,1,9,51,33,139,73,44,22,0,88,13,13,0,75,75,0,80,45,35,32,3,290,58,176,6,29,0,8,13,253,33,35,48,137,0,259,200,59,19,19,0
"E01006563",2011,"Liverpool 024B","Total",1286,11,2,0,2,9,7,2,0,0,168,97,92,5,0,0,47,24,162,91,42,26,3,80,16,16,0,64,64,0,71,38,33,21,12,240,51,141,8,31,0,8,1,217,37,15,52,113,0,306,223,83,31,31,0
"E01006564",2011,"Liverpool 023B","Total",1304,41,14,0,14,27,19,5,3,0,138,97,82,6,9,0,32,9,173,104,60,5,4,121,14,14,0,107,107,0,174,102,72,64,8,260,66,84,12,83,0,12,3,265,29,17,83,135,1,115,65,50,17,17,0
"E01006565",2011,"Liverpool 029A","Total",1198,64,9,0,9,55,30,19,6,0,268,150,130,15,5,0,64,54,170,91,47,14,18,89,12,12,0,77,77,0,111,53,58,51,7,215,44,124,13,25,0,9,0,189,29,18,58,84,0,83,54,29,9,9,0
"E01006566",2011,"Liverpool 032A","Total",1209,131,19,0,19,112,58,39,15,0,302,191,168,17,6,0,86,25,140,76,47,7,10,125,21,21,0,104,104,0,120,57,63,53,10,212,46,97,11,23,0,25,10,121,6,20,66,29,0,56,38,18,2,2,0
"E01006567",2011,"Liverpool 026A","Total",1225,97,27,0,27,70,31,30,9,0,197,114,94,17,3,0,46,37,144,89,39,11,5,160,38,38,0,122,122,0,112,59,53,52,1,184,56,74,15,32,0,7,0,183,21,13,83,66,0,128,82,46,20,20,0
"E01006568",2011,"Liverpool 026B","Total",1289,109,24,0,24,85,47,30,8,0,335,227,187,21,12,7,73,35,208,113,54,34,7,99,19,19,0,80,80,0,107,79,28,26,2,226,49,122,14,23,0,13,5,124,10,18,66,30,0,74,29,45,7,7,0
"E01006569",2011,"Liverpool 029B","Total",998,86,24,0,24,62,39,9,9,5,153,89,86,0,3,0,36,28,114,52,35,27,0,104,33,33,0,71,69,2,83,48,35,29,6,176,34,87,7,33,0,13,2,175,24,12,76,62,1,98,62,36,9,9,0
"E01006570",2011,"Liverpool 026C","Total",1190,160,23,0,23,137,57,75,5,0,326,218,188,18,10,2,72,36,164,83,48,12,21,166,48,48,0,118,118,0,94,40,54,43,11,121,17,67,18,11,0,5,3,104,19,9,50,26,0,48,19,29,7,7,0
"E01006571",2011,"Liverpool 026D","Total",1161,40,15,0,15,25,9,14,2,0,203,123,119,2,2,0,43,37,135,85,20,20,10,96,24,24,0,72,72,0,63,57,6,6,0,260,83,129,9,20,3,12,4,226,12,21,99,91,3,126,86,40,12,12,0
"E01006572",2011,"Liverpool 025A","Total",1005,19,10,0,10,9,9,0,0,0,130,78,64,8,2,4,29,23,104,76,17,9,2,88,13,8,5,75,75,0,122,93,29,27,2,251,86,110,17,16,0,22,0,120,23,6,38,50,3,144,104,40,27,27,0
"E01006573",2011,"Liverpool 029C","Total",1182,71,24,0,24,47,27,20,0,0,186,103,102,0,1,0,50,33,198,124,43,29,2,100,5,5,0,95,95,0,87,47,40,38,2,264,78,132,4,26,0,12,12,154,32,15,32,75,0,109,46,63,13,13,0
"E01006574",2011,"Liverpool 025B","Total",1112,42,19,0,19,23,14,9,0,0,185,128,120,2,6,0,46,11,134,71,42,12,9,126,48,48,0,78,74,4,78,38,40,40,0,294,80,124,18,44,0,15,13,154,16,18,60,60,0,96,53,43,3,3,0
"E01006575",2011,"Liverpool 034A","Total",1001,112,17,0,17,95,66,21,8,0,243,184,158,20,4,2,47,12,161,80,51,23,7,113,23,23,0,90,90,0,83,32,51,43,8,144,43,42,11,19,0,26,3,75,7,13,19,35,1,45,29,16,25,25,0
"E01006576",2011,"Liverpool 034B","Total",1389,169,57,0,57,112,51,38,20,3,434,229,186,17,24,2,129,76,242,123,70,14,35,150,57,57,0,93,93,0,91,43,48,38,10,141,35,63,13,10,0,13,7,129,7,9,66,47,0,23,14,9,10,10,0
"E01006577",2011,"Liverpool 034C","Total",1225,287,68,0,68,219,142,42,29,6,427,282,233,35,11,3,89,56,151,89,31,20,11,119,19,19,0,100,100,0,67,36,31,31,0,94,31,30,4,23,0,6,0,57,5,3,23,26,0,12,4,8,11,11,0
"E01006578",2011,"Liverpool 036A","Total",1140,149,36,0,36,113,58,41,10,4,366,242,191,42,5,4,83,41,180,119,48,4,9,157,37,37,0,120,120,0,96,29,67,64,3,96,19,39,8,15,0,12,3,61,4,7,35,15,0,24,13,11,11,11,0
"E01006579",2011,"Liverpool 034D","Total",1303,235,33,0,33,202,125,71,6,0,402,273,232,27,14,0,73,56,141,84,47,1,9,179,58,58,0,121,121,0,84,33,51,51,0,162,38,55,24,27,0,7,11,83,13,6,32,32,0,14,14,0,3,3,0
"E01006580",2011,"Liverpool 036B","Total",1077,229,42,0,42,187,112,43,25,7,400,251,188,35,23,5,95,54,137,76,43,6,12,122,50,50,0,72,72,0,63,27,36,34,2,57,19,18,0,9,0,9,2,47,5,2,23,17,0,22,11,11,0,0,0
"E01006581",2011,"Liverpool 036C","Total",1259,279,66,0,66,213,115,79,17,2,388,235,182,39,14,0,103,50,184,112,67,1,4,100,41,41,0,59,59,0,79,23,56,47,9,93,19,28,8,25,0,11,2,76,7,4,47,18,0,13,8,5,47,47,0
"E01006582",2011,"Liverpool 041A","Total",1366,289,70,0,70,219,128,51,36,4,493,306,267,17,22,0,109,78,146,87,38,10,11,144,40,40,0,104,104,0,99,45,54,51,3,98,23,29,1,14,0,13,18,56,10,0,22,24,0,17,8,9,24,24,0
"E01006583",2011,"Liverpool 047C","Total",964,238,37,0,37,201,91,62,36,12,342,219,145,32,39,3,80,43,94,71,7,10,6,168,100,100,0,68,68,0,37,22,15,12,3,28,14,2,0,8,0,4,0,29,3,0,19,7,0,9,0,9,19,19,0
"E01006584",2011,"Liverpool 034E","Total",1123,95,25,0,25,70,50,13,5,2,353,221,179,27,7,8,86,46,153,79,46,18,10,138,34,34,0,104,104,0,109,35,74,66,8,114,28,46,10,15,0,11,4,106,9,2,63,32,0,51,20,31,4,4,0
"E01006585",2011,"Liverpool 032B","Total",1041,78,21,0,21,57,37,17,3,0,189,109,81,20,8,0,36,44,131,66,37,23,5,89,29,29,0,60,60,0,91,43,48,39,9,196,52,108,2,18,2,11,3,164,17,6,68,72,1,81,47,34,22,22,0
"E01006586",2011,"Liverpool 032C","Total",1555,187,17,0,17,170,118,30,22,0,352,240,195,12,28,5,52,60,194,105,61,16,12,155,49,49,0,106,106,0,115,72,43,39,4,227,54,113,14,20,0,13,13,163,10,16,84,51,2,112,65,47,50,50,0
"E01006587",2011,"Liverpool 032D","Total",1400,217,73,0,73,144,84,45,12,3,388,276,231,25,13,7,58,54,147,70,55,18,4,164,57,57,0,107,107,0,69,44,25,18,7,150,36,72,11,13,0,15,3,159,29,12,59,59,0,79,53,26,27,27,0
"E01006588",2011,"Liverpool 042C","Total",1304,212,35,0,35,177,124,35,11,7,404,301,239,33,29,0,47,56,138,70,40,23,5,105,53,53,0,52,52,0,71,45,26,25,1,140,35,51,15,8,9,13,9,85,11,6,48,19,1,34,19,15,115,115,0
"E01006589",2011,"Liverpool 041B","Total",1260,204,43,0,43,161,93,44,24,0,429,327,262,33,26,6,76,26,160,99,33,12,16,157,37,37,0,120,117,3,99,39,60,57,3,128,31,64,7,9,0,17,0,67,8,0,39,20,0,5,3,2,11,11,0
"E01006590",2011,"Liverpool 042D","Total",1449,211,21,0,21,190,116,47,24,3,434,344,296,13,31,4,54,36,172,101,50,13,8,80,32,28,4,48,48,0,105,43,62,36,26,147,41,58,0,17,0,18,13,84,12,12,15,44,1,23,12,11,193,193,0
"E01006591",2011,"Liverpool 041C","Total",1431,328,37,0,37,291,186,64,41,0,490,365,283,48,28,6,85,40,153,106,35,6,6,106,30,30,0,76,76,0,54,41,13,13,0,88,31,35,2,8,0,5,7,59,3,4,41,9,2,27,20,7,126,126,0
"E01006592",2011,"Liverpool 041D","Total",1200,475,62,0,62,413,225,81,107,0,349,260,200,5,38,17,79,10,97,44,37,6,10,135,51,51,0,84,84,0,21,18,3,1,2,39,4,21,5,9,0,0,0,38,10,9,9,10,0,4,3,1,42,41,1
"E01006593",2011,"Liverpool 042E","Total",1375,208,38,0,38,170,113,47,7,3,431,321,280,11,26,4,84,26,160,85,59,11,5,102,26,21,5,76,76,0,82,63,19,11,8,104,27,56,0,0,0,8,13,65,18,0,24,23,0,34,29,5,189,189,0
"E01006594",2011,"Liverpool 047D","Total",1078,334,50,5,45,284,122,77,72,13,344,247,181,32,29,5,57,40,76,56,13,5,2,149,69,69,0,80,80,0,40,12,28,24,4,78,16,28,2,10,0,18,4,23,0,0,12,11,0,19,10,9,15,15,0
"E01006595",2011,"Liverpool 049B","Total",1410,247,42,0,42,205,148,39,9,9,428,321,278,37,6,0,66,41,203,108,71,13,11,105,37,37,0,68,68,0,115,45,70,70,0,139,47,41,15,17,0,9,10,92,9,5,46,32,0,35,23,12,46,46,0
"E01006596",2011,"Liverpool 049C","Total",1188,245,38,0,38,207,127,65,15,0,381,289,241,25,19,4,55,37,170,111,42,4,13,91,26,26,0,65,65,0,66,23,43,39,4,101,22,34,13,15,0,10,7,71,8,0,33,30,0,35,20,15,28,28,0
"E01006597",2011,"Liverpool 041E","Total",1311,401,107,0,107,294,195,36,58,5,438,312,261,12,25,14,88,38,108,60,41,2,5,162,57,57,0,105,105,0,68,45,23,19,4,71,15,43,1,1,3,7,1,34,14,2,9,9,0,9,0,9,20,20,0
