"lsoa11cd","date","lsoa11nm","Rural Urban","Ethnic Group: All categories: Ethnic group; measures: Value","Ethnic Group: White; measures: Value","Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value","Ethnic Group: White: Irish; measures: Value","Ethnic Group: White: Gypsy or Irish Traveller; measures: Value","Ethnic Group: White: Other White; measures: Value","Ethnic Group: Mixed; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Black Caribbean; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Black African; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Asian; measures: Value","Ethnic Group: Mixed/multiple ethnic group: Other Mixed; measures: Value","Ethnic Group: Asian; measures: Value","Ethnic Group: Asian/Asian British: Indian; measures: Value","Ethnic Group: Asian/Asian British: Pakistani; measures: Value","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian/Asian British: Chinese; measures: Value","Ethnic Group: Asian/Asian British: Other Asian; measures: Value","Ethnic Group: Black; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value","Ethnic Group: Other; measures: Value","Ethnic Group: Other ethnic group: Arab; measures: Value","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value"
"E01006560",2011,"Liverpool 023A","Total",1860,1731,1691,10,0,30,30,14,5,2,9,32,4,6,2,6,14,52,45,0,7,15,7,8
"E01006562",2011,"Liverpool 018E","Total",1514,1391,1347,16,1,27,34,10,5,9,10,38,1,0,0,28,9,40,34,2,4,11,10,1
"E01006563",2011,"Liverpool 024B","Total",1744,1579,1519,16,0,44,51,8,31,3,9,41,9,2,0,11,19,51,35,8,8,22,1,21
"E01006564",2011,"Liverpool 023B","Total",1721,1623,1578,20,0,25,24,9,10,2,3,52,35,0,0,10,7,16,14,1,1,6,2,4
"E01006565",2011,"Liverpool 029A","Total",1549,1464,1434,22,0,8,25,8,6,2,9,55,50,0,0,0,5,0,0,0,0,5,4,1
"E01006566",2011,"Liverpool 032A","Total",1506,1405,1360,26,0,19,30,10,8,4,8,35,7,5,0,14,9,32,19,4,9,4,0,4
"E01006567",2011,"Liverpool 026A","Total",1655,1571,1539,13,1,18,18,0,13,2,3,42,24,8,1,5,4,13,11,0,2,11,11,0
"E01006568",2011,"Liverpool 026B","Total",1617,1547,1499,26,0,22,25,9,4,8,4,19,0,5,0,12,2,22,22,0,0,4,1,3
"E01006569",2011,"Liverpool 029B","Total",1429,1384,1359,19,0,6,24,3,10,3,8,4,0,1,0,3,0,12,8,2,2,5,1,4
"E01006570",2011,"Liverpool 026C","Total",1479,1422,1394,13,0,15,19,8,2,2,7,29,15,0,0,11,3,7,3,2,2,2,2,0
"E01006571",2011,"Liverpool 026D","Total",1470,1427,1404,12,0,11,6,1,1,3,1,10,5,0,0,4,1,26,12,1,13,1,1,0
"E01006572",2011,"Liverpool 025A","Total",1207,1154,1118,9,1,26,20,3,6,6,5,17,6,0,0,0,11,15,8,1,6,1,1,0
"E01006573",2011,"Liverpool 029C","Total",1501,1411,1380,15,1,15,20,11,2,5,2,52,30,0,0,18,4,14,10,1,3,4,3,1
"E01006574",2011,"Liverpool 025B","Total",1388,1309,1276,14,0,19,37,21,6,6,4,22,4,0,0,5,13,14,5,1,8,6,6,0
"E01006575",2011,"Liverpool 034A","Total",1294,1208,1169,19,0,20,33,11,7,9,6,32,2,7,6,9,8,11,6,1,4,10,8,2
"E01006576",2011,"Liverpool 034B","Total",1693,1633,1611,13,0,9,18,7,3,4,4,27,8,4,1,13,1,5,1,2,2,10,7,3
"E01006577",2011,"Liverpool 034C","Total",1503,1420,1372,36,0,12,31,8,7,3,13,32,12,6,0,8,6,17,13,0,4,3,1,2
"E01006578",2011,"Liverpool 036A","Total",1380,1315,1298,2,0,15,12,8,1,3,0,44,13,4,0,17,10,8,4,3,1,1,0,1
"E01006579",2011,"Liverpool 034D","Total",1643,1522,1492,16,0,14,53,9,8,22,14,44,2,20,7,9,6,2,2,0,0,22,12,10
"E01006580",2011,"Liverpool 036B","Total",1335,1247,1211,9,0,27,11,1,1,6,3,69,24,3,0,38,4,5,1,2,2,3,1,2
"E01006581",2011,"Liverpool 036C","Total",1559,1487,1440,20,0,27,18,9,5,1,3,38,9,8,0,16,5,15,12,3,0,1,0,1
"E01006582",2011,"Liverpool 041A","Total",1642,1551,1491,36,0,24,21,3,5,8,5,50,8,20,0,16,6,14,3,6,5,6,4,2
"E01006583",2011,"Liverpool 047C","Total",1758,1676,1590,76,1,9,15,7,4,1,3,35,14,0,0,19,2,17,9,3,5,15,6,9
"E01006584",2011,"Liverpool 034E","Total",1393,1359,1339,18,0,2,9,3,6,0,0,13,11,0,0,2,0,10,9,0,1,2,1,1
"E01006585",2011,"Liverpool 032B","Total",1354,1251,1241,4,0,6,23,9,2,9,3,45,9,1,0,22,13,25,25,0,0,10,10,0
"E01006586",2011,"Liverpool 032C","Total",1899,1682,1633,22,1,26,89,19,28,14,28,78,13,7,0,41,17,31,19,5,7,19,4,15
"E01006587",2011,"Liverpool 032D","Total",1624,1433,1376,16,0,41,73,29,17,15,12,67,6,2,0,56,3,10,4,1,5,41,29,12
"E01006588",2011,"Liverpool 042C","Total",1569,1437,1312,58,6,61,44,15,13,4,12,42,7,7,0,14,14,22,17,4,1,24,14,10
"E01006589",2011,"Liverpool 041B","Total",1518,1378,1348,14,0,16,62,11,12,20,19,57,26,6,2,17,6,15,6,3,6,6,6,0
"E01006590",2011,"Liverpool 042D","Total",1642,1523,1409,56,0,58,42,7,15,14,6,48,19,11,4,6,8,19,9,5,5,10,5,5
"E01006591",2011,"Liverpool 041C","Total",1633,1470,1356,81,0,33,55,14,18,8,15,53,17,26,0,8,2,34,9,12,13,21,17,4
"E01006592",2011,"Liverpool 041D","Total",1565,1475,1389,51,0,35,39,9,3,14,13,30,2,13,2,8,5,17,10,1,6,4,0,4
"E01006593",2011,"Liverpool 042E","Total",1541,1396,1289,48,0,59,68,11,18,13,26,40,4,6,0,29,1,26,15,3,8,11,7,4
"E01006594",2011,"Liverpool 047D","Total",1410,1253,1213,22,0,18,28,6,1,17,4,94,43,4,2,30,15,5,1,4,0,30,21,9
"E01006595",2011,"Liverpool 049B","Total",1745,1625,1579,25,0,21,39,15,13,10,1,50,11,16,1,21,1,25,21,1,3,6,0,6
"E01006596",2011,"Liverpool 049C","Total",1451,1290,1231,29,1,29,43,19,4,11,9,85,12,26,7,25,15,9,6,1,2,24,12,12
"E01006597",2011,"Liverpool 041E","Total",1667,1557,1497,33,0,27,42,12,6,17,7,43,9,14,12,4,4,11,7,2,2,14,8,6
"E01006598",2011,"Liverpool 010A","Total",1361,1326,1290,3,0,33,5,1,1,3,0,14,6,1,0,5,2,12,8,2,2,4,1,3
"E01006599",2011,"Liverpool 010B","Total",1121,1079,1036,6,0,37,8,0,6,1,1,15,6,0,0,5,4,18,14,0,4,1,0,1
"E01006600",2011,"Liverpool 011A","Total",1407,1384,1362,7,0,15,15,6,3,2,4,3,2,0,0,0,1,0,0,0,0,5,2,3
"E01006603",2011,"Liverpool 011B","Total",1410,1366,1360,2,0,4,18,3,5,5,5,14,2,0,0,9,3,11,9,1,1,1,0,1
"E01006604",2011,"Liverpool 016A","Total",1367,1342,1333,3,1,5,6,3,1,0,2,9,0,0,0,6,3,9,7,1,1,1,0,1
"E01006605",2011,"Liverpool 016B","Total",1531,1491,1464,14,0,13,14,6,4,1,3,18,0,0,0,10,8,7,7,0,0,1,0,1
