"lsoa11cd","date","lsoa11nm","Rural Urban","Household Deprivation: All categories: Classification of household deprivation; measures: Value","Household Deprivation: Household is not deprived in any dimension; measures: Value","Household Deprivation: Household is deprived in 1 dimension; measures: Value","Household Deprivation: Household is deprived in 2 dimensions; measures: Value","Household Deprivation: Household is deprived in 3 dimensions; measures: Value","Household Deprivation: Household is deprived in 4 dimensions; measures: Value"
"E01006762",2011,"Liverpool 015E","Total",725,160,224,227,104,10
"E01006763",2011,"Liverpool 020C","Total",652,224,199,167,58,4
"E01006764",2011,"Liverpool 020D","Total",667,173,225,180,74,15
"E01006765",2011,"Liverpool 020E","Total",659,203,199,177,78,2
"E01006766",2011,"Liverpool 019E","Total",574,137,188,174,71,4
"E01006767",2011,"Liverpool 019F","Total",779,261,257,180,75,6
"E01006768",2011,"Liverpool 020F","Total",587,184,194,144,58,7
"E01006769",2011,"Liverpool 040B","Total",712,138,216,276,76,6
"E01006770",2011,"Liverpool 040C","Total",445,98,137,152,56,2
"E01006771",2011,"Liverpool 040D","Total",694,151,185,251,100,7
"E01006772",2011,"Liverpool 040E","Total",480,150,138,140,49,3
"E01006773",2011,"Liverpool 036D","Total",554,258,173,106,17,0
"E01006774",2011,"Liverpool 036E","Total",552,275,165,96,15,1
"E01006775",2011,"Liverpool 040F","Total",556,110,160,198,84,4
"E01006776",2011,"Liverpool 022B","Total",844,225,237,259,113,10
"E01006778",2011,"Liverpool 014E","Total",1124,212,338,349,195,30
"E01006779",2011,"Liverpool 022D","Total",902,156,228,317,181,20
"E01006780",2011,"Liverpool 002D","Total",619,218,209,145,42,5
"E01006781",2011,"Liverpool 003A","Total",600,257,183,123,34,3
"E01006782",2011,"Liverpool 003B","Total",691,250,203,174,55,9
"E01006783",2011,"Liverpool 002E","Total",645,236,223,133,46,7
"E01006784",2011,"Liverpool 003C","Total",586,259,166,118,41,2
"E01006785",2011,"Liverpool 003D","Total",781,255,249,198,67,12
"E01006786",2011,"Liverpool 003E","Total",764,289,250,170,52,3
"E01006787",2011,"Liverpool 006A","Total",691,204,221,172,77,17
"E01006788",2011,"Liverpool 006B","Total",681,250,242,136,46,7
"E01006790",2011,"Liverpool 006C","Total",801,204,222,226,138,11
"E01006791",2011,"Liverpool 006D","Total",873,197,243,286,141,6
"E01006792",2011,"Liverpool 046A","Total",557,289,175,82,11,0
"E01006793",2011,"Liverpool 051A","Total",759,298,246,172,40,3
"E01006794",2011,"Liverpool 046B","Total",711,358,220,108,24,1
"E01006795",2011,"Liverpool 051B","Total",628,330,191,89,18,0
"E01006796",2011,"Liverpool 047E","Total",581,329,180,60,11,1
"E01006797",2011,"Liverpool 051C","Total",707,217,196,186,87,21
"E01006798",2011,"Liverpool 051D","Total",609,284,201,102,22,0
"E01006799",2011,"Liverpool 051E","Total",1145,324,323,369,124,5
"E01006800",2011,"Liverpool 046C","Total",679,286,233,142,18,0
"E01006801",2011,"Liverpool 046D","Total",609,252,228,114,15,0
"E01032505",2011,"Liverpool 050F","Total",563,199,185,121,53,5
"E01032506",2011,"Liverpool 050G","Total",656,236,193,145,73,9
"E01032507",2011,"Liverpool 050H","Total",666,339,177,115,33,2
"E01032508",2011,"Liverpool 027G","Total",847,180,241,276,134,16
"E01032509",2011,"Liverpool 027H","Total",665,197,191,195,76,6
"E01032510",2011,"Liverpool 008F","Total",776,283,219,188,80,6
"E01032511",2011,"Liverpool 008G","Total",616,168,197,183,61,7
"E01033747",2011,"Liverpool 018F","Total",496,69,137,182,99,9
"E01033748",2011,"Liverpool 050I","Total",772,463,227,60,19,3
"E01033749",2011,"Liverpool 042F","Total",1039,284,690,59,5,1
"E01033750",2011,"Liverpool 061A","Total",905,571,258,62,13,1
"E01033751",2011,"Liverpool 062A","Total",603,321,152,93,34,3
"E01033752",2011,"Liverpool 062B","Total",790,378,337,60,15,0
"E01033753",2011,"Liverpool 062C","Total",714,328,314,61,10,1
"E01033754",2011,"Liverpool 061B","Total",838,297,363,133,40,5
"E01033755",2011,"Liverpool 062D","Total",675,323,295,50,6,1
"E01033756",2011,"Liverpool 061C","Total",733,237,400,85,10,1
"E01033757",2011,"Liverpool 037E","Total",715,248,291,129,44,3
"E01033758",2011,"Liverpool 060B","Total",475,102,216,116,36,5
"E01033759",2011,"Liverpool 010F","Total",480,131,142,134,68,5
"E01033760",2011,"Liverpool 060C","Total",529,159,245,103,17,5
"E01033761",2011,"Liverpool 060D","Total",832,373,366,80,7,6
"E01033762",2011,"Liverpool 060E","Total",456,127,206,88,31,4
"E01033763",2011,"Liverpool 031G","Total",820,153,237,287,129,14
"E01033764",2011,"Liverpool 022E","Total",1172,188,309,409,245,21
"E01033765",2011,"Liverpool 061D","Total",659,217,172,158,106,6
"E01033766",2011,"Liverpool 042G","Total",424,226,116,70,11,1
"E01033767",2011,"Liverpool 050J","Total",562,146,186,155,72,3
"E01033768",2011,"Liverpool 037F","Total",835,246,277,178,109,25
