"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household: Total; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family only: Total; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married couple: Total; measures: Value","Household Composition: One family only: Married couple: No children; measures: Value","Household Composition: One family only: Married couple: One dependent child; measures: Value","Household Composition: One family only: Married couple: Two or more dependent children; measures: Value","Household Composition: One family only: Married couple: All children non-dependent; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: Total; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: One dependent child; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: Two or more dependent children; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple: Total; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: One dependent child; measures: Value","Household Composition: One family only: Cohabiting couple: Two or more dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent: Total; measures: Value","Household Composition: One family only: Lone parent: One dependent child; measures: Value","Household Composition: One family only: Lone parent: Two or more dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types: Total; measures: Value","Household Composition: Other household types: With one dependent child; measures: Value","Household Composition: Other household types: With two or more dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"E01006530",2011,"Liverpool 055A","Total",1428,172,109,63,1176,176,712,148,128,230,206,0,0,0,0,0,116,28,28,57,3,172,30,54,88,80,23,15,0,9,33
"E01006531",2011,"Liverpool 055B","Total",1455,227,171,56,1136,260,671,140,116,212,203,0,0,0,0,0,102,34,26,25,17,103,32,25,46,92,24,9,8,8,43
"E01006532",2011,"Liverpool 047A","Total",1554,149,97,52,1312,180,960,194,151,422,193,2,2,0,0,0,72,10,18,34,10,98,22,34,42,93,19,32,0,4,38
"E01006533",2011,"Liverpool 055C","Total",1355,240,116,124,1007,110,665,122,87,249,207,2,2,0,0,0,97,44,9,25,19,133,25,49,59,108,38,35,0,0,35
"E01006534",2011,"Liverpool 054A","Total",1542,224,89,135,1144,80,728,102,154,279,193,0,0,0,0,0,91,30,18,28,15,245,81,90,74,174,50,54,0,5,65
"E01006535",2011,"Liverpool 054B","Total",1550,205,105,100,1182,80,703,118,195,203,187,0,0,0,0,0,117,40,40,30,7,282,88,80,114,163,31,34,0,5,93
"E01006536",2011,"Liverpool 054C","Total",1848,272,103,169,1367,102,634,156,109,212,157,0,0,0,0,0,213,58,69,73,13,418,129,117,172,209,62,74,0,8,65
"E01006537",2011,"Liverpool 055D","Total",2257,278,58,220,1682,130,869,164,166,289,250,0,0,0,0,0,281,130,59,64,28,402,132,167,103,297,41,48,11,8,189
"E01006538",2011,"Liverpool 055E","Total",1318,130,71,59,1057,98,676,114,162,217,183,2,2,0,0,0,112,26,42,31,13,169,49,49,71,131,31,45,0,8,47
"E01006539",2011,"Liverpool 047B","Total",1403,176,79,97,1093,142,790,192,170,255,173,2,2,0,0,0,91,46,10,35,0,68,26,17,25,134,22,47,0,2,63
"E01006540",2011,"Liverpool 024A","Total",1485,415,100,315,863,36,264,52,50,87,75,0,0,0,0,0,171,34,60,56,21,392,159,172,61,207,20,51,4,2,130
"E01006541",2011,"Liverpool 015A","Total",1593,362,139,223,1081,82,517,114,110,119,174,0,0,0,0,0,158,58,35,65,0,324,104,120,100,150,48,32,0,8,62
"E01006542",2011,"Liverpool 018A","Total",1297,241,50,191,880,46,393,58,88,152,95,0,0,0,0,0,149,54,25,57,13,292,92,124,76,176,62,44,0,5,65
"E01006543",2011,"Liverpool 015B","Total",1247,148,73,75,1007,86,625,110,148,163,204,0,0,0,0,0,132,24,48,41,19,164,40,67,57,92,16,30,0,3,43
"E01006544",2011,"Liverpool 015C","Total",1658,264,85,179,1237,84,432,90,93,145,104,0,0,0,0,0,208,40,60,90,18,513,146,224,143,157,65,44,0,9,39
"E01006545",2011,"Liverpool 019A","Total",1512,201,72,129,1165,90,488,104,125,126,133,2,2,0,0,0,191,34,50,97,10,394,165,160,69,146,47,54,2,2,41
"E01006546",2011,"Liverpool 019B","Total",1319,227,57,170,929,36,377,70,70,129,108,0,0,0,0,0,163,38,27,91,7,353,113,161,79,163,24,59,0,7,73
"E01006547",2011,"Liverpool 019C","Total",1490,334,69,265,905,62,325,60,62,94,109,2,2,0,0,0,173,34,46,71,22,343,126,154,63,251,56,91,18,0,86
"E01006548",2011,"Liverpool 019D","Total",1580,334,86,248,1038,66,347,76,82,126,63,0,0,0,0,0,171,30,74,60,7,454,193,191,70,208,36,32,53,0,87
"E01006549",2011,"Liverpool 043B","Total",1559,636,48,588,483,12,177,50,27,56,44,6,2,0,4,0,177,126,27,21,3,111,45,38,28,440,21,53,124,0,242
"E01006550",2011,"Liverpool 038A","Total",1595,118,27,91,413,18,200,40,42,78,40,0,0,0,0,0,83,44,19,20,0,112,34,28,50,1064,11,5,846,4,198
"E01006551",2011,"Liverpool 048E","Total",1134,511,209,302,451,70,144,50,32,37,25,2,2,0,0,0,114,92,10,9,3,121,35,25,61,172,12,11,30,21,98
"E01006552",2011,"Liverpool 039A","Total",2027,346,48,298,1244,30,549,68,98,319,64,0,0,0,0,0,152,60,40,43,9,513,176,266,71,437,69,147,55,3,163
"E01006553",2011,"Liverpool 042A","Total",1880,167,29,138,705,28,349,72,62,147,68,4,0,0,4,0,157,100,25,26,6,167,39,86,42,1008,20,20,648,0,320
"E01006554",2011,"Liverpool 048F","Total",1670,280,34,246,586,16,324,72,68,107,77,0,0,0,0,0,157,78,28,37,14,89,34,22,33,804,10,102,463,4,225
"E01006556",2011,"Liverpool 039B","Total",2010,538,92,446,1048,24,386,42,115,190,39,0,0,0,0,0,143,52,16,69,6,495,201,186,108,424,56,96,62,10,200
"E01006557",2011,"Liverpool 038B","Total",2051,138,41,97,485,20,240,42,45,119,34,0,0,0,0,0,76,56,7,13,0,149,46,51,52,1428,22,35,972,10,389
"E01006558",2011,"Liverpool 018B","Total",1357,380,93,287,857,50,287,68,38,69,112,2,2,0,0,0,172,50,47,65,10,346,153,96,97,120,44,34,0,3,39
"E01006560",2011,"Liverpool 023A","Total",1860,536,177,359,1083,74,396,86,46,130,134,0,0,0,0,0,150,34,42,59,15,463,177,137,149,241,66,40,13,12,110
"E01006562",2011,"Liverpool 018E","Total",1514,294,77,217,1042,46,357,76,66,110,105,0,0,0,0,0,160,30,51,67,12,479,177,187,115,178,74,42,0,0,62
"E01006563",2011,"Liverpool 024B","Total",1740,477,208,269,1022,98,284,62,51,66,105,2,2,0,0,0,166,24,39,88,15,472,160,194,118,241,51,96,3,10,81
"E01006564",2011,"Liverpool 023B","Total",1721,300,121,179,1191,118,609,162,69,128,250,0,0,0,0,0,141,56,35,50,0,323,81,115,127,230,83,74,7,9,57
"E01006565",2011,"Liverpool 029A","Total",1549,197,105,92,1173,92,607,94,75,255,183,3,0,0,0,3,171,48,35,66,22,300,70,93,137,179,50,40,0,5,84
"E01006566",2011,"Liverpool 032A","Total",1431,184,92,92,1115,54,715,116,173,283,143,0,0,0,0,0,173,46,49,59,19,173,47,62,64,132,27,46,0,6,53
"E01006567",2011,"Liverpool 026A","Total",1622,500,185,315,970,88,481,90,118,142,131,2,2,0,0,0,145,44,37,52,12,254,94,68,92,152,30,40,0,16,66
"E01006568",2011,"Liverpool 026B","Total",1491,191,70,121,1199,72,673,114,106,311,142,2,2,0,0,0,169,68,40,58,3,283,85,112,86,101,21,17,0,8,55
"E01006569",2011,"Liverpool 029B","Total",1372,236,106,130,946,82,476,92,65,171,148,0,0,0,0,0,142,30,30,70,12,246,70,57,119,190,45,54,0,14,77
"E01006570",2011,"Liverpool 026C","Total",1463,165,78,87,1195,114,757,106,181,260,210,0,0,0,0,0,116,52,19,33,12,208,71,89,48,103,19,18,0,10,56
"E01006571",2011,"Liverpool 026D","Total",1438,204,84,120,1099,70,523,78,102,172,171,2,2,0,0,0,145,30,29,70,16,359,95,127,137,135,40,30,0,15,50
"E01006572",2011,"Liverpool 025A","Total",1207,133,67,66,978,46,359,80,74,109,96,0,0,0,0,0,190,36,40,83,31,383,121,155,107,96,26,35,0,6,29
"E01006573",2011,"Liverpool 029C","Total",1501,368,149,219,1007,76,436,110,92,126,108,0,0,0,0,0,178,50,44,77,7,317,145,108,64,126,26,42,0,18,40
"E01006574",2011,"Liverpool 025B","Total",1388,231,118,113,1037,74,540,84,100,229,127,0,0,0,0,0,118,20,39,43,16,305,83,137,85,120,48,28,0,4,40
"E01006575",2011,"Liverpool 034A","Total",1289,205,97,108,961,80,517,92,102,174,149,4,0,0,4,0,156,60,40,49,7,204,47,68,89,123,46,31,0,13,33
"E01006576",2011,"Liverpool 034B","Total",1691,191,98,93,1380,102,925,192,196,310,227,2,2,0,0,0,175,68,48,53,6,176,47,59,70,120,28,32,2,11,47
"E01006577",2011,"Liverpool 034C","Total",1503,145,76,69,1231,100,842,144,182,345,171,4,4,0,0,0,138,40,24,61,13,147,47,41,59,127,6,35,3,20,63
"E01006578",2011,"Liverpool 036A","Total",1380,139,65,74,1137,98,698,116,119,288,175,0,0,0,0,0,204,58,59,83,4,137,48,44,45,104,23,12,4,5,60
"E01006579",2011,"Liverpool 034D","Total",1643,131,94,37,1386,114,1024,170,185,397,272,0,0,0,0,0,136,30,25,71,10,112,29,45,38,126,34,27,0,6,59
"E01006580",2011,"Liverpool 036B","Total",1331,113,56,57,1129,116,829,142,192,324,171,0,0,0,0,0,85,20,34,16,15,99,23,28,48,89,29,11,0,0,49
"E01006581",2011,"Liverpool 036C","Total",1559,138,72,66,1283,134,904,140,196,352,216,2,2,0,0,0,118,32,34,36,16,125,22,45,58,138,52,24,33,4,25
"E01006582",2011,"Liverpool 041A","Total",1630,110,53,57,1410,118,1049,152,202,475,220,3,0,3,0,0,104,12,22,70,0,136,31,42,63,110,27,37,17,0,29
"E01006583",2011,"Liverpool 047C","Total",1255,85,61,24,1071,116,833,140,135,335,223,2,2,0,0,0,44,6,18,12,8,76,16,19,41,99,35,34,0,8,22
"E01006584",2011,"Liverpool 034E","Total",1393,205,77,128,1110,112,738,136,143,298,161,0,0,0,0,0,97,40,28,25,4,163,54,53,56,78,15,23,0,2,38
"E01006585",2011,"Liverpool 032B","Total",1354,268,102,166,928,78,416,74,62,146,134,0,0,0,0,0,110,32,27,37,14,324,107,89,128,158,35,30,8,5,80
"E01006586",2011,"Liverpool 032C","Total",1875,414,126,288,1218,72,607,106,130,257,114,4,4,0,0,0,232,114,50,54,14,303,94,89,120,243,20,54,27,11,131
"E01006587",2011,"Liverpool 032D","Total",1619,259,57,202,1173,62,745,136,174,241,194,4,4,0,0,0,171,80,36,28,27,191,51,60,80,187,41,41,2,4,99
"E01006588",2011,"Liverpool 042C","Total",1521,272,72,200,890,66,486,130,82,145,129,2,2,0,0,0,228,118,31,62,17,108,33,21,54,359,19,41,99,8,192
"E01006589",2011,"Liverpool 041B","Total",1512,152,78,74,1235,102,827,132,210,318,167,6,6,0,0,0,143,36,31,66,10,157,48,40,69,125,23,34,0,5,63
"E01006590",2011,"Liverpool 042D","Total",1637,231,65,166,853,46,450,102,88,166,94,2,2,0,0,0,173,102,33,35,3,182,62,42,78,553,19,19,181,6,328
"E01006591",2011,"Liverpool 041C","Total",1633,192,65,127,1112,58,693,122,142,308,121,2,2,0,0,0,163,108,30,16,9,196,48,77,71,329,32,25,93,10,169
"E01006592",2011,"Liverpool 041D","Total",1541,189,123,66,1134,130,818,138,160,343,177,4,4,0,0,0,95,54,13,25,3,87,30,15,42,218,21,33,38,8,118
"E01006593",2011,"Liverpool 042E","Total",1541,232,52,180,877,56,463,98,121,165,79,2,2,0,0,0,161,98,21,22,20,195,44,96,55,432,20,29,160,6,217
"E01006594",2011,"Liverpool 047D","Total",1405,172,96,76,1115,116,850,194,152,310,194,5,0,0,5,0,80,30,18,26,6,64,18,11,35,118,27,38,10,0,43
"E01006595",2011,"Liverpool 049B","Total",1745,280,128,152,1273,106,728,188,132,239,169,4,4,0,0,0,209,110,39,42,18,226,60,87,79,192,14,26,25,13,114
"E01006596",2011,"Liverpool 049C","Total",1451,162,78,84,1133,94,746,160,144,254,188,3,0,3,0,0,125,50,19,52,4,165,24,41,100,156,27,23,9,0,97
"E01006597",2011,"Liverpool 041E","Total",1639,193,92,101,1252,122,855,160,189,315,191,7,2,0,5,0,126,80,21,21,4,142,42,34,66,194,18,51,19,0,106
"E01006598",2011,"Liverpool 010A","Total",1361,223,106,117,984,74,328,56,37,134,101,3,0,3,0,0,192,22,37,106,27,387,130,165,92,154,49,48,0,2,55
"E01006599",2011,"Liverpool 010B","Total",1121,158,45,113,876,30,300,46,43,122,89,2,2,0,0,0,140,22,40,75,3,404,130,205,69,87,27,24,0,5,31
"E01006600",2011,"Liverpool 011A","Total",1407,180,92,88,1022,80,439,74,84,97,184,0,0,0,0,0,159,30,51,61,17,344,93,126,125,205,71,58,0,6,70
"E01006603",2011,"Liverpool 011B","Total",1386,182,78,104,1068,88,480,78,82,152,168,0,0,0,0,0,116,14,27,62,13,384,97,95,192,136,42,38,0,10,46
"E01006604",2011,"Liverpool 016A","Total",1367,175,78,97,1032,66,475,80,75,127,193,0,0,0,0,0,167,36,34,65,32,324,78,116,130,160,55,54,0,6,45
"E01006605",2011,"Liverpool 016B","Total",1531,289,123,166,1037,64,477,70,110,154,143,0,0,0,0,0,155,24,38,81,12,341,97,112,132,205,65,24,0,14,102
"E01006606",2011,"Liverpool 020A","Total",1521,272,82,190,1077,100,500,116,91,135,158,0,0,0,0,0,159,66,38,49,6,318,130,91,97,172,46,42,0,10,74
"E01006607",2011,"Liverpool 008A","Total",1529,196,80,116,1178,88,510,86,77,136,211,0,0,0,0,0,135,22,42,42,29,445,113,227,105,155,46,30,9,8,62
"E01006608",2011,"Liverpool 009A","Total",1213,221,74,147,918,44,460,116,101,123,120,0,0,0,0,0,163,62,46,42,13,251,89,104,58,74,18,23,0,4,29
"E01006609",2011,"Liverpool 009B","Total",1283,209,62,147,925,62,452,86,101,122,143,0,0,0,0,0,124,46,43,29,6,287,94,111,82,149,48,49,0,0,52
"E01006610",2011,"Liverpool 009C","Total",1395,283,134,149,981,50,403,74,88,103,138,0,0,0,0,0,127,48,24,45,10,401,151,168,82,131,20,40,0,7,64
"E01006611",2011,"Liverpool 012A","Total",1291,411,82,329,810,40,257,72,44,82,59,0,0,0,0,0,141,32,59,44,6,372,175,104,93,70,17,8,0,9,36
"E01006612",2011,"Liverpool 008B","Total",1495,346,124,222,1017,78,409,64,56,131,158,2,2,0,0,0,165,44,45,62,14,363,98,171,94,132,28,37,0,4,63
"E01006613",2011,"Liverpool 009D","Total",1360,240,114,126,970,86,503,90,78,155,180,0,0,0,0,0,132,22,32,59,19,249,92,69,88,150,55,34,8,9,44
"E01006614",2011,"Liverpool 012B","Total",1322,292,67,225,945,68,365,84,63,101,117,0,0,0,0,0,191,58,61,54,18,321,103,124,94,85,10,22,0,4,49
"E01006615",2011,"Liverpool 012C","Total",1302,279,72,207,956,45,341,68,92,73,108,0,0,0,0,0,184,82,29,63,10,386,191,106,89,67,16,5,0,0,46
"E01006616",2011,"Liverpool 015D","Total",1428,207,88,119,1078,66,542,88,122,167,165,0,0,0,0,0,181,42,36,87,16,289,70,85,134,143,42,20,0,6,75
"E01006617",2011,"Liverpool 021A","Total",1421,211,69,142,1093,114,582,114,130,179,159,0,0,0,0,0,182,82,42,46,12,215,96,36,83,117,28,24,0,2,63
"E01006618",2011,"Liverpool 016C","Total",1639,212,132,80,1232,120,664,98,120,214,232,0,0,0,0,0,133,32,34,50,17,315,49,106,160,195,46,51,0,12,86
"E01006619",2011,"Liverpool 021B","Total",1599,256,89,167,1201,144,667,148,140,233,146,4,0,0,4,0,161,70,36,45,10,225,74,72,79,142,46,25,6,2,63
"E01006620",2011,"Liverpool 021C","Total",1409,229,145,84,1059,132,684,126,86,269,203,2,2,0,0,0,88,32,25,28,3,153,44,48,61,121,36,27,0,4,54
"E01006621",2011,"Liverpool 021D","Total",1468,163,88,75,1136,124,829,144,159,251,275,0,0,0,0,0,81,20,18,40,3,102,17,47,38,169,36,51,9,8,65
"E01006622",2011,"Liverpool 021E","Total",1519,129,76,53,1312,140,912,162,154,352,244,0,0,0,0,0,143,24,27,71,21,117,19,53,45,78,19,13,0,5,41
"E01006623",2011,"Liverpool 013A","Total",1462,69,32,37,1307,122,987,194,187,318,288,2,2,0,0,0,68,16,12,37,3,128,45,33,50,86,46,5,0,3,32
"E01006624",2011,"Liverpool 013B","Total",1551,268,90,178,1063,82,555,114,85,197,159,0,0,0,0,0,163,50,38,65,10,263,113,77,73,220,44,58,2,11,105
"E01006625",2011,"Liverpool 016D","Total",1416,185,114,71,1122,128,667,128,142,216,181,2,2,0,0,0,110,32,19,50,9,215,65,94,56,109,42,19,0,6,42
"E01006626",2011,"Liverpool 016E","Total",1448,173,101,72,1102,102,738,124,163,205,246,0,0,0,0,0,117,32,23,46,16,145,33,44,68,173,71,37,0,8,57
"E01006627",2011,"Liverpool 013C","Total",1378,195,88,107,1073,84,594,104,131,171,188,0,0,0,0,0,192,64,51,64,13,203,53,59,91,110,47,25,0,4,34
"E01006628",2011,"Liverpool 052D","Total",1518,200,77,123,1026,70,566,118,109,217,122,0,0,0,0,0,208,116,45,47,0,182,57,64,61,292,33,41,31,6,181
"E01006629",2011,"Liverpool 052E","Total",1242,203,79,124,872,76,477,108,106,80,183,0,0,0,0,0,164,70,47,37,10,155,69,24,62,167,34,11,14,10,98
"E01006630",2011,"Liverpool 044B","Total",1338,166,45,121,934,34,279,66,86,78,49,0,0,0,0,0,131,16,60,38,17,490,155,208,127,238,49,89,5,8,87
"E01006632",2011,"Liverpool 044C","Total",1842,344,83,261,1258,78,473,102,109,150,112,2,2,0,0,0,178,74,40,61,3,527,142,222,163,240,55,46,11,7,121
"E01006633",2011,"Liverpool 050B","Total",1432,317,145,172,892,44,259,72,42,73,72,3,0,3,0,0,148,36,53,59,0,438,118,177,143,223,61,76,0,8,78
"E01006637",2011,"Liverpool 017A","Total",1596,208,66,142,1217,46,455,82,71,202,100,0,0,0,0,0,206,50,28,111,17,510,174,251,85,171,43,60,0,2,66
"E01006638",2011,"Liverpool 017B","Total",1219,161,60,101,936,44,366,48,94,109,115,0,0,0,0,0,145,30,53,41,21,381,116,170,95,122,43,42,2,2,33
"E01006639",2011,"Liverpool 017C","Total",1509,199,71,128,1187,66,590,102,138,191,159,3,0,3,0,0,206,46,79,78,3,322,116,121,85,123,30,44,0,6,43
"E01006640",2011,"Liverpool 021F","Total",1880,217,91,126,1493,124,972,148,187,425,212,0,0,0,0,0,170,66,31,70,3,227,86,57,84,170,33,58,0,8,71
"E01006641",2011,"Liverpool 025C","Total",1640,154,17,137,1368,22,809,130,151,450,78,0,0,0,0,0,301,88,89,106,18,236,94,97,45,118,42,36,2,0,38
"E01006642",2011,"Liverpool 025D","Total",1290,219,81,138,925,50,315,66,50,109,90,0,0,0,0,0,189,30,46,106,7,371,154,116,101,146,39,38,0,15,54
"E01006643",2011,"Liverpool 025E","Total",1822,198,57,141,1443,56,570,100,101,267,102,0,0,0,0,0,271,68,61,122,20,546,178,218,150,181,69,61,0,8,43
"E01006644",2011,"Liverpool 017D","Total",2040,404,114,290,1376,78,609,104,130,215,160,0,0,0,0,0,264,90,64,94,16,425,176,136,113,260,62,93,2,6,97
"E01006645",2011,"Liverpool 017E","Total",1424,299,138,161,946,74,349,70,62,103,114,0,0,0,0,0,84,18,28,25,13,439,176,140,123,179,47,56,0,8,68
"E01006646",2011,"Liverpool 023C","Total",1881,503,94,409,1065,34,414,116,99,108,91,3,0,0,0,3,236,154,18,47,17,378,142,126,110,313,62,72,36,15,128
"E01006647",2011,"Liverpool 024C","Total",1422,242,92,150,1039,44,361,60,62,154,85,0,0,0,0,0,119,16,28,62,13,515,178,222,115,141,43,28,0,18,52
"E01006648",2011,"Liverpool 023D","Total",2175,428,125,303,1253,52,495,96,102,126,171,2,2,0,0,0,215,130,37,32,16,489,144,165,180,494,26,49,87,10,322
"E01006651",2011,"Liverpool 001A","Total",1642,103,27,76,1430,28,987,156,235,413,183,0,0,0,0,0,200,54,75,61,10,215,79,86,50,109,40,35,0,0,34
"E01006652",2011,"Liverpool 002A","Total",1505,193,67,126,1172,82,637,116,110,224,187,0,0,0,0,0,184,50,73,49,12,269,93,108,68,140,27,36,3,9,65
"E01006653",2011,"Liverpool 001B","Total",1520,203,74,129,1179,86,562,100,150,213,99,0,0,0,0,0,180,54,52,60,14,351,94,107,150,138,52,26,3,8,49
"E01006654",2011,"Liverpool 005A","Total",1455,217,98,119,1115,60,725,122,160,259,184,0,0,0,0,0,147,56,30,42,19,183,92,55,36,123,35,41,0,2,45
"E01006655",2011,"Liverpool 001C","Total",1733,194,88,106,1371,74,679,128,121,240,190,0,0,0,0,0,246,44,70,108,24,372,93,136,143,168,38,47,0,9,74
"E01006656",2011,"Liverpool 002B","Total",1493,222,69,153,1164,68,593,124,106,174,189,0,0,0,0,0,204,82,57,62,3,299,110,99,90,107,7,36,4,9,51
"E01006657",2011,"Liverpool 002C","Total",1211,236,71,165,911,48,422,86,77,154,105,0,0,0,0,0,172,56,42,55,19,269,97,91,81,64,21,13,0,4,26
"E01006658",2011,"Liverpool 001D","Total",1300,254,84,170,904,70,298,72,58,78,90,0,0,0,0,0,163,46,46,46,25,373,139,120,114,142,27,40,0,10,65
"E01006659",2011,"Liverpool 005B","Total",1070,264,77,187,714,34,300,44,83,91,82,3,0,0,0,3,120,40,34,32,14,257,103,78,76,92,29,15,0,2,46
"E01006660",2011,"Liverpool 001E","Total",1433,226,97,129,1073,64,614,66,143,255,150,0,0,0,0,0,151,30,54,54,13,244,69,93,82,134,34,23,0,15,62
"E01006661",2011,"Liverpool 004A","Total",1663,269,123,146,1193,112,486,92,111,132,151,0,0,0,0,0,184,36,44,88,16,411,137,134,140,201,61,43,0,4,93
"E01006662",2011,"Liverpool 004B","Total",1633,333,162,171,1162,72,518,80,120,215,103,0,0,0,0,0,217,68,69,71,9,355,101,134,120,138,38,35,3,8,54
"E01006663",2011,"Liverpool 004C","Total",1153,175,64,111,844,22,362,74,108,120,60,0,0,0,0,0,194,60,40,84,10,266,82,102,82,134,17,39,0,12,66
"E01006664",2011,"Liverpool 004D","Total",1795,327,128,199,1301,51,540,110,67,217,146,0,0,0,0,0,256,80,74,83,19,454,178,159,117,167,44,58,0,10,55
"E01006665",2011,"Liverpool 007A","Total",1555,180,49,131,1238,44,804,150,175,308,171,9,2,3,4,0,168,68,37,57,6,213,76,91,46,137,47,57,0,2,31
"E01006666",2011,"Liverpool 007B","Total",1504,84,30,54,1283,38,937,104,225,437,171,0,0,0,0,0,143,52,44,43,4,165,67,54,44,137,48,58,0,0,31
"E01006667",2011,"Liverpool 007C","Total",1413,188,78,110,1068,76,582,146,107,187,142,2,2,0,0,0,120,56,23,38,3,288,87,103,98,157,35,29,0,7,86
