"lsoa11cd","date","lsoa11nm","Rural Urban","Occupancy Rating: All categories: Occupancy rating (rooms); measures: Value","Occupancy Rating: Occupancy rating (rooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (rooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (rooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (rooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (rooms) of -2 or less; measures: Value"
"E01006674",2011,"Liverpool 039C","Total",826,146,280,239,109,52
"E01006675",2011,"Liverpool 043C","Total",1132,136,263,469,212,52
"E01006676",2011,"Liverpool 044D","Total",761,216,253,182,73,37
"E01006677",2011,"Liverpool 043D","Total",477,118,194,115,35,15
"E01006678",2011,"Liverpool 044E","Total",1059,271,301,339,105,43
"E01006679",2011,"Liverpool 039D","Total",920,179,226,275,156,84
"E01006680",2011,"Liverpool 053B","Total",605,491,83,22,6,3
"E01006681",2011,"Liverpool 054D","Total",719,421,109,153,31,5
"E01006682",2011,"Liverpool 053C","Total",498,432,47,16,3,0
"E01006683",2011,"Liverpool 053D","Total",594,502,61,22,6,3
"E01006684",2011,"Liverpool 056B","Total",999,596,252,119,31,1
"E01006685",2011,"Liverpool 056C","Total",604,432,92,66,14,0
"E01006686",2011,"Liverpool 053E","Total",531,421,72,30,6,2
"E01006687",2011,"Liverpool 056D","Total",933,530,173,170,55,5
"E01006688",2011,"Liverpool 056E","Total",712,419,135,122,33,3
"E01006689",2011,"Liverpool 049D","Total",717,508,106,79,18,6
"E01006690",2011,"Liverpool 028A","Total",801,190,215,264,99,33
"E01006691",2011,"Liverpool 030A","Total",647,250,178,116,71,32
"E01006692",2011,"Liverpool 028B","Total",989,401,289,200,69,30
"E01006693",2011,"Liverpool 024D","Total",838,166,345,225,75,27
"E01006694",2011,"Liverpool 030B","Total",891,284,314,180,80,33
"E01006695",2011,"Liverpool 028C","Total",1029,232,187,375,165,70
"E01006696",2011,"Liverpool 030C","Total",768,213,254,219,59,23
"E01006697",2011,"Liverpool 030D","Total",828,293,276,169,69,21
"E01006698",2011,"Liverpool 012D","Total",725,349,217,120,34,5
"E01006699",2011,"Liverpool 014A","Total",777,289,252,182,44,10
"E01006700",2011,"Liverpool 012E","Total",653,295,184,128,35,11
"E01006701",2011,"Liverpool 014B","Total",671,263,189,149,62,8
"E01006702",2011,"Liverpool 014C","Total",740,295,251,134,49,11
"E01006703",2011,"Liverpool 014D","Total",818,249,230,269,58,12
"E01006705",2011,"Liverpool 009E","Total",689,318,190,115,48,18
"E01006706",2011,"Liverpool 045A","Total",582,207,180,140,40,15
"E01006707",2011,"Liverpool 045B","Total",553,214,152,145,30,12
"E01006708",2011,"Liverpool 045C","Total",754,334,245,132,28,15
"E01006709",2011,"Liverpool 040A","Total",685,295,217,122,40,11
"E01006710",2011,"Liverpool 045D","Total",592,275,188,102,20,7
"E01006711",2011,"Liverpool 027A","Total",685,319,186,126,36,18
"E01006712",2011,"Liverpool 029D","Total",569,332,156,62,15,4
"E01006713",2011,"Liverpool 029E","Total",604,313,167,103,17,4
"E01006716",2011,"Liverpool 032E","Total",701,227,254,154,52,14
"E01006717",2011,"Liverpool 027D","Total",576,360,141,56,15,4
"E01006718",2011,"Liverpool 027E","Total",678,370,164,98,31,15
"E01006719",2011,"Liverpool 027F","Total",638,397,132,80,20,9
"E01006720",2011,"Liverpool 035A","Total",905,263,290,230,83,39
"E01006721",2011,"Liverpool 038C","Total",912,148,349,300,94,21
"E01006722",2011,"Liverpool 038D","Total",608,257,127,134,70,20
"E01006723",2011,"Liverpool 038E","Total",749,279,179,190,75,26
"E01006724",2011,"Liverpool 038F","Total",554,241,118,115,58,22
"E01006725",2011,"Liverpool 035B","Total",739,278,236,174,42,9
"E01006726",2011,"Liverpool 035C","Total",659,268,195,135,45,16
"E01006727",2011,"Liverpool 035D","Total",665,312,192,106,42,13
"E01006728",2011,"Liverpool 035E","Total",855,179,350,236,60,30
"E01006729",2011,"Liverpool 008C","Total",539,227,180,90,34,8
"E01006730",2011,"Liverpool 011C","Total",542,275,152,74,32,9
"E01006731",2011,"Liverpool 011D","Total",486,243,120,93,19,11
"E01006732",2011,"Liverpool 011E","Total",644,283,191,117,42,11
"E01006734",2011,"Liverpool 005C","Total",625,202,210,168,31,14
"E01006735",2011,"Liverpool 005D","Total",571,255,169,115,27,5
"E01006736",2011,"Liverpool 005E","Total",582,343,140,65,21,13
"E01006737",2011,"Liverpool 005F","Total",562,289,142,96,23,12
"E01006738",2011,"Liverpool 058A","Total",662,291,205,120,41,5
"E01006739",2011,"Liverpool 058B","Total",707,297,207,143,37,23
"E01006740",2011,"Liverpool 057A","Total",604,169,200,186,38,11
"E01006741",2011,"Liverpool 058C","Total",778,360,239,137,31,11
"E01006742",2011,"Liverpool 057B","Total",591,373,130,65,14,9
"E01006743",2011,"Liverpool 058D","Total",1008,412,261,246,79,10
"E01006744",2011,"Liverpool 057C","Total",739,315,252,120,43,9
"E01006745",2011,"Liverpool 057D","Total",907,317,207,266,101,16
"E01006746",2011,"Liverpool 030E","Total",655,255,183,143,57,17
"E01006747",2011,"Liverpool 031B","Total",857,172,209,250,140,86
"E01006748",2011,"Liverpool 031C","Total",756,303,183,176,76,18
