"lsoa11cd","date","lsoa11nm","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"E01006581",2011,"Liverpool 036C","Total",1559,87,61,24,103,20,36,37,107,74,287,343,113,155,81,21,10,40.8,43
"E01006582",2011,"Liverpool 041A","Total",1642,83,53,37,136,24,66,46,100,61,276,394,121,128,91,15,11,39.6,42
"E01006583",2011,"Liverpool 047C","Total",1758,72,38,29,78,17,36,384,194,56,180,328,95,135,92,18,6,36.3,27
"E01006584",2011,"Liverpool 034E","Total",1393,78,33,24,83,28,44,27,67,72,281,312,109,130,78,19,8,41.4,42
"E01006585",2011,"Liverpool 032B","Total",1354,66,36,19,85,12,31,44,85,79,255,288,91,132,106,14,11,42.2,43
"E01006586",2011,"Liverpool 032C","Total",1899,102,46,30,94,21,39,54,144,181,414,391,100,137,108,26,12,39.6,39
"E01006587",2011,"Liverpool 032D","Total",1624,89,49,35,72,25,33,37,115,124,342,377,139,113,61,11,2,39.3,40
"E01006588",2011,"Liverpool 042C","Total",1569,64,27,21,43,12,28,35,212,189,309,305,77,109,79,32,27,40.3,37
"E01006589",2011,"Liverpool 041B","Total",1518,93,47,38,89,17,37,37,86,80,286,356,112,122,95,18,5,40.5,42
"E01006590",2011,"Liverpool 042D","Total",1642,65,34,28,48,10,23,39,309,224,365,267,59,83,68,14,6,35.5,30
"E01006591",2011,"Liverpool 041C","Total",1633,96,33,21,90,19,44,52,201,147,339,313,98,95,58,25,2,36.9,34
"E01006592",2011,"Liverpool 041D","Total",1565,59,38,25,95,21,38,33,141,83,234,349,115,143,139,36,16,43.7,45
"E01006593",2011,"Liverpool 042E","Total",1541,85,33,33,56,10,29,53,235,192,408,212,50,76,55,10,4,34.2,31
"E01006594",2011,"Liverpool 047D","Total",1410,51,40,28,81,19,38,31,80,58,187,374,145,141,102,25,10,44.6,48
"E01006595",2011,"Liverpool 049B","Total",1745,114,60,17,67,11,36,30,97,160,407,339,100,144,124,22,17,40.8,39
"E01006596",2011,"Liverpool 049C","Total",1451,64,36,22,86,15,28,45,105,116,257,364,79,101,102,21,10,41.3,42
"E01006597",2011,"Liverpool 041E","Total",1667,85,55,31,88,13,40,26,121,91,313,379,116,146,107,34,22,42.4,44
"E01006598",2011,"Liverpool 010A","Total",1361,97,51,52,101,22,42,41,80,85,247,244,67,121,80,25,6,37.7,36
