"lsoa11cd","date","lsoa11nm","Rural Urban","Length of Residence in UK: All categories: Length of residence in the UK; measures: Value","Length of Residence in UK: Born in the UK; measures: Value","Length of Residence in UK: Resident in UK: Less than 2 years; measures: Value","Length of Residence in UK: Resident in UK: 2 years or more but less than 5 years; measures: Value","Length of Residence in UK: Resident in UK: 5 years or more but less than 10 years; measures: Value","Length of Residence in UK: Resident in UK: 10 years or more; measures: Value"
"E01006686",2011,"Liverpool 053E","Total",1433,1362,3,5,11,52
"E01006687",2011,"Liverpool 056D","Total",1952,1756,9,29,40,118
"E01006688",2011,"Liverpool 056E","Total",1524,1427,8,26,20,43
"E01006689",2011,"Liverpool 049D","Total",1651,1589,3,1,11,47
"E01006690",2011,"Liverpool 028A","Total",1492,1132,65,71,142,82
"E01006691",2011,"Liverpool 030A","Total",1503,1013,103,107,154,126
"E01006692",2011,"Liverpool 028B","Total",2180,1804,75,93,119,89
"E01006693",2011,"Liverpool 024D","Total",1511,1358,12,37,63,41
"E01006694",2011,"Liverpool 030B","Total",1864,1287,103,160,235,79
"E01006695",2011,"Liverpool 028C","Total",1821,1329,85,109,181,117
"E01006696",2011,"Liverpool 030C","Total",1744,1349,60,88,172,75
"E01006697",2011,"Liverpool 030D","Total",1845,1364,93,121,157,110
"E01006698",2011,"Liverpool 012D","Total",1716,1663,9,6,9,29
"E01006699",2011,"Liverpool 014A","Total",1594,1498,20,27,31,18
"E01006700",2011,"Liverpool 012E","Total",1438,1366,10,12,16,34
"E01006701",2011,"Liverpool 014B","Total",1380,1319,5,14,19,23
"E01006702",2011,"Liverpool 014C","Total",1618,1521,19,23,31,24
"E01006703",2011,"Liverpool 014D","Total",1561,1458,14,15,43,31
"E01006705",2011,"Liverpool 009E","Total",1409,1325,19,18,21,26
"E01006706",2011,"Liverpool 045A","Total",1346,1312,2,2,8,22
"E01006707",2011,"Liverpool 045B","Total",1323,1278,0,7,7,31
"E01006708",2011,"Liverpool 045C","Total",1805,1750,9,6,16,24
"E01006709",2011,"Liverpool 040A","Total",1438,1400,1,2,9,26
"E01006710",2011,"Liverpool 045D","Total",1496,1459,2,3,7,25
"E01006711",2011,"Liverpool 027A","Total",1538,1418,15,17,40,48
"E01006712",2011,"Liverpool 029D","Total",1339,1265,5,14,27,28
"E01006713",2011,"Liverpool 029E","Total",1377,1307,4,9,35,22
"E01006716",2011,"Liverpool 032E","Total",1589,1452,13,22,39,63
"E01006717",2011,"Liverpool 027D","Total",1436,1347,6,27,12,44
"E01006718",2011,"Liverpool 027E","Total",1587,1487,5,23,29,43
"E01006719",2011,"Liverpool 027F","Total",1535,1494,2,9,7,23
"E01006720",2011,"Liverpool 035A","Total",2108,1386,158,187,211,166
"E01006721",2011,"Liverpool 038C","Total",1655,1402,60,67,42,84
"E01006722",2011,"Liverpool 038D","Total",1793,1425,85,66,95,122
"E01006723",2011,"Liverpool 038E","Total",1875,1543,86,80,71,95
"E01006724",2011,"Liverpool 038F","Total",1790,1569,33,45,28,115
"E01006725",2011,"Liverpool 035B","Total",1537,1395,13,27,42,60
"E01006726",2011,"Liverpool 035C","Total",1565,1262,58,70,80,95
"E01006727",2011,"Liverpool 035D","Total",1441,1286,14,34,54,53
"E01006728",2011,"Liverpool 035E","Total",1623,1430,25,54,62,52
"E01006729",2011,"Liverpool 008C","Total",1400,1349,1,9,12,29
"E01006730",2011,"Liverpool 011C","Total",1326,1285,2,6,17,16
"E01006731",2011,"Liverpool 011D","Total",1196,1138,16,12,19,11
"E01006732",2011,"Liverpool 011E","Total",1643,1578,8,22,18,17
"E01006734",2011,"Liverpool 005C","Total",1412,1311,17,29,35,20
"E01006735",2011,"Liverpool 005D","Total",1309,1254,2,10,26,17
"E01006736",2011,"Liverpool 005E","Total",1460,1382,11,16,33,18
"E01006737",2011,"Liverpool 005F","Total",1435,1389,3,4,22,17
"E01006738",2011,"Liverpool 058A","Total",1501,1474,2,8,6,11
"E01006739",2011,"Liverpool 058B","Total",1769,1696,19,12,14,28
"E01006740",2011,"Liverpool 057A","Total",1280,1147,52,17,22,42
"E01006741",2011,"Liverpool 058C","Total",1815,1769,6,12,7,21
"E01006742",2011,"Liverpool 057B","Total",1394,1348,5,9,13,19
"E01006743",2011,"Liverpool 058D","Total",2175,1996,32,54,41,52
