"lsoa11cd","date","lsoa11nm","Rural Urban","Residence Type: All categories: Residence type; measures: Value","Residence Type: Lives in a household; measures: Value","Residence Type: Lives in a communal establishment; measures: Value","Residence Type: Communal establishments with persons sleeping rough identified; measures: Value"
"E01006643",2011,"Liverpool 025E","Total",1822,1822,0,0
"E01006644",2011,"Liverpool 017D","Total",2040,2040,0,0
"E01006645",2011,"Liverpool 017E","Total",1424,1424,0,0
"E01006646",2011,"Liverpool 023C","Total",1899,1881,18,1
"E01006647",2011,"Liverpool 024C","Total",1422,1422,0,0
"E01006648",2011,"Liverpool 023D","Total",2175,2175,0,0
"E01006651",2011,"Liverpool 001A","Total",1642,1642,0,0
"E01006652",2011,"Liverpool 002A","Total",1505,1505,0,0
"E01006653",2011,"Liverpool 001B","Total",1520,1520,0,0
"E01006654",2011,"Liverpool 005A","Total",1513,1455,58,0
"E01006655",2011,"Liverpool 001C","Total",1758,1733,25,0
"E01006656",2011,"Liverpool 002B","Total",1493,1493,0,0
"E01006657",2011,"Liverpool 002C","Total",1211,1211,0,0
"E01006658",2011,"Liverpool 001D","Total",1300,1300,0,0
"E01006659",2011,"Liverpool 005B","Total",1765,1070,695,0
"E01006660",2011,"Liverpool 001E","Total",1433,1433,0,0
"E01006661",2011,"Liverpool 004A","Total",1663,1663,0,0
"E01006662",2011,"Liverpool 004B","Total",1775,1633,142,0
"E01006663",2011,"Liverpool 004C","Total",1153,1153,0,0
"E01006664",2011,"Liverpool 004D","Total",1795,1795,0,0
"E01006665",2011,"Liverpool 007A","Total",1555,1555,0,0
"E01006666",2011,"Liverpool 007B","Total",1504,1504,0,0
"E01006667",2011,"Liverpool 007C","Total",1453,1413,40,0
"E01006668",2011,"Liverpool 007D","Total",1534,1534,0,0
"E01006669",2011,"Liverpool 004E","Total",1470,1470,0,0
"E01006670",2011,"Liverpool 007E","Total",1526,1520,6,0
"E01006671",2011,"Liverpool 013D","Total",1355,1349,6,0
"E01006672",2011,"Liverpool 010E","Total",1955,1955,0,0
"E01006673",2011,"Liverpool 037D","Total",1937,1925,12,0
"E01006674",2011,"Liverpool 039C","Total",1885,1885,0,0
"E01006675",2011,"Liverpool 043C","Total",1824,1682,142,0
"E01006676",2011,"Liverpool 044D","Total",1753,1753,0,0
"E01006677",2011,"Liverpool 043D","Total",1040,993,47,0
"E01006678",2011,"Liverpool 044E","Total",2127,2126,1,0
"E01006679",2011,"Liverpool 039D","Total",2232,2184,48,0
"E01006680",2011,"Liverpool 053B","Total",1569,1569,0,0
"E01006681",2011,"Liverpool 054D","Total",1585,1585,0,0
"E01006682",2011,"Liverpool 053C","Total",1310,1310,0,0
"E01006683",2011,"Liverpool 053D","Total",1510,1507,3,0
"E01006684",2011,"Liverpool 056B","Total",2138,2113,25,0
"E01006685",2011,"Liverpool 056C","Total",1484,1426,58,0
"E01006686",2011,"Liverpool 053E","Total",1433,1429,4,0
"E01006687",2011,"Liverpool 056D","Total",1952,1896,56,0
"E01006688",2011,"Liverpool 056E","Total",1524,1520,4,0
"E01006689",2011,"Liverpool 049D","Total",1651,1651,0,0
"E01006690",2011,"Liverpool 028A","Total",1492,1457,35,0
"E01006691",2011,"Liverpool 030A","Total",1503,1488,15,0
"E01006692",2011,"Liverpool 028B","Total",2180,2180,0,0
"E01006693",2011,"Liverpool 024D","Total",1511,1508,3,0
"E01006694",2011,"Liverpool 030B","Total",1864,1864,0,0
"E01006695",2011,"Liverpool 028C","Total",1821,1814,7,0
"E01006696",2011,"Liverpool 030C","Total",1744,1744,0,0
"E01006697",2011,"Liverpool 030D","Total",1845,1843,2,0
"E01006698",2011,"Liverpool 012D","Total",1716,1716,0,0
"E01006699",2011,"Liverpool 014A","Total",1594,1581,13,0
"E01006700",2011,"Liverpool 012E","Total",1438,1410,28,0
"E01006701",2011,"Liverpool 014B","Total",1380,1380,0,0
"E01006702",2011,"Liverpool 014C","Total",1618,1596,22,0
"E01006703",2011,"Liverpool 014D","Total",1561,1527,34,0
"E01006705",2011,"Liverpool 009E","Total",1409,1409,0,0
"E01006706",2011,"Liverpool 045A","Total",1346,1346,0,0
"E01006707",2011,"Liverpool 045B","Total",1323,1294,29,0
"E01006708",2011,"Liverpool 045C","Total",1805,1757,48,0
"E01006709",2011,"Liverpool 040A","Total",1438,1438,0,0
"E01006710",2011,"Liverpool 045D","Total",1496,1490,6,0
"E01006711",2011,"Liverpool 027A","Total",1538,1500,38,0
"E01006712",2011,"Liverpool 029D","Total",1339,1303,36,0
"E01006713",2011,"Liverpool 029E","Total",1377,1375,2,0
"E01006716",2011,"Liverpool 032E","Total",1589,1454,135,0
"E01006717",2011,"Liverpool 027D","Total",1436,1436,0,0
"E01006718",2011,"Liverpool 027E","Total",1587,1584,3,0
"E01006719",2011,"Liverpool 027F","Total",1535,1535,0,0
"E01006720",2011,"Liverpool 035A","Total",2108,2108,0,0
"E01006721",2011,"Liverpool 038C","Total",1655,1655,0,0
"E01006722",2011,"Liverpool 038D","Total",1793,1793,0,0
"E01006723",2011,"Liverpool 038E","Total",1875,1862,13,0
"E01006724",2011,"Liverpool 038F","Total",1790,1783,7,0
"E01006725",2011,"Liverpool 035B","Total",1537,1537,0,1
"E01006726",2011,"Liverpool 035C","Total",1565,1565,0,0
"E01006727",2011,"Liverpool 035D","Total",1441,1438,3,0
"E01006728",2011,"Liverpool 035E","Total",1623,1620,3,0
"E01006729",2011,"Liverpool 008C","Total",1400,1400,0,0
"E01006730",2011,"Liverpool 011C","Total",1326,1323,3,0
"E01006731",2011,"Liverpool 011D","Total",1196,1196,0,0
"E01006732",2011,"Liverpool 011E","Total",1643,1643,0,0
"E01006734",2011,"Liverpool 005C","Total",1412,1412,0,0
"E01006735",2011,"Liverpool 005D","Total",1309,1309,0,0
"E01006736",2011,"Liverpool 005E","Total",1460,1460,0,0
"E01006737",2011,"Liverpool 005F","Total",1435,1435,0,0
"E01006738",2011,"Liverpool 058A","Total",1501,1501,0,0
"E01006739",2011,"Liverpool 058B","Total",1769,1738,31,0
"E01006740",2011,"Liverpool 057A","Total",1280,1280,0,0
"E01006741",2011,"Liverpool 058C","Total",1815,1815,0,0
"E01006742",2011,"Liverpool 057B","Total",1394,1394,0,0
"E01006743",2011,"Liverpool 058D","Total",2175,2175,0,0
"E01006744",2011,"Liverpool 057C","Total",1482,1482,0,0
"E01006745",2011,"Liverpool 057D","Total",1879,1854,25,0
"E01006746",2011,"Liverpool 030E","Total",1513,1506,7,0
"E01006747",2011,"Liverpool 031B","Total",3552,1655,1897,0
"E01006748",2011,"Liverpool 031C","Total",1936,1936,0,0
"E01006751",2011,"Liverpool 031F","Total",2572,2043,529,0
"E01006752",2011,"Liverpool 035F","Total",1012,1012,0,0
"E01006753",2011,"Liverpool 059A","Total",1557,1557,0,0
"E01006754",2011,"Liverpool 059B","Total",1627,1627,0,0
"E01006755",2011,"Liverpool 059C","Total",1587,1552,35,0
"E01006756",2011,"Liverpool 059D","Total",1820,1820,0,0
"E01006757",2011,"Liverpool 059E","Total",1491,1491,0,0
"E01006758",2011,"Liverpool 059F","Total",1527,1527,0,0
"E01006759",2011,"Liverpool 028D","Total",1095,1052,43,0
"E01006760",2011,"Liverpool 028E","Total",1611,1548,63,0
"E01006761",2011,"Liverpool 020B","Total",1644,1583,61,0
"E01006762",2011,"Liverpool 015E","Total",1692,1692,0,0
"E01006763",2011,"Liverpool 020C","Total",1471,1471,0,0
"E01006764",2011,"Liverpool 020D","Total",1522,1522,0,0
"E01006765",2011,"Liverpool 020E","Total",1468,1468,0,0
"E01006766",2011,"Liverpool 019E","Total",1266,1265,1,0
"E01006767",2011,"Liverpool 019F","Total",1787,1784,3,0
"E01006768",2011,"Liverpool 020F","Total",1359,1347,12,0
"E01006769",2011,"Liverpool 040B","Total",1270,1270,0,0
"E01006770",2011,"Liverpool 040C","Total",1002,1002,0,0
"E01006771",2011,"Liverpool 040D","Total",1425,1425,0,0
"E01006772",2011,"Liverpool 040E","Total",1091,1081,10,0
"E01006773",2011,"Liverpool 036D","Total",1379,1378,1,0
"E01006774",2011,"Liverpool 036E","Total",1445,1445,0,0
"E01006775",2011,"Liverpool 040F","Total",1319,1302,17,0
"E01006776",2011,"Liverpool 022B","Total",1677,1646,31,0
"E01006778",2011,"Liverpool 014E","Total",2205,2205,0,0
"E01006779",2011,"Liverpool 022D","Total",1968,1934,34,0
"E01006780",2011,"Liverpool 002D","Total",1465,1465,0,0
"E01006781",2011,"Liverpool 003A","Total",1470,1469,1,0
"E01006782",2011,"Liverpool 003B","Total",1560,1541,19,0
"E01006783",2011,"Liverpool 002E","Total",1548,1548,0,0
"E01006784",2011,"Liverpool 003C","Total",1347,1344,3,0
"E01006785",2011,"Liverpool 003D","Total",1769,1769,0,0
"E01006786",2011,"Liverpool 003E","Total",1820,1820,0,0
"E01006787",2011,"Liverpool 006A","Total",2330,1534,796,0
"E01006788",2011,"Liverpool 006B","Total",1825,1825,0,0
"E01006790",2011,"Liverpool 006C","Total",1587,1587,0,0
"E01006791",2011,"Liverpool 006D","Total",1674,1674,0,0
"E01006792",2011,"Liverpool 046A","Total",1368,1364,4,0
"E01006793",2011,"Liverpool 051A","Total",1494,1494,0,0
"E01006794",2011,"Liverpool 046B","Total",1593,1590,3,0
"E01006795",2011,"Liverpool 051B","Total",1407,1407,0,0
"E01006796",2011,"Liverpool 047E","Total",1591,1586,5,0
"E01006797",2011,"Liverpool 051C","Total",1499,1499,0,0
"E01006798",2011,"Liverpool 051D","Total",1410,1410,0,0
"E01006799",2011,"Liverpool 051E","Total",1821,1796,25,0
"E01006800",2011,"Liverpool 046C","Total",1401,1401,0,0
"E01006801",2011,"Liverpool 046D","Total",1355,1344,11,0
"E01032505",2011,"Liverpool 050F","Total",1317,1315,2,0
"E01032506",2011,"Liverpool 050G","Total",1403,1344,59,0
"E01032507",2011,"Liverpool 050H","Total",1539,1539,0,0
"E01032508",2011,"Liverpool 027G","Total",1723,1723,0,0
"E01032509",2011,"Liverpool 027H","Total",1434,1432,2,0
"E01032510",2011,"Liverpool 008F","Total",1809,1809,0,0
"E01032511",2011,"Liverpool 008G","Total",1378,1378,0,0
"E01033747",2011,"Liverpool 018F","Total",1043,1035,8,0
"E01033748",2011,"Liverpool 050I","Total",1277,1276,1,0
"E01033749",2011,"Liverpool 042F","Total",1153,1151,2,0
"E01033750",2011,"Liverpool 061A","Total",1448,1448,0,0
"E01033751",2011,"Liverpool 062A","Total",1873,1039,834,0
"E01033752",2011,"Liverpool 062B","Total",1196,1195,1,0
"E01033753",2011,"Liverpool 062C","Total",1051,1051,0,0
"E01033754",2011,"Liverpool 061B","Total",1452,1448,4,0
"E01033755",2011,"Liverpool 062D","Total",1082,1082,0,0
"E01033756",2011,"Liverpool 061C","Total",1185,1136,49,0
"E01033757",2011,"Liverpool 037E","Total",1025,1015,10,0
"E01033758",2011,"Liverpool 060B","Total",1730,703,1027,0
"E01033759",2011,"Liverpool 010F","Total",1147,1147,0,0
"E01033760",2011,"Liverpool 060C","Total",2115,856,1259,0
"E01033761",2011,"Liverpool 060D","Total",1372,1340,32,0
"E01033762",2011,"Liverpool 060E","Total",1791,722,1069,0
"E01033763",2011,"Liverpool 031G","Total",1527,1471,56,0
"E01033764",2011,"Liverpool 022E","Total",2202,2191,11,0
"E01033765",2011,"Liverpool 061D","Total",1351,1351,0,0
"E01033766",2011,"Liverpool 042G","Total",1075,1072,3,0
"E01033767",2011,"Liverpool 050J","Total",1067,1067,0,0
"E01033768",2011,"Liverpool 037F","Total",1223,1219,4,0
