"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All households; measures: Value","Tenure: Owned; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other; measures: Value","Tenure: Private rented; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value"
"E01006763",2011,"Liverpool 020C","Total",652,394,148,246,3,36,2,34,213,201,12,6
"E01006764",2011,"Liverpool 020D","Total",667,309,138,171,2,84,5,79,266,247,19,6
"E01006765",2011,"Liverpool 020E","Total",659,375,163,212,21,119,38,81,137,132,5,7
"E01006766",2011,"Liverpool 019E","Total",574,209,93,116,2,119,5,114,239,236,3,5
"E01006767",2011,"Liverpool 019F","Total",779,352,124,228,1,135,5,130,281,276,5,10
"E01006768",2011,"Liverpool 020F","Total",587,310,142,168,3,63,1,62,204,195,9,7
"E01006769",2011,"Liverpool 040B","Total",712,189,90,99,30,440,60,380,33,28,5,20
"E01006770",2011,"Liverpool 040C","Total",445,214,101,113,1,195,34,161,27,25,2,8
"E01006771",2011,"Liverpool 040D","Total",694,206,99,107,0,405,47,358,65,55,10,18
"E01006772",2011,"Liverpool 040E","Total",480,329,155,174,18,95,29,66,29,25,4,9
"E01006773",2011,"Liverpool 036D","Total",554,480,209,271,1,18,4,14,51,46,5,4
"E01006774",2011,"Liverpool 036E","Total",552,476,182,294,0,33,7,26,33,27,6,10
"E01006775",2011,"Liverpool 040F","Total",556,192,100,92,1,322,51,271,25,25,0,16
"E01006776",2011,"Liverpool 022B","Total",844,244,79,165,25,452,28,424,115,105,10,8
"E01006778",2011,"Liverpool 014E","Total",1124,244,123,121,7,551,154,397,307,298,9,15
"E01006779",2011,"Liverpool 022D","Total",902,177,65,112,22,620,166,454,61,53,8,22
"E01006780",2011,"Liverpool 002D","Total",619,446,192,254,0,32,4,28,133,123,10,8
"E01006781",2011,"Liverpool 003A","Total",600,511,189,322,2,28,5,23,56,48,8,3
"E01006782",2011,"Liverpool 003B","Total",691,438,184,254,0,52,6,46,195,190,5,6
"E01006783",2011,"Liverpool 002E","Total",645,439,187,252,0,30,4,26,168,164,4,8
"E01006784",2011,"Liverpool 003C","Total",586,408,155,253,2,23,3,20,149,137,12,4
"E01006785",2011,"Liverpool 003D","Total",781,451,190,261,1,46,12,34,269,264,5,14
"E01006786",2011,"Liverpool 003E","Total",764,574,237,337,0,77,18,59,105,95,10,8
"E01006787",2011,"Liverpool 006A","Total",691,280,106,174,1,109,18,91,292,283,9,9
"E01006788",2011,"Liverpool 006B","Total",681,496,197,299,0,47,13,34,131,120,11,7
"E01006790",2011,"Liverpool 006C","Total",801,209,100,109,0,389,32,357,194,187,7,9
"E01006791",2011,"Liverpool 006D","Total",873,274,105,169,1,379,99,280,198,188,10,21
"E01006792",2011,"Liverpool 046A","Total",557,479,280,199,11,37,3,34,26,22,4,4
"E01006793",2011,"Liverpool 051A","Total",759,405,234,171,1,165,20,145,177,166,11,11
"E01006794",2011,"Liverpool 046B","Total",711,511,275,236,0,38,5,33,151,141,10,11
"E01006795",2011,"Liverpool 051B","Total",628,508,248,260,0,14,3,11,95,92,3,11
"E01006796",2011,"Liverpool 047E","Total",581,539,289,250,0,6,1,5,29,29,0,7
"E01006797",2011,"Liverpool 051C","Total",707,378,171,207,1,251,57,194,62,62,0,15
"E01006798",2011,"Liverpool 051D","Total",609,515,275,240,1,22,8,14,69,64,5,2
"E01006799",2011,"Liverpool 051E","Total",1145,428,231,197,4,502,21,481,191,178,13,20
"E01006800",2011,"Liverpool 046C","Total",679,604,380,224,1,8,0,8,57,47,10,9
"E01006801",2011,"Liverpool 046D","Total",609,562,324,238,1,3,0,3,39,30,9,4
"E01032505",2011,"Liverpool 050F","Total",563,351,167,184,1,118,9,109,88,83,5,5
"E01032506",2011,"Liverpool 050G","Total",656,386,173,213,0,98,6,92,164,159,5,8
"E01032507",2011,"Liverpool 050H","Total",666,415,188,227,0,36,3,33,213,204,9,2
"E01032508",2011,"Liverpool 027G","Total",847,260,115,145,0,384,68,316,185,170,15,18
"E01032509",2011,"Liverpool 027H","Total",665,336,150,186,0,114,8,106,211,201,10,4
"E01032510",2011,"Liverpool 008F","Total",776,464,172,292,0,124,43,81,177,176,1,11
"E01032511",2011,"Liverpool 008G","Total",616,398,184,214,1,155,56,99,60,54,6,2
"E01033747",2011,"Liverpool 018F","Total",496,80,35,45,5,298,17,281,101,99,2,12
"E01033748",2011,"Liverpool 050I","Total",772,243,64,179,1,19,5,14,501,476,25,8
"E01033749",2011,"Liverpool 042F","Total",1039,65,33,32,0,228,31,197,743,223,520,3
"E01033750",2011,"Liverpool 061A","Total",905,238,82,156,1,22,1,21,629,609,20,15
"E01033751",2011,"Liverpool 062A","Total",603,197,73,124,1,134,19,115,266,256,10,5
"E01033752",2011,"Liverpool 062B","Total",790,95,25,70,2,12,1,11,673,655,18,8
"E01033753",2011,"Liverpool 062C","Total",714,80,20,60,0,8,1,7,623,609,14,3
"E01033754",2011,"Liverpool 061B","Total",838,141,58,83,1,173,25,148,514,500,14,9
"E01033755",2011,"Liverpool 062D","Total",675,140,34,106,11,14,1,13,496,486,10,14
"E01033756",2011,"Liverpool 061C","Total",733,183,97,86,5,51,1,50,486,467,19,8
"E01033757",2011,"Liverpool 037E","Total",715,33,19,14,9,343,10,333,328,315,13,2
"E01033758",2011,"Liverpool 060B","Total",475,25,12,13,1,221,27,194,225,218,7,3
"E01033759",2011,"Liverpool 010F","Total",480,206,80,126,0,192,39,153,70,64,6,12
"E01033760",2011,"Liverpool 060C","Total",529,58,16,42,10,77,6,71,378,351,27,6
"E01033761",2011,"Liverpool 060D","Total",832,69,19,50,55,53,2,51,650,629,21,5
"E01033762",2011,"Liverpool 060E","Total",456,59,24,35,3,102,10,92,290,281,9,2
"E01033763",2011,"Liverpool 031G","Total",820,108,64,44,1,476,38,438,223,208,15,12
"E01033764",2011,"Liverpool 022E","Total",1172,213,112,101,1,738,208,530,191,180,11,29
"E01033765",2011,"Liverpool 061D","Total",659,180,71,109,1,329,115,214,136,125,11,13
"E01033766",2011,"Liverpool 042G","Total",424,234,106,128,3,25,2,23,160,144,16,2
"E01033767",2011,"Liverpool 050J","Total",562,196,120,76,0,175,34,141,182,175,7,9
"E01033768",2011,"Liverpool 037F","Total",835,53,20,33,13,570,26,544,195,184,11,4
