"lsoa11cd","date","lsoa11nm","Rural Urban","Living Arrangement: All categories: Living arrangements; measures: Value","Living Arrangement: Living in a couple; measures: Value","Living Arrangement: Living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Living in a couple: Cohabiting; measures: Value","Living Arrangement: Not living in a couple; measures: Value","Living Arrangement: Not living in a couple: Single (never married or never registered a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value","Living Arrangement: Not living in a couple: Widowed or surviving partner from a same-sex civil partnership; measures: Value"
"E01006609",2011,"Liverpool 009B","Total",1060,474,368,106,586,387,7,31,92,69
"E01006610",2011,"Liverpool 009C","Total",1139,414,318,96,725,478,7,43,87,110
"E01006611",2011,"Liverpool 012A","Total",1055,316,218,98,739,483,7,43,130,76
"E01006612",2011,"Liverpool 008B","Total",1214,450,334,116,764,468,10,36,122,128
"E01006613",2011,"Liverpool 009D","Total",1152,514,416,98,638,396,11,36,90,105
"E01006614",2011,"Liverpool 012B","Total",1084,454,310,144,630,428,8,26,102,66
"E01006615",2011,"Liverpool 012C","Total",1071,408,266,142,663,443,3,48,101,68
"E01006616",2011,"Liverpool 015D","Total",1185,530,412,118,655,403,23,32,95,102
"E01006617",2011,"Liverpool 021A","Total",1216,642,490,152,574,380,5,39,70,80
"E01006618",2011,"Liverpool 016C","Total",1391,650,552,98,741,462,10,31,98,140
"E01006619",2011,"Liverpool 021B","Total",1339,732,598,134,607,389,12,36,72,98
"E01006620",2011,"Liverpool 021C","Total",1189,650,576,74,539,311,9,25,59,135
"E01006621",2011,"Liverpool 021D","Total",1249,718,664,54,531,365,16,20,46,84
"E01006622",2011,"Liverpool 021E","Total",1238,808,716,92,430,284,6,12,48,80
"E01006623",2011,"Liverpool 013A","Total",1223,796,742,54,427,305,13,21,33,55
"E01006624",2011,"Liverpool 013B","Total",1289,588,464,124,701,485,9,41,82,84
"E01006625",2011,"Liverpool 016D","Total",1171,666,576,90,505,292,7,22,70,114
"E01006626",2011,"Liverpool 016E","Total",1246,680,582,98,566,371,8,23,62,102
"E01006627",2011,"Liverpool 013C","Total",1152,622,480,142,530,333,10,32,57,98
"E01006628",2011,"Liverpool 052D","Total",1276,624,450,174,652,480,16,19,56,81
"E01006629",2011,"Liverpool 052E","Total",1103,542,412,130,561,399,10,13,58,81
"E01006630",2011,"Liverpool 044B","Total",1029,310,226,84,719,484,20,55,92,68
"E01006632",2011,"Liverpool 044C","Total",1465,544,396,148,921,633,16,72,116,84
"E01006633",2011,"Liverpool 050B","Total",1151,362,254,108,789,484,10,48,131,116
"E01006637",2011,"Liverpool 017A","Total",1161,471,328,143,690,476,10,47,89,68
"E01006638",2011,"Liverpool 017B","Total",934,374,268,106,560,379,6,31,69,75
"E01006639",2011,"Liverpool 017C","Total",1177,596,456,140,581,380,6,42,69,84
"E01006640",2011,"Liverpool 021F","Total",1496,856,724,132,640,418,13,33,72,104
"E01006641",2011,"Liverpool 025C","Total",1167,738,516,222,429,318,18,23,49,21
"E01006642",2011,"Liverpool 025D","Total",1014,372,258,114,642,409,14,35,91,93
"E01006643",2011,"Liverpool 025E","Total",1357,612,418,194,745,496,14,43,112,80
"E01006644",2011,"Liverpool 017D","Total",1643,691,488,203,952,636,13,49,146,108
"E01006645",2011,"Liverpool 017E","Total",1161,370,304,66,791,491,10,50,109,131
"E01006646",2011,"Liverpool 023C","Total",1615,550,340,210,1065,785,31,46,112,91
"E01006647",2011,"Liverpool 024C","Total",1071,338,256,82,733,492,11,36,115,79
"E01006648",2011,"Liverpool 023D","Total",1895,586,382,204,1309,998,37,45,121,108
"E01006651",2011,"Liverpool 001A","Total",1248,788,640,148,460,328,13,32,50,37
"E01006652",2011,"Liverpool 002A","Total",1211,632,492,140,579,391,11,27,71,79
"E01006653",2011,"Liverpool 001B","Total",1211,588,460,128,623,400,9,34,84,96
"E01006654",2011,"Liverpool 005A","Total",1178,642,518,124,536,333,14,34,70,85
"E01006655",2011,"Liverpool 001C","Total",1385,679,522,157,706,450,20,32,87,117
"E01006656",2011,"Liverpool 002B","Total",1221,610,450,160,611,410,10,32,83,76
"E01006657",2011,"Liverpool 002C","Total",978,446,314,132,532,333,7,26,88,78
"E01006658",2011,"Liverpool 001D","Total",1067,408,288,120,659,436,8,31,97,87
"E01006659",2011,"Liverpool 005B","Total",879,316,224,92,563,344,7,44,81,87
"E01006660",2011,"Liverpool 001E","Total",1136,546,428,118,590,360,16,33,89,92
"E01006661",2011,"Liverpool 004A","Total",1350,570,440,130,780,508,13,35,83,141
"E01006662",2011,"Liverpool 004B","Total",1297,568,390,178,729,444,6,26,102,151
"E01006663",2011,"Liverpool 004C","Total",896,420,276,144,476,298,7,38,62,71
"E01006664",2011,"Liverpool 004D","Total",1406,586,400,186,820,510,13,56,120,121
"E01006665",2011,"Liverpool 007A","Total",1219,700,564,136,519,359,10,33,70,47
"E01006666",2011,"Liverpool 007B","Total",1156,728,602,126,428,311,13,21,48,35
"E01006667",2011,"Liverpool 007C","Total",1165,592,480,112,573,364,9,31,73,96
"E01006668",2011,"Liverpool 007D","Total",1163,770,590,180,393,266,3,28,44,52
"E01006669",2011,"Liverpool 004E","Total",1142,710,564,146,432,320,6,29,42,35
"E01006670",2011,"Liverpool 007E","Total",1204,732,594,138,472,313,10,30,69,50
"E01006671",2011,"Liverpool 013D","Total",1099,604,526,78,495,340,10,21,59,65
"E01006672",2011,"Liverpool 010E","Total",1445,684,486,198,761,502,18,46,111,84
"E01006673",2011,"Liverpool 037D","Total",1499,400,264,136,1099,797,53,53,110,86
"E01006674",2011,"Liverpool 039C","Total",1355,400,338,62,955,586,91,68,125,85
"E01006675",2011,"Liverpool 043C","Total",1560,430,210,220,1130,882,31,34,152,31
"E01006676",2011,"Liverpool 044D","Total",1283,416,320,96,867,569,43,59,115,81
"E01006677",2011,"Liverpool 043D","Total",730,202,160,42,528,319,20,40,91,58
"E01006678",2011,"Liverpool 044E","Total",1773,566,430,136,1207,840,36,58,145,128
"E01006679",2011,"Liverpool 039D","Total",1530,498,424,74,1032,657,49,97,133,96
"E01006680",2011,"Liverpool 053B","Total",1310,788,694,94,522,348,11,20,56,87
"E01006681",2011,"Liverpool 054D","Total",1342,690,584,106,652,420,24,30,82,96
"E01006682",2011,"Liverpool 053C","Total",1068,694,622,72,374,245,8,14,38,69
"E01006683",2011,"Liverpool 053D","Total",1251,790,698,92,461,307,7,10,63,74
"E01006684",2011,"Liverpool 056B","Total",1771,1032,770,262,739,485,21,36,110,87
"E01006685",2011,"Liverpool 056C","Total",1206,690,600,90,516,350,7,9,60,90
"E01006686",2011,"Liverpool 053E","Total",1192,670,614,56,522,341,15,19,56,91
"E01006687",2011,"Liverpool 056D","Total",1613,886,686,200,727,449,22,34,116,106
"E01006688",2011,"Liverpool 056E","Total",1282,668,534,134,614,421,10,23,78,82
"E01006689",2011,"Liverpool 049D","Total",1365,812,674,138,553,361,9,17,84,82
"E01006690",2011,"Liverpool 028A","Total",1262,350,254,96,912,655,31,55,129,42
"E01006691",2011,"Liverpool 030A","Total",1148,402,302,100,746,504,44,45,81,72
"E01006692",2011,"Liverpool 028B","Total",1748,688,456,232,1060,734,40,44,143,99
"E01006693",2011,"Liverpool 024D","Total",1334,470,368,102,864,533,19,36,152,124
"E01006694",2011,"Liverpool 030B","Total",1481,512,384,128,969,681,50,53,110,75
"E01006695",2011,"Liverpool 028C","Total",1543,441,294,147,1102,836,34,61,133,38
"E01006696",2011,"Liverpool 030C","Total",1372,531,412,119,841,572,36,40,123,70
"E01006697",2011,"Liverpool 030D","Total",1455,560,388,172,895,605,46,55,114,75
"E01006698",2011,"Liverpool 012D","Total",1324,614,456,158,710,496,12,35,105,62
"E01006699",2011,"Liverpool 014A","Total",1262,456,284,172,806,553,23,47,107,76
"E01006700",2011,"Liverpool 012E","Total",1149,462,348,114,687,463,7,53,95,69
"E01006701",2011,"Liverpool 014B","Total",1174,496,402,94,678,455,8,46,94,75
"E01006702",2011,"Liverpool 014C","Total",1265,475,326,149,790,527,14,54,98,97
"E01006703",2011,"Liverpool 014D","Total",1285,404,292,112,881,576,20,40,144,101
