"lsoa11cd","date","lsoa11nm","Rural Urban","Second Address: Any address; measures: Value","Second Address: No second address; measures: Value","Second Address: Second address (total); measures: Value","Second Address: Second address within the UK; measures: Value","Second Address: Second address outside the UK; measures: Value"
"E01006673",2011,"Liverpool 037D","Total",1937,1798,139,101,38
"E01006674",2011,"Liverpool 039C","Total",1885,1831,54,37,17
"E01006675",2011,"Liverpool 043C","Total",1824,1688,136,100,36
"E01006676",2011,"Liverpool 044D","Total",1753,1635,118,88,30
"E01006677",2011,"Liverpool 043D","Total",1040,1004,36,25,11
"E01006678",2011,"Liverpool 044E","Total",2127,2014,113,100,13
"E01006679",2011,"Liverpool 039D","Total",2232,2165,67,48,19
"E01006680",2011,"Liverpool 053B","Total",1569,1518,51,44,7
"E01006681",2011,"Liverpool 054D","Total",1585,1542,43,34,9
"E01006682",2011,"Liverpool 053C","Total",1310,1279,31,23,8
"E01006683",2011,"Liverpool 053D","Total",1510,1468,42,37,5
"E01006684",2011,"Liverpool 056B","Total",2138,2045,93,67,26
"E01006685",2011,"Liverpool 056C","Total",1484,1380,104,73,31
"E01006686",2011,"Liverpool 053E","Total",1433,1372,61,52,9
"E01006687",2011,"Liverpool 056D","Total",1952,1842,110,61,49
"E01006688",2011,"Liverpool 056E","Total",1524,1459,65,47,18
"E01006689",2011,"Liverpool 049D","Total",1651,1599,52,42,10
"E01006690",2011,"Liverpool 028A","Total",1492,1371,121,107,14
"E01006691",2011,"Liverpool 030A","Total",1503,1399,104,82,22
"E01006692",2011,"Liverpool 028B","Total",2180,2092,88,55,33
"E01006693",2011,"Liverpool 024D","Total",1511,1494,17,13,4
"E01006694",2011,"Liverpool 030B","Total",1864,1777,87,62,25
"E01006695",2011,"Liverpool 028C","Total",1821,1680,141,97,44
"E01006696",2011,"Liverpool 030C","Total",1744,1621,123,101,22
"E01006697",2011,"Liverpool 030D","Total",1845,1755,90,65,25
"E01006698",2011,"Liverpool 012D","Total",1716,1676,40,33,7
"E01006699",2011,"Liverpool 014A","Total",1594,1566,28,22,6
"E01006700",2011,"Liverpool 012E","Total",1438,1409,29,23,6
"E01006701",2011,"Liverpool 014B","Total",1380,1360,20,15,5
"E01006702",2011,"Liverpool 014C","Total",1618,1587,31,22,9
"E01006703",2011,"Liverpool 014D","Total",1561,1524,37,25,12
"E01006705",2011,"Liverpool 009E","Total",1409,1379,30,26,4
"E01006706",2011,"Liverpool 045A","Total",1346,1332,14,12,2
"E01006707",2011,"Liverpool 045B","Total",1323,1318,5,2,3
"E01006708",2011,"Liverpool 045C","Total",1805,1767,38,28,10
