"lsoa11cd","date","lsoa11nm","Rural Urban","Age of Arrival in UK: All categories: Age of arrival in the UK; measures: Value","Age of Arrival in UK: Born in the UK; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 0 to 4; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 5 to 7; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 8 to 9; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 10 to 14; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 15; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 16 to 17; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 18 to 19; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 20 to 24; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 25 to 29; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 30 to 44; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 45 to 59; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 60 to 64; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 65 to 74; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 75 to 84; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 85 to 89; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 90 and over; measures: Value"
"E01006675",2011,"Liverpool 043C","Total",1824,1351,36,11,3,19,16,31,35,114,109,80,13,0,3,3,0,0
"E01006676",2011,"Liverpool 044D","Total",1753,1231,62,38,24,47,8,15,29,83,87,104,19,2,3,1,0,0
"E01006677",2011,"Liverpool 043D","Total",1040,791,27,10,4,18,7,22,18,59,34,36,10,0,4,0,0,0
"E01006678",2011,"Liverpool 044E","Total",2127,1857,26,17,8,26,1,36,21,40,29,54,8,0,4,0,0,0
"E01006679",2011,"Liverpool 039D","Total",2232,1252,129,47,30,79,27,65,53,158,147,169,45,8,15,6,2,0
"E01006680",2011,"Liverpool 053B","Total",1569,1508,13,2,2,8,2,2,0,14,6,11,1,0,0,0,0,0
"E01006681",2011,"Liverpool 054D","Total",1585,1482,18,6,4,9,1,3,6,18,11,24,2,0,1,0,0,0
"E01006682",2011,"Liverpool 053C","Total",1310,1249,12,4,4,4,1,3,6,10,8,7,2,0,0,0,0,0
"E01006683",2011,"Liverpool 053D","Total",1510,1448,12,2,0,5,0,8,2,12,10,10,1,0,0,0,0,0
"E01006684",2011,"Liverpool 056B","Total",2138,2010,21,5,0,4,1,7,6,28,18,31,7,0,0,0,0,0
"E01006685",2011,"Liverpool 056C","Total",1484,1403,13,7,5,5,1,7,5,7,13,17,1,0,0,0,0,0
"E01006686",2011,"Liverpool 053E","Total",1433,1362,15,1,1,5,2,7,3,10,14,8,4,0,0,1,0,0
"E01006687",2011,"Liverpool 056D","Total",1952,1756,31,4,1,17,3,8,12,36,52,28,2,1,1,0,0,0
"E01006688",2011,"Liverpool 056E","Total",1524,1427,8,5,3,4,0,3,6,29,21,15,0,2,1,0,0,0
"E01006689",2011,"Liverpool 049D","Total",1651,1589,10,3,1,7,0,4,3,14,13,7,0,0,0,0,0,0
"E01006690",2011,"Liverpool 028A","Total",1492,1132,23,10,6,18,9,19,29,61,97,66,15,3,2,0,2,0
"E01006691",2011,"Liverpool 030A","Total",1503,1013,50,26,12,28,8,27,26,100,92,100,19,0,2,0,0,0
"E01006692",2011,"Liverpool 028B","Total",2180,1804,41,17,14,21,6,17,24,76,51,94,12,0,3,0,0,0
"E01006693",2011,"Liverpool 024D","Total",1511,1358,14,10,10,14,3,4,9,16,26,40,5,0,1,0,1,0
"E01006694",2011,"Liverpool 030B","Total",1864,1287,47,27,22,39,10,24,33,101,102,139,33,0,0,0,0,0
"E01006695",2011,"Liverpool 028C","Total",1821,1329,47,17,14,29,9,19,25,121,94,108,9,0,0,0,0,0
"E01006696",2011,"Liverpool 030C","Total",1744,1349,48,16,17,26,5,13,12,63,63,115,17,0,0,0,0,0
