"lsoa11cd","date","lsoa11nm","Rural Urban","Adults in Household: All categories: Number of adults in household; measures: Value","Adults in Household: 1 adult in household; measures: Value","Adults in Household: 0 or multiple adults in household; measures: Value"
"E01006722",2011,"Liverpool 038D","Total",1453,140,1313
"E01006723",2011,"Liverpool 038E","Total",1512,236,1276
"E01006724",2011,"Liverpool 038F","Total",1511,101,1410
"E01006725",2011,"Liverpool 035B","Total",1059,304,755
"E01006726",2011,"Liverpool 035C","Total",1176,248,928
"E01006727",2011,"Liverpool 035D","Total",1029,242,787
"E01006728",2011,"Liverpool 035E","Total",1119,427,692
"E01006729",2011,"Liverpool 008C","Total",786,168,618
"E01006730",2011,"Liverpool 011C","Total",792,148,644
"E01006731",2011,"Liverpool 011D","Total",744,147,597
"E01006732",2011,"Liverpool 011E","Total",908,242,666
"E01006734",2011,"Liverpool 005C","Total",834,253,581
"E01006735",2011,"Liverpool 005D","Total",808,218,590
"E01006736",2011,"Liverpool 005E","Total",921,175,746
"E01006737",2011,"Liverpool 005F","Total",889,151,738
"E01006738",2011,"Liverpool 058A","Total",914,226,688
"E01006739",2011,"Liverpool 058B","Total",1057,235,822
"E01006740",2011,"Liverpool 057A","Total",808,272,536
"E01006741",2011,"Liverpool 058C","Total",1148,233,915
"E01006742",2011,"Liverpool 057B","Total",894,163,731
"E01006743",2011,"Liverpool 058D","Total",1463,409,1054
"E01006744",2011,"Liverpool 057C","Total",989,321,668
"E01006745",2011,"Liverpool 057D","Total",1277,459,818
"E01006746",2011,"Liverpool 030E","Total",1009,192,817
"E01006747",2011,"Liverpool 031B","Total",1368,419,949
"E01006748",2011,"Liverpool 031C","Total",1595,212,1383
"E01006751",2011,"Liverpool 031F","Total",1363,278,1085
"E01006752",2011,"Liverpool 035F","Total",710,227,483
"E01006753",2011,"Liverpool 059A","Total",941,262,679
"E01006754",2011,"Liverpool 059B","Total",1030,314,716
"E01006755",2011,"Liverpool 059C","Total",963,309,654
"E01006756",2011,"Liverpool 059D","Total",1102,312,790
"E01006757",2011,"Liverpool 059E","Total",871,240,631
"E01006758",2011,"Liverpool 059F","Total",922,241,681
"E01006759",2011,"Liverpool 028D","Total",718,183,535
"E01006760",2011,"Liverpool 028E","Total",1200,470,730
"E01006761",2011,"Liverpool 020B","Total",1050,364,686
"E01006762",2011,"Liverpool 015E","Total",1050,238,812
"E01006763",2011,"Liverpool 020C","Total",924,244,680
"E01006764",2011,"Liverpool 020D","Total",1004,303,701
"E01006765",2011,"Liverpool 020E","Total",927,234,693
"E01006766",2011,"Liverpool 019E","Total",816,276,540
"E01006767",2011,"Liverpool 019F","Total",1181,339,842
"E01006768",2011,"Liverpool 020F","Total",950,228,722
"E01006769",2011,"Liverpool 040B","Total",709,270,439
"E01006770",2011,"Liverpool 040C","Total",588,140,448
"E01006771",2011,"Liverpool 040D","Total",819,252,567
"E01006772",2011,"Liverpool 040E","Total",682,121,561
"E01006773",2011,"Liverpool 036D","Total",891,99,792
"E01006774",2011,"Liverpool 036E","Total",944,86,858
"E01006775",2011,"Liverpool 040F","Total",774,137,637
