"lsoa11cd","date","lsoa11nm","Rural Urban","Family Type: All lone parent housholds with dependent children; measures: Value","Family Type: Lone parent in part-time employment: Total; measures: Value","Family Type: Lone parent in full-time employment: Total; measures: Value","Family Type: Lone parent not in employment: Total; measures: Value","Family Type: Male lone parent: Total; measures: Value","Family Type: Male lone parent: In part-time employment; measures: Value","Family Type: Male lone parent: In full-time employment; measures: Value","Family Type: Male lone parent: Not in employment; measures: Value","Family Type: Female lone parent: Total; measures: Value","Family Type: Female lone parent: In part-time employment; measures: Value","Family Type: Female lone parent: In full-time employment; measures: Value","Family Type: Female lone parent: Not in employment; measures: Value"
"E01033754",2011,"Liverpool 061B","Total",27,10,4,13,3,1,1,1,24,9,3,12
"E01033755",2011,"Liverpool 062D","Total",5,2,2,1,0,0,0,0,5,2,2,1
"E01033756",2011,"Liverpool 061C","Total",6,2,1,3,1,0,1,0,5,2,0,3
"E01033757",2011,"Liverpool 037E","Total",21,7,7,7,2,0,1,1,19,7,6,6
"E01033758",2011,"Liverpool 060B","Total",17,8,4,5,0,0,0,0,17,8,4,5
"E01033759",2011,"Liverpool 010F","Total",77,20,16,41,5,0,3,2,72,20,13,39
"E01033760",2011,"Liverpool 060C","Total",9,3,3,3,3,2,1,0,6,1,2,3
"E01033761",2011,"Liverpool 060D","Total",8,4,2,2,1,0,0,1,7,4,2,1
"E01033762",2011,"Liverpool 060E","Total",5,4,0,1,0,0,0,0,5,4,0,1
"E01033763",2011,"Liverpool 031G","Total",45,10,6,29,2,0,0,2,43,10,6,27
"E01033764",2011,"Liverpool 022E","Total",138,37,18,83,15,3,2,10,123,34,16,73
"E01033765",2011,"Liverpool 061D","Total",94,28,10,56,5,0,3,2,89,28,7,54
"E01033766",2011,"Liverpool 042G","Total",33,13,10,10,2,0,2,0,31,13,8,10
"E01033767",2011,"Liverpool 050J","Total",105,31,14,60,8,1,3,4,97,30,11,56
"E01033768",2011,"Liverpool 037F","Total",37,10,8,19,4,2,2,0,33,8,6,19
