"lsoa11cd","date","lsoa11nm","Rural Urban","Family Type: All lone parent housholds with dependent children; measures: Value","Family Type: Lone parent in part-time employment: Total; measures: Value","Family Type: Lone parent in full-time employment: Total; measures: Value","Family Type: Lone parent not in employment: Total; measures: Value","Family Type: Male lone parent: Total; measures: Value","Family Type: Male lone parent: In part-time employment; measures: Value","Family Type: Male lone parent: In full-time employment; measures: Value","Family Type: Male lone parent: Not in employment; measures: Value","Family Type: Female lone parent: Total; measures: Value","Family Type: Female lone parent: In part-time employment; measures: Value","Family Type: Female lone parent: In full-time employment; measures: Value","Family Type: Female lone parent: Not in employment; measures: Value"
"E01006665",2011,"Liverpool 007A","Total",61,32,15,14,4,1,3,0,57,31,12,14
"E01006666",2011,"Liverpool 007B","Total",44,19,17,8,4,0,2,2,40,19,15,6
"E01006667",2011,"Liverpool 007C","Total",69,25,17,27,2,0,2,0,67,25,15,27
"E01006668",2011,"Liverpool 007D","Total",63,31,16,16,7,1,4,2,56,30,12,14
"E01006669",2011,"Liverpool 004E","Total",47,18,17,12,3,0,1,2,44,18,16,10
"E01006670",2011,"Liverpool 007E","Total",71,27,23,21,11,2,4,5,60,25,19,16
"E01006671",2011,"Liverpool 013D","Total",53,16,12,25,6,1,4,1,47,15,8,24
"E01006672",2011,"Liverpool 010E","Total",138,33,20,85,8,1,1,6,130,32,19,79
"E01006673",2011,"Liverpool 037D","Total",127,26,20,81,10,2,1,7,117,24,19,74
"E01006674",2011,"Liverpool 039C","Total",116,23,13,80,10,0,0,10,106,23,13,70
"E01006675",2011,"Liverpool 043C","Total",46,14,8,24,6,1,0,5,40,13,8,19
"E01006676",2011,"Liverpool 044D","Total",147,39,25,83,19,4,1,14,128,35,24,69
"E01006677",2011,"Liverpool 043D","Total",97,34,6,57,12,9,0,3,85,25,6,54
"E01006678",2011,"Liverpool 044E","Total",119,36,13,70,22,5,0,17,97,31,13,53
"E01006679",2011,"Liverpool 039D","Total",144,26,12,106,15,2,0,13,129,24,12,93
"E01006680",2011,"Liverpool 053B","Total",34,17,12,5,2,0,2,0,32,17,10,5
"E01006681",2011,"Liverpool 054D","Total",51,18,10,23,5,0,1,4,46,18,9,19
"E01006682",2011,"Liverpool 053C","Total",23,8,11,4,1,0,1,0,22,8,10,4
"E01006683",2011,"Liverpool 053D","Total",21,11,8,2,2,0,2,0,19,11,6,2
"E01006684",2011,"Liverpool 056B","Total",65,20,29,16,12,6,6,0,53,14,23,16
"E01006685",2011,"Liverpool 056C","Total",26,4,12,10,8,1,4,3,18,3,8,7
"E01006686",2011,"Liverpool 053E","Total",23,9,9,5,0,0,0,0,23,9,9,5
"E01006687",2011,"Liverpool 056D","Total",38,13,13,12,4,0,3,1,34,13,10,11
"E01006688",2011,"Liverpool 056E","Total",37,16,10,11,1,0,0,1,36,16,10,10
"E01006689",2011,"Liverpool 049D","Total",35,15,13,7,1,0,1,0,34,15,12,7
"E01006690",2011,"Liverpool 028A","Total",81,24,16,41,4,0,2,2,77,24,14,39
"E01006691",2011,"Liverpool 030A","Total",95,16,15,64,9,0,5,4,86,16,10,60
"E01006692",2011,"Liverpool 028B","Total",110,27,23,60,16,1,9,6,94,26,14,54
"E01006693",2011,"Liverpool 024D","Total",48,15,10,23,2,0,1,1,46,15,9,22
"E01006694",2011,"Liverpool 030B","Total",134,28,29,77,8,1,5,2,126,27,24,75
"E01006695",2011,"Liverpool 028C","Total",82,14,13,55,9,0,1,8,73,14,12,47
"E01006696",2011,"Liverpool 030C","Total",100,23,16,61,8,0,2,6,92,23,14,55
"E01006697",2011,"Liverpool 030D","Total",113,15,17,81,6,0,3,3,107,15,14,78
"E01006698",2011,"Liverpool 012D","Total",123,33,24,66,5,2,1,2,118,31,23,64
"E01006699",2011,"Liverpool 014A","Total",142,43,23,76,6,0,1,5,136,43,22,71
"E01006700",2011,"Liverpool 012E","Total",87,22,13,52,10,1,3,6,77,21,10,46
"E01006701",2011,"Liverpool 014B","Total",74,28,11,35,4,1,1,2,70,27,10,33
"E01006702",2011,"Liverpool 014C","Total",130,39,14,77,12,4,1,7,118,35,13,70
"E01006703",2011,"Liverpool 014D","Total",83,21,19,43,6,1,1,4,77,20,18,39
"E01006705",2011,"Liverpool 009E","Total",91,31,13,47,8,2,3,3,83,29,10,44
