"lsoa11cd","date","lsoa11nm","Rural Urban","Country of Birth: All usual residents; measures: Value","Country of Birth: United Kingdom; measures: Value","Country of Birth: England; measures: Value","Country of Birth: Northern Ireland; measures: Value","Country of Birth: Scotland; measures: Value","Country of Birth: Wales; measures: Value","Country of Birth: United Kingdom not otherwise specified; measures: Value","Country of Birth: Ireland; measures: Value","Country of Birth: Other EU; measures: Value","Country of Birth: Other EU: Member countries in March 2001; measures: Value","Country of Birth: Other EU: Accession countries April 2001 to March 2011; measures: Value","Country of Birth: Other countries; measures: Value"
"E01006593",2011,"Liverpool 042E","Total",1541,1416,1314,56,15,31,0,18,31,27,4,76
"E01006594",2011,"Liverpool 047D","Total",1410,1286,1229,8,20,29,0,12,6,5,1,106
"E01006595",2011,"Liverpool 049B","Total",1745,1659,1593,27,12,27,0,10,13,12,1,63
"E01006596",2011,"Liverpool 049C","Total",1451,1335,1289,19,9,18,0,10,22,22,0,84
"E01006597",2011,"Liverpool 041E","Total",1667,1566,1489,24,21,32,0,20,18,9,9,63
"E01006598",2011,"Liverpool 010A","Total",1361,1307,1284,3,6,14,0,4,26,5,21,24
"E01006599",2011,"Liverpool 010B","Total",1121,1051,1036,1,7,7,0,2,38,7,31,30
"E01006600",2011,"Liverpool 011A","Total",1407,1376,1367,3,2,4,0,4,13,3,10,14
"E01006603",2011,"Liverpool 011B","Total",1410,1389,1375,3,5,5,1,3,3,1,2,15
"E01006604",2011,"Liverpool 016A","Total",1367,1343,1330,1,3,9,0,4,7,5,2,13
"E01006605",2011,"Liverpool 016B","Total",1531,1488,1471,4,5,8,0,8,12,5,7,23
"E01006606",2011,"Liverpool 020A","Total",1521,1470,1452,5,6,7,0,3,23,4,19,25
"E01006607",2011,"Liverpool 008A","Total",1531,1504,1483,3,10,8,0,7,9,3,6,11
"E01006608",2011,"Liverpool 009A","Total",1215,1189,1163,4,9,13,0,4,8,3,5,14
"E01006609",2011,"Liverpool 009B","Total",1283,1231,1211,4,6,10,0,9,14,3,11,29
"E01006610",2011,"Liverpool 009C","Total",1397,1353,1337,3,3,10,0,7,9,3,6,28
"E01006611",2011,"Liverpool 012A","Total",1291,1230,1214,3,7,6,0,5,34,10,24,22
"E01006612",2011,"Liverpool 008B","Total",1495,1467,1450,4,7,6,0,3,8,4,4,17
"E01006613",2011,"Liverpool 009D","Total",1360,1334,1319,5,4,6,0,4,8,7,1,14
"E01006614",2011,"Liverpool 012B","Total",1322,1281,1265,0,10,6,0,4,15,1,14,22
"E01006615",2011,"Liverpool 012C","Total",1302,1262,1246,1,4,11,0,10,8,4,4,22
"E01006616",2011,"Liverpool 015D","Total",1428,1386,1371,4,8,3,0,4,12,1,11,26
"E01006617",2011,"Liverpool 021A","Total",1421,1377,1347,7,4,19,0,2,11,4,7,31
"E01006618",2011,"Liverpool 016C","Total",1639,1623,1608,4,3,8,0,6,3,2,1,7
"E01006619",2011,"Liverpool 021B","Total",1599,1555,1537,5,3,10,0,8,18,7,11,18
"E01006620",2011,"Liverpool 021C","Total",1417,1388,1377,0,4,7,0,5,5,3,2,19
"E01006621",2011,"Liverpool 021D","Total",1468,1391,1363,4,11,13,0,9,7,5,2,61
"E01006622",2011,"Liverpool 021E","Total",1519,1486,1470,2,6,8,0,5,13,7,6,15
"E01006623",2011,"Liverpool 013A","Total",1462,1382,1359,3,10,10,0,4,7,5,2,69
"E01006624",2011,"Liverpool 013B","Total",1556,1451,1427,8,6,10,0,9,23,6,17,73
"E01006625",2011,"Liverpool 016D","Total",1416,1386,1373,2,6,5,0,5,4,3,1,21
"E01006626",2011,"Liverpool 016E","Total",1448,1392,1372,2,12,6,0,4,17,8,9,35
"E01006627",2011,"Liverpool 013C","Total",1378,1327,1312,2,8,5,0,3,7,5,2,41
"E01006628",2011,"Liverpool 052D","Total",1874,1673,1513,109,22,28,1,18,46,28,18,137
"E01006629",2011,"Liverpool 052E","Total",1255,1182,1145,13,11,13,0,10,6,5,1,57
"E01006630",2011,"Liverpool 044B","Total",1338,1221,1191,12,5,13,0,8,7,3,4,102
"E01006632",2011,"Liverpool 044C","Total",1842,1667,1641,12,4,10,0,5,34,9,25,136
"E01006633",2011,"Liverpool 050B","Total",1432,1376,1360,3,9,4,0,3,35,1,34,18
