"lsoa11cd","date","lsoa11nm","Rural Urban","Household Spaces: All categories: Household spaces; measures: Value","Household Spaces: Household spaces with at least one usual resident; measures: Value","Household Spaces: Household spaces with no usual residents; measures: Value"
"E01006798",2011,"Liverpool 051D","Total",621,609,12
"E01006799",2011,"Liverpool 051E","Total",1205,1145,60
"E01006800",2011,"Liverpool 046C","Total",693,679,14
"E01006801",2011,"Liverpool 046D","Total",625,609,16
"E01032505",2011,"Liverpool 050F","Total",585,563,22
"E01032506",2011,"Liverpool 050G","Total",689,656,33
"E01032507",2011,"Liverpool 050H","Total",711,666,45
"E01032508",2011,"Liverpool 027G","Total",913,847,66
"E01032509",2011,"Liverpool 027H","Total",694,665,29
"E01032510",2011,"Liverpool 008F","Total",796,776,20
"E01032511",2011,"Liverpool 008G","Total",625,616,9
"E01033747",2011,"Liverpool 018F","Total",519,496,23
"E01033748",2011,"Liverpool 050I","Total",829,772,57
"E01033749",2011,"Liverpool 042F","Total",1066,1039,27
"E01033750",2011,"Liverpool 061A","Total",990,905,85
"E01033751",2011,"Liverpool 062A","Total",640,603,37
"E01033752",2011,"Liverpool 062B","Total",910,790,120
"E01033753",2011,"Liverpool 062C","Total",757,714,43
"E01033754",2011,"Liverpool 061B","Total",1026,838,188
"E01033755",2011,"Liverpool 062D","Total",749,675,74
"E01033756",2011,"Liverpool 061C","Total",934,733,201
"E01033757",2011,"Liverpool 037E","Total",777,715,62
"E01033758",2011,"Liverpool 060B","Total",562,475,87
"E01033759",2011,"Liverpool 010F","Total",486,480,6
"E01033760",2011,"Liverpool 060C","Total",576,529,47
"E01033761",2011,"Liverpool 060D","Total",920,832,88
"E01033762",2011,"Liverpool 060E","Total",468,456,12
"E01033763",2011,"Liverpool 031G","Total",856,820,36
"E01033764",2011,"Liverpool 022E","Total",1212,1172,40
"E01033765",2011,"Liverpool 061D","Total",715,659,56
"E01033766",2011,"Liverpool 042G","Total",444,424,20
"E01033767",2011,"Liverpool 050J","Total",595,562,33
"E01033768",2011,"Liverpool 037F","Total",889,835,54
