"lsoa11cd","date","lsoa11nm","Rural Urban","Central Heating: All categories: Type of central heating in household; measures: Value","Central Heating: Does not have central heating; measures: Value","Central Heating: Does have central heating; measures: Value","Central Heating: Occupancy rating (rooms) of -1 or less; measures: Value","Central Heating: Occupancy rating (bedrooms) of -1 or less; measures: Value","Central Heating: Average household size; measures: Value","Central Heating: Average number of rooms per household; measures: Value","Central Heating: Average number of bedrooms per household; measures: Value"
"E01006540",2011,"Liverpool 024A","Total",771,58,713,107,63,1.9,4.4,2.2
"E01006541",2011,"Liverpool 015A","Total",803,32,771,49,27,2,4.8,2.4
"E01006542",2011,"Liverpool 018A","Total",583,36,547,26,24,2.2,5.5,2.8
"E01006543",2011,"Liverpool 015B","Total",509,30,479,12,11,2.4,5.5,3
"E01006544",2011,"Liverpool 015C","Total",738,41,697,60,46,2.2,5.1,2.7
"E01006545",2011,"Liverpool 019A","Total",646,46,600,24,18,2.3,5.5,3
"E01006546",2011,"Liverpool 019B","Total",583,50,533,40,38,2.3,5.5,2.8
"E01006547",2011,"Liverpool 019C","Total",718,74,644,55,35,2.1,5,2.6
"E01006548",2011,"Liverpool 019D","Total",759,74,685,70,43,2.1,4.8,2.4
"E01006549",2011,"Liverpool 043B","Total",949,84,865,231,52,1.6,4.1,2
"E01006550",2011,"Liverpool 038A","Total",483,19,464,60,28,3.3,6.3,3.8
"E01006551",2011,"Liverpool 048E","Total",751,13,738,73,18,1.5,4.2,2.1
"E01006552",2011,"Liverpool 039A","Total",869,46,823,166,88,2.3,4.6,2.4
"E01006553",2011,"Liverpool 042A","Total",642,44,598,63,41,2.9,6.3,3.6
"E01006554",2011,"Liverpool 048F","Total",649,58,591,120,31,2.6,5.9,3.1
"E01006556",2011,"Liverpool 039B","Total",1016,63,953,178,77,2,4.4,2.3
"E01006557",2011,"Liverpool 038B","Total",635,38,597,105,67,3.2,6,3.6
"E01006558",2011,"Liverpool 018B","Total",739,81,658,57,40,1.8,4.6,2.3
"E01006560",2011,"Liverpool 023A","Total",996,11,985,115,63,1.9,4.3,2.2
"E01006562",2011,"Liverpool 018E","Total",714,42,672,75,46,2.1,4.8,2.5
"E01006563",2011,"Liverpool 024B","Total",908,25,883,102,56,1.9,4.4,2.2
"E01006564",2011,"Liverpool 023B","Total",800,24,776,60,31,2.2,4.7,2.5
"E01006565",2011,"Liverpool 029A","Total",638,41,597,34,32,2.4,5.7,3
"E01006566",2011,"Liverpool 032A","Total",577,25,552,38,25,2.5,5.6,2.9
"E01006567",2011,"Liverpool 026A","Total",892,37,855,75,26,1.8,4.6,2.3
"E01006568",2011,"Liverpool 026B","Total",629,52,577,48,16,2.4,5.1,2.7
"E01006569",2011,"Liverpool 029B","Total",613,39,574,46,28,2.2,5.4,2.9
"E01006570",2011,"Liverpool 026C","Total",595,23,572,30,20,2.5,6,3
"E01006571",2011,"Liverpool 026D","Total",612,28,584,41,30,2.3,5.3,2.9
"E01006572",2011,"Liverpool 025A","Total",501,6,495,33,22,2.4,5.1,2.9
"E01006573",2011,"Liverpool 029C","Total",778,53,725,53,34,1.9,4.7,2.3
"E01006574",2011,"Liverpool 025B","Total",612,20,592,26,21,2.3,5,2.7
"E01006575",2011,"Liverpool 034A","Total",578,22,556,24,15,2.2,5.6,2.9
"E01006576",2011,"Liverpool 034B","Total",713,44,669,17,15,2.4,5.7,3
"E01006577",2011,"Liverpool 034C","Total",597,26,571,4,8,2.5,6.3,3.2
"E01006578",2011,"Liverpool 036A","Total",554,31,523,15,13,2.5,5.8,3.1
"E01006579",2011,"Liverpool 034D","Total",618,17,601,10,11,2.7,6.5,3.2
"E01006580",2011,"Liverpool 036B","Total",515,5,510,7,6,2.6,6.6,3.3
"E01006581",2011,"Liverpool 036C","Total",607,15,592,16,17,2.6,6.3,3.2
"E01006582",2011,"Liverpool 041A","Total",585,13,572,10,9,2.8,6.8,3.4
"E01006583",2011,"Liverpool 047C","Total",467,6,461,5,5,2.7,7.4,3.7
"E01006584",2011,"Liverpool 034E","Total",611,26,585,17,13,2.3,5.7,2.9
"E01006585",2011,"Liverpool 032B","Total",641,20,621,41,30,2.1,5.1,2.6
"E01006586",2011,"Liverpool 032C","Total",921,29,892,63,25,2,5,2.5
"E01006587",2011,"Liverpool 032D","Total",717,15,702,52,20,2.3,5.3,2.8
