"lsoa11cd","date","lsoa11nm","Rural Urban","Social Grade: Approximated social grade; measures: Value","Social Grade: Approximated social grade AB; measures: Value","Social Grade: Approximated social grade C1; measures: Value","Social Grade: Approximated social grade C2; measures: Value","Social Grade: Approximated social grade DE; measures: Value"
"E01006661",2011,"Liverpool 004A","Total",516,36,101,103,276
"E01006662",2011,"Liverpool 004B","Total",532,27,158,90,257
"E01006663",2011,"Liverpool 004C","Total",402,48,108,80,166
"E01006664",2011,"Liverpool 004D","Total",614,52,134,102,326
"E01006665",2011,"Liverpool 007A","Total",545,81,223,125,116
"E01006666",2011,"Liverpool 007B","Total",448,101,184,79,84
"E01006667",2011,"Liverpool 007C","Total",472,58,143,110,161
"E01006668",2011,"Liverpool 007D","Total",516,100,204,97,115
"E01006669",2011,"Liverpool 004E","Total",482,86,166,108,122
"E01006670",2011,"Liverpool 007E","Total",495,112,181,102,100
"E01006671",2011,"Liverpool 013D","Total",378,70,117,81,110
"E01006672",2011,"Liverpool 010E","Total",634,45,161,130,298
"E01006673",2011,"Liverpool 037D","Total",791,112,256,72,351
"E01006674",2011,"Liverpool 039C","Total",641,67,155,69,350
"E01006675",2011,"Liverpool 043C","Total",1044,243,348,120,333
"E01006676",2011,"Liverpool 044D","Total",615,48,158,84,325
"E01006677",2011,"Liverpool 043D","Total",387,20,96,46,225
"E01006678",2011,"Liverpool 044E","Total",835,92,240,128,375
"E01006679",2011,"Liverpool 039D","Total",738,67,225,80,366
"E01006680",2011,"Liverpool 053B","Total",409,137,137,70,65
"E01006681",2011,"Liverpool 054D","Total",510,108,163,80,159
"E01006682",2011,"Liverpool 053C","Total",339,152,113,40,34
"E01006683",2011,"Liverpool 053D","Total",405,139,148,65,53
"E01006684",2011,"Liverpool 056B","Total",783,333,276,81,93
"E01006685",2011,"Liverpool 056C","Total",417,140,154,68,55
"E01006686",2011,"Liverpool 053E","Total",356,98,134,79,45
"E01006687",2011,"Liverpool 056D","Total",687,301,185,80,121
"E01006688",2011,"Liverpool 056E","Total",532,149,169,82,132
"E01006689",2011,"Liverpool 049D","Total",515,163,185,82,85
"E01006690",2011,"Liverpool 028A","Total",699,60,208,103,328
"E01006691",2011,"Liverpool 030A","Total",534,36,152,86,260
"E01006692",2011,"Liverpool 028B","Total",805,64,226,146,369
"E01006693",2011,"Liverpool 024D","Total",550,24,110,111,305
"E01006694",2011,"Liverpool 030B","Total",756,41,198,132,385
"E01006695",2011,"Liverpool 028C","Total",936,95,235,149,457
"E01006696",2011,"Liverpool 030C","Total",628,24,199,110,295
"E01006697",2011,"Liverpool 030D","Total",689,52,179,90,368
"E01006698",2011,"Liverpool 012D","Total",585,31,184,123,247
"E01006699",2011,"Liverpool 014A","Total",625,29,124,105,367
"E01006700",2011,"Liverpool 012E","Total",528,39,112,101,276
"E01006701",2011,"Liverpool 014B","Total",526,33,123,125,245
"E01006702",2011,"Liverpool 014C","Total",580,28,126,95,331
"E01006703",2011,"Liverpool 014D","Total",635,38,123,99,375
"E01006705",2011,"Liverpool 009E","Total",577,39,177,121,240
"E01006706",2011,"Liverpool 045A","Total",411,18,83,89,221
"E01006707",2011,"Liverpool 045B","Total",360,15,65,85,195
"E01006708",2011,"Liverpool 045C","Total",571,64,150,129,228
"E01006709",2011,"Liverpool 040A","Total",486,49,146,92,199
"E01006710",2011,"Liverpool 045D","Total",450,25,131,104,190
"E01006711",2011,"Liverpool 027A","Total",540,56,175,107,202
"E01006712",2011,"Liverpool 029D","Total",444,47,157,92,148
"E01006713",2011,"Liverpool 029E","Total",442,55,167,84,136
"E01006716",2011,"Liverpool 032E","Total",587,52,201,109,225
"E01006717",2011,"Liverpool 027D","Total",431,79,140,92,120
"E01006718",2011,"Liverpool 027E","Total",513,64,169,119,161
"E01006719",2011,"Liverpool 027F","Total",494,61,175,79,179
"E01006720",2011,"Liverpool 035A","Total",798,93,272,88,345
"E01006721",2011,"Liverpool 038C","Total",734,96,227,98,313
"E01006722",2011,"Liverpool 038D","Total",524,59,281,61,123
"E01006723",2011,"Liverpool 038E","Total",635,70,302,65,198
"E01006724",2011,"Liverpool 038F","Total",471,84,250,41,96
"E01006725",2011,"Liverpool 035B","Total",584,78,195,105,206
"E01006726",2011,"Liverpool 035C","Total",570,73,212,72,213
"E01006727",2011,"Liverpool 035D","Total",547,103,180,100,164
"E01006728",2011,"Liverpool 035E","Total",704,73,220,112,299
"E01006729",2011,"Liverpool 008C","Total",401,15,100,83,203
"E01006730",2011,"Liverpool 011C","Total",382,23,100,79,180
"E01006731",2011,"Liverpool 011D","Total",361,11,81,89,180
"E01006732",2011,"Liverpool 011E","Total",492,12,114,79,287
"E01006734",2011,"Liverpool 005C","Total",476,15,117,76,268
"E01006735",2011,"Liverpool 005D","Total",428,25,109,81,213
"E01006736",2011,"Liverpool 005E","Total",447,22,135,87,203
"E01006737",2011,"Liverpool 005F","Total",413,21,100,83,209
"E01006738",2011,"Liverpool 058A","Total",486,25,101,96,264
"E01006739",2011,"Liverpool 058B","Total",553,31,121,110,291
"E01006740",2011,"Liverpool 057A","Total",470,30,96,78,266
"E01006741",2011,"Liverpool 058C","Total",572,26,129,118,299
"E01006742",2011,"Liverpool 057B","Total",438,71,131,92,144
"E01006743",2011,"Liverpool 058D","Total",840,101,269,202,268
"E01006744",2011,"Liverpool 057C","Total",596,113,181,84,218
"E01006745",2011,"Liverpool 057D","Total",779,98,217,176,288
