"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition (alternative child and adult defintions); measures: Value","Household Composition: One person household: Total; measures: Value","Household Composition: One person household: One person aged 65 and over; measures: Value","Household Composition: One person household: One person aged under 65; measures: Value","Household Composition: Other households: Total; measures: Value","Household Composition: Other households: No adults or one adult and one or more children; measures: Value","Household Composition: Other households: One adult aged 16 to 64 and one aged 65 and over and no children or two adults aged 65 and over and no children; measures: Value","Household Composition: Other households: Two adults and one or two children; measures: Value","Household Composition: Other households: Two adults aged 16 to 64 and no children; measures: Value","Household Composition: Other households: Two adults and three or more children; measures: Value","Household Composition: Other households: Three or more adults and one or more children; measures: Value","Household Composition: Other households: Three or more adults and no children; measures: Value"
"E01006592",2011,"Liverpool 041D","Total",624,189,123,66,435,10,93,66,92,18,38,118
"E01006593",2011,"Liverpool 042E","Total",662,232,52,180,430,31,41,71,133,11,19,124
"E01006594",2011,"Liverpool 047D","Total",579,172,96,76,407,4,89,69,98,15,39,93
"E01006595",2011,"Liverpool 049B","Total",812,280,128,152,532,40,82,98,174,10,16,112
"E01006596",2011,"Liverpool 049C","Total",597,162,78,84,435,13,76,68,124,15,36,103
"E01006597",2011,"Liverpool 041E","Total",683,193,92,101,490,19,89,87,130,17,36,112
"E01006598",2011,"Liverpool 010A","Total",604,223,106,117,381,76,60,54,73,23,29,66
"E01006599",2011,"Liverpool 010B","Total",482,158,45,113,324,96,29,59,57,8,23,52
"E01006600",2011,"Liverpool 011A","Total",592,180,92,88,412,44,80,49,76,10,44,109
"E01006603",2011,"Liverpool 011B","Total",594,182,78,104,412,50,91,47,81,11,39,93
"E01006604",2011,"Liverpool 016A","Total",571,175,78,97,396,40,69,51,83,10,42,101
"E01006605",2011,"Liverpool 016B","Total",696,289,123,166,407,46,74,58,79,12,52,86
"E01006606",2011,"Liverpool 020A","Total",723,272,82,190,451,68,82,62,116,11,23,89
"E01006607",2011,"Liverpool 008A","Total",641,196,80,116,445,73,81,61,73,11,34,112
"E01006608",2011,"Liverpool 009A","Total",563,221,74,147,342,45,49,55,87,5,34,67
"E01006609",2011,"Liverpool 009B","Total",576,209,62,147,367,49,56,65,82,9,26,80
"E01006610",2011,"Liverpool 009C","Total",669,283,134,149,386,79,48,53,90,7,30,79
"E01006611",2011,"Liverpool 012A","Total",742,411,82,329,331,88,41,60,80,10,4,48
"E01006612",2011,"Liverpool 008B","Total",740,346,124,222,394,70,79,54,72,12,32,75
"E01006613",2011,"Liverpool 009D","Total",611,240,114,126,371,35,74,46,67,9,41,99
"E01006614",2011,"Liverpool 012B","Total",667,292,67,225,375,68,68,62,94,6,19,58
"E01006615",2011,"Liverpool 012C","Total",663,279,72,207,384,99,44,51,98,1,22,69
"E01006616",2011,"Liverpool 015D","Total",613,207,88,119,406,42,71,45,93,13,43,99
"E01006617",2011,"Liverpool 021A","Total",650,211,69,142,439,34,82,75,134,10,17,87
"E01006618",2011,"Liverpool 016C","Total",692,212,132,80,480,34,108,62,94,6,50,126
"E01006619",2011,"Liverpool 021B","Total",734,256,89,167,478,35,108,96,120,12,24,83
"E01006620",2011,"Liverpool 021C","Total",625,229,145,84,396,27,94,52,81,11,40,91
"E01006621",2011,"Liverpool 021D","Total",584,163,88,75,421,12,93,71,77,10,40,118
"E01006622",2011,"Liverpool 021E","Total",586,129,76,53,457,18,103,90,83,17,33,113
"E01006623",2011,"Liverpool 013A","Total",527,69,32,37,458,14,95,76,95,14,41,123
"E01006624",2011,"Liverpool 013B","Total",702,268,90,178,434,51,69,67,107,11,34,95
"E01006625",2011,"Liverpool 016D","Total",609,185,114,71,424,30,94,76,90,9,38,87
"E01006626",2011,"Liverpool 016E","Total",593,173,101,72,420,15,79,65,85,6,42,128
"E01006627",2011,"Liverpool 013C","Total",600,195,88,107,405,25,69,88,95,4,37,87
"E01006628",2011,"Liverpool 052D","Total",651,200,77,123,451,29,54,73,148,12,34,101
"E01006629",2011,"Liverpool 052E","Total",573,203,79,124,370,23,62,51,110,8,18,98
"E01006630",2011,"Liverpool 044B","Total",555,166,45,121,389,69,48,69,89,11,42,61
"E01006632",2011,"Liverpool 044C","Total",884,344,83,261,540,103,91,83,146,16,28,73
"E01006633",2011,"Liverpool 050B","Total",699,317,145,172,382,69,59,57,91,11,35,60
"E01006637",2011,"Liverpool 017A","Total",670,208,66,142,462,114,38,90,104,19,34,63
"E01006638",2011,"Liverpool 017B","Total",518,161,60,101,357,77,49,53,63,14,27,74
"E01006639",2011,"Liverpool 017C","Total",640,199,71,128,441,64,56,92,96,17,36,80
"E01006640",2011,"Liverpool 021F","Total",760,217,91,126,543,42,92,116,120,20,44,109
"E01006641",2011,"Liverpool 025C","Total",633,154,17,137,479,62,17,160,132,24,39,45
"E01006642",2011,"Liverpool 025D","Total",590,219,81,138,371,79,46,53,85,16,25,67
"E01006643",2011,"Liverpool 025E","Total",740,198,57,141,542,101,63,107,117,25,49,80
"E01006644",2011,"Liverpool 017D","Total",963,404,114,290,559,85,69,101,137,18,49,100
"E01006645",2011,"Liverpool 017E","Total",690,299,138,161,391,83,77,49,68,8,26,80
"E01006646",2011,"Liverpool 023C","Total",1006,503,94,409,503,66,57,64,183,7,40,86
"E01006647",2011,"Liverpool 024C","Total",636,242,92,150,394,94,60,50,65,24,37,64
"E01006648",2011,"Liverpool 023D","Total",1075,428,125,303,647,65,58,67,270,8,33,146
"E01006651",2011,"Liverpool 001A","Total",592,103,27,76,489,37,33,141,118,13,62,85
"E01006652",2011,"Liverpool 002A","Total",633,193,67,126,440,49,64,86,97,13,37,94
"E01006653",2011,"Liverpool 001B","Total",656,203,74,129,453,55,82,86,107,13,37,73
"E01006654",2011,"Liverpool 005A","Total",627,217,98,119,410,43,42,76,101,14,39,95
"E01006655",2011,"Liverpool 001C","Total",706,194,88,106,512,41,82,103,116,18,45,107
"E01006656",2011,"Liverpool 002B","Total",669,222,69,153,447,64,68,67,112,13,26,97
"E01006657",2011,"Liverpool 002C","Total",582,236,71,165,346,55,55,64,88,13,14,57
"E01006658",2011,"Liverpool 001D","Total",634,254,84,170,380,73,73,51,87,8,21,67
"E01006659",2011,"Liverpool 005B","Total",548,264,77,187,284,51,44,43,64,11,18,53
"E01006660",2011,"Liverpool 001E","Total",616,226,97,129,390,44,59,83,68,12,41,83
"E01006661",2011,"Liverpool 004A","Total",749,269,123,146,480,74,97,62,97,15,33,102
"E01006662",2011,"Liverpool 004B","Total",785,333,162,171,452,70,77,99,96,14,33,63
"E01006663",2011,"Liverpool 004C","Total",510,175,64,111,335,53,35,73,87,11,22,54
"E01006664",2011,"Liverpool 004D","Total",822,327,128,199,495,90,62,74,122,19,46,82
"E01006665",2011,"Liverpool 007A","Total",630,180,49,131,450,46,37,103,121,15,39,89
"E01006666",2011,"Liverpool 007B","Total",514,84,30,54,430,29,29,99,86,19,70,98
"E01006667",2011,"Liverpool 007C","Total",618,188,78,110,430,49,68,66,120,8,32,87
"E01006668",2011,"Liverpool 007D","Total",590,119,32,87,471,49,43,125,127,15,43,69
"E01006669",2011,"Liverpool 004E","Total",551,123,28,95,428,35,32,101,108,18,52,82
"E01006670",2011,"Liverpool 007E","Total",607,133,38,95,474,52,70,100,110,14,36,92
"E01006671",2011,"Liverpool 013D","Total",499,115,52,63,384,33,57,51,78,11,57,97
"E01006672",2011,"Liverpool 010E","Total",798,238,80,158,560,108,64,110,104,25,55,94
"E01006673",2011,"Liverpool 037D","Total",954,482,125,357,472,91,29,70,148,24,47,63
"E01006674",2011,"Liverpool 039C","Total",826,400,113,287,426,76,50,85,79,37,48,51
"E01006675",2011,"Liverpool 043C","Total",1132,766,71,695,366,31,11,38,222,5,12,47
"E01006676",2011,"Liverpool 044D","Total",761,290,83,207,471,109,46,89,97,27,39,64
"E01006677",2011,"Liverpool 043D","Total",477,210,58,152,267,85,21,49,49,11,16,36
"E01006678",2011,"Liverpool 044E","Total",1059,513,115,398,546,82,83,69,123,20,48,121
"E01006679",2011,"Liverpool 039D","Total",920,392,91,301,528,105,55,88,102,61,60,57
