"lsoa11cd","date","lsoa11nm","Rural Urban","Family Type: All families in households; measures: Value","Family Type: No dependent children in family; measures: Value","Family Type: One dependent child in family aged 0 to 4; measures: Value","Family Type: One dependent child in family aged 5 to 11; measures: Value","Family Type: One dependent child in family aged 12 to 18; measures: Value","Family Type: Two dependent children in family; youngest aged 0 to 4; measures: Value","Family Type: Two dependent children in family; youngest aged 5 to 11; measures: Value","Family Type: Two dependent children in family; youngest aged 12 to 18; measures: Value","Family Type: Three or more dependent children in family; youngest aged 0 to 4; measures: Value","Family Type: Three or more dependent children in family; youngest aged 5 to 11; measures: Value","Family Type: Three or more dependent children in family; youngest aged 12 to 18; measures: Value","Family Type: Total dependent children; measures: Value"
"E01006702",2011,"Liverpool 014C","Total",453,225,46,27,48,34,29,15,15,13,1,374
"E01006703",2011,"Liverpool 014D","Total",361,198,20,25,38,18,18,10,14,15,5,288
"E01006705",2011,"Liverpool 009E","Total",370,187,53,23,34,22,17,12,12,7,3,288
"E01006706",2011,"Liverpool 045A","Total",400,215,16,29,57,21,21,16,12,13,0,303
"E01006707",2011,"Liverpool 045B","Total",390,221,19,25,41,16,24,13,22,8,1,298
"E01006708",2011,"Liverpool 045C","Total",504,264,27,31,44,45,36,17,16,22,2,432
"E01006709",2011,"Liverpool 040A","Total",373,207,25,23,41,25,18,9,12,10,3,275
"E01006710",2011,"Liverpool 045D","Total",456,242,32,25,49,33,26,20,17,11,1,358
"E01006711",2011,"Liverpool 027A","Total",394,182,41,32,40,29,21,17,14,17,1,363
"E01006712",2011,"Liverpool 029D","Total",364,175,25,23,36,39,13,18,23,11,1,334
"E01006713",2011,"Liverpool 029E","Total",402,213,43,29,34,27,25,9,12,10,0,302
"E01006716",2011,"Liverpool 032E","Total",402,182,54,35,37,31,23,9,25,6,0,358
"E01006717",2011,"Liverpool 027D","Total",406,226,24,20,45,20,22,16,12,19,2,322
"E01006718",2011,"Liverpool 027E","Total",423,230,28,17,47,23,24,21,13,17,3,348
"E01006719",2011,"Liverpool 027F","Total",442,217,43,25,52,28,29,15,20,12,1,378
"E01006720",2011,"Liverpool 035A","Total",409,155,52,31,44,35,23,9,38,21,1,487
"E01006721",2011,"Liverpool 038C","Total",370,155,57,36,52,34,14,4,13,3,2,317
"E01006722",2011,"Liverpool 038D","Total",230,114,18,10,27,13,7,11,23,6,1,230
"E01006723",2011,"Liverpool 038E","Total",271,161,20,12,24,20,9,6,10,8,1,198
"E01006724",2011,"Liverpool 038F","Total",231,147,14,5,22,10,10,6,9,7,1,147
"E01006725",2011,"Liverpool 035B","Total",390,209,42,22,41,25,20,12,14,4,1,285
