"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family household; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: Dependent children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: Dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent; measures: Value","Household Composition: One family only: Lone parent: Dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types; measures: Value","Household Composition: Other household types: With dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"E01006587",2011,"Liverpool 032D","Total",717,259,57,202,404,31,229,70,101,58,66,40,18,8,78,42,36,54,17,1,2,34
"E01006588",2011,"Liverpool 042C","Total",702,272,72,200,330,33,163,66,59,38,89,59,25,5,45,21,24,100,13,20,4,63
"E01006589",2011,"Liverpool 041B","Total",599,152,78,74,414,51,253,69,133,51,47,18,26,3,63,32,31,33,13,0,2,18
"E01006590",2011,"Liverpool 042D","Total",701,231,65,166,309,23,144,52,65,27,71,51,19,1,71,39,32,161,9,46,3,103
"E01006591",2011,"Liverpool 041C","Total",671,192,65,127,386,29,212,62,115,35,71,54,14,3,74,43,31,93,13,22,5,53
"E01006592",2011,"Liverpool 041D","Total",624,189,123,66,380,65,243,71,121,51,38,27,10,1,34,15,19,55,11,9,3,32
"E01006593",2011,"Liverpool 042E","Total",662,232,52,180,311,28,147,50,74,23,67,49,12,6,69,46,23,119,11,34,3,71
"E01006594",2011,"Liverpool 047D","Total",579,172,96,76,381,58,267,97,115,55,29,15,12,2,27,11,16,26,13,1,0,12
"E01006595",2011,"Liverpool 049B","Total",812,280,128,152,469,53,245,96,96,53,83,55,23,5,88,54,34,63,11,7,5,40
"E01006596",2011,"Liverpool 049C","Total",597,162,78,84,388,47,231,80,97,54,44,25,18,1,66,23,43,47,11,3,0,33
"E01006597",2011,"Liverpool 041E","Total",683,193,92,101,435,61,265,81,129,55,53,40,12,1,56,28,28,55,15,5,0,35
"E01006598",2011,"Liverpool 010A","Total",604,223,106,117,334,37,98,28,40,30,51,11,32,8,148,107,41,47,23,0,1,23
"E01006599",2011,"Liverpool 010B","Total",482,158,45,113,299,15,90,24,39,27,43,11,31,1,151,120,31,25,12,0,2,11
"E01006600",2011,"Liverpool 011A","Total",592,180,92,88,356,40,136,37,44,55,48,15,28,5,132,76,56,56,30,0,3,23
"E01006603",2011,"Liverpool 011B","Total",594,182,78,104,370,44,140,39,55,46,33,7,22,4,153,71,82,42,18,0,5,19
"E01006604",2011,"Liverpool 016A","Total",571,175,78,97,353,33,146,40,49,57,51,18,24,9,123,65,58,43,24,0,3,16
"E01006605",2011,"Liverpool 016B","Total",696,289,123,166,348,32,137,35,63,39,44,12,29,3,135,74,61,59,21,0,6,32
"E01006606",2011,"Liverpool 020A","Total",723,272,82,190,401,50,161,58,55,48,58,33,23,2,132,88,44,50,20,0,5,25
"E01006607",2011,"Liverpool 008A","Total",641,196,80,116,401,44,155,43,51,61,42,11,22,9,160,113,47,44,19,1,4,20
"E01006608",2011,"Liverpool 009A","Total",563,221,74,147,322,22,151,58,57,36,58,31,23,4,91,67,24,20,8,0,2,10
"E01006609",2011,"Liverpool 009B","Total",576,209,62,147,329,31,141,43,57,41,45,23,20,2,112,74,38,38,21,0,0,17
