"lsoa11cd","date","lsoa11nm","Rural Urban","Economic Activity: All categories: Economic activity; measures: Value","Economic Activity: Economically active: Total; measures: Value","Economic Activity: Economically active: Employee: Part-time; measures: Value","Economic Activity: Economically active: Employee: Full-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Full-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Full-time; measures: Value","Economic Activity: Economically active: Unemployed; measures: Value","Economic Activity: Economically active: Full-time student; measures: Value","Economic Activity: Economically inactive: Total; measures: Value","Economic Activity: Economically inactive: Retired; measures: Value","Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Economic Activity: Economically inactive: Looking after home or family; measures: Value","Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Economic Activity: Economically inactive: Other; measures: Value"
"E01006606",2011,"Liverpool 020A","Total",1155,759,159,419,4,8,17,44,77,31,396,168,39,46,115,28
"E01006607",2011,"Liverpool 008A","Total",1084,663,151,351,2,8,6,25,73,47,421,128,70,50,134,39
"E01006608",2011,"Liverpool 009A","Total",926,642,152,328,3,6,8,40,67,38,284,129,30,34,82,9
"E01006609",2011,"Liverpool 009B","Total",975,643,132,356,2,6,14,26,82,25,332,118,64,45,79,26
"E01006610",2011,"Liverpool 009C","Total",1015,628,138,342,0,6,5,32,74,31,387,126,64,56,98,43
"E01006611",2011,"Liverpool 012A","Total",994,604,125,303,0,3,1,22,116,34,390,125,31,55,149,30
"E01006612",2011,"Liverpool 008B","Total",1073,649,172,303,2,7,12,19,107,27,424,138,47,57,144,38
"E01006613",2011,"Liverpool 009D","Total",1016,585,133,271,4,6,14,34,82,41,431,159,53,56,133,30
"E01006614",2011,"Liverpool 012B","Total",989,652,152,333,0,6,7,34,96,24,337,114,37,48,92,46
"E01006615",2011,"Liverpool 012C","Total",998,662,159,335,2,12,8,24,94,28,336,104,44,44,103,41
"E01006616",2011,"Liverpool 015D","Total",1068,678,167,337,3,12,10,37,81,31,390,148,49,45,122,26
"E01006617",2011,"Liverpool 021A","Total",1093,825,147,494,3,24,17,57,45,38,268,141,49,21,45,12
"E01006618",2011,"Liverpool 016C","Total",1205,739,180,406,3,7,12,36,64,31,466,214,79,42,106,25
"E01006619",2011,"Liverpool 021B","Total",1196,834,175,463,3,20,19,57,57,40,362,185,58,39,57,23
"E01006620",2011,"Liverpool 021C","Total",1021,673,148,358,5,19,10,47,50,36,348,207,44,27,52,18
"E01006621",2011,"Liverpool 021D","Total",1123,736,149,363,5,58,25,58,34,44,387,209,83,38,48,9
"E01006622",2011,"Liverpool 021E","Total",1097,809,176,467,8,22,26,37,27,46,288,182,48,19,30,9
"E01006623",2011,"Liverpool 013A","Total",1150,825,176,444,9,38,30,48,33,47,325,182,63,30,39,11
"E01006624",2011,"Liverpool 013B","Total",1174,755,177,382,1,16,18,44,85,32,419,157,59,35,121,47
"E01006625",2011,"Liverpool 016D","Total",1010,707,144,402,3,13,17,47,39,42,303,160,49,36,46,12
"E01006626",2011,"Liverpool 016E","Total",1116,763,170,438,2,9,11,48,42,43,353,180,65,28,62,18
"E01006627",2011,"Liverpool 013C","Total",1033,739,165,429,3,7,13,39,48,35,294,146,32,21,68,27
"E01006628",2011,"Liverpool 052D","Total",1525,992,157,497,10,31,27,40,63,167,533,123,283,39,61,27
"E01006629",2011,"Liverpool 052E","Total",1008,673,112,416,2,12,13,35,46,37,335,166,51,19,71,28
"E01006630",2011,"Liverpool 044B","Total",970,531,138,217,4,4,1,17,114,36,439,95,67,58,161,58
"E01006632",2011,"Liverpool 044C","Total",1352,837,178,400,4,7,17,42,151,38,515,160,80,72,144,59
"E01006633",2011,"Liverpool 050B","Total",1036,525,126,240,1,9,9,12,101,27,511,161,50,72,170,58
"E01006637",2011,"Liverpool 017A","Total",1109,683,166,300,4,9,10,26,121,47,426,109,71,85,111,50
"E01006638",2011,"Liverpool 017B","Total",872,480,128,192,0,0,10,16,98,36,392,130,52,66,103,41
"E01006639",2011,"Liverpool 017C","Total",1097,770,163,428,4,16,24,47,64,24,327,128,59,48,75,17
"E01006640",2011,"Liverpool 021F","Total",1358,958,209,525,6,16,17,68,82,35,400,183,59,43,83,32
"E01006641",2011,"Liverpool 025C","Total",1187,956,199,594,4,18,18,48,52,23,231,70,38,50,47,26
"E01006642",2011,"Liverpool 025D","Total",900,542,133,251,4,11,10,14,89,30,358,88,67,66,104,33
"E01006643",2011,"Liverpool 025E","Total",1275,788,182,402,0,6,24,36,105,33,487,125,94,77,143,48
"E01006644",2011,"Liverpool 017D","Total",1507,978,199,558,3,7,9,45,112,45,529,170,74,86,157,42
"E01006645",2011,"Liverpool 017E","Total",993,555,147,231,5,9,10,17,113,23,438,153,56,61,131,37
"E01006646",2011,"Liverpool 023C","Total",1543,900,147,496,4,19,17,24,121,72,643,150,149,54,216,74
"E01006647",2011,"Liverpool 024C","Total",1000,458,120,183,1,1,8,7,114,24,542,154,66,75,192,55
"E01006648",2011,"Liverpool 023D","Total",1780,1083,203,580,4,10,6,46,112,122,697,186,173,61,224,53
"E01006651",2011,"Liverpool 001A","Total",1214,984,187,573,3,24,28,65,51,53,230,80,59,37,45,9
"E01006652",2011,"Liverpool 002A","Total",1118,802,164,473,1,8,23,42,63,28,316,133,50,46,70,17
"E01006653",2011,"Liverpool 001B","Total",1100,690,145,394,3,12,12,32,63,29,410,140,45,54,136,35
"E01006654",2011,"Liverpool 005A","Total",1080,803,160,473,0,16,13,36,53,52,277,125,38,35,68,11
"E01006655",2011,"Liverpool 001C","Total",1272,866,176,498,0,11,19,37,93,32,406,153,59,56,105,33
"E01006656",2011,"Liverpool 002B","Total",1135,820,145,514,3,8,17,36,74,23,315,137,52,31,73,22
"E01006657",2011,"Liverpool 002C","Total",905,618,130,348,6,6,13,29,61,25,287,127,32,29,71,28
"E01006658",2011,"Liverpool 001D","Total",971,579,153,278,1,6,10,22,81,28,392,147,39,38,124,44
"E01006659",2011,"Liverpool 005B","Total",1476,680,143,345,6,9,7,45,95,30,796,90,40,36,121,509
"E01006660",2011,"Liverpool 001E","Total",1008,651,168,343,6,11,9,31,64,19,357,141,54,36,106,20
"E01006661",2011,"Liverpool 004A","Total",1176,663,155,328,3,5,4,30,103,35,513,166,49,77,156,65
"E01006662",2011,"Liverpool 004B","Total",1165,680,158,359,4,4,8,34,78,35,485,195,50,73,131,36
"E01006663",2011,"Liverpool 004C","Total",820,568,140,325,2,7,13,17,49,15,252,71,27,39,88,27
"E01006664",2011,"Liverpool 004D","Total",1264,799,163,406,2,11,18,45,127,27,465,152,44,79,140,50
"E01006665",2011,"Liverpool 007A","Total",1172,922,191,533,0,23,16,58,56,45,250,99,56,18,61,16
"E01006666",2011,"Liverpool 007B","Total",1107,891,184,493,2,24,16,51,56,65,216,66,66,30,39,15
"E01006667",2011,"Liverpool 007C","Total",1079,728,153,410,0,14,22,44,63,22,351,150,44,43,86,28
"E01006668",2011,"Liverpool 007D","Total",1118,893,179,524,7,27,21,59,38,38,225,78,60,29,45,13
"E01006669",2011,"Liverpool 004E","Total",1109,845,164,465,2,26,17,57,58,56,264,102,65,32,48,17
"E01006670",2011,"Liverpool 007E","Total",1150,856,166,480,2,24,30,48,58,48,294,138,49,35,62,10
"E01006671",2011,"Liverpool 013D","Total",1046,704,153,377,4,34,11,29,54,42,342,139,70,45,65,23
"E01006672",2011,"Liverpool 010E","Total",1353,835,197,401,2,12,18,35,124,46,518,158,70,94,154,42
"E01006673",2011,"Liverpool 037D","Total",1425,833,150,332,3,16,20,32,170,110,592,117,188,79,134,74
"E01006674",2011,"Liverpool 039C","Total",1277,622,137,210,4,15,9,29,152,66,655,142,138,139,168,68
"E01006675",2011,"Liverpool 043C","Total",1604,1116,164,562,7,13,40,81,165,84,488,110,99,24,181,74
"E01006676",2011,"Liverpool 044D","Total",1208,658,142,255,7,17,18,38,115,66,550,116,121,82,153,78
"E01006677",2011,"Liverpool 043D","Total",704,349,109,114,3,7,7,18,67,24,355,65,52,84,94,60
"E01006678",2011,"Liverpool 044E","Total",1657,890,192,422,6,7,14,53,140,56,767,230,155,77,252,53
"E01006679",2011,"Liverpool 039D","Total",1460,720,143,200,3,14,27,41,210,82,740,131,197,138,172,102
"E01006680",2011,"Liverpool 053B","Total",1182,843,185,481,2,23,21,44,43,44,339,206,60,21,38,14
"E01006681",2011,"Liverpool 054D","Total",1176,780,166,431,2,14,22,41,64,40,396,179,59,41,97,20
"E01006682",2011,"Liverpool 053C","Total",963,687,133,427,2,16,24,37,19,29,276,177,47,17,22,13
"E01006683",2011,"Liverpool 053D","Total",1118,800,167,482,4,16,16,40,36,39,318,196,51,18,42,11
"E01006684",2011,"Liverpool 056B","Total",1629,1256,208,817,7,43,30,58,58,35,373,217,65,26,41,24
"E01006685",2011,"Liverpool 056C","Total",1121,738,138,417,4,22,23,55,32,47,383,222,77,24,41,19
"E01006686",2011,"Liverpool 053E","Total",1060,718,148,434,4,10,10,40,37,35,342,188,86,26,26,16
"E01006687",2011,"Liverpool 056D","Total",1483,1054,161,604,10,61,38,83,68,29,429,195,57,42,95,40
"E01006688",2011,"Liverpool 056E","Total",1174,828,165,469,3,19,38,46,58,30,346,196,52,23,57,18
"E01006689",2011,"Liverpool 049D","Total",1215,919,179,546,4,18,27,53,45,47,296,175,48,19,42,12
"E01006690",2011,"Liverpool 028A","Total",1227,790,152,360,0,6,18,32,141,81,437,107,94,56,124,56
"E01006691",2011,"Liverpool 030A","Total",1110,674,140,268,2,14,16,25,133,76,436,101,101,68,94,72
"E01006692",2011,"Liverpool 028B","Total",1644,1014,209,475,2,23,18,57,163,67,630,178,126,88,172,66
"E01006693",2011,"Liverpool 024D","Total",1190,618,150,272,3,11,5,30,122,25,572,241,57,43,194,37
"E01006694",2011,"Liverpool 030B","Total",1392,911,194,389,3,13,20,15,178,99,481,90,110,73,131,77
"E01006695",2011,"Liverpool 028C","Total",1496,962,178,417,4,10,12,52,198,91,534,81,131,50,202,70
"E01006696",2011,"Liverpool 030C","Total",1286,743,163,372,5,7,11,25,88,72,543,132,145,71,152,43
"E01006697",2011,"Liverpool 030D","Total",1365,843,190,352,7,15,17,32,150,80,522,115,115,76,118,98
"E01006698",2011,"Liverpool 012D","Total",1244,855,180,468,0,12,18,32,99,46,389,143,58,67,99,22
"E01006699",2011,"Liverpool 014A","Total",1186,657,164,282,3,7,11,20,127,43,529,147,67,67,185,63
"E01006700",2011,"Liverpool 012E","Total",1085,646,148,305,1,12,12,42,91,35,439,141,61,58,129,50
"E01006701",2011,"Liverpool 014B","Total",1111,687,170,363,1,12,9,26,83,23,424,169,53,32,134,36
"E01006702",2011,"Liverpool 014C","Total",1179,656,166,314,4,5,11,20,106,30,523,159,72,86,145,61
"E01006703",2011,"Liverpool 014D","Total",1210,638,126,339,2,4,13,12,110,32,572,193,59,51,198,71
"E01006705",2011,"Liverpool 009E","Total",1106,767,164,383,3,7,13,43,115,39,339,112,50,50,92,35
"E01006706",2011,"Liverpool 045A","Total",1010,538,151,235,2,10,15,10,85,30,472,191,57,57,129,38
"E01006707",2011,"Liverpool 045B","Total",935,497,105,263,5,4,5,14,74,27,438,186,47,51,113,41
"E01006708",2011,"Liverpool 045C","Total",1257,817,168,468,3,7,22,41,74,34,440,171,72,49,118,30
"E01006709",2011,"Liverpool 040A","Total",1064,685,137,381,3,9,18,29,79,29,379,126,66,42,126,19
"E01006710",2011,"Liverpool 045D","Total",1139,757,188,413,2,10,3,30,80,31,382,182,57,52,75,16
"E01006711",2011,"Liverpool 027A","Total",1138,734,156,365,3,12,8,39,110,41,404,121,69,61,107,46
"E01006712",2011,"Liverpool 029D","Total",949,656,133,387,0,10,11,28,65,22,293,116,39,42,79,17
"E01006713",2011,"Liverpool 029E","Total",994,715,170,410,1,14,10,24,55,31,279,122,32,38,63,24
"E01006716",2011,"Liverpool 032E","Total",1117,724,142,409,1,15,15,41,74,27,393,99,46,60,143,45
"E01006717",2011,"Liverpool 027D","Total",1057,783,178,432,3,11,18,33,65,43,274,109,55,37,57,16
"E01006718",2011,"Liverpool 027E","Total",1207,809,165,451,4,4,25,42,75,43,398,165,65,47,101,20
"E01006719",2011,"Liverpool 027F","Total",1109,783,200,414,1,12,23,34,70,29,326,130,76,44,56,20
"E01006720",2011,"Liverpool 035A","Total",1604,967,181,402,5,14,26,34,161,144,637,85,283,106,110,53
"E01006721",2011,"Liverpool 038C","Total",1265,775,169,353,4,7,12,31,113,86,490,96,170,60,113,51
"E01006722",2011,"Liverpool 038D","Total",1541,882,117,301,4,14,16,40,69,321,659,60,485,36,41,37
"E01006723",2011,"Liverpool 038E","Total",1639,849,148,340,0,8,13,24,94,222,790,122,509,34,93,32
"E01006724",2011,"Liverpool 038F","Total",1610,805,113,307,1,7,10,33,61,273,805,81,643,20,41,20
"E01006725",2011,"Liverpool 035B","Total",1199,789,160,424,3,9,22,27,76,68,410,143,74,43,106,44
"E01006726",2011,"Liverpool 035C","Total",1262,779,149,356,3,5,12,39,66,149,483,77,245,52,72,37
"E01006727",2011,"Liverpool 035D","Total",1157,832,168,447,2,7,24,48,73,63,325,102,92,36,71,24
"E01006728",2011,"Liverpool 035E","Total",1229,770,150,383,4,2,7,33,116,75,459,104,113,63,123,56
"E01006729",2011,"Liverpool 008C","Total",923,574,163,248,3,2,11,19,84,44,349,92,67,62,90,38
"E01006730",2011,"Liverpool 011C","Total",943,561,128,276,1,2,6,17,84,47,382,116,53,65,111,37
"E01006731",2011,"Liverpool 011D","Total",859,517,112,267,1,3,12,16,83,23,342,108,44,54,102,34
"E01006732",2011,"Liverpool 011E","Total",1083,589,175,253,2,4,7,16,97,35,494,125,84,101,132,52
"E01006734",2011,"Liverpool 005C","Total",968,584,160,243,2,9,7,15,111,37,384,123,54,70,111,26
"E01006735",2011,"Liverpool 005D","Total",948,548,154,248,1,7,7,16,79,36,400,126,50,60,128,36
"E01006736",2011,"Liverpool 005E","Total",1073,673,152,351,2,7,8,23,90,40,400,124,67,69,109,31
"E01006737",2011,"Liverpool 005F","Total",1048,651,162,306,1,2,11,22,105,42,397,115,74,57,118,33
"E01006738",2011,"Liverpool 058A","Total",1078,665,172,336,3,3,15,25,86,25,413,136,64,76,106,31
"E01006739",2011,"Liverpool 058B","Total",1233,757,182,373,1,3,7,20,137,34,476,131,65,92,146,42
"E01006740",2011,"Liverpool 057A","Total",943,544,126,259,2,2,2,20,106,27,399,129,47,54,150,19
"E01006741",2011,"Liverpool 058C","Total",1335,809,192,425,1,3,5,25,120,38,526,170,62,79,162,53
"E01006742",2011,"Liverpool 057B","Total",1056,738,174,413,2,7,13,32,66,31,318,114,58,45,81,20
"E01006743",2011,"Liverpool 058D","Total",1619,1164,220,695,3,21,22,47,114,42,455,153,78,67,120,37
"E01006744",2011,"Liverpool 057C","Total",1125,817,167,477,2,8,16,37,77,33,308,129,37,43,71,28
"E01006745",2011,"Liverpool 057D","Total",1422,1003,235,522,1,17,23,42,120,43,419,116,65,68,135,35
"E01006746",2011,"Liverpool 030E","Total",1209,583,116,191,1,13,11,21,86,144,626,167,229,40,136,54
"E01006747",2011,"Liverpool 031B","Total",3367,1372,128,316,4,6,12,29,70,807,1995,95,1729,29,100,42
"E01006748",2011,"Liverpool 031C","Total",1701,820,130,257,2,2,4,24,95,306,881,109,642,27,70,33
"E01006751",2011,"Liverpool 031F","Total",2116,841,159,263,7,11,9,18,88,286,1275,207,772,76,157,63
"E01006752",2011,"Liverpool 035F","Total",801,472,108,198,0,7,11,25,77,46,329,99,87,33,72,38
"E01006753",2011,"Liverpool 059A","Total",1090,652,151,317,1,3,6,23,112,39,438,133,53,83,117,52
"E01006754",2011,"Liverpool 059B","Total",1199,734,172,380,3,9,11,28,104,27,465,163,60,55,148,39
"E01006755",2011,"Liverpool 059C","Total",1082,646,155,292,2,7,10,16,144,20,436,88,54,87,161,46
"E01006756",2011,"Liverpool 059D","Total",1236,757,182,354,4,15,13,24,139,26,479,110,64,114,141,50
"E01006757",2011,"Liverpool 059E","Total",1027,598,147,282,3,7,11,19,109,20,429,117,74,90,112,36
"E01006758",2011,"Liverpool 059F","Total",1062,643,154,342,0,7,5,21,93,21,419,118,67,75,117,42
"E01006759",2011,"Liverpool 028D","Total",848,574,110,301,3,7,20,33,65,35,274,75,51,35,87,26
"E01006760",2011,"Liverpool 028E","Total",1365,841,122,439,2,4,30,35,144,65,524,118,117,27,184,78
"E01006761",2011,"Liverpool 020B","Total",1219,784,176,386,1,11,16,33,124,37,435,144,57,48,152,34
"E01006762",2011,"Liverpool 015E","Total",1231,767,173,385,0,9,23,33,106,38,464,170,57,61,137,39
"E01006763",2011,"Liverpool 020C","Total",1061,722,157,395,2,11,11,37,77,32,339,121,63,46,75,34
"E01006764",2011,"Liverpool 020D","Total",1153,747,163,369,5,10,10,39,102,49,406,132,78,52,107,37
"E01006765",2011,"Liverpool 020E","Total",1076,718,143,400,1,5,16,32,81,40,358,117,62,43,101,35
"E01006766",2011,"Liverpool 019E","Total",916,586,134,274,2,4,12,17,105,38,330,84,51,70,88,37
"E01006767",2011,"Liverpool 019F","Total",1316,888,183,459,1,10,20,39,120,56,428,103,110,70,103,42
"E01006768",2011,"Liverpool 020F","Total",1104,760,125,386,4,19,20,51,121,34,344,109,80,29,97,29
