"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household: Total; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family only: Total; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married couple: Total; measures: Value","Household Composition: One family only: Married couple: No children; measures: Value","Household Composition: One family only: Married couple: One dependent child; measures: Value","Household Composition: One family only: Married couple: Two or more dependent children; measures: Value","Household Composition: One family only: Married couple: All children non-dependent; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: Total; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: One dependent child; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: Two or more dependent children; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple: Total; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: One dependent child; measures: Value","Household Composition: One family only: Cohabiting couple: Two or more dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent: Total; measures: Value","Household Composition: One family only: Lone parent: One dependent child; measures: Value","Household Composition: One family only: Lone parent: Two or more dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types: Total; measures: Value","Household Composition: Other household types: With one dependent child; measures: Value","Household Composition: Other household types: With two or more dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"E01006551",2011,"Liverpool 048E","Total",751,511,209,302,191,35,51,25,10,9,7,1,1,0,0,0,52,46,3,2,1,52,17,7,28,49,3,3,5,10,28
"E01006552",2011,"Liverpool 039A","Total",869,346,48,298,400,15,147,34,29,64,20,0,0,0,0,0,55,30,13,9,3,183,83,68,32,123,19,24,20,1,59
"E01006553",2011,"Liverpool 042A","Total",642,167,29,138,243,14,103,36,18,30,19,1,0,0,1,0,66,50,8,6,2,59,17,23,19,232,4,4,129,0,95
"E01006554",2011,"Liverpool 048F","Total",649,280,34,246,209,8,104,36,20,24,24,0,0,0,0,0,60,39,9,8,4,37,15,7,15,160,3,13,82,2,60
"E01006556",2011,"Liverpool 039B","Total",1016,538,92,446,354,12,106,21,35,38,12,0,0,0,0,0,49,26,5,16,2,187,95,46,46,124,14,16,20,5,69
"E01006557",2011,"Liverpool 038B","Total",635,138,41,97,170,10,69,21,13,24,11,0,0,0,0,0,33,28,2,3,0,58,21,13,24,327,5,6,206,3,107
"E01006558",2011,"Liverpool 018B","Total",739,380,93,287,323,25,94,34,11,15,34,1,1,0,0,0,57,25,15,14,3,146,73,27,46,36,12,7,0,1,16
"E01006560",2011,"Liverpool 023A","Total",996,536,177,359,386,37,120,43,13,27,37,0,0,0,0,0,45,17,12,13,3,184,81,39,64,74,18,8,2,5,41
"E01006562",2011,"Liverpool 018E","Total",714,294,77,217,368,23,113,38,19,24,32,0,0,0,0,0,48,15,16,13,4,184,84,51,49,52,21,8,0,0,23
"E01006563",2011,"Liverpool 024B","Total",908,477,208,269,364,49,90,31,14,14,31,1,1,0,0,0,49,12,12,20,5,175,75,51,49,67,14,18,1,4,30
"E01006564",2011,"Liverpool 023B","Total",800,300,121,179,439,59,201,81,20,28,72,0,0,0,0,0,51,28,11,12,0,128,37,33,58,61,20,14,2,4,21
"E01006565",2011,"Liverpool 029A","Total",638,197,105,92,393,46,176,47,20,56,53,1,0,0,0,1,56,24,11,15,6,114,29,26,59,48,11,7,0,2,28
"E01006566",2011,"Liverpool 032A","Total",577,184,92,92,358,27,212,58,50,62,42,0,0,0,0,0,57,23,15,13,6,62,19,15,28,35,7,9,0,3,16
"E01006567",2011,"Liverpool 026A","Total",892,500,185,315,348,44,149,45,33,31,40,1,1,0,0,0,49,22,12,11,4,105,43,22,40,44,7,8,0,8,21
"E01006568",2011,"Liverpool 026B","Total",629,191,70,121,407,36,200,57,33,69,41,1,1,0,0,0,62,34,13,14,1,108,41,32,35,31,6,4,0,4,17
"E01006569",2011,"Liverpool 029B","Total",613,236,106,130,325,41,142,46,18,34,44,0,0,0,0,0,44,15,9,16,4,98,29,16,53,52,11,11,0,7,23
"E01006570",2011,"Liverpool 026C","Total",595,165,78,87,400,57,224,53,50,60,61,0,0,0,0,0,43,26,6,7,4,76,31,25,20,30,4,4,0,4,18
"E01006571",2011,"Liverpool 026D","Total",612,204,84,120,366,35,152,39,28,37,48,1,1,0,0,0,45,15,9,16,5,133,37,35,61,42,10,6,0,7,19
"E01006572",2011,"Liverpool 025A","Total",501,133,67,66,340,23,112,40,20,24,28,0,0,0,0,0,59,18,13,18,10,146,54,43,49,28,7,7,0,3,11
"E01006573",2011,"Liverpool 029C","Total",778,368,149,219,370,38,143,55,28,28,32,0,0,0,0,0,59,25,14,18,2,130,67,33,30,40,7,10,0,8,15
"E01006574",2011,"Liverpool 025B","Total",612,231,118,113,347,37,158,42,27,50,39,0,0,0,0,0,38,10,13,10,5,114,37,40,37,34,12,6,0,2,14
"E01006575",2011,"Liverpool 034A","Total",578,205,97,108,336,40,159,46,30,39,44,1,0,0,1,0,55,30,11,12,2,81,22,20,39,37,12,6,0,5,14
"E01006576",2011,"Liverpool 034B","Total",713,191,98,93,486,51,297,96,59,73,69,1,1,0,0,0,62,34,15,11,2,75,22,19,34,36,7,7,1,4,17
"E01006577",2011,"Liverpool 034C","Total",597,145,76,69,412,50,256,72,53,79,52,2,2,0,0,0,46,20,8,14,4,58,19,12,27,40,2,7,1,8,22
"E01006578",2011,"Liverpool 036A","Total",554,139,65,74,384,49,211,58,34,66,53,0,0,0,0,0,67,29,19,18,1,57,23,13,21,31,5,3,2,2,19
"E01006579",2011,"Liverpool 034D","Total",618,131,94,37,453,57,308,85,54,90,79,0,0,0,0,0,43,15,8,17,3,45,14,13,18,34,8,5,0,3,18
"E01006580",2011,"Liverpool 036B","Total",515,113,56,57,377,58,250,71,54,74,51,0,0,0,0,0,29,10,11,4,4,40,10,8,22,25,7,2,0,0,16
"E01006581",2011,"Liverpool 036C","Total",607,138,72,66,432,67,276,70,60,82,64,1,1,0,0,0,40,16,11,8,5,48,9,13,26,37,11,5,10,2,9
"E01006582",2011,"Liverpool 041A","Total",585,110,53,57,446,59,302,76,57,104,65,1,0,1,0,0,29,6,7,16,0,55,15,11,29,29,6,8,4,0,11
"E01006583",2011,"Liverpool 047C","Total",467,85,61,24,357,58,253,70,40,77,66,1,1,0,0,0,14,3,6,3,2,31,7,5,19,25,8,7,0,4,6
"E01006584",2011,"Liverpool 034E","Total",611,205,77,128,382,56,225,68,41,67,49,0,0,0,0,0,36,20,9,6,1,65,26,14,25,24,4,5,0,1,14
"E01006585",2011,"Liverpool 032B","Total",641,268,102,166,326,39,124,37,19,31,37,0,0,0,0,0,36,16,8,8,4,127,44,25,58,47,9,6,2,2,28
"E01006586",2011,"Liverpool 032C","Total",921,414,126,288,433,36,181,53,37,59,32,2,2,0,0,0,90,57,16,13,4,124,44,27,53,74,6,12,6,5,45
"E01006587",2011,"Liverpool 032D","Total",717,259,57,202,404,31,227,68,51,50,58,2,2,0,0,0,66,40,11,7,8,78,24,18,36,54,9,8,1,2,34
"E01006588",2011,"Liverpool 042C","Total",702,272,72,200,330,33,162,65,25,34,38,1,1,0,0,0,89,59,10,15,5,45,14,7,24,100,5,8,20,4,63
"E01006589",2011,"Liverpool 041B","Total",599,152,78,74,414,51,250,66,61,72,51,3,3,0,0,0,47,18,10,16,3,63,19,13,31,33,6,7,0,2,18
"E01006590",2011,"Liverpool 042D","Total",701,231,65,166,309,23,143,51,28,37,27,1,1,0,0,0,71,51,11,8,1,71,27,12,32,161,5,4,46,3,103
"E01006591",2011,"Liverpool 041C","Total",671,192,65,127,386,29,211,61,43,72,35,1,1,0,0,0,71,54,10,4,3,74,22,21,31,93,8,5,22,5,53
"E01006592",2011,"Liverpool 041D","Total",624,189,123,66,380,65,241,69,45,76,51,2,2,0,0,0,38,27,4,6,1,34,11,4,19,55,5,6,9,3,32
"E01006593",2011,"Liverpool 042E","Total",662,232,52,180,311,28,146,49,37,37,23,1,1,0,0,0,67,49,7,5,6,69,20,26,23,119,5,6,34,3,71
"E01006594",2011,"Liverpool 047D","Total",579,172,96,76,381,58,266,97,43,71,55,1,0,0,1,0,29,15,6,6,2,27,8,3,16,26,6,7,1,0,12
"E01006595",2011,"Liverpool 049B","Total",812,280,128,152,469,53,243,94,42,54,53,2,2,0,0,0,83,55,13,10,5,88,28,26,34,63,5,6,7,5,40
"E01006596",2011,"Liverpool 049C","Total",597,162,78,84,388,47,230,80,40,56,54,1,0,1,0,0,44,25,6,12,1,66,10,13,43,47,7,4,3,0,33
"E01006597",2011,"Liverpool 041E","Total",683,193,92,101,435,61,263,80,58,70,55,2,1,0,1,0,53,40,7,5,1,56,18,10,28,55,5,10,5,0,35
"E01006598",2011,"Liverpool 010A","Total",604,223,106,117,334,37,97,28,10,29,30,1,0,1,0,0,51,11,11,21,8,148,61,46,41,47,13,10,0,1,23
"E01006599",2011,"Liverpool 010B","Total",482,158,45,113,299,15,89,23,13,26,27,1,1,0,0,0,43,11,13,18,1,151,61,59,31,25,7,5,0,2,11
"E01006600",2011,"Liverpool 011A","Total",592,180,92,88,356,40,136,37,22,22,55,0,0,0,0,0,48,15,15,13,5,132,41,35,56,56,18,12,0,3,23
"E01006603",2011,"Liverpool 011B","Total",594,182,78,104,370,44,140,39,22,33,46,0,0,0,0,0,33,7,8,14,4,153,44,27,82,42,10,8,0,5,19
"E01006604",2011,"Liverpool 016A","Total",571,175,78,97,353,33,146,40,21,28,57,0,0,0,0,0,51,18,11,13,9,123,31,34,58,43,14,10,0,3,16
"E01006605",2011,"Liverpool 016B","Total",696,289,123,166,348,32,137,35,28,35,39,0,0,0,0,0,44,12,12,17,3,135,42,32,61,59,16,5,0,6,32
"E01006606",2011,"Liverpool 020A","Total",723,272,82,190,401,50,161,58,26,29,48,0,0,0,0,0,58,33,12,11,2,132,61,27,44,50,12,8,0,5,25
"E01006607",2011,"Liverpool 008A","Total",641,196,80,116,401,44,155,43,21,30,61,0,0,0,0,0,42,11,13,9,9,160,51,62,47,44,13,6,1,4,20
"E01006608",2011,"Liverpool 009A","Total",563,221,74,147,322,22,151,58,29,28,36,0,0,0,0,0,58,31,14,9,4,91,39,28,24,20,4,4,0,2,10
