"lsoa11cd","date","lsoa11nm","Rural Urban","Hours Worked: All usual residents aged 16 to 74 in employment the week before the census; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Males: Total; measures: Value","Hours Worked: Males: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Males: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Males: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Males: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Females: Total; measures: Value","Hours Worked: Females: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Females: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Females: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Females: Full-time: 49 or more hours worked; measures: Value"
"E01006687",2011,"Liverpool 056D","Total",979,72,152,593,162,514,33,31,339,111,465,39,121,254,51
"E01006688",2011,"Liverpool 056E","Total",766,71,154,451,90,390,25,43,254,68,376,46,111,197,22
"E01006689",2011,"Liverpool 049D","Total",867,92,153,550,72,405,25,28,310,42,462,67,125,240,30
"E01006690",2011,"Liverpool 028A","Total",620,67,149,352,52,342,28,53,222,39,278,39,96,130,13
"E01006691",2011,"Liverpool 030A","Total",523,49,154,273,47,300,17,72,174,37,223,32,82,99,10
"E01006692",2011,"Liverpool 028B","Total",828,67,193,492,76,438,29,57,294,58,390,38,136,198,18
"E01006693",2011,"Liverpool 024D","Total",490,49,122,285,34,242,16,37,164,25,248,33,85,121,9
"E01006694",2011,"Liverpool 030B","Total",715,50,218,402,45,376,18,91,234,33,339,32,127,168,12
"E01006695",2011,"Liverpool 028C","Total",738,95,153,432,58,423,43,61,272,47,315,52,92,160,11
"E01006696",2011,"Liverpool 030C","Total",630,55,160,382,33,322,14,55,228,25,308,41,105,154,8
"E01006697",2011,"Liverpool 030D","Total",668,78,186,354,50,355,45,67,211,32,313,33,119,143,18
"E01006698",2011,"Liverpool 012D","Total",750,61,173,466,50,359,18,39,263,39,391,43,134,203,11
"E01006699",2011,"Liverpool 014A","Total",509,34,159,280,36,250,10,36,169,35,259,24,123,111,1
"E01006700",2011,"Liverpool 012E","Total",539,30,141,320,48,280,5,39,197,39,259,25,102,123,9
"E01006701",2011,"Liverpool 014B","Total",599,38,158,346,57,300,10,34,207,49,299,28,124,139,8
"E01006702",2011,"Liverpool 014C","Total",542,44,157,303,38,269,18,49,171,31,273,26,108,132,7
"E01006703",2011,"Liverpool 014D","Total",522,33,119,323,47,278,11,40,191,36,244,22,79,132,11
"E01006705",2011,"Liverpool 009E","Total",635,41,157,384,53,332,14,49,231,38,303,27,108,153,15
"E01006706",2011,"Liverpool 045A","Total",445,59,129,230,27,212,12,41,133,26,233,47,88,97,1
"E01006707",2011,"Liverpool 045B","Total",418,32,99,266,21,197,12,22,149,14,221,20,77,117,7
"E01006708",2011,"Liverpool 045C","Total",738,50,165,463,60,357,8,43,263,43,381,42,122,200,17
"E01006709",2011,"Liverpool 040A","Total",599,45,130,384,40,308,15,33,229,31,291,30,97,155,9
"E01006710",2011,"Liverpool 045D","Total",668,60,153,415,40,314,15,28,235,36,354,45,125,180,4
"E01006711",2011,"Liverpool 027A","Total",610,40,146,360,64,296,15,35,195,51,314,25,111,165,13
"E01006712",2011,"Liverpool 029D","Total",581,30,124,384,43,290,9,25,224,32,291,21,99,160,11
"E01006713",2011,"Liverpool 029E","Total",650,46,153,404,47,306,19,36,218,33,344,27,117,186,14
"E01006716",2011,"Liverpool 032E","Total",643,37,134,424,48,310,7,35,231,37,333,30,99,193,11
