"lsoa11cd","date","lsoa11nm","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Has religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"E01006586",2011,"Liverpool 032C","Total",1899,1413,1339,11,10,5,43,0,5,374,112
"E01006587",2011,"Liverpool 032D","Total",1624,1228,1153,8,3,13,45,0,6,303,93
"E01006588",2011,"Liverpool 042C","Total",1569,1065,988,6,6,26,31,3,5,402,102
"E01006589",2011,"Liverpool 041B","Total",1518,1245,1160,7,19,35,15,4,5,200,73
"E01006590",2011,"Liverpool 042D","Total",1642,1071,988,5,11,27,26,6,8,428,143
"E01006591",2011,"Liverpool 041C","Total",1633,1171,1053,3,14,39,56,0,6,345,117
"E01006592",2011,"Liverpool 041D","Total",1565,1264,1088,2,3,139,28,0,4,234,67
"E01006593",2011,"Liverpool 042E","Total",1541,960,902,13,3,12,26,0,4,493,88
"E01006594",2011,"Liverpool 047D","Total",1410,1171,1010,1,39,80,36,1,4,161,78
"E01006595",2011,"Liverpool 049B","Total",1745,1261,1188,6,2,13,40,8,4,370,114
"E01006596",2011,"Liverpool 049C","Total",1451,1012,914,6,0,23,65,3,1,347,92
"E01006597",2011,"Liverpool 041E","Total",1667,1263,1136,3,8,79,34,0,3,306,98
"E01006598",2011,"Liverpool 010A","Total",1361,1104,1092,1,1,2,5,0,3,180,77
"E01006599",2011,"Liverpool 010B","Total",1121,853,848,1,0,2,1,0,1,209,59
"E01006600",2011,"Liverpool 011A","Total",1407,1148,1138,4,0,0,3,0,3,159,100
"E01006603",2011,"Liverpool 011B","Total",1410,1164,1155,5,0,0,2,0,2,149,97
"E01006604",2011,"Liverpool 016A","Total",1367,1097,1088,1,0,0,5,0,3,181,89
"E01006605",2011,"Liverpool 016B","Total",1531,1246,1222,7,3,5,6,0,3,203,82
"E01006606",2011,"Liverpool 020A","Total",1521,1221,1207,7,0,0,2,0,5,219,81
"E01006607",2011,"Liverpool 008A","Total",1531,1261,1249,0,0,0,9,0,3,181,89
"E01006608",2011,"Liverpool 009A","Total",1215,986,980,0,0,0,3,1,2,151,78
"E01006609",2011,"Liverpool 009B","Total",1283,1031,1012,8,2,0,7,0,2,191,61
"E01006610",2011,"Liverpool 009C","Total",1397,1127,1108,0,2,1,8,6,2,195,75
"E01006611",2011,"Liverpool 012A","Total",1291,1045,1032,0,4,0,8,0,1,177,69
"E01006612",2011,"Liverpool 008B","Total",1495,1216,1201,2,0,1,7,0,5,186,93
"E01006613",2011,"Liverpool 009D","Total",1360,1124,1114,1,3,0,3,0,3,122,114
"E01006614",2011,"Liverpool 012B","Total",1322,1066,1045,2,3,1,12,0,3,179,77
"E01006615",2011,"Liverpool 012C","Total",1302,1043,1038,2,0,0,1,0,2,185,74
"E01006616",2011,"Liverpool 015D","Total",1428,1204,1178,3,0,2,16,0,5,151,73
"E01006617",2011,"Liverpool 021A","Total",1421,1191,1168,2,4,0,17,0,0,155,75
"E01006618",2011,"Liverpool 016C","Total",1639,1383,1367,3,0,0,6,0,7,162,94
"E01006619",2011,"Liverpool 021B","Total",1599,1328,1312,3,1,2,7,0,3,184,87
"E01006620",2011,"Liverpool 021C","Total",1417,1211,1201,2,1,0,7,0,0,106,100
"E01006621",2011,"Liverpool 021D","Total",1468,1286,1237,4,15,1,28,1,0,109,73
"E01006622",2011,"Liverpool 021E","Total",1519,1315,1296,2,2,3,9,0,3,131,73
"E01006623",2011,"Liverpool 013A","Total",1462,1267,1239,8,2,2,16,0,0,121,74
"E01006624",2011,"Liverpool 013B","Total",1556,1317,1290,2,2,3,18,2,0,171,68
"E01006625",2011,"Liverpool 016D","Total",1416,1219,1213,1,3,1,1,0,0,120,77
"E01006626",2011,"Liverpool 016E","Total",1448,1247,1224,7,3,1,11,0,1,126,75
"E01006627",2011,"Liverpool 013C","Total",1378,1172,1151,5,0,0,14,1,1,139,67
"E01006628",2011,"Liverpool 052D","Total",1874,1264,1179,20,13,6,41,0,5,513,97
"E01006629",2011,"Liverpool 052E","Total",1255,935,887,12,6,6,23,0,1,238,82
"E01006630",2011,"Liverpool 044B","Total",1338,1102,1015,9,6,3,65,0,4,129,107
"E01006632",2011,"Liverpool 044C","Total",1842,1530,1405,5,21,0,97,0,2,205,107
"E01006633",2011,"Liverpool 050B","Total",1432,1138,1110,9,0,0,16,0,3,190,104
