"lsoa11cd","date","lsoa11nm","Rural Urban","Bedrooms: All categories: Number of bedrooms; measures: Value","Bedrooms: No bedrooms; measures: Value","Bedrooms: 1 bedroom; measures: Value","Bedrooms: 2 bedrooms; measures: Value","Bedrooms: 3 bedrooms; measures: Value","Bedrooms: 4 bedrooms; measures: Value","Bedrooms: 5 or more bedrooms; measures: Value"
"E01006695",2011,"Liverpool 028C","Total",1029,8,462,263,176,76,44
"E01006696",2011,"Liverpool 030C","Total",768,3,93,281,327,54,10
"E01006697",2011,"Liverpool 030D","Total",828,1,58,371,349,35,14
"E01006698",2011,"Liverpool 012D","Total",725,2,35,141,486,48,13
"E01006699",2011,"Liverpool 014A","Total",777,0,109,306,326,27,9
"E01006700",2011,"Liverpool 012E","Total",653,3,64,198,333,35,20
"E01006701",2011,"Liverpool 014B","Total",671,9,92,220,309,34,7
"E01006702",2011,"Liverpool 014C","Total",740,4,38,285,375,34,4
"E01006703",2011,"Liverpool 014D","Total",818,7,211,201,336,55,8
"E01006705",2011,"Liverpool 009E","Total",689,1,63,273,290,49,13
"E01006706",2011,"Liverpool 045A","Total",582,3,29,131,370,46,3
"E01006707",2011,"Liverpool 045B","Total",553,0,32,117,358,43,3
"E01006708",2011,"Liverpool 045C","Total",754,0,31,171,472,71,9
"E01006709",2011,"Liverpool 040A","Total",685,5,55,237,239,143,6
"E01006710",2011,"Liverpool 045D","Total",592,1,1,42,506,36,6
"E01006711",2011,"Liverpool 027A","Total",685,2,81,217,321,51,13
"E01006712",2011,"Liverpool 029D","Total",569,1,5,134,403,21,5
"E01006713",2011,"Liverpool 029E","Total",604,1,3,162,426,9,3
"E01006716",2011,"Liverpool 032E","Total",701,3,67,296,317,16,2
"E01006717",2011,"Liverpool 027D","Total",576,1,8,72,407,70,18
"E01006718",2011,"Liverpool 027E","Total",678,0,80,106,363,96,33
"E01006719",2011,"Liverpool 027F","Total",638,0,11,48,524,42,13
"E01006720",2011,"Liverpool 035A","Total",905,7,57,424,325,70,22
"E01006721",2011,"Liverpool 038C","Total",912,2,137,617,120,23,13
"E01006722",2011,"Liverpool 038D","Total",608,1,22,84,270,138,93
"E01006723",2011,"Liverpool 038E","Total",749,0,102,177,278,136,56
"E01006724",2011,"Liverpool 038F","Total",554,5,20,33,283,102,111
"E01006725",2011,"Liverpool 035B","Total",739,0,62,321,303,42,11
"E01006726",2011,"Liverpool 035C","Total",659,5,27,248,258,86,35
"E01006727",2011,"Liverpool 035D","Total",665,0,39,234,320,47,25
"E01006728",2011,"Liverpool 035E","Total",855,2,56,633,128,24,12
"E01006729",2011,"Liverpool 008C","Total",539,1,2,14,502,12,8
"E01006730",2011,"Liverpool 011C","Total",542,0,2,9,506,16,9
"E01006731",2011,"Liverpool 011D","Total",486,0,13,18,427,20,8
"E01006732",2011,"Liverpool 011E","Total",644,3,2,9,616,7,7
"E01006734",2011,"Liverpool 005C","Total",625,1,41,147,420,8,8
"E01006735",2011,"Liverpool 005D","Total",571,1,7,111,403,36,13
"E01006736",2011,"Liverpool 005E","Total",582,1,8,13,529,26,5
"E01006737",2011,"Liverpool 005F","Total",562,0,12,24,498,23,5
"E01006738",2011,"Liverpool 058A","Total",662,0,3,192,453,11,3
"E01006739",2011,"Liverpool 058B","Total",707,1,54,72,516,56,8
"E01006740",2011,"Liverpool 057A","Total",604,5,102,224,236,22,15
"E01006741",2011,"Liverpool 058C","Total",778,2,23,93,638,18,4
"E01006742",2011,"Liverpool 057B","Total",591,3,21,21,498,39,9
"E01006743",2011,"Liverpool 058D","Total",1008,3,69,410,424,91,11
"E01006744",2011,"Liverpool 057C","Total",739,1,39,362,309,22,6
"E01006745",2011,"Liverpool 057D","Total",907,10,172,358,262,68,37
"E01006746",2011,"Liverpool 030E","Total",655,3,53,161,341,75,22
"E01006747",2011,"Liverpool 031B","Total",857,6,223,343,167,40,78
"E01006748",2011,"Liverpool 031C","Total",756,4,39,193,313,154,53
"E01006751",2011,"Liverpool 031F","Total",831,2,119,268,326,68,48
"E01006752",2011,"Liverpool 035F","Total",489,2,110,230,105,27,15
"E01006753",2011,"Liverpool 059A","Total",666,2,43,134,434,44,9
"E01006754",2011,"Liverpool 059B","Total",781,3,153,210,376,29,10
"E01006755",2011,"Liverpool 059C","Total",690,1,160,157,329,36,7
"E01006756",2011,"Liverpool 059D","Total",757,0,47,208,457,36,9
"E01006757",2011,"Liverpool 059E","Total",621,1,34,160,373,42,11
"E01006758",2011,"Liverpool 059F","Total",639,2,34,124,446,31,2
"E01006759",2011,"Liverpool 028D","Total",460,3,57,57,222,76,45
"E01006760",2011,"Liverpool 028E","Total",826,11,315,207,158,64,71
"E01006761",2011,"Liverpool 020B","Total",793,3,194,257,295,33,11
"E01006762",2011,"Liverpool 015E","Total",725,3,33,165,487,29,8
"E01006763",2011,"Liverpool 020C","Total",652,0,13,142,433,48,16
"E01006764",2011,"Liverpool 020D","Total",667,3,134,125,281,67,57
"E01006765",2011,"Liverpool 020E","Total",659,3,13,82,518,35,8
"E01006766",2011,"Liverpool 019E","Total",574,1,42,227,277,21,6
"E01006767",2011,"Liverpool 019F","Total",779,1,57,229,396,82,14
"E01006768",2011,"Liverpool 020F","Total",587,9,111,85,216,98,68
"E01006769",2011,"Liverpool 040B","Total",712,1,122,291,236,55,7
"E01006770",2011,"Liverpool 040C","Total",445,0,43,78,269,51,4
"E01006771",2011,"Liverpool 040D","Total",694,0,98,166,399,29,2
"E01006772",2011,"Liverpool 040E","Total",480,0,37,72,320,47,4
"E01006773",2011,"Liverpool 036D","Total",554,0,5,35,440,62,12
"E01006774",2011,"Liverpool 036E","Total",552,1,2,37,405,93,14
"E01006775",2011,"Liverpool 040F","Total",556,3,5,110,425,9,4
"E01006776",2011,"Liverpool 022B","Total",844,1,106,334,362,33,8
"E01006778",2011,"Liverpool 014E","Total",1124,1,164,447,410,96,6
"E01006779",2011,"Liverpool 022D","Total",902,0,70,337,433,55,7
"E01006780",2011,"Liverpool 002D","Total",619,1,40,80,378,93,27
"E01006781",2011,"Liverpool 003A","Total",600,0,33,44,408,86,29
"E01006782",2011,"Liverpool 003B","Total",691,5,74,97,379,91,45
"E01006783",2011,"Liverpool 002E","Total",645,2,18,147,421,51,6
"E01006784",2011,"Liverpool 003C","Total",586,1,46,56,414,42,27
"E01006785",2011,"Liverpool 003D","Total",781,1,77,184,375,114,30
"E01006786",2011,"Liverpool 003E","Total",764,0,94,76,446,115,33
"E01006787",2011,"Liverpool 006A","Total",691,0,232,69,222,115,53
"E01006788",2011,"Liverpool 006B","Total",681,1,1,38,537,94,10
"E01006790",2011,"Liverpool 006C","Total",801,8,106,427,230,29,1
"E01006791",2011,"Liverpool 006D","Total",873,6,157,281,356,50,23
"E01006792",2011,"Liverpool 046A","Total",557,2,14,79,224,177,61
"E01006793",2011,"Liverpool 051A","Total",759,3,153,208,257,107,31
"E01006794",2011,"Liverpool 046B","Total",711,2,24,181,311,158,35
"E01006795",2011,"Liverpool 051B","Total",628,0,36,161,293,94,44
"E01006796",2011,"Liverpool 047E","Total",581,0,2,44,188,247,100
"E01006797",2011,"Liverpool 051C","Total",707,9,127,87,419,57,8
"E01006798",2011,"Liverpool 051D","Total",609,1,62,88,300,132,26
"E01006799",2011,"Liverpool 051E","Total",1145,2,328,532,244,30,9
"E01006800",2011,"Liverpool 046C","Total",679,0,8,166,365,120,20
"E01006801",2011,"Liverpool 046D","Total",609,0,2,166,304,116,21
"E01032505",2011,"Liverpool 050F","Total",563,0,15,199,214,108,27
"E01032506",2011,"Liverpool 050G","Total",656,6,57,188,337,50,18
"E01032507",2011,"Liverpool 050H","Total",666,1,34,120,373,114,24
"E01032508",2011,"Liverpool 027G","Total",847,5,162,234,392,38,16
"E01032509",2011,"Liverpool 027H","Total",665,0,7,295,341,12,10
"E01032510",2011,"Liverpool 008F","Total",776,0,19,257,452,44,4
"E01032511",2011,"Liverpool 008G","Total",616,1,68,160,337,39,11
"E01033747",2011,"Liverpool 018F","Total",496,0,107,139,203,25,22
"E01033748",2011,"Liverpool 050I","Total",772,1,27,639,96,8,1
"E01033749",2011,"Liverpool 042F","Total",1039,14,829,85,42,14,55
"E01033750",2011,"Liverpool 061A","Total",905,1,184,587,110,21,2
"E01033751",2011,"Liverpool 062A","Total",603,0,116,361,112,7,7
"E01033752",2011,"Liverpool 062B","Total",790,5,264,477,41,1,2
"E01033753",2011,"Liverpool 062C","Total",714,0,248,452,10,4,0
"E01033754",2011,"Liverpool 061B","Total",838,2,181,529,101,19,6
"E01033755",2011,"Liverpool 062D","Total",675,1,179,451,39,4,1
