"lsoa11cd","date","lsoa11nm","Rural Urban","Distance travelled to work: All categories: Distance travelled to work; measures: Value","Distance travelled to work: Less than 2km; measures: Value","Distance travelled to work: 2km to less than 5km; measures: Value","Distance travelled to work: 5km to less than 10km; measures: Value","Distance travelled to work: 10km to less than 20km; measures: Value","Distance travelled to work: 20km to less than 30km; measures: Value","Distance travelled to work: 30km to less than 40km; measures: Value","Distance travelled to work: 40km to less than 60km; measures: Value","Distance travelled to work: 60km and over; measures: Value","Distance travelled to work: Work mainly at or from home; measures: Value","Distance travelled to work: Other; measures: Value","Distance travelled to work: Total distance (km); measures: Value","Distance travelled to work: Average distance (km); measures: Value"
"E01006538",2011,"Liverpool 055E","Total",643,124,113,141,147,7,9,10,18,32,42,7478.9,13.1
"E01006539",2011,"Liverpool 047B","Total",732,92,133,234,77,15,7,22,16,89,47,8448.3,14.2
"E01006540",2011,"Liverpool 024A","Total",487,81,213,71,27,4,5,9,12,21,44,4753.3,11.3
"E01006541",2011,"Liverpool 015A","Total",717,117,316,92,59,10,9,12,5,37,60,4701.6,7.6
"E01006542",2011,"Liverpool 018A","Total",565,78,234,82,54,8,2,6,19,30,52,6647.5,13.8
"E01006543",2011,"Liverpool 015B","Total",626,110,274,82,45,10,3,6,17,24,55,6592.6,12.1
"E01006544",2011,"Liverpool 015C","Total",561,94,259,74,42,10,4,8,14,20,36,5738.4,11.4
"E01006545",2011,"Liverpool 019A","Total",670,110,299,67,53,17,2,6,18,27,71,7624.1,13.3
"E01006546",2011,"Liverpool 019B","Total",546,74,266,68,20,16,4,9,13,33,43,5645.4,12
"E01006547",2011,"Liverpool 019C","Total",521,70,209,71,28,17,3,11,8,45,59,4151.2,10
"E01006548",2011,"Liverpool 019D","Total",583,91,269,82,51,6,3,6,12,25,38,5582.6,10.7
"E01006549",2011,"Liverpool 043B","Total",820,107,311,121,53,31,16,34,18,44,85,8667.7,12.5
"E01006550",2011,"Liverpool 038A","Total",583,67,234,73,38,19,10,13,30,38,61,8531.8,17.6
"E01006551",2011,"Liverpool 048E","Total",466,61,166,52,32,17,10,22,30,34,42,8920,22.9
"E01006552",2011,"Liverpool 039A","Total",646,130,233,89,28,20,3,20,15,44,64,6727.3,12.5
"E01006553",2011,"Liverpool 042A","Total",873,96,306,176,61,29,14,34,36,38,83,13169,17.5
"E01006554",2011,"Liverpool 048F","Total",752,89,301,89,43,23,15,28,34,72,58,10708.7,17.2
"E01006556",2011,"Liverpool 039B","Total",596,110,212,87,30,10,4,11,18,53,61,5328.9,11.1
"E01006557",2011,"Liverpool 038B","Total",739,100,303,92,58,25,15,27,21,44,54,8332,13
"E01006558",2011,"Liverpool 018B","Total",472,86,191,70,30,14,8,8,7,19,39,3601.2,8.7
"E01006560",2011,"Liverpool 023A","Total",525,105,191,72,52,12,3,5,11,24,50,4663.1,10.3
"E01006562",2011,"Liverpool 018E","Total",468,93,199,57,32,9,2,5,10,26,35,4439.3,10.9
"E01006563",2011,"Liverpool 024B","Total",410,80,150,72,14,17,2,3,10,15,47,3448.4,9.9
"E01006564",2011,"Liverpool 023B","Total",683,164,230,93,39,22,7,12,14,35,67,6457.9,11.1
"E01006565",2011,"Liverpool 029A","Total",653,168,122,205,27,18,4,9,19,25,56,7955.8,13.9
"E01006566",2011,"Liverpool 032A","Total",695,125,168,218,31,16,9,14,19,48,47,8021.4,13.4
"E01006567",2011,"Liverpool 026A","Total",659,106,133,217,39,13,7,15,11,55,63,5484.4,10.1
"E01006568",2011,"Liverpool 026B","Total",733,109,142,277,51,19,16,10,20,38,51,8573,13.3
"E01006569",2011,"Liverpool 029B","Total",509,115,108,157,23,12,4,7,17,26,40,6457.6,14.6
"E01006570",2011,"Liverpool 026C","Total",739,107,113,294,46,16,12,11,14,58,68,7280.2,11.9
"E01006571",2011,"Liverpool 026D","Total",557,117,105,186,36,6,4,11,17,27,48,7109.4,14.7
"E01006572",2011,"Liverpool 025A","Total",409,76,82,142,24,4,2,7,8,21,43,4071.1,11.8
"E01006573",2011,"Liverpool 029C","Total",590,124,155,168,25,11,7,13,12,32,43,5205.8,10.1
"E01006574",2011,"Liverpool 025B","Total",512,90,106,190,35,5,4,3,9,24,46,4786.9,10.8
"E01006575",2011,"Liverpool 034A","Total",569,89,133,200,26,13,4,6,14,41,43,6293.8,13
"E01006576",2011,"Liverpool 034B","Total",902,111,184,337,65,25,9,18,24,57,72,10868.4,14.1
"E01006577",2011,"Liverpool 034C","Total",775,123,175,252,37,23,15,16,14,64,56,7865,12
"E01006578",2011,"Liverpool 036A","Total",712,74,148,283,47,15,8,18,14,51,54,7472.9,12.3
"E01006579",2011,"Liverpool 034D","Total",800,88,170,292,56,16,11,15,17,72,63,8432.3,12.7
"E01006580",2011,"Liverpool 036B","Total",711,64,135,279,60,12,14,19,19,66,43,8907.9,14.8
"E01006581",2011,"Liverpool 036C","Total",777,109,158,269,64,23,7,23,18,54,52,8914.8,13.3
"E01006582",2011,"Liverpool 041A","Total",818,96,184,267,89,15,9,22,18,71,47,9114.1,13
"E01006583",2011,"Liverpool 047C","Total",769,69,138,229,83,23,17,33,28,101,48,9921.6,16
"E01006584",2011,"Liverpool 034E","Total",672,110,118,228,50,20,8,13,19,48,58,7718.6,13.6
"E01006585",2011,"Liverpool 032B","Total",491,96,140,145,18,15,1,8,11,27,30,4899.8,11.3
"E01006586",2011,"Liverpool 032C","Total",875,159,244,229,42,23,11,25,25,42,75,10716.7,14.1
"E01006587",2011,"Liverpool 032D","Total",805,147,246,179,45,23,8,14,23,63,57,8830.3,12.9
"E01006588",2011,"Liverpool 042C","Total",831,134,235,191,39,42,7,36,19,75,53,9570,13.6
"E01006589",2011,"Liverpool 041B","Total",789,129,194,235,67,14,9,16,16,60,49,7548.2,11.1
"E01006590",2011,"Liverpool 042D","Total",906,132,276,237,66,35,10,26,25,45,54,11745.9,14.6
"E01006591",2011,"Liverpool 041C","Total",867,125,232,245,63,21,16,23,25,56,61,9855.8,13.1
"E01006592",2011,"Liverpool 041D","Total",763,97,152,214,58,29,12,22,21,107,51,9577.9,15.8
"E01006593",2011,"Liverpool 042E","Total",838,137,255,205,72,31,8,18,20,51,41,9262.3,12.4
"E01006594",2011,"Liverpool 047D","Total",681,81,134,230,66,16,10,20,17,72,35,9063.4,15.8
"E01006595",2011,"Liverpool 049B","Total",897,140,218,269,76,32,10,33,16,55,48,10464.5,13.2
"E01006596",2011,"Liverpool 049C","Total",759,136,186,216,52,29,9,20,13,57,41,7879.7,11.9
"E01006597",2011,"Liverpool 041E","Total",837,120,178,237,52,40,11,25,29,85,60,11956.3,17.3
"E01006598",2011,"Liverpool 010A","Total",369,58,90,133,23,1,3,4,5,19,33,3014.3,9.5
"E01006599",2011,"Liverpool 010B","Total",362,59,94,125,26,7,4,5,7,11,24,3418,10.5
"E01006600",2011,"Liverpool 011A","Total",569,80,192,133,32,13,2,8,12,34,63,4929,10.4
"E01006603",2011,"Liverpool 011B","Total",526,61,202,109,50,8,3,9,15,24,45,6366.9,13.9
"E01006604",2011,"Liverpool 016A","Total",583,68,196,159,52,11,3,5,11,19,59,5462.7,10.8
