"lsoa11cd","date","lsoa11nm","Rural Urban","Distance travelled to work: All categories: Distance travelled to work; measures: Value","Distance travelled to work: Less than 2km; measures: Value","Distance travelled to work: 2km to less than 5km; measures: Value","Distance travelled to work: 5km to less than 10km; measures: Value","Distance travelled to work: 10km to less than 20km; measures: Value","Distance travelled to work: 20km to less than 30km; measures: Value","Distance travelled to work: 30km to less than 40km; measures: Value","Distance travelled to work: 40km to less than 60km; measures: Value","Distance travelled to work: 60km and over; measures: Value","Distance travelled to work: Work mainly at or from home; measures: Value","Distance travelled to work: Other; measures: Value","Distance travelled to work: Total distance (km); measures: Value","Distance travelled to work: Average distance (km); measures: Value"
"E01006766",2011,"Liverpool 019E","Total",476,69,223,73,31,10,1,4,10,25,30,3860.7,9.2
"E01006767",2011,"Liverpool 019F","Total",748,90,348,111,48,13,3,7,13,33,82,6211.1,9.8
"E01006768",2011,"Liverpool 020F","Total",628,79,195,169,31,12,3,18,20,51,50,8075.1,15.3
"E01006769",2011,"Liverpool 040B","Total",417,55,76,166,27,12,3,14,8,16,40,4828.3,13.4
"E01006770",2011,"Liverpool 040C","Total",366,69,77,121,30,6,4,7,10,18,24,4268.3,13.2
"E01006771",2011,"Liverpool 040D","Total",489,71,92,204,33,7,5,9,13,20,35,5746.1,13.2
"E01006772",2011,"Liverpool 040E","Total",457,64,103,145,43,7,7,11,12,30,35,5748.3,14.7
"E01006773",2011,"Liverpool 036D","Total",698,67,133,302,64,21,8,18,4,45,36,5869.2,9.5
"E01006774",2011,"Liverpool 036E","Total",737,80,123,314,58,21,17,12,17,47,48,8152.1,12.7
"E01006775",2011,"Liverpool 040F","Total",436,66,97,180,27,5,5,3,10,12,31,4888.1,12.4
"E01006776",2011,"Liverpool 022B","Total",663,223,138,105,55,16,5,16,13,35,57,6859,12
"E01006778",2011,"Liverpool 014E","Total",815,131,308,112,75,19,11,15,25,45,74,9965.6,14.3
"E01006779",2011,"Liverpool 022D","Total",571,177,167,75,43,14,4,6,14,17,54,5384.2,10.8
"E01006780",2011,"Liverpool 002D","Total",724,149,111,221,79,34,4,10,17,40,59,7801.8,12.5
"E01006781",2011,"Liverpool 003A","Total",825,153,170,234,88,30,12,16,12,48,62,7656.2,10.7
"E01006782",2011,"Liverpool 003B","Total",764,168,124,262,78,33,9,11,12,29,38,7719.5,11.1
"E01006783",2011,"Liverpool 002E","Total",726,198,110,220,68,25,9,11,17,36,32,8546.4,13
"E01006784",2011,"Liverpool 003C","Total",723,139,135,238,70,24,7,15,15,29,51,7967.7,12.4
"E01006785",2011,"Liverpool 003D","Total",823,152,143,291,72,19,9,19,14,43,61,8275.4,11.5
"E01006786",2011,"Liverpool 003E","Total",922,175,156,290,83,34,16,22,19,48,79,9600,12.1
"E01006787",2011,"Liverpool 006A","Total",942,125,157,206,64,23,11,15,14,253,74,6983.4,11.4
"E01006788",2011,"Liverpool 006B","Total",844,139,192,252,74,29,6,14,25,42,71,11234,15.4
"E01006790",2011,"Liverpool 006C","Total",589,125,191,89,58,20,4,11,16,28,47,6889.2,13.4
"E01006791",2011,"Liverpool 006D","Total",620,96,171,162,58,21,6,9,18,22,57,7723.2,14.3
"E01006792",2011,"Liverpool 046A","Total",615,64,118,185,83,12,4,23,15,69,42,7717.1,15.3
"E01006793",2011,"Liverpool 051A","Total",645,51,129,218,82,16,7,11,14,57,60,7425.7,14.1
"E01006794",2011,"Liverpool 046B","Total",758,56,160,211,110,16,12,24,15,85,69,8689.5,14.4
"E01006795",2011,"Liverpool 051B","Total",726,60,154,242,89,14,19,20,23,60,45,11019.3,17.7
"E01006796",2011,"Liverpool 047E","Total",752,68,151,228,75,18,11,24,27,105,45,11026.9,18.3
"E01006797",2011,"Liverpool 051C","Total",639,68,157,194,90,22,5,10,11,43,39,6260.9,11.2
"E01006798",2011,"Liverpool 051D","Total",719,71,169,215,108,18,12,11,21,44,50,9864.8,15.8
"E01006799",2011,"Liverpool 051E","Total",702,74,146,195,85,14,19,21,27,70,51,11083.2,19.1
"E01006800",2011,"Liverpool 046C","Total",576,61,114,210,49,8,12,7,8,48,59,4999.7,10.7
"E01006801",2011,"Liverpool 046D","Total",656,60,171,202,76,12,7,15,10,58,45,5767.3,10.4
"E01032505",2011,"Liverpool 050F","Total",575,78,215,103,41,12,4,13,18,50,41,6488.2,13.4
"E01032506",2011,"Liverpool 050G","Total",668,95,241,134,45,17,8,17,22,42,47,8409.3,14.5
"E01032507",2011,"Liverpool 050H","Total",889,77,355,183,81,41,9,15,16,51,61,9394.6,12.1
"E01032508",2011,"Liverpool 027G","Total",655,131,208,147,37,19,3,10,13,37,50,7061.6,12.4
"E01032509",2011,"Liverpool 027H","Total",612,133,227,115,38,9,5,7,10,24,44,5090,9.4
"E01032510",2011,"Liverpool 008F","Total",887,140,231,257,75,26,5,10,17,46,80,8463.5,11.1
"E01032511",2011,"Liverpool 008G","Total",619,83,153,188,70,16,9,8,8,34,50,5948.2,11.1
"E01033747",2011,"Liverpool 018F","Total",264,30,99,33,20,4,2,0,3,38,35,1686.4,8.8
"E01033748",2011,"Liverpool 050I","Total",926,59,367,177,93,49,12,25,36,58,50,15194.5,18.6
"E01033749",2011,"Liverpool 042F","Total",205,23,59,27,14,19,1,19,17,9,17,5607.2,31.3
"E01033750",2011,"Liverpool 061A","Total",1037,277,198,147,115,47,13,37,38,64,101,13937.2,16
"E01033751",2011,"Liverpool 062A","Total",794,251,91,99,64,41,14,48,57,59,70,14991.7,22.5
"E01033752",2011,"Liverpool 062B","Total",913,429,95,83,68,41,14,28,29,76,50,11206,14.2
"E01033753",2011,"Liverpool 062C","Total",785,338,104,83,79,35,13,22,16,37,58,8249.3,12
"E01033754",2011,"Liverpool 061B","Total",890,398,72,142,73,36,9,25,18,44,73,8793.9,11.4
"E01033755",2011,"Liverpool 062D","Total",820,394,84,98,63,31,9,23,18,34,66,7935,11
"E01033756",2011,"Liverpool 061C","Total",712,346,54,86,41,22,7,20,33,49,54,10175.6,16.7
"E01033757",2011,"Liverpool 037E","Total",340,144,39,43,26,13,8,14,11,22,20,4725.3,15.9
"E01033758",2011,"Liverpool 060B","Total",433,197,47,34,15,15,16,21,29,24,35,7560.2,20.2
"E01033759",2011,"Liverpool 010F","Total",463,60,139,148,27,7,4,2,8,29,39,3849.1,9.7
"E01033760",2011,"Liverpool 060C","Total",757,307,59,67,46,45,24,49,59,35,66,15175.7,23.1
"E01033761",2011,"Liverpool 060D","Total",944,465,75,128,51,41,9,28,19,54,74,8713.3,10.7
"E01033762",2011,"Liverpool 060E","Total",602,231,56,61,49,48,18,30,48,24,37,12985.7,24
"E01033763",2011,"Liverpool 031G","Total",484,116,153,73,26,17,2,15,15,27,40,6479,15.5
"E01033764",2011,"Liverpool 022E","Total",655,167,194,78,41,20,8,7,29,31,80,10344,19
"E01033765",2011,"Liverpool 061D","Total",530,150,135,98,37,11,1,9,15,37,37,5263.4,11.5
"E01033766",2011,"Liverpool 042G","Total",564,76,211,109,32,26,6,14,13,38,39,5708,11.7
"E01033767",2011,"Liverpool 050J","Total",415,55,171,74,32,11,3,5,8,18,38,3559.3,9.9
"E01033768",2011,"Liverpool 037F","Total",573,240,91,82,31,22,4,15,16,27,45,6638.8,13.3
