"lsoa11cd","date","lsoa11nm","Rural Urban","Occupancy Rating: All categories: Occupancy rating bedrooms; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -2 or less; measures: Value"
"E01006683",2011,"Liverpool 053D","Total",594,351,154,79,9,1
"E01006684",2011,"Liverpool 056B","Total",999,439,438,113,8,1
"E01006685",2011,"Liverpool 056C","Total",604,328,177,87,11,1
"E01006686",2011,"Liverpool 053E","Total",531,284,146,89,11,1
"E01006687",2011,"Liverpool 056D","Total",933,437,249,228,17,2
"E01006688",2011,"Liverpool 056E","Total",712,296,226,179,9,2
"E01006689",2011,"Liverpool 049D","Total",717,339,227,139,9,3
"E01006690",2011,"Liverpool 028A","Total",801,106,282,363,47,3
"E01006691",2011,"Liverpool 030A","Total",647,148,229,206,55,9
"E01006692",2011,"Liverpool 028B","Total",989,271,375,284,51,8
"E01006693",2011,"Liverpool 024D","Total",838,124,387,289,33,5
"E01006694",2011,"Liverpool 030B","Total",891,130,430,263,56,12
"E01006695",2011,"Liverpool 028C","Total",1029,156,264,524,76,9
"E01006696",2011,"Liverpool 030C","Total",768,160,283,270,45,10
"E01006697",2011,"Liverpool 030D","Total",828,170,356,236,57,9
"E01006698",2011,"Liverpool 012D","Total",725,257,256,176,33,3
"E01006699",2011,"Liverpool 014A","Total",777,149,322,272,30,4
"E01006700",2011,"Liverpool 012E","Total",653,179,250,198,23,3
"E01006701",2011,"Liverpool 014B","Total",671,167,250,224,29,1
"E01006702",2011,"Liverpool 014C","Total",740,175,309,223,29,4
"E01006703",2011,"Liverpool 014D","Total",818,200,264,317,36,1
"E01006705",2011,"Liverpool 009E","Total",689,184,282,182,35,6
"E01006706",2011,"Liverpool 045A","Total",582,195,190,157,36,4
"E01006707",2011,"Liverpool 045B","Total",553,185,183,150,30,5
"E01006708",2011,"Liverpool 045C","Total",754,264,302,161,24,3
"E01006709",2011,"Liverpool 040A","Total",685,225,254,181,21,4
"E01006710",2011,"Liverpool 045D","Total",592,242,220,110,18,2
"E01006711",2011,"Liverpool 027A","Total",685,176,279,195,29,6
"E01006712",2011,"Liverpool 029D","Total",569,210,234,101,22,2
