"lsoa11cd","date","lsoa11nm","Rural Urban","Disability: All categories: Long-term health problem or disability; measures: Value","Disability: Day-to-day activities limited a lot; measures: Value","Disability: Day-to-day activities limited a little; measures: Value","Disability: Day-to-day activities not limited; measures: Value"
"E01006771",2011,"Liverpool 040D","Total",1425,309,172,944
"E01006772",2011,"Liverpool 040E","Total",1091,183,117,791
"E01006773",2011,"Liverpool 036D","Total",1379,118,141,1120
"E01006774",2011,"Liverpool 036E","Total",1445,131,100,1214
"E01006775",2011,"Liverpool 040F","Total",1319,276,176,867
"E01006776",2011,"Liverpool 022B","Total",1677,349,187,1141
"E01006778",2011,"Liverpool 014E","Total",2205,419,261,1525
"E01006779",2011,"Liverpool 022D","Total",1968,448,256,1264
"E01006780",2011,"Liverpool 002D","Total",1465,163,168,1134
"E01006781",2011,"Liverpool 003A","Total",1470,152,152,1166
"E01006782",2011,"Liverpool 003B","Total",1560,161,153,1246
"E01006783",2011,"Liverpool 002E","Total",1548,160,130,1258
"E01006784",2011,"Liverpool 003C","Total",1347,125,124,1098
"E01006785",2011,"Liverpool 003D","Total",1769,225,168,1376
"E01006786",2011,"Liverpool 003E","Total",1820,176,187,1457
"E01006787",2011,"Liverpool 006A","Total",2330,330,210,1790
"E01006788",2011,"Liverpool 006B","Total",1825,188,153,1484
"E01006790",2011,"Liverpool 006C","Total",1587,244,187,1156
"E01006791",2011,"Liverpool 006D","Total",1674,330,198,1146
"E01006792",2011,"Liverpool 046A","Total",1368,93,151,1124
"E01006793",2011,"Liverpool 051A","Total",1494,193,164,1137
"E01006794",2011,"Liverpool 046B","Total",1593,123,169,1301
"E01006795",2011,"Liverpool 051B","Total",1407,110,114,1183
"E01006796",2011,"Liverpool 047E","Total",1591,118,121,1352
"E01006797",2011,"Liverpool 051C","Total",1499,238,157,1104
"E01006798",2011,"Liverpool 051D","Total",1410,126,139,1145
"E01006799",2011,"Liverpool 051E","Total",1821,412,272,1137
"E01006800",2011,"Liverpool 046C","Total",1401,171,214,1016
"E01006801",2011,"Liverpool 046D","Total",1355,142,177,1036
"E01032505",2011,"Liverpool 050F","Total",1317,160,137,1020
"E01032506",2011,"Liverpool 050G","Total",1403,208,158,1037
"E01032507",2011,"Liverpool 050H","Total",1539,116,112,1311
"E01032508",2011,"Liverpool 027G","Total",1723,295,201,1227
"E01032509",2011,"Liverpool 027H","Total",1434,162,137,1135
"E01032510",2011,"Liverpool 008F","Total",1809,223,163,1423
"E01032511",2011,"Liverpool 008G","Total",1378,195,126,1057
"E01033747",2011,"Liverpool 018F","Total",1043,194,193,656
"E01033748",2011,"Liverpool 050I","Total",1277,41,52,1184
"E01033749",2011,"Liverpool 042F","Total",1153,17,34,1102
"E01033750",2011,"Liverpool 061A","Total",1448,44,54,1350
"E01033751",2011,"Liverpool 062A","Total",1873,106,94,1673
"E01033752",2011,"Liverpool 062B","Total",1196,18,31,1147
"E01033753",2011,"Liverpool 062C","Total",1051,11,25,1015
"E01033754",2011,"Liverpool 061B","Total",1452,129,86,1237
"E01033755",2011,"Liverpool 062D","Total",1082,19,21,1042
"E01033756",2011,"Liverpool 061C","Total",1185,16,33,1136
"E01033757",2011,"Liverpool 037E","Total",1025,70,60,895
"E01033758",2011,"Liverpool 060B","Total",1730,78,56,1596
"E01033759",2011,"Liverpool 010F","Total",1147,169,116,862
"E01033760",2011,"Liverpool 060C","Total",2115,30,61,2024
"E01033761",2011,"Liverpool 060D","Total",1372,18,38,1316
"E01033762",2011,"Liverpool 060E","Total",1791,60,61,1670
"E01033763",2011,"Liverpool 031G","Total",1527,321,215,991
"E01033764",2011,"Liverpool 022E","Total",2202,518,272,1412
"E01033765",2011,"Liverpool 061D","Total",1351,208,156,987
"E01033766",2011,"Liverpool 042G","Total",1075,73,86,916
"E01033767",2011,"Liverpool 050J","Total",1067,151,124,792
"E01033768",2011,"Liverpool 037F","Total",1223,161,142,920
