"lsoa11cd","date","lsoa11nm","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"E01006665",2011,"Liverpool 007A","Total",1555,1330,2,8,0,7,0,1,135,72
"E01006666",2011,"Liverpool 007B","Total",1504,1231,6,13,0,23,2,4,155,70
"E01006667",2011,"Liverpool 007C","Total",1453,1199,8,0,1,5,0,4,161,75
"E01006668",2011,"Liverpool 007D","Total",1534,1263,6,6,1,21,0,1,167,69
"E01006669",2011,"Liverpool 004E","Total",1470,1185,9,17,1,27,0,0,156,75
"E01006670",2011,"Liverpool 007E","Total",1526,1269,13,8,1,4,1,1,163,66
"E01006671",2011,"Liverpool 013D","Total",1355,1058,2,5,0,29,0,1,172,88
"E01006672",2011,"Liverpool 010E","Total",1955,1510,0,6,0,19,4,1,297,118
"E01006673",2011,"Liverpool 037D","Total",1937,778,33,17,2,531,0,15,425,136
"E01006674",2011,"Liverpool 039C","Total",1885,670,11,13,3,845,8,4,217,114
"E01006675",2011,"Liverpool 043C","Total",1824,715,30,7,9,252,8,19,636,148
"E01006676",2011,"Liverpool 044D","Total",1753,904,2,25,2,443,7,10,229,131
"E01006677",2011,"Liverpool 043D","Total",1040,570,4,6,0,210,0,3,154,93
"E01006678",2011,"Liverpool 044E","Total",2127,1459,14,2,0,188,0,10,316,138
"E01006679",2011,"Liverpool 039D","Total",2232,698,27,4,0,1098,6,12,214,173
"E01006680",2011,"Liverpool 053B","Total",1569,1199,8,0,9,29,11,3,225,85
"E01006681",2011,"Liverpool 054D","Total",1585,1155,15,5,3,38,10,6,251,102
"E01006682",2011,"Liverpool 053C","Total",1310,1043,7,0,5,10,1,3,167,74
"E01006683",2011,"Liverpool 053D","Total",1510,1252,4,0,5,15,0,2,163,69
"E01006684",2011,"Liverpool 056B","Total",2138,1559,5,13,12,24,2,6,398,119
"E01006685",2011,"Liverpool 056C","Total",1484,1126,3,6,5,1,0,3,241,99
"E01006686",2011,"Liverpool 053E","Total",1433,1147,0,0,2,17,0,0,173,94
"E01006687",2011,"Liverpool 056D","Total",1952,1268,11,24,24,18,2,8,466,131
"E01006688",2011,"Liverpool 056E","Total",1524,1096,5,1,3,26,2,3,287,101
"E01006689",2011,"Liverpool 049D","Total",1651,1201,5,4,9,23,5,4,299,101
"E01006690",2011,"Liverpool 028A","Total",1492,1003,16,1,0,66,1,8,291,106
"E01006691",2011,"Liverpool 030A","Total",1503,936,28,31,0,134,4,1,268,101
"E01006692",2011,"Liverpool 028B","Total",2180,1547,10,23,3,65,1,7,377,147
"E01006693",2011,"Liverpool 024D","Total",1511,1140,2,2,0,49,4,0,212,102
"E01006694",2011,"Liverpool 030B","Total",1864,1330,19,13,3,52,0,4,302,141
"E01006695",2011,"Liverpool 028C","Total",1821,1137,17,5,1,105,1,10,415,130
