"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All categories: Tenure; measures: Value","Tenure: Owned; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Rented from council (Local Authority); measures: Value","Tenure: Other social rented; measures: Value","Tenure: Private rented; measures: Value","Tenure: Living rent free; measures: Value"
"E01006664",2011,"Liverpool 004D","Total",208,83,1,16,88,16,4
"E01006665",2011,"Liverpool 007A","Total",85,75,1,0,1,8,0
"E01006666",2011,"Liverpool 007B","Total",66,53,9,0,1,2,1
"E01006667",2011,"Liverpool 007C","Total",146,104,4,6,20,7,5
"E01006668",2011,"Liverpool 007D","Total",74,62,2,0,2,6,2
"E01006669",2011,"Liverpool 004E","Total",69,44,4,3,8,5,5
"E01006670",2011,"Liverpool 007E","Total",112,102,1,2,6,1,0
"E01006671",2011,"Liverpool 013D","Total",121,82,0,12,21,2,4
"E01006672",2011,"Liverpool 010E","Total",164,82,2,16,61,1,2
"E01006673",2011,"Liverpool 037D","Total",163,20,1,12,113,8,9
"E01006674",2011,"Liverpool 039C","Total",185,26,0,28,113,12,6
"E01006675",2011,"Liverpool 043C","Total",88,24,1,2,44,15,2
"E01006676",2011,"Liverpool 044D","Total",141,48,0,18,56,12,7
"E01006677",2011,"Liverpool 043D","Total",90,24,0,4,53,4,5
"E01006678",2011,"Liverpool 044E","Total",224,46,18,24,121,4,11
"E01006679",2011,"Liverpool 039D","Total",180,25,0,35,112,5,3
"E01006680",2011,"Liverpool 053B","Total",196,189,0,1,4,2,0
"E01006681",2011,"Liverpool 054D","Total",209,152,0,12,29,10,6
"E01006682",2011,"Liverpool 053C","Total",159,157,0,0,0,2,0
"E01006683",2011,"Liverpool 053D","Total",189,185,0,1,1,2,0
"E01006684",2011,"Liverpool 056B","Total",216,192,1,0,2,19,2
"E01006685",2011,"Liverpool 056C","Total",187,163,0,1,4,18,1
"E01006686",2011,"Liverpool 053E","Total",175,165,1,0,1,3,5
"E01006687",2011,"Liverpool 056D","Total",246,143,6,2,84,8,3
"E01006688",2011,"Liverpool 056E","Total",180,154,0,0,11,12,3
"E01006689",2011,"Liverpool 049D","Total",202,174,1,2,17,6,2
"E01006690",2011,"Liverpool 028A","Total",102,39,0,3,42,15,3
"E01006691",2011,"Liverpool 030A","Total",113,76,0,1,24,12,0
"E01006692",2011,"Liverpool 028B","Total",184,98,2,6,53,25,0
"E01006693",2011,"Liverpool 024D","Total",288,70,0,20,183,9,6
"E01006694",2011,"Liverpool 030B","Total",135,74,0,1,21,36,3
"E01006695",2011,"Liverpool 028C","Total",91,44,0,0,36,8,3
"E01006696",2011,"Liverpool 030C","Total",139,67,1,10,43,12,6
"E01006697",2011,"Liverpool 030D","Total",137,97,0,0,15,21,4
"E01006698",2011,"Liverpool 012D","Total",140,101,1,0,15,21,2
"E01006699",2011,"Liverpool 014A","Total",152,63,0,17,56,13,3
"E01006700",2011,"Liverpool 012E","Total",125,75,0,1,31,17,1
"E01006701",2011,"Liverpool 014B","Total",145,86,1,10,39,6,3
"E01006702",2011,"Liverpool 014C","Total",160,75,1,13,58,10,3
"E01006703",2011,"Liverpool 014D","Total",183,70,0,27,77,7,2
"E01006705",2011,"Liverpool 009E","Total",112,75,1,0,11,23,2
"E01006706",2011,"Liverpool 045A","Total",171,73,0,12,80,2,4
"E01006707",2011,"Liverpool 045B","Total",193,97,0,19,70,3,4
"E01006708",2011,"Liverpool 045C","Total",183,75,23,11,61,8,5
"E01006709",2011,"Liverpool 040A","Total",199,93,6,9,83,4,4
"E01006710",2011,"Liverpool 045D","Total",142,106,1,4,25,4,2
"E01006711",2011,"Liverpool 027A","Total",145,77,0,3,39,16,10
"E01006712",2011,"Liverpool 029D","Total",125,99,0,1,5,17,3
"E01006713",2011,"Liverpool 029E","Total",161,132,0,0,5,22,2
