"lsoa11cd","date","lsoa11nm","Rural Urban","Household Type: All categories: Household type; measures: Value","Household Type: One person household; measures: Value","Household Type: Married couple household: With dependent children; measures: Value","Household Type: Married couple household: No dependent children; measures: Value","Household Type: Same-sex civil partnership couple household: With dependent children; measures: Value","Household Type: Same-sex civil partnership couple household: No dependent children; measures: Value","Household Type: Cohabiting couple household: With dependent children; measures: Value","Household Type: Cohabiting couple household: No dependent children; measures: Value","Household Type: Lone parent household: With dependent children; measures: Value","Household Type: Lone parent household: No dependent children; measures: Value","Household Type: Multi-person household: All full-time students; measures: Value","Household Type: Multi-person household: Other; measures: Value"
"E01006647",2011,"Liverpool 024C","Total",636,242,49,79,0,0,25,16,150,54,0,21
"E01006648",2011,"Liverpool 023D","Total",1075,428,57,132,0,1,19,81,121,82,36,118
"E01006651",2011,"Liverpool 001A","Total",592,103,168,152,0,0,39,35,64,24,0,7
"E01006652",2011,"Liverpool 002A","Total",633,193,87,159,0,0,36,33,75,34,1,15
"E01006653",2011,"Liverpool 001B","Total",656,203,98,132,0,0,30,34,76,67,1,15
"E01006654",2011,"Liverpool 005A","Total",627,217,106,152,0,1,20,41,65,20,0,5
"E01006655",2011,"Liverpool 001C","Total",706,194,96,165,0,0,47,32,82,68,0,22
"E01006656",2011,"Liverpool 002B","Total",669,222,71,154,0,0,34,46,84,41,2,15
"E01006657",2011,"Liverpool 002C","Total",582,236,57,100,0,0,29,35,73,38,0,14
"E01006658",2011,"Liverpool 001D","Total",634,254,39,105,0,0,27,33,104,58,0,14
"E01006659",2011,"Liverpool 005B","Total",548,264,46,64,0,1,18,27,76,38,0,14
"E01006660",2011,"Liverpool 001E","Total",616,226,101,113,0,0,30,28,61,41,0,16
"E01006661",2011,"Liverpool 004A","Total",749,269,63,157,0,0,33,31,110,67,0,19
"E01006662",2011,"Liverpool 004B","Total",785,333,82,113,0,0,42,46,95,56,0,18
"E01006663",2011,"Liverpool 004C","Total",510,175,66,72,0,0,34,37,71,38,0,17
"E01006664",2011,"Liverpool 004D","Total",822,327,72,128,0,0,42,49,132,53,0,19
"E01006665",2011,"Liverpool 007A","Total",630,180,128,151,2,1,29,39,69,24,0,7
"E01006666",2011,"Liverpool 007B","Total",514,84,169,130,0,0,26,35,48,20,0,2
"E01006667",2011,"Liverpool 007C","Total",618,188,80,159,0,1,14,42,75,44,0,15
"E01006668",2011,"Liverpool 007D","Total",590,119,148,145,0,0,35,54,65,20,0,4
"E01006669",2011,"Liverpool 004E","Total",551,123,136,141,0,0,33,39,52,18,1,8
"E01006670",2011,"Liverpool 007E","Total",607,133,117,180,0,0,34,33,73,25,0,12
"E01006671",2011,"Liverpool 013D","Total",499,115,95,164,0,1,18,19,57,21,0,9
"E01006672",2011,"Liverpool 010E","Total",798,238,95,145,0,3,59,40,156,52,0,10
"E01006673",2011,"Liverpool 037D","Total",954,482,88,42,0,1,15,52,144,52,25,53
"E01006674",2011,"Liverpool 039C","Total",826,400,115,50,0,0,10,21,134,62,7,27
"E01006675",2011,"Liverpool 043C","Total",1132,766,32,71,0,1,15,92,50,13,20,72
"E01006676",2011,"Liverpool 044D","Total",761,290,87,71,0,1,27,21,168,54,7,35
"E01006677",2011,"Liverpool 043D","Total",477,210,42,37,0,0,10,11,111,36,0,20
"E01006678",2011,"Liverpool 044E","Total",1059,513,73,142,0,0,27,40,135,83,11,35
"E01006679",2011,"Liverpool 039D","Total",920,392,150,60,0,1,16,21,165,68,3,44
"E01006680",2011,"Liverpool 053B","Total",605,140,125,221,1,0,17,28,37,30,0,6
"E01006681",2011,"Liverpool 054D","Total",719,276,87,203,0,0,30,21,55,29,1,17
"E01006682",2011,"Liverpool 053C","Total",498,96,110,201,0,0,21,15,26,24,0,5
"E01006683",2011,"Liverpool 053D","Total",594,136,136,212,0,1,17,29,25,29,2,7
"E01006684",2011,"Liverpool 056B","Total",999,361,144,239,0,1,32,98,66,27,1,30
"E01006685",2011,"Liverpool 056C","Total",604,181,98,201,0,1,20,25,27,34,11,6
"E01006686",2011,"Liverpool 053E","Total",531,122,101,205,1,0,13,14,31,31,3,10
"E01006687",2011,"Liverpool 056D","Total",933,391,132,208,1,2,30,69,40,33,0,27
"E01006688",2011,"Liverpool 056E","Total",712,282,89,176,0,1,26,41,41,24,2,30
"E01006689",2011,"Liverpool 049D","Total",717,228,129,202,2,4,24,45,38,30,1,14
"E01006690",2011,"Liverpool 028A","Total",801,436,40,83,0,3,13,35,88,47,14,42
"E01006691",2011,"Liverpool 030A","Total",647,247,69,81,0,0,16,34,110,31,13,46
"E01006692",2011,"Liverpool 028B","Total",989,400,104,120,0,1,47,66,124,61,8,58
"E01006693",2011,"Liverpool 024D","Total",838,463,45,136,0,2,22,29,61,49,0,31
"E01006694",2011,"Liverpool 030B","Total",891,375,81,110,0,0,24,39,149,60,12,41
"E01006695",2011,"Liverpool 028C","Total",1029,637,69,76,0,2,22,52,93,20,9,49
"E01006696",2011,"Liverpool 030C","Total",768,290,84,122,0,0,32,26,111,49,26,28
"E01006697",2011,"Liverpool 030D","Total",828,319,79,113,0,2,40,46,123,42,21,43
"E01006698",2011,"Liverpool 012D","Total",725,244,83,145,0,0,33,46,130,34,1,9
"E01006699",2011,"Liverpool 014A","Total",777,322,38,103,0,0,43,42,149,64,0,16
"E01006700",2011,"Liverpool 012E","Total",653,265,59,114,0,0,28,29,92,46,0,20
"E01006701",2011,"Liverpool 014B","Total",671,290,46,153,1,1,19,28,82,45,0,6
"E01006702",2011,"Liverpool 014C","Total",740,263,41,121,0,0,41,34,141,66,4,29
"E01006703",2011,"Liverpool 014D","Total",818,447,40,106,0,0,23,33,96,57,0,16
"E01006705",2011,"Liverpool 009E","Total",689,299,55,115,0,0,29,31,95,40,3,22
"E01006706",2011,"Liverpool 045A","Total",582,186,43,124,0,0,24,19,115,64,2,5
"E01006707",2011,"Liverpool 045B","Total",553,163,33,125,0,0,25,19,105,72,0,11
"E01006708",2011,"Liverpool 045C","Total",754,249,92,163,0,0,47,41,95,54,0,13
"E01006709",2011,"Liverpool 040A","Total",685,293,60,103,0,2,36,38,69,63,0,21
"E01006710",2011,"Liverpool 045D","Total",592,136,67,173,0,0,28,24,110,42,0,12
"E01006711",2011,"Liverpool 027A","Total",685,277,77,108,0,1,34,37,94,35,1,21
"E01006712",2011,"Liverpool 029D","Total",569,194,74,96,0,0,38,37,74,40,0,16
"E01006713",2011,"Liverpool 029E","Total",604,196,72,131,0,0,36,41,78,40,0,10
"E01006716",2011,"Liverpool 032E","Total",701,285,66,92,1,0,31,55,121,35,1,14
"E01006717",2011,"Liverpool 027D","Total",576,168,96,155,0,0,18,28,61,39,0,11
"E01006718",2011,"Liverpool 027E","Total",678,245,91,150,0,0,35,34,63,43,0,17
"E01006719",2011,"Liverpool 027F","Total",638,193,95,120,0,1,36,45,92,48,1,7
"E01006720",2011,"Liverpool 035A","Total",905,361,103,71,0,0,29,45,121,32,65,78
"E01006721",2011,"Liverpool 038C","Total",912,453,44,58,0,0,22,61,145,36,43,50
"E01006722",2011,"Liverpool 038D","Total",608,155,52,55,0,0,11,27,49,26,152,81
"E01006723",2011,"Liverpool 038E","Total",749,264,39,81,0,0,14,42,53,35,140,81
"E01006724",2011,"Liverpool 038F","Total",554,113,38,74,0,0,10,40,30,27,150,72
"E01006725",2011,"Liverpool 035B","Total",739,308,62,115,0,0,27,47,89,39,14,38
"E01006726",2011,"Liverpool 035C","Total",659,226,47,88,0,0,14,41,89,31,63,60
"E01006727",2011,"Liverpool 035D","Total",665,238,60,116,0,2,23,71,77,34,14,30
"E01006728",2011,"Liverpool 035E","Total",855,399,57,77,0,0,28,59,131,46,29,29
"E01006729",2011,"Liverpool 008C","Total",539,121,48,98,0,1,35,19,146,64,0,7
"E01006730",2011,"Liverpool 011C","Total",542,165,59,94,0,0,32,21,97,61,0,13
"E01006731",2011,"Liverpool 011D","Total",486,142,56,102,0,0,33,19,76,51,1,6
"E01006732",2011,"Liverpool 011E","Total",644,170,49,107,0,0,48,24,171,69,0,6
"E01006734",2011,"Liverpool 005C","Total",625,187,42,100,0,0,33,23,163,60,1,16
"E01006735",2011,"Liverpool 005D","Total",571,207,52,87,0,1,29,25,109,52,0,9
"E01006736",2011,"Liverpool 005E","Total",582,158,63,109,0,0,33,29,108,63,0,19
"E01006737",2011,"Liverpool 005F","Total",562,142,66,131,0,0,32,14,101,62,1,13
"E01006738",2011,"Liverpool 058A","Total",662,220,50,114,0,0,40,37,121,72,1,7
"E01006739",2011,"Liverpool 058B","Total",707,225,63,106,0,0,64,36,140,62,0,11
"E01006740",2011,"Liverpool 057A","Total",604,273,36,77,0,0,27,36,106,28,0,21
"E01006741",2011,"Liverpool 058C","Total",778,251,61,153,0,0,62,33,117,80,0,21
"E01006742",2011,"Liverpool 057B","Total",591,195,78,130,0,1,28,35,57,51,0,16
"E01006743",2011,"Liverpool 058D","Total",1008,385,127,159,0,2,45,69,136,51,3,31
"E01006744",2011,"Liverpool 057C","Total",739,321,56,117,0,0,38,53,94,46,0,14
"E01006745",2011,"Liverpool 057D","Total",907,407,75,130,0,1,32,63,139,38,3,19
"E01006746",2011,"Liverpool 030E","Total",655,216,45,105,0,0,20,26,75,70,66,32
"E01006747",2011,"Liverpool 031B","Total",857,460,48,67,0,0,11,41,44,32,111,43
"E01006748",2011,"Liverpool 031C","Total",756,239,33,84,0,0,13,30,67,36,190,64
"E01006751",2011,"Liverpool 031F","Total",831,301,73,96,0,0,15,37,136,69,74,30
