"lsoa11cd","date","lsoa11nm","Rural Urban","Persons Per Room: All categories: Number of persons per bedroom in household; measures: Value","Persons Per Room: Up to 0.5 persons per bedroom; measures: Value","Persons Per Room: Over 0.5 and up to 1.0 persons per bedroom; measures: Value","Persons Per Room: Over 1.0 and up to 1.5 persons per bedroom; measures: Value","Persons Per Room: Over 1.5 persons per bedroom; measures: Value"
"E01006690",2011,"Liverpool 028A","Total",801,245,418,67,71
"E01006691",2011,"Liverpool 030A","Total",647,210,258,105,74
"E01006692",2011,"Liverpool 028B","Total",989,322,460,126,81
"E01006693",2011,"Liverpool 024D","Total",838,331,374,84,49
"E01006694",2011,"Liverpool 030B","Total",891,346,352,104,89
"E01006695",2011,"Liverpool 028C","Total",1029,268,585,62,114
"E01006696",2011,"Liverpool 030C","Total",768,236,333,117,82
"E01006697",2011,"Liverpool 030D","Total",828,294,325,127,82
"E01006698",2011,"Liverpool 012D","Total",725,223,341,104,57
"E01006699",2011,"Liverpool 014A","Total",777,234,393,105,45
"E01006700",2011,"Liverpool 012E","Total",653,212,309,97,35
"E01006701",2011,"Liverpool 014B","Total",671,213,330,84,44
"E01006702",2011,"Liverpool 014C","Total",740,246,346,94,54
"E01006703",2011,"Liverpool 014D","Total",818,272,425,63,58
"E01006705",2011,"Liverpool 009E","Total",689,264,296,76,53
"E01006706",2011,"Liverpool 045A","Total",582,174,283,79,46
"E01006707",2011,"Liverpool 045B","Total",553,159,272,65,57
"E01006708",2011,"Liverpool 045C","Total",754,241,348,119,46
"E01006709",2011,"Liverpool 040A","Total",685,280,291,75,39
"E01006710",2011,"Liverpool 045D","Total",592,143,322,97,30
"E01006711",2011,"Liverpool 027A","Total",685,221,325,84,55
"E01006712",2011,"Liverpool 029D","Total",569,196,243,92,38
"E01006713",2011,"Liverpool 029E","Total",604,197,276,89,42
"E01006716",2011,"Liverpool 032E","Total",701,234,336,68,63
"E01006717",2011,"Liverpool 027D","Total",576,171,281,96,28
"E01006718",2011,"Liverpool 027E","Total",678,208,352,72,46
"E01006719",2011,"Liverpool 027F","Total",638,198,313,88,39
"E01006720",2011,"Liverpool 035A","Total",905,325,362,114,104
"E01006721",2011,"Liverpool 038C","Total",912,332,447,81,52
"E01006722",2011,"Liverpool 038D","Total",608,155,324,76,53
"E01006723",2011,"Liverpool 038E","Total",749,196,417,90,46
"E01006724",2011,"Liverpool 038F","Total",554,117,303,101,33
"E01006725",2011,"Liverpool 035B","Total",739,272,318,92,57
"E01006726",2011,"Liverpool 035C","Total",659,217,315,75,52
"E01006727",2011,"Liverpool 035D","Total",665,213,343,73,36
"E01006728",2011,"Liverpool 035E","Total",855,357,358,79,61
"E01006729",2011,"Liverpool 008C","Total",539,124,291,75,49
"E01006730",2011,"Liverpool 011C","Total",542,170,261,65,46
"E01006731",2011,"Liverpool 011D","Total",486,136,248,63,39
