"lsoa11cd","date","lsoa11nm","Rural Urban","Marital Status: All usual residents aged 16+; measures: Value","Marital Status: Single (never married or never registered a same-sex civil partnership); measures: Value","Marital Status: Married; measures: Value","Marital Status: In a registered same-sex civil partnership; measures: Value","Marital Status: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value","Marital Status: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value","Marital Status: Widowed or surviving partner from a same-sex civil partnership; measures: Value"
"E01006800",2011,"Liverpool 046C","Total",1246,321,664,3,25,101,132
"E01006801",2011,"Liverpool 046D","Total",1202,323,676,2,28,71,102
"E01032505",2011,"Liverpool 050F","Total",1087,434,455,0,42,84,72
"E01032506",2011,"Liverpool 050G","Total",1217,647,370,5,25,98,72
"E01032507",2011,"Liverpool 050H","Total",1339,771,390,4,27,96,51
"E01032508",2011,"Liverpool 027G","Total",1408,711,357,7,60,166,107
"E01032509",2011,"Liverpool 027H","Total",1139,579,329,0,51,113,67
"E01032510",2011,"Liverpool 008F","Total",1461,691,553,3,34,96,84
"E01032511",2011,"Liverpool 008G","Total",1144,436,493,2,35,113,65
"E01033747",2011,"Liverpool 018F","Total",822,390,220,0,33,106,73
"E01033748",2011,"Liverpool 050I","Total",1188,861,197,2,34,75,19
"E01033749",2011,"Liverpool 042F","Total",1120,1052,47,0,3,15,3
"E01033750",2011,"Liverpool 061A","Total",1373,962,256,0,46,95,14
"E01033751",2011,"Liverpool 062A","Total",1776,1438,188,4,43,72,31
"E01033752",2011,"Liverpool 062B","Total",1161,921,141,8,37,50,4
"E01033753",2011,"Liverpool 062C","Total",1023,800,130,9,42,39,3
"E01033754",2011,"Liverpool 061B","Total",1363,993,203,4,36,82,45
"E01033755",2011,"Liverpool 062D","Total",1048,865,113,10,20,36,4
"E01033756",2011,"Liverpool 061C","Total",1147,871,208,4,16,39,9
"E01033757",2011,"Liverpool 037E","Total",971,827,66,2,10,51,15
"E01033758",2011,"Liverpool 060B","Total",1683,1514,94,1,26,37,11
"E01033759",2011,"Liverpool 010F","Total",886,403,300,0,37,78,68
"E01033760",2011,"Liverpool 060C","Total",2100,1998,63,2,8,27,2
"E01033761",2011,"Liverpool 060D","Total",1352,1230,85,0,10,27,0
"E01033762",2011,"Liverpool 060E","Total",1772,1649,72,0,12,26,13
"E01033763",2011,"Liverpool 031G","Total",1400,832,250,4,58,131,125
"E01033764",2011,"Liverpool 022E","Total",1847,946,424,3,99,199,176
"E01033765",2011,"Liverpool 061D","Total",1080,540,296,4,48,123,69
"E01033766",2011,"Liverpool 042G","Total",961,650,209,0,17,58,27
"E01033767",2011,"Liverpool 050J","Total",879,493,200,2,24,92,68
"E01033768",2011,"Liverpool 037F","Total",1130,876,107,7,30,84,26
