"lsoa11cd","date","lsoa11nm","Rural Urban","disability/health/care: All categories: Long-term health problem or disability; measures: Value","disability/health/care: Day-to-day activities limited a lot; measures: Value","disability/health/care: Day-to-day activities limited a little; measures: Value","disability/health/care: Day-to-day activities not limited; measures: Value","disability/health/care: Day-to-day activities limited a lot: Age 16 to 64; measures: Value","disability/health/care: Day-to-day activities limited a little: Age 16 to 64; measures: Value","disability/health/care: Day-to-day activities not limited: Age 16 to 64; measures: Value","disability/health/care: Very good health; measures: Value","disability/health/care: Good health; measures: Value","disability/health/care: Fair health; measures: Value","disability/health/care: Bad health; measures: Value","disability/health/care: Very bad health; measures: Value","disability/health/care: Provides no unpaid care; measures: Value","disability/health/care: Provides 1 to 19 hours unpaid care a week; measures: Value","disability/health/care: Provides 20 to 49 hours unpaid care a week; measures: Value","disability/health/care: Provides 50 or more hours unpaid care a week; measures: Value"
"E01006576",2011,"Liverpool 034B","Total",1693,162,160,1371,69,77,977,853,518,225,77,20,1453,161,27,52
"E01006577",2011,"Liverpool 034C","Total",1503,123,119,1261,43,60,879,760,473,200,58,12,1302,133,26,42
"E01006578",2011,"Liverpool 036A","Total",1380,110,115,1155,40,48,806,762,392,156,51,19,1225,96,26,33
"E01006579",2011,"Liverpool 034D","Total",1643,129,168,1346,54,71,893,865,517,184,57,20,1443,129,34,37
"E01006580",2011,"Liverpool 036B","Total",1335,84,109,1142,33,51,802,751,396,131,45,12,1174,117,24,20
"E01006581",2011,"Liverpool 036C","Total",1559,109,134,1316,40,53,904,828,490,180,51,10,1355,132,34,38
"E01006582",2011,"Liverpool 041A","Total",1642,102,119,1421,42,63,959,933,505,151,48,5,1410,159,28,45
"E01006583",2011,"Liverpool 047C","Total",1758,91,109,1558,31,57,1185,988,564,164,30,12,1577,133,15,33
"E01006584",2011,"Liverpool 034E","Total",1393,153,143,1097,76,77,759,681,437,178,78,19,1208,104,22,59
"E01006585",2011,"Liverpool 032B","Total",1354,258,167,929,144,89,640,497,419,253,141,44,1171,78,42,63
"E01006586",2011,"Liverpool 032C","Total",1899,273,164,1462,139,99,1085,878,559,303,124,35,1681,113,41,64
"E01006587",2011,"Liverpool 032D","Total",1624,178,165,1281,117,105,945,817,473,215,90,29,1413,118,42,51
"E01006588",2011,"Liverpool 042C","Total",1569,172,149,1248,74,79,1002,747,492,233,71,26,1408,105,17,39
"E01006589",2011,"Liverpool 041B","Total",1518,129,137,1252,57,77,860,834,433,173,66,12,1330,122,20,46
"E01006590",2011,"Liverpool 042D","Total",1642,122,132,1388,60,81,1145,876,515,166,69,16,1491,86,25,40
"E01006591",2011,"Liverpool 041C","Total",1633,94,120,1419,41,73,1080,955,464,145,52,17,1477,95,24,37
"E01006592",2011,"Liverpool 041D","Total",1565,94,175,1296,30,62,901,861,474,179,45,6,1343,147,32,43
"E01006593",2011,"Liverpool 042E","Total",1541,100,99,1342,60,59,1060,903,441,135,50,12,1418,90,15,18
"E01006594",2011,"Liverpool 047D","Total",1410,98,124,1188,38,53,822,785,430,148,35,12,1210,144,24,32
"E01006595",2011,"Liverpool 049B","Total",1745,180,157,1408,80,65,1024,859,565,215,69,37,1512,139,37,57
"E01006596",2011,"Liverpool 049C","Total",1451,124,132,1195,57,62,875,742,454,186,51,18,1265,114,31,41
"E01006597",2011,"Liverpool 041E","Total",1667,129,144,1394,47,51,988,899,503,187,58,20,1442,152,35,38
"E01006598",2011,"Liverpool 010A","Total",1361,268,160,933,153,86,567,562,349,266,137,47,1180,72,30,79
"E01006599",2011,"Liverpool 010B","Total",1121,116,99,906,70,66,561,507,355,180,63,16,1026,48,13,34
"E01006600",2011,"Liverpool 011A","Total",1407,271,158,978,127,93,685,602,370,246,148,41,1200,85,49,73
"E01006603",2011,"Liverpool 011B","Total",1410,259,184,967,108,106,667,582,390,274,129,35,1187,97,44,82
"E01006604",2011,"Liverpool 016A","Total",1367,242,145,980,121,66,703,563,403,239,125,37,1153,96,44,74
"E01006605",2011,"Liverpool 016B","Total",1531,283,173,1075,142,102,751,637,429,273,147,45,1327,88,39,77
"E01006606",2011,"Liverpool 020A","Total",1521,228,176,1117,115,97,798,681,455,232,110,43,1309,90,37,85
"E01006607",2011,"Liverpool 008A","Total",1531,264,164,1103,133,96,744,649,438,275,132,37,1331,82,39,79
"E01006608",2011,"Liverpool 009A","Total",1215,160,135,920,98,80,656,538,356,216,78,27,1063,93,19,40
"E01006609",2011,"Liverpool 009B","Total",1283,185,122,976,95,67,711,543,415,200,98,27,1114,94,34,41
"E01006610",2011,"Liverpool 009C","Total",1397,232,187,978,114,113,679,567,432,245,119,34,1252,72,28,45
"E01006611",2011,"Liverpool 012A","Total",1291,207,139,945,141,91,658,510,404,238,110,29,1188,57,18,28
"E01006612",2011,"Liverpool 008B","Total",1495,287,183,1025,169,94,683,587,430,281,143,54,1299,64,52,80
"E01006613",2011,"Liverpool 009D","Total",1360,270,174,916,139,86,646,499,417,250,146,48,1180,70,41,69
"E01006614",2011,"Liverpool 012B","Total",1322,187,138,997,113,65,718,512,455,229,106,20,1174,83,28,37
"E01006615",2011,"Liverpool 012C","Total",1302,178,134,990,106,82,720,531,435,193,110,33,1161,63,36,42
"E01006616",2011,"Liverpool 015D","Total",1428,215,156,1057,118,88,737,571,481,241,103,32,1247,95,26,60
"E01006617",2011,"Liverpool 021A","Total",1421,143,133,1145,66,63,852,689,461,178,83,10,1251,105,33,32
"E01006618",2011,"Liverpool 016C","Total",1639,294,220,1125,130,97,786,663,502,302,134,38,1404,92,46,97
