"lsoa11cd","date","lsoa11nm","Rural Urban","Persons per Room: All categories: Number of persons per room in household; measures: Value","Persons per Room: Up to 0.5 persons per room; measures: Value","Persons per Room: Over 0.5 and up to 1.0 persons per room; measures: Value","Persons per Room: Over 1.0 and up to 1.5 persons per room; measures: Value","Persons per Room: Over 1.5 persons per room; measures: Value"
"E01006697",2011,"Liverpool 030D","Total",1843,915,770,121,37
"E01006698",2011,"Liverpool 012D","Total",1716,777,875,59,5
"E01006699",2011,"Liverpool 014A","Total",1581,859,693,29,0
"E01006700",2011,"Liverpool 012E","Total",1410,732,644,28,6
"E01006701",2011,"Liverpool 014B","Total",1380,797,529,54,0
"E01006702",2011,"Liverpool 014C","Total",1596,833,736,27,0
"E01006703",2011,"Liverpool 014D","Total",1527,833,654,34,6
"E01006705",2011,"Liverpool 009E","Total",1409,798,570,37,4
"E01006706",2011,"Liverpool 045A","Total",1346,599,708,34,5
"E01006707",2011,"Liverpool 045B","Total",1294,615,609,53,17
"E01006708",2011,"Liverpool 045C","Total",1757,847,841,61,8
"E01006709",2011,"Liverpool 040A","Total",1438,811,606,19,2
"E01006710",2011,"Liverpool 045D","Total",1490,642,784,64,0
"E01006711",2011,"Liverpool 027A","Total",1500,837,590,45,28
"E01006712",2011,"Liverpool 029D","Total",1303,677,615,6,5
"E01006713",2011,"Liverpool 029E","Total",1375,713,641,17,4
"E01006716",2011,"Liverpool 032E","Total",1454,761,618,70,5
"E01006717",2011,"Liverpool 027D","Total",1436,724,682,23,7
"E01006718",2011,"Liverpool 027E","Total",1584,863,666,26,29
"E01006719",2011,"Liverpool 027F","Total",1535,834,637,59,5
"E01006720",2011,"Liverpool 035A","Total",2108,867,1041,161,39
"E01006721",2011,"Liverpool 038C","Total",1655,982,605,56,12
"E01006722",2011,"Liverpool 038D","Total",1793,625,1069,77,22
"E01006723",2011,"Liverpool 038E","Total",1862,831,967,42,22
"E01006724",2011,"Liverpool 038F","Total",1783,578,1168,29,8
"E01006725",2011,"Liverpool 035B","Total",1537,797,713,27,0
"E01006726",2011,"Liverpool 035C","Total",1565,768,734,40,23
"E01006727",2011,"Liverpool 035D","Total",1438,828,563,37,10
"E01006728",2011,"Liverpool 035E","Total",1620,947,571,55,47
"E01006729",2011,"Liverpool 008C","Total",1400,548,759,93,0
"E01006730",2011,"Liverpool 011C","Total",1323,617,607,94,5
"E01006731",2011,"Liverpool 011D","Total",1196,513,604,79,0
"E01006732",2011,"Liverpool 011E","Total",1643,653,876,87,27
"E01006734",2011,"Liverpool 005C","Total",1412,662,702,43,5
"E01006735",2011,"Liverpool 005D","Total",1309,609,624,61,15
"E01006736",2011,"Liverpool 005E","Total",1460,736,670,32,22
"E01006737",2011,"Liverpool 005F","Total",1435,653,708,74,0
"E01006738",2011,"Liverpool 058A","Total",1501,721,735,45,0
"E01006739",2011,"Liverpool 058B","Total",1738,737,891,75,35
"E01006740",2011,"Liverpool 057A","Total",1280,619,624,37,0
"E01006741",2011,"Liverpool 058C","Total",1815,838,924,44,9
"E01006742",2011,"Liverpool 057B","Total",1394,774,597,11,12
"E01006743",2011,"Liverpool 058D","Total",2175,1109,1026,32,8
"E01006744",2011,"Liverpool 057C","Total",1482,860,592,26,4
"E01006745",2011,"Liverpool 057D","Total",1854,1004,807,35,8
"E01006746",2011,"Liverpool 030E","Total",1506,702,769,26,9
"E01006747",2011,"Liverpool 031B","Total",1655,703,889,37,26
"E01006748",2011,"Liverpool 031C","Total",1936,799,1080,39,18
"E01006751",2011,"Liverpool 031F","Total",2043,744,1111,102,86
"E01006752",2011,"Liverpool 035F","Total",1012,487,449,72,4
"E01006753",2011,"Liverpool 059A","Total",1557,778,734,45,0
"E01006754",2011,"Liverpool 059B","Total",1627,890,705,27,5
"E01006755",2011,"Liverpool 059C","Total",1552,740,768,35,9
"E01006756",2011,"Liverpool 059D","Total",1820,873,888,59,0
"E01006757",2011,"Liverpool 059E","Total",1491,717,715,59,0
"E01006758",2011,"Liverpool 059F","Total",1527,726,733,46,22
"E01006759",2011,"Liverpool 028D","Total",1052,628,409,15,0
"E01006760",2011,"Liverpool 028E","Total",1548,903,572,46,27
"E01006761",2011,"Liverpool 020B","Total",1583,858,675,38,12
"E01006762",2011,"Liverpool 015E","Total",1692,824,802,58,8
"E01006763",2011,"Liverpool 020C","Total",1471,842,591,31,7
"E01006764",2011,"Liverpool 020D","Total",1522,818,642,43,19
"E01006765",2011,"Liverpool 020E","Total",1468,811,622,29,6
"E01006766",2011,"Liverpool 019E","Total",1265,663,551,42,9
"E01006767",2011,"Liverpool 019F","Total",1784,856,885,27,16
"E01006768",2011,"Liverpool 020F","Total",1347,839,470,23,15
"E01006769",2011,"Liverpool 040B","Total",1270,793,414,54,9
"E01006770",2011,"Liverpool 040C","Total",1002,489,455,53,5
"E01006771",2011,"Liverpool 040D","Total",1425,748,647,25,5
"E01006772",2011,"Liverpool 040E","Total",1081,609,458,8,6
"E01006773",2011,"Liverpool 036D","Total",1378,814,549,15,0
"E01006774",2011,"Liverpool 036E","Total",1445,788,652,0,5
"E01006775",2011,"Liverpool 040F","Total",1302,657,601,44,0
"E01006776",2011,"Liverpool 022B","Total",1646,954,621,59,12
"E01006778",2011,"Liverpool 014E","Total",2205,1194,914,70,27
"E01006779",2011,"Liverpool 022D","Total",1934,925,946,58,5
"E01006780",2011,"Liverpool 002D","Total",1465,854,581,30,0
"E01006781",2011,"Liverpool 003A","Total",1469,861,584,18,6
"E01006782",2011,"Liverpool 003B","Total",1541,874,642,20,5
"E01006783",2011,"Liverpool 002E","Total",1548,766,743,26,13
"E01006784",2011,"Liverpool 003C","Total",1344,758,577,9,0
"E01006785",2011,"Liverpool 003D","Total",1769,954,815,0,0
"E01006786",2011,"Liverpool 003E","Total",1820,1056,731,33,0
"E01006787",2011,"Liverpool 006A","Total",1534,743,730,32,29
"E01006788",2011,"Liverpool 006B","Total",1825,873,932,20,0
"E01006790",2011,"Liverpool 006C","Total",1587,873,672,40,2
"E01006791",2011,"Liverpool 006D","Total",1674,1020,623,23,8
"E01006792",2011,"Liverpool 046A","Total",1364,982,382,0,0
"E01006793",2011,"Liverpool 051A","Total",1494,960,511,23,0
"E01006794",2011,"Liverpool 046B","Total",1590,1098,473,19,0
"E01006795",2011,"Liverpool 051B","Total",1407,955,425,16,11
"E01006796",2011,"Liverpool 047E","Total",1586,1086,473,27,0
"E01006797",2011,"Liverpool 051C","Total",1499,846,614,26,13
"E01006798",2011,"Liverpool 051D","Total",1410,871,531,6,2
"E01006799",2011,"Liverpool 051E","Total",1796,1370,413,13,0
"E01006800",2011,"Liverpool 046C","Total",1401,994,404,3,0
"E01006801",2011,"Liverpool 046D","Total",1344,938,396,5,5
"E01032505",2011,"Liverpool 050F","Total",1315,815,484,16,0
"E01032506",2011,"Liverpool 050G","Total",1344,813,513,6,12
"E01032507",2011,"Liverpool 050H","Total",1539,891,618,28,2
"E01032508",2011,"Liverpool 027G","Total",1723,890,768,49,16
"E01032509",2011,"Liverpool 027H","Total",1432,767,626,39,0
