"lsoa11cd","date","lsoa11nm","Rural Urban","General Health: All categories: General health; measures: Value","General Health: Very good health; measures: Value","General Health: Good health; measures: Value","General Health: Fair health; measures: Value","General Health: Bad health; measures: Value","General Health: Very bad health; measures: Value"
"E01006770",2011,"Liverpool 040C","Total",1002,403,318,170,77,34
"E01006771",2011,"Liverpool 040D","Total",1425,564,382,255,172,52
"E01006772",2011,"Liverpool 040E","Total",1091,427,364,189,85,26
"E01006773",2011,"Liverpool 036D","Total",1379,699,450,168,46,16
"E01006774",2011,"Liverpool 036E","Total",1445,789,421,156,61,18
"E01006775",2011,"Liverpool 040F","Total",1319,449,426,242,145,57
"E01006776",2011,"Liverpool 022B","Total",1677,659,480,283,192,63
"E01006778",2011,"Liverpool 014E","Total",2205,871,626,380,254,74
"E01006779",2011,"Liverpool 022D","Total",1968,731,522,374,254,87
"E01006780",2011,"Liverpool 002D","Total",1465,709,443,204,80,29
"E01006781",2011,"Liverpool 003A","Total",1470,753,425,200,70,22
"E01006782",2011,"Liverpool 003B","Total",1560,728,502,225,82,23
"E01006783",2011,"Liverpool 002E","Total",1548,727,505,210,77,29
"E01006784",2011,"Liverpool 003C","Total",1347,663,414,186,72,12
"E01006785",2011,"Liverpool 003D","Total",1769,826,567,244,99,33
"E01006786",2011,"Liverpool 003E","Total",1820,886,570,253,87,24
"E01006787",2011,"Liverpool 006A","Total",2330,892,821,406,168,43
"E01006788",2011,"Liverpool 006B","Total",1825,941,541,219,102,22
"E01006790",2011,"Liverpool 006C","Total",1587,679,456,270,135,47
"E01006791",2011,"Liverpool 006D","Total",1674,612,530,327,165,40
"E01006792",2011,"Liverpool 046A","Total",1368,694,434,189,42,9
"E01006793",2011,"Liverpool 051A","Total",1494,702,452,221,98,21
"E01006794",2011,"Liverpool 046B","Total",1593,828,498,186,70,11
"E01006795",2011,"Liverpool 051B","Total",1407,735,457,151,56,8
"E01006796",2011,"Liverpool 047E","Total",1591,898,469,165,48,11
"E01006797",2011,"Liverpool 051C","Total",1499,696,420,226,114,43
"E01006798",2011,"Liverpool 051D","Total",1410,730,437,157,69,17
"E01006799",2011,"Liverpool 051E","Total",1821,630,512,427,203,49
"E01006800",2011,"Liverpool 046C","Total",1401,554,484,258,79,26
"E01006801",2011,"Liverpool 046D","Total",1355,568,496,210,68,13
"E01032505",2011,"Liverpool 050F","Total",1317,616,426,164,85,26
"E01032506",2011,"Liverpool 050G","Total",1403,580,458,224,114,27
"E01032507",2011,"Liverpool 050H","Total",1539,786,509,158,71,15
"E01032508",2011,"Liverpool 027G","Total",1723,671,534,310,152,56
"E01032509",2011,"Liverpool 027H","Total",1434,654,485,173,99,23
"E01032510",2011,"Liverpool 008F","Total",1809,853,572,222,125,37
"E01032511",2011,"Liverpool 008G","Total",1378,615,439,192,98,34
"E01033747",2011,"Liverpool 018F","Total",1043,381,289,229,108,36
"E01033748",2011,"Liverpool 050I","Total",1277,772,407,66,26,6
"E01033749",2011,"Liverpool 042F","Total",1153,741,349,51,7,5
"E01033750",2011,"Liverpool 061A","Total",1448,887,451,81,19,10
"E01033751",2011,"Liverpool 062A","Total",1873,1048,578,156,68,23
"E01033752",2011,"Liverpool 062B","Total",1196,767,336,70,14,9
"E01033753",2011,"Liverpool 062C","Total",1051,684,311,43,11,2
"E01033754",2011,"Liverpool 061B","Total",1452,798,428,131,68,27
"E01033755",2011,"Liverpool 062D","Total",1082,693,343,34,9,3
"E01033756",2011,"Liverpool 061C","Total",1185,765,361,42,15,2
"E01033757",2011,"Liverpool 037E","Total",1025,526,345,105,36,13
"E01033758",2011,"Liverpool 060B","Total",1730,1017,526,127,44,16
"E01033759",2011,"Liverpool 010F","Total",1147,533,318,170,102,24
"E01033760",2011,"Liverpool 060C","Total",2115,1337,661,100,16,1
"E01033761",2011,"Liverpool 060D","Total",1372,851,437,64,16,4
"E01033762",2011,"Liverpool 060E","Total",1791,1056,581,107,34,13
"E01033763",2011,"Liverpool 031G","Total",1527,550,389,360,177,51
"E01033764",2011,"Liverpool 022E","Total",2202,780,607,464,264,87
"E01033765",2011,"Liverpool 061D","Total",1351,618,371,198,110,54
"E01033766",2011,"Liverpool 042G","Total",1075,584,342,109,30,10
"E01033767",2011,"Liverpool 050J","Total",1067,451,323,169,98,26
"E01033768",2011,"Liverpool 037F","Total",1223,511,398,202,83,29
