"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Dwelling type; measures: Value","Dwelling Type: Unshared dwelling; measures: Value","Dwelling Type: Shared dwelling; measures: Value"
"E01006722",2011,"Liverpool 038D","Total",648,647,1
"E01006723",2011,"Liverpool 038E","Total",771,770,1
"E01006724",2011,"Liverpool 038F","Total",571,571,0
"E01006725",2011,"Liverpool 035B","Total",769,769,0
"E01006726",2011,"Liverpool 035C","Total",707,707,0
"E01006727",2011,"Liverpool 035D","Total",696,694,2
"E01006728",2011,"Liverpool 035E","Total",901,901,0
"E01006729",2011,"Liverpool 008C","Total",541,541,0
"E01006730",2011,"Liverpool 011C","Total",551,551,0
"E01006731",2011,"Liverpool 011D","Total",513,513,0
"E01006732",2011,"Liverpool 011E","Total",654,654,0
"E01006734",2011,"Liverpool 005C","Total",645,645,0
"E01006735",2011,"Liverpool 005D","Total",575,575,0
"E01006736",2011,"Liverpool 005E","Total",598,598,0
"E01006737",2011,"Liverpool 005F","Total",567,567,0
"E01006738",2011,"Liverpool 058A","Total",676,676,0
"E01006739",2011,"Liverpool 058B","Total",718,718,0
"E01006740",2011,"Liverpool 057A","Total",620,620,0
"E01006741",2011,"Liverpool 058C","Total",789,789,0
"E01006742",2011,"Liverpool 057B","Total",602,598,4
"E01006743",2011,"Liverpool 058D","Total",1026,1026,0
"E01006744",2011,"Liverpool 057C","Total",775,775,0
"E01006745",2011,"Liverpool 057D","Total",937,935,2
"E01006746",2011,"Liverpool 030E","Total",666,665,1
"E01006747",2011,"Liverpool 031B","Total",864,859,5
"E01006748",2011,"Liverpool 031C","Total",777,777,0
"E01006751",2011,"Liverpool 031F","Total",848,848,0
"E01006752",2011,"Liverpool 035F","Total",507,507,0
"E01006753",2011,"Liverpool 059A","Total",677,677,0
"E01006754",2011,"Liverpool 059B","Total",837,837,0
"E01006755",2011,"Liverpool 059C","Total",706,706,0
"E01006756",2011,"Liverpool 059D","Total",769,769,0
"E01006757",2011,"Liverpool 059E","Total",634,634,0
"E01006758",2011,"Liverpool 059F","Total",644,644,0
"E01006759",2011,"Liverpool 028D","Total",472,469,3
"E01006760",2011,"Liverpool 028E","Total",845,833,12
"E01006761",2011,"Liverpool 020B","Total",805,805,0
"E01006762",2011,"Liverpool 015E","Total",749,749,0
"E01006763",2011,"Liverpool 020C","Total",677,677,0
"E01006764",2011,"Liverpool 020D","Total",719,717,2
"E01006765",2011,"Liverpool 020E","Total",672,672,0
"E01006766",2011,"Liverpool 019E","Total",633,633,0
"E01006767",2011,"Liverpool 019F","Total",829,828,1
"E01006768",2011,"Liverpool 020F","Total",613,610,3
