"lsoa11cd","date","lsoa11nm","Rural Urban","Position in Establishment: All categories: Position in communal establishment; measures: Value","Position in Establishment: Resident; measures: Value","Position in Establishment: Staff or owner; measures: Value","Position in Establishment: Family member or partner of staff or owner; measures: Value"
"E01033752",2011,"Liverpool 062B","Total",1,0,1,0
"E01033753",2011,"Liverpool 062C","Total",0,0,0,0
"E01033754",2011,"Liverpool 061B","Total",4,4,0,0
"E01033755",2011,"Liverpool 062D","Total",0,0,0,0
"E01033756",2011,"Liverpool 061C","Total",49,47,2,0
"E01033757",2011,"Liverpool 037E","Total",10,10,0,0
"E01033758",2011,"Liverpool 060B","Total",1027,1023,1,3
"E01033759",2011,"Liverpool 010F","Total",0,0,0,0
"E01033760",2011,"Liverpool 060C","Total",1259,1258,0,1
"E01033761",2011,"Liverpool 060D","Total",32,21,2,9
"E01033762",2011,"Liverpool 060E","Total",1069,1063,4,2
"E01033763",2011,"Liverpool 031G","Total",56,56,0,0
"E01033764",2011,"Liverpool 022E","Total",11,11,0,0
"E01033765",2011,"Liverpool 061D","Total",0,0,0,0
"E01033766",2011,"Liverpool 042G","Total",3,3,0,0
"E01033767",2011,"Liverpool 050J","Total",0,0,0,0
"E01033768",2011,"Liverpool 037F","Total",4,4,0,0
