"lsoa11cd","lsoa11nm","r_rank","h_rank","g_rank","e_rank","r_exp","h_exp","g_exp","e_exp","ahah","r_ahah","d_ahah","r_dec","h_dec","g_dec","e_dec","gpp_dist","ed_dist","dent_dist","pharm_dist","gamb_dist","ffood_dist","pubs_dist","leis_dist","blue_dist","off_dist","tobac_dist","green_pas","green_act","ur","no2_mean","pm10_mean","so2_mean","d_gpp_dist","d_ed_dist","d_pharm_dist","d_dent_dist","d_gamb_dist","d_ffood_dist","d_pubs_dist","d_leis_dist","d_blue_dist","d_off_dist","d_tobac_dist","d_green_pas","d_green_act","d_no2_mean","d_pm10_mean","d_so2_mean"
"E01006752","Liverpool 035F",31220,8352,25207,35139,30.8489199113429,5.06224914414552,20.8601122948079,40.9157670189884,24.4217620923212,28634,7,8,3,7,9,0.601025641025641,3.07692307692308,0.81051282051282,0.48948717948718,0.505641025641026,0.842820512820513,1.05512820512821,2.40076923076923,2.88717948717949,1.2274358974359,1.68717948717949,0.39584383656,0.555,1,14.7494689523717,11.1567180980491,1.89775145316376,2,2,2,4,9,7,6,6,7,8,8,4,7,9,4,10
"E01006753","Liverpool 059A",20936,20016,36572,34792,15.7237237158319,14.7529300104009,46.0707728768989,39.8238197422634,29.0928115863487,34774,9,6,5,9,9,0.699583333333333,13.4725,0.760833333333333,0.824583333333333,1.01708333333333,0.979583333333333,1.475,3.50041666666667,2.62458333333333,1.47,4.56041666666667,0.04728265083,0.735,1,12.8997102116194,11.1245220313335,2.08021095455494,3,8,5,3,6,6,4,7,7,7,4,9,8,7,4,10
"E01006754","Liverpool 059B",11253,16306,18299,34395,7.1183185483929,11.207439833279,13.0439328001712,38.6349840107607,17.5011687981509,13805,4,3,4,5,9,0.428484848484848,13.0272727272727,1.38393939393939,0.442727272727273,1.51969696969697,1.51969696969697,3.01848484848485,4.50272727272727,2.05727272727273,2.97757575757576,5.57151515151515,0.05605857394,0.21,1,12.4231692362325,11.3482476393187,2.03428658941763,1,7,2,6,4,5,2,8,6,5,3,9,1,7,4,10
"E01006755","Liverpool 059C",19175,11639,28172,34873,13.8999788583153,7.40629012984562,25.2486860685867,40.0741132868482,21.6572670858989,23335,6,5,3,7,9,0.456285714285714,12.6922857142857,0.532,0.488285714285714,0.852,0.852,2.21514285714286,3.84485714285714,2.21771428571429,1.91714285714286,4.916,0.06481107837,0.39,1,12.8469536577665,11.2029239586513,2.07739524113813,1,7,2,2,7,7,3,7,6,6,3,9,4,7,4,10
"E01006756","Liverpool 059D",18003,18050,29078,34576,12.7617304238953,12.8063089822166,26.7757469498543,39.1693882384432,22.8782936486024,25889,7,5,5,7,9,0.582333333333333,12.3846666666667,0.980333333333333,0.598333333333333,0.848333333333333,0.848333333333333,2.49,3.85033333333333,2.03366666666667,2.30433333333333,4.921,0.07342312108,0.47,1,12.5681332500234,11.3111230238343,2.05118941935338,2,7,3,5,7,7,2,7,5,6,3,9,6,7,4,10
"E01006757","Liverpool 059E",11395,19977,20166,34152,7.22383752202999,14.7126684729825,14.9084422483488,37.9365090770871,18.6953643301121,16560,4,3,5,5,9,0.570769230769231,12.9680769230769,0.825769230769231,0.831923076923077,1.62576923076923,1.62576923076923,2.60807692307692,4.50038461538462,1.53846153846154,2.72423076923077,5.58538461538462,0.07167670392,0.305,1,12.4215474036071,11.2483933665603,2.03456890556098,2,7,5,4,4,4,2,8,4,5,3,9,3,7,4,10
"E01006758","Liverpool 059F",22206,23061,36222,35490,17.1349479654603,18.1362600357169,44.7010489856888,42.0757043665891,30.5119903383638,35987,9,6,6,9,9,0.963181818181818,13.2459090909091,1.04590909090909,0.707727272727273,0.783636363636364,0.783636363636364,1.83863636363636,3.62272727272727,3.07545454545455,1.425,4.69363636363636,0.03916530787,0.56,1,13.0906024127802,11.2080432806402,2.11492613092579,5,7,4,5,8,7,3,7,8,7,3,10,7,8,4,10
"E01006759","Liverpool 028D",38276,8504,18136,35755,54.2331448836103,5.16553510040251,12.8881026258337,42.9919076098472,28.8196725549234,34526,9,10,3,5,9,0.910454545454545,2.62727272727273,0.501363636363636,0.665454545454545,0.415,0.410454545454545,0.415909090909091,1.99136363636364,3.09954545454545,0.416363636363636,1.79363636363636,0.57779657039,0.405,1,14.6675198361248,11.4455239714534,1.90927526549391,4,1,4,2,10,9,9,5,8,10,7,3,5,9,5,10
"E01006760","Liverpool 028E",33080,10824,10686,35944,35.0856970521845,6.80244155416522,6.7017460872905,43.6683918306587,23.0645691310747,26228,7,8,3,3,9,0.796666666666667,3.626,0.962,0.551666666666667,0.552333333333333,0.836333333333333,0.706666666666667,1.859,1.20866666666667,0.785333333333333,1.932,0.61950014928,0.5,1,14.6812003449051,11.4482977465117,1.92627734481679,4,2,3,5,9,7,8,4,3,9,7,2,6,9,5,10
"E01006761","Liverpool 020B",28865,3564,12878,35430,26.4075132043776,2.02561647957968,8.35577642303867,41.8732333315891,19.6655348596463,18864,5,7,1,4,9,0.354444444444444,3.81888888888889,0.486111111111111,0.396111111111111,1.07833333333333,0.551111111111111,1.23722222222222,1.90611111111111,0.892222222222222,1.325,1.53361111111111,0.56748546311,0.675,1,14.508885573971,11.4306008290093,1.89029356769109,1,2,2,2,6,8,5,5,2,8,8,3,8,8,4,10
