propid,price,lnprice,advance,age,bathroom,bedroom,buyage,centheat,chelec,chepart,chgas,chgpart,chnone,floorm2,ftbuyer,greastings,grnorthing,laarea,labad,lagood,lea,pdetach,pflat,psemi,pterrace,popdens,prkdouble,prknone,prksingle,prkspace,tenfree,tenlease
475,234000,12,160000,81,1,3,33,1,0,0,1,0,0,84,0,519199,169422,0,0,0,314,0,0,1,0,44,0,1,0,0,1,0
476,337500,13,270000,51,1,4,33,1,0,0,1,0,0,164,0,519223,181626,0,0,0,307,0,0,1,0,21,0,0,1,0,1,0
477,149000,12,125000,21,1,3,23,1,0,0,1,0,0,88,0,519282,164459,0,0,0,314,0,0,0,1,22,0,0,0,1,1,0
478,197500,12,90164,71,1,3,32,1,0,0,1,0,0,116,0,519303,190987,0,0,0,310,0,0,1,0,29,0,0,0,1,1,0
479,115000,12,109250,17,1,1,30,1,0,0,1,0,0,55,1,519317,183048,0,0,0,307,0,1,0,0,38,0,0,0,1,0,1
480,190000,12,171000,101,1,2,30,1,0,0,1,0,0,99,1,519319,165338,0,0,0,314,0,0,0,1,25,0,1,0,0,1,0
481,99950,12,50000,16,1,1,48,2,1,0,0,0,0,45,0,519320,164473,0,0,0,314,0,0,0,1,21,0,0,0,1,1,0
482,173000,12,155700,71,1,3,30,1,0,0,1,0,0,92,1,519324,165895,0,0,0,314,0,0,1,0,19,0,1,0,0,1,0
483,340000,13,189750,71,1,3,40,1,0,0,1,0,0,104,0,519356,175911,0,0,0,318,0,0,1,0,28,0,0,1,0,1,0
484,180000,12,162000,65,1,2,35,1,0,0,1,0,0,71,1,519357,175239,0,0,0,318,0,1,0,0,49,0,1,0,0,0,1
485,342500,13,122000,71,2,4,43,1,0,0,1,0,0,196,0,519361,193006,0,0,0,302,1,0,0,0,22,0,0,1,0,1,0
486,185000,12,49300,71,1,3,29,1,0,0,1,0,0,89,1,519439,181141,0,0,0,307,0,0,1,0,11,0,0,1,0,1,0
487,220000,12,198000,68,1,3,42,1,0,0,1,0,0,92,1,519483,175649,0,0,0,318,0,0,0,1,32,0,1,0,0,1,0
488,172000,12,69001,71,1,3,60,1,0,0,1,0,0,114,0,519532,184817,0,0,0,304,0,0,1,0,33,0,0,0,1,1,0
489,119950,12,89960,34,1,2,23,1,0,0,1,0,0,68,1,519540,192204,0,0,0,302,0,1,0,0,33,0,0,1,0,0,1
490,220000,12,30000,66,1,3,62,1,0,0,1,0,0,120,0,519550,188363,0,0,0,304,0,0,1,0,23,0,0,1,0,1,0
491,103000,12,28000,13,1,1,34,1,0,0,1,0,0,47,1,519565,190352,0,0,0,310,0,0,0,1,30,0,0,0,1,1,0
492,207500,12,155000,66,1,2,30,1,0,0,1,0,0,96,0,519643,167516,0,0,0,314,0,0,1,0,20,0,0,1,0,1,0
493,245000,12,220500,96,2,2,32,1,0,0,1,0,0,100,1,519651,180519,0,0,0,307,0,1,0,0,34,0,0,0,1,0,1
494,302000,13,150000,31,2,4,56,1,0,0,1,0,0,174,0,519684,170007,0,0,0,314,0,0,0,1,17,0,0,1,0,1,0
495,100000,12,30000,16,1,1,53,5,0,0,0,1,0,42,0,519685,169814,0,0,0,314,0,1,0,0,22,0,1,0,0,0,1
496,99950,12,70000,31,1,1,35,1,0,0,1,0,0,51,0,519707,175666,0,0,0,318,0,1,0,0,47,0,1,0,0,0,1
497,342500,13,127757,61,1,3,31,1,0,0,1,0,0,130,0,519729,175438,0,0,0,318,0,0,0,1,31,0,1,0,0,1,0
498,184950,12,164950,74,2,3,30,1,0,0,1,0,0,110,1,519772,190043,0,0,0,304,0,0,1,0,24,0,0,0,1,1,0
499,128000,12,64180,61,1,3,52,2,1,0,0,0,0,77,0,519791,170640,1,0,1,314,0,1,0,0,67,0,0,0,1,0,1
500,210000,12,189000,69,1,3,33,1,0,0,1,0,0,88,1,519791,193300,0,0,0,302,0,0,1,0,24,0,0,1,0,1,0
501,142500,12,128250,91,1,1,34,1,0,0,1,0,0,66,1,519805,179980,0,0,0,307,0,1,0,0,37,0,1,0,0,0,1
502,120000,12,114000,8,1,2,26,2,1,0,0,0,0,65,1,519819,193587,1,1,0,302,0,1,0,0,47,0,0,0,1,0,1
503,110000,12,11000,71,1,2,72,0,0,0,0,0,1,58,0,519872,175836,0,0,0,318,0,1,0,0,37,0,0,1,0,0,1
504,190000,12,95000,71,1,3,47,1,0,0,1,0,0,100,0,519936,192064,0,0,0,302,0,0,1,0,28,0,1,0,0,1,0
505,100000,12,95000,16,1,1,25,6,0,1,0,0,0,51,1,520059,168424,0,0,0,314,0,0,1,0,37,0,0,0,1,1,0
506,360000,13,125000,81,1,2,34,1,0,0,1,0,0,92,0,520154,177832,0,0,0,313,0,0,0,1,51,0,1,0,0,1,0
